dataset,topic,form,row_index,entity,label,partition
cities,cities,affirmative,86,Sokoto,1,train
cities,cities,affirmative,87,Sokoto,0,train
cities,cities,affirmative,88,Abuja,1,train
cities,cities,affirmative,89,Abuja,0,train
cities,cities,affirmative,90,South Tangerang,1,train
cities,cities,affirmative,91,South Tangerang,0,train
cities,cities,affirmative,92,Odesa,1,train
cities,cities,affirmative,93,Odesa,0,train
cities,cities,affirmative,94,Fort Worth,1,test
cities,cities,affirmative,95,Fort Worth,0,test
cities,cities,affirmative,96,Boumerdes,1,test
cities,cities,affirmative,97,Boumerdes,0,test
cities,cities,affirmative,98,Asmara,1,test
cities,cities,affirmative,99,Asmara,0,test
cities,cities,affirmative,100,Santiago de Queretaro,1,train
cities,cities,affirmative,101,Santiago de Queretaro,0,train
cities,cities,affirmative,102,Perm,1,test
cities,cities,affirmative,103,Perm,0,test
cities,cities,affirmative,104,Jeddah,1,test
cities,cities,affirmative,105,Jeddah,0,test
cities,cities,affirmative,106,Konya,1,test
cities,cities,affirmative,107,Konya,0,test
cities,cities,affirmative,108,Macapa,1,train
cities,cities,affirmative,109,Macapa,0,train
cities,cities,affirmative,110,Belo Horizonte,1,test
cities,cities,affirmative,111,Belo Horizonte,0,test
cities,cities,affirmative,112,Poznan,1,test
cities,cities,affirmative,113,Poznan,0,test
cities,cities,affirmative,114,Linyi,1,train
cities,cities,affirmative,115,Linyi,0,train
cities,cities,affirmative,116,Hohhot,1,train
cities,cities,affirmative,117,Hohhot,0,train
cities,cities,affirmative,118,Malacca,1,train
cities,cities,affirmative,119,Malacca,0,train
cities,cities,affirmative,120,Busan,1,train
cities,cities,affirmative,121,Busan,0,train
cities,cities,affirmative,122,Seongnam-si,1,train
cities,cities,affirmative,123,Seongnam-si,0,train
cities,cities,affirmative,124,Matsuyama,1,train
cities,cities,affirmative,125,Matsuyama,0,train
cities,cities,affirmative,126,Suwon,1,train
cities,cities,affirmative,127,Suwon,0,train
cities,cities,affirmative,128,Incheon,1,train
cities,cities,affirmative,129,Incheon,0,train
cities,cities,affirmative,130,Hwaseong-si,1,train
cities,cities,affirmative,131,Hwaseong-si,0,train
cities,cities,affirmative,132,Changwon,1,train
cities,cities,affirmative,133,Changwon,0,train
cities,cities,affirmative,134,Bamako,1,train
cities,cities,affirmative,135,Bamako,0,train
cities,cities,affirmative,136,Acapulco de Juarez,1,train
cities,cities,affirmative,137,Acapulco de Juarez,0,train
cities,cities,affirmative,138,Mosul,1,train
cities,cities,affirmative,139,Mosul,0,train
cities,cities,affirmative,140,Basrah,1,train
cities,cities,affirmative,141,Basrah,0,train
cities,cities,affirmative,142,Qom,1,test
cities,cities,affirmative,143,Qom,0,test
cities,cities,affirmative,144,Torreon,1,train
cities,cities,affirmative,145,Torreon,0,train
cities,cities,affirmative,146,Beira,1,test
cities,cities,affirmative,147,Beira,0,test
cities,cities,affirmative,148,Naucalpan de Juarez,1,train
cities,cities,affirmative,149,Naucalpan de Juarez,0,train
cities,cities,affirmative,150,Dehra Dun,1,train
cities,cities,affirmative,151,Dehra Dun,0,train
cities,cities,affirmative,152,Bhubaneswar,1,train
cities,cities,affirmative,153,Bhubaneswar,0,train
cities,cities,affirmative,154,Ahvaz,1,test
cities,cities,affirmative,155,Ahvaz,0,test
cities,cities,affirmative,156,Kumasi,1,train
cities,cities,affirmative,157,Kumasi,0,train
cities,cities,affirmative,158,Palembang,1,train
cities,cities,affirmative,159,Palembang,0,train
cities,cities,affirmative,160,Novokuznetsk,1,train
cities,cities,affirmative,161,Novokuznetsk,0,train
cities,cities,affirmative,162,Izmir,1,test
cities,cities,affirmative,163,Izmir,0,test
cities,cities,affirmative,164,Lahore,1,train
cities,cities,affirmative,165,Lahore,0,train
cities,cities,affirmative,166,Zhenjiang,1,train
cities,cities,affirmative,167,Zhenjiang,0,train
cities,cities,affirmative,168,Zhaotong,1,train
cities,cities,affirmative,169,Zhaotong,0,train
cities,cities,affirmative,170,Weifang,1,train
cities,cities,affirmative,171,Weifang,0,train
cities,cities,affirmative,172,Tianjin,1,train
cities,cities,affirmative,173,Tianjin,0,train
cities,cities,affirmative,174,Shaoxing,1,test
cities,cities,affirmative,175,Shaoxing,0,test
cities,cities,affirmative,176,Hangzhou,1,train
cities,cities,affirmative,177,Hangzhou,0,train
cities,cities,affirmative,178,Mudanjiang,1,train
cities,cities,affirmative,179,Mudanjiang,0,train
cities,cities,affirmative,180,Anshan,1,train
cities,cities,affirmative,181,Anshan,0,train
cities,cities,affirmative,182,Porto Velho,1,train
cities,cities,affirmative,183,Porto Velho,0,train
cities,cities,affirmative,184,N'Djamena,1,train
cities,cities,affirmative,185,N'Djamena,0,train
cities,cities,affirmative,186,Kayseri,1,train
cities,cities,affirmative,187,Kayseri,0,train
cities,cities,affirmative,188,Marseille,1,train
cities,cities,affirmative,189,Marseille,0,train
cities,cities,affirmative,190,Lyon,1,test
cities,cities,affirmative,191,Lyon,0,test
cities,cities,affirmative,192,Suez,1,train
cities,cities,affirmative,193,Suez,0,train
cities,cities,affirmative,194,Giza,1,test
cities,cities,affirmative,195,Giza,0,test
cities,cities,affirmative,196,Naberezhnyye Chelny,1,train
cities,cities,affirmative,197,Naberezhnyye Chelny,0,train
cities,cities,affirmative,198,Mukalla,1,train
cities,cities,affirmative,199,Mukalla,0,train
cities,cities,affirmative,200,Harare,1,train
cities,cities,affirmative,201,Harare,0,train
cities,cities,affirmative,202,Sevastopol,1,train
cities,cities,affirmative,203,Sevastopol,0,train
cities,cities,affirmative,204,Lipetsk,1,test
cities,cities,affirmative,205,Lipetsk,0,test
cities,cities,affirmative,206,Istanbul,1,train
cities,cities,affirmative,207,Istanbul,0,train
cities,cities,affirmative,208,Callao,1,train
cities,cities,affirmative,209,Callao,0,train
cities,cities,affirmative,210,Cebu City,1,train
cities,cities,affirmative,211,Cebu City,0,train
cities,cities,affirmative,212,Tashkent,1,test
cities,cities,affirmative,213,Tashkent,0,test
cities,cities,affirmative,214,Maturin,1,train
cities,cities,affirmative,215,Maturin,0,train
cities,cities,affirmative,216,Hanoi,1,train
cities,cities,affirmative,217,Hanoi,0,train
cities,cities,affirmative,218,Xuzhou,1,train
cities,cities,affirmative,219,Xuzhou,0,train
cities,cities,affirmative,220,Cucuta,1,train
cities,cities,affirmative,221,Cucuta,0,train
cities,cities,affirmative,222,Santo Domingo Oeste,1,train
cities,cities,affirmative,223,Santo Domingo Oeste,0,train
cities,cities,affirmative,224,Tangshan,1,train
cities,cities,affirmative,225,Tangshan,0,train
cities,cities,affirmative,226,Neijiang,1,train
cities,cities,affirmative,227,Neijiang,0,train
cities,cities,affirmative,228,Linfen,1,train
cities,cities,affirmative,229,Linfen,0,train
cities,cities,affirmative,230,Yiwu,1,train
cities,cities,affirmative,231,Yiwu,0,train
cities,cities,affirmative,232,Qiqihar,1,train
cities,cities,affirmative,233,Qiqihar,0,train
cities,cities,affirmative,234,Baotou,1,train
cities,cities,affirmative,235,Baotou,0,train
cities,cities,affirmative,236,Aparecida de Goiania,1,train
cities,cities,affirmative,237,Aparecida de Goiania,0,train
cities,cities,affirmative,238,Kinshasa,1,train
cities,cities,affirmative,239,Kinshasa,0,train
cities,cities,affirmative,240,Ciudad Nezahualcoyotl,1,train
cities,cities,affirmative,241,Ciudad Nezahualcoyotl,0,train
cities,cities,affirmative,242,Mexicali,1,train
cities,cities,affirmative,243,Mexicali,0,train
cities,cities,affirmative,244,Ciudad Juarez,1,train
cities,cities,affirmative,245,Ciudad Juarez,0,train
cities,cities,affirmative,246,Kampung Baru Subang,1,train
cities,cities,affirmative,247,Kampung Baru Subang,0,train
cities,cities,affirmative,248,Subang Jaya,1,train
cities,cities,affirmative,249,Subang Jaya,0,train
cities,cities,affirmative,250,Maputo,1,train
cities,cities,affirmative,251,Maputo,0,train
cities,cities,affirmative,252,Kumamoto,1,train
cities,cities,affirmative,253,Kumamoto,0,train
cities,cities,affirmative,254,Daegu,1,train
cities,cities,affirmative,255,Daegu,0,train
cities,cities,affirmative,256,Vilnius,1,train
cities,cities,affirmative,257,Vilnius,0,train
cities,cities,affirmative,258,Ranchi,1,train
cities,cities,affirmative,259,Ranchi,0,train
cities,cities,affirmative,260,Jalandhar,1,train
cities,cities,affirmative,261,Jalandhar,0,train
cities,cities,affirmative,262,Bhayandar,1,train
cities,cities,affirmative,263,Bhayandar,0,train
cities,cities,affirmative,264,Bareilly,1,train
cities,cities,affirmative,265,Bareilly,0,train
cities,cities,affirmative,266,Santo Domingo Este,1,train
cities,cities,affirmative,267,Santo Domingo Este,0,train
cities,cities,affirmative,268,Al Fayyum,1,train
cities,cities,affirmative,269,Al Fayyum,0,train
cities,cities,affirmative,270,Rizhao,1,train
cities,cities,affirmative,271,Rizhao,0,train
cities,cities,affirmative,272,"Mianzhu, Deyang, Sichuan",1,train
cities,cities,affirmative,273,"Mianzhu, Deyang, Sichuan",0,train
cities,cities,affirmative,274,Jabalpur,1,test
cities,cities,affirmative,275,Jabalpur,0,test
cities,cities,affirmative,276,Bilimora,1,train
cities,cities,affirmative,277,Bilimora,0,train
cities,cities,affirmative,278,Accra,1,train
cities,cities,affirmative,279,Accra,0,train
cities,cities,affirmative,280,Bogor,1,train
cities,cities,affirmative,281,Bogor,0,train
cities,cities,affirmative,282,Nyala,1,train
cities,cities,affirmative,283,Nyala,0,train
cities,cities,affirmative,284,Eskisehir,1,train
cities,cities,affirmative,285,Eskisehir,0,train
cities,cities,affirmative,286,Antalya,1,test
cities,cities,affirmative,287,Antalya,0,test
cities,cities,affirmative,288,Dnipro,1,train
cities,cities,affirmative,289,Dnipro,0,train
cities,cities,affirmative,290,Khabarovsk,1,train
cities,cities,affirmative,291,Khabarovsk,0,train
cities,cities,affirmative,292,Irkutsk,1,test
cities,cities,affirmative,293,Irkutsk,0,test
cities,cities,affirmative,294,Libreville,1,train
cities,cities,affirmative,295,Libreville,0,train
cities,cities,affirmative,296,Santiago de los Caballeros,1,train
cities,cities,affirmative,297,Santiago de los Caballeros,0,train
cities,cities,affirmative,298,Algiers,1,train
cities,cities,affirmative,299,Algiers,0,train
cities,cities,affirmative,300,Nashik,1,test
cities,cities,affirmative,301,Nashik,0,test
cities,cities,affirmative,302,Karol Bagh,1,train
cities,cities,affirmative,303,Karol Bagh,0,train
cities,cities,affirmative,304,Orumiyeh,1,test
cities,cities,affirmative,305,Orumiyeh,0,test
cities,cities,affirmative,306,Zahedan,1,train
cities,cities,affirmative,307,Zahedan,0,train
cities,cities,affirmative,308,Xuchang,1,train
cities,cities,affirmative,309,Xuchang,0,train
cities,cities,affirmative,310,Changde,1,train
cities,cities,affirmative,311,Changde,0,train
cities,cities,affirmative,312,Shaoguan,1,train
cities,cities,affirmative,313,Shaoguan,0,train
cities,cities,affirmative,314,Jilin,1,train
cities,cities,affirmative,315,Jilin,0,train
cities,cities,affirmative,316,Manaus,1,train
cities,cities,affirmative,317,Manaus,0,train
cities,cities,affirmative,318,Jaboatao dos Guararapes,1,train
cities,cities,affirmative,319,Jaboatao dos Guararapes,0,train
cities,cities,affirmative,320,Kakamega,1,train
cities,cities,affirmative,321,Kakamega,0,train
cities,cities,affirmative,322,Agadir,1,train
cities,cities,affirmative,323,Agadir,0,train
cities,cities,affirmative,324,Ulan Bator,1,train
cities,cities,affirmative,325,Ulan Bator,0,train
cities,cities,affirmative,326,Muscat,1,train
cities,cities,affirmative,327,Muscat,0,train
cities,cities,affirmative,328,Paranaque City,1,train
cities,cities,affirmative,329,Paranaque City,0,train
cities,cities,affirmative,330,Rahim Yar Khan,1,train
cities,cities,affirmative,331,Rahim Yar Khan,0,train
cities,cities,affirmative,332,Balikpapan,1,train
cities,cities,affirmative,333,Balikpapan,0,train
cities,cities,affirmative,334,Guarulhos,1,train
cities,cities,affirmative,335,Guarulhos,0,train
cities,cities,affirmative,336,Volgograd,1,train
cities,cities,affirmative,337,Volgograd,0,train
cities,cities,affirmative,338,Ulyanovsk,1,train
cities,cities,affirmative,339,Ulyanovsk,0,train
cities,cities,affirmative,340,Kota Bharu,1,test
cities,cities,affirmative,341,Kota Bharu,0,test
cities,cities,affirmative,342,Sarajevo,1,test
cities,cities,affirmative,343,Sarajevo,0,test
cities,cities,affirmative,344,Maceio,1,train
cities,cities,affirmative,345,Maceio,0,train
cities,cities,affirmative,346,Joao Pessoa,1,train
cities,cities,affirmative,347,Joao Pessoa,0,train
cities,cities,affirmative,348,Shangqiu,1,train
cities,cities,affirmative,349,Shangqiu,0,train
cities,cities,affirmative,350,Zhangye,1,train
cities,cities,affirmative,351,Zhangye,0,train
cities,cities,affirmative,352,Xuanzhou,1,train
cities,cities,affirmative,353,Xuanzhou,0,train
cities,cities,affirmative,354,Wuhan,1,train
cities,cities,affirmative,355,Wuhan,0,train
cities,cities,affirmative,356,Nanchang,1,train
cities,cities,affirmative,357,Nanchang,0,train
cities,cities,affirmative,358,Luancheng,1,train
cities,cities,affirmative,359,Luancheng,0,train
cities,cities,affirmative,360,Liuzhou,1,train
cities,cities,affirmative,361,Liuzhou,0,train
cities,cities,affirmative,362,Guangyuan,1,train
cities,cities,affirmative,363,Guangyuan,0,train
cities,cities,affirmative,364,Bijie,1,train
cities,cities,affirmative,365,Bijie,0,train
cities,cities,affirmative,366,Zhoushan,1,test
cities,cities,affirmative,367,Zhoushan,0,test
cities,cities,affirmative,368,Hegang,1,test
cities,cities,affirmative,369,Hegang,0,test
cities,cities,affirmative,370,E'zhou,1,train
cities,cities,affirmative,371,E'zhou,0,train
cities,cities,affirmative,372,Campos dos Goytacazes,1,test
cities,cities,affirmative,373,Campos dos Goytacazes,0,test
cities,cities,affirmative,374,Bucharest,1,train
cities,cities,affirmative,375,Bucharest,0,train
cities,cities,affirmative,376,Ansan-si,1,train
cities,cities,affirmative,377,Ansan-si,0,train
cities,cities,affirmative,378,Casablanca,1,train
cities,cities,affirmative,379,Casablanca,0,train
cities,cities,affirmative,380,Coyoacan,1,train
cities,cities,affirmative,381,Coyoacan,0,train
cities,cities,affirmative,382,Oyo,1,test
cities,cities,affirmative,383,Oyo,0,test
cities,cities,affirmative,384,Pasig City,1,train
cities,cities,affirmative,385,Pasig City,0,train
cities,cities,affirmative,386,Kano,1,train
cities,cities,affirmative,387,Kano,0,train
cities,cities,affirmative,388,Bahawalpur,1,test
cities,cities,affirmative,389,Bahawalpur,0,test
cities,cities,affirmative,390,New Kingston,1,test
cities,cities,affirmative,391,New Kingston,0,test
cities,cities,affirmative,392,Pyongyang,1,train
cities,cities,affirmative,393,Pyongyang,0,train
cities,cities,affirmative,394,Shymkent,1,train
cities,cities,affirmative,395,Shymkent,0,train
cities,cities,affirmative,396,Tlalpan,1,train
cities,cities,affirmative,397,Tlalpan,0,train
cities,cities,affirmative,398,Kemerovo,1,test
cities,cities,affirmative,399,Kemerovo,0,test
cities,cities,affirmative,400,Zaporizhzhya,1,train
cities,cities,affirmative,401,Zaporizhzhya,0,train
cities,cities,affirmative,402,Iztapalapa,1,train
cities,cities,affirmative,403,Iztapalapa,0,train
cities,cities,affirmative,404,Aguascalientes,1,train
cities,cities,affirmative,405,Aguascalientes,0,train
cities,cities,affirmative,406,Kuala Lumpur,1,train
cities,cities,affirmative,407,Kuala Lumpur,0,train
cities,cities,affirmative,408,Warri,1,train
cities,cities,affirmative,409,Warri,0,train
cities,cities,affirmative,410,Peshawar,1,train
cities,cities,affirmative,411,Peshawar,0,train
cities,cities,affirmative,412,Kagoshima,1,train
cities,cities,affirmative,413,Kagoshima,0,train
cities,cities,affirmative,414,Hamamatsu,1,train
cities,cities,affirmative,415,Hamamatsu,0,train
cities,cities,affirmative,416,Cheongju-si,1,train
cities,cities,affirmative,417,Cheongju-si,0,train
cities,cities,affirmative,418,Ghaziabad,1,test
cities,cities,affirmative,419,Ghaziabad,0,test
cities,cities,affirmative,420,Cochin,1,train
cities,cities,affirmative,421,Cochin,0,train
cities,cities,affirmative,422,Ahmedabad,1,train
cities,cities,affirmative,423,Ahmedabad,0,train
cities,cities,affirmative,424,Sulaymaniyah,1,train
cities,cities,affirmative,425,Sulaymaniyah,0,train
cities,cities,affirmative,426,Hamadan,1,train
cities,cities,affirmative,427,Hamadan,0,train
cities,cities,affirmative,428,Omsk,1,train
cities,cities,affirmative,429,Omsk,0,train
cities,cities,affirmative,430,Ta'if,1,train
cities,cities,affirmative,431,Ta'if,0,train
cities,cities,affirmative,432,Stockholm,1,train
cities,cities,affirmative,433,Stockholm,0,train
cities,cities,affirmative,434,Siliguri,1,train
cities,cities,affirmative,435,Siliguri,0,train
cities,cities,affirmative,436,Baghdad,1,train
cities,cities,affirmative,437,Baghdad,0,train
cities,cities,affirmative,438,Al Basrah al Qadimah,1,train
cities,cities,affirmative,439,Al Basrah al Qadimah,0,train
cities,cities,affirmative,440,Krakow,1,train
cities,cities,affirmative,441,Krakow,0,train
cities,cities,affirmative,442,Tolyatti,1,train
cities,cities,affirmative,443,Tolyatti,0,train
cities,cities,affirmative,444,Bandar Lampung,1,train
cities,cities,affirmative,445,Bandar Lampung,0,train
cities,cities,affirmative,446,Tucson,1,test
cities,cities,affirmative,447,Tucson,0,test
cities,cities,affirmative,448,Can Tho,1,train
cities,cities,affirmative,449,Can Tho,0,train
cities,cities,affirmative,450,Bouake,1,train
cities,cities,affirmative,451,Bouake,0,train
cities,cities,affirmative,452,Abobo,1,train
cities,cities,affirmative,453,Abobo,0,train
cities,cities,affirmative,454,Shihezi,1,train
cities,cities,affirmative,455,Shihezi,0,train
cities,cities,affirmative,456,Yunfu,1,train
cities,cities,affirmative,457,Yunfu,0,train
cities,cities,affirmative,458,Xiangtan,1,train
cities,cities,affirmative,459,Xiangtan,0,train
cities,cities,affirmative,460,Qionghai,1,train
cities,cities,affirmative,461,Qionghai,0,train
cities,cities,affirmative,462,Chuzhou,1,train
cities,cities,affirmative,463,Chuzhou,0,train
cities,cities,affirmative,464,Taiz,1,train
cities,cities,affirmative,465,Taiz,0,train
cities,cities,affirmative,466,Tembisa,1,train
cities,cities,affirmative,467,Tembisa,0,train
cities,cities,affirmative,468,Puente Alto,1,train
cities,cities,affirmative,469,Puente Alto,0,train
cities,cities,affirmative,470,Zhumadian,1,train
cities,cities,affirmative,471,Zhumadian,0,train
cities,cities,affirmative,472,Zhengzhou,1,train
cities,cities,affirmative,473,Zhengzhou,0,train
cities,cities,affirmative,474,Ya'an,1,train
cities,cities,affirmative,475,Ya'an,0,train
cities,cities,affirmative,476,Xianyang,1,train
cities,cities,affirmative,477,Xianyang,0,train
cities,cities,affirmative,478,Weihai,1,train
cities,cities,affirmative,479,Weihai,0,train
cities,cities,affirmative,480,Pingdingshan,1,train
cities,cities,affirmative,481,Pingdingshan,0,train
cities,cities,affirmative,482,Bengbu,1,train
cities,cities,affirmative,483,Bengbu,0,train
cities,cities,affirmative,484,Zhangjiakou,1,train
cities,cities,affirmative,485,Zhangjiakou,0,train
cities,cities,affirmative,486,Mississauga,1,train
cities,cities,affirmative,487,Mississauga,0,train
cities,cities,affirmative,488,Yerevan,1,train
cities,cities,affirmative,489,Yerevan,0,train
cities,cities,affirmative,490,Albuquerque,1,train
cities,cities,affirmative,491,Albuquerque,0,train
cities,cities,affirmative,492,New South Memphis,1,train
cities,cities,affirmative,493,New South Memphis,0,train
cities,cities,affirmative,494,Calgary,1,train
cities,cities,affirmative,495,Calgary,0,train
cities,cities,affirmative,496,Kisangani,1,train
cities,cities,affirmative,497,Kisangani,0,train
cities,cities,affirmative,498,Bobo-Dioulasso,1,train
cities,cities,affirmative,499,Bobo-Dioulasso,0,train
cities,cities,affirmative,500,Sao Jose dos Campos,1,train
cities,cities,affirmative,501,Sao Jose dos Campos,0,train
cities,cities,affirmative,502,Florianopolis,1,train
cities,cities,affirmative,503,Florianopolis,0,train
cities,cities,affirmative,504,Cuiaba,1,train
cities,cities,affirmative,505,Cuiaba,0,train
cities,cities,affirmative,506,Chattogram,1,train
cities,cities,affirmative,507,Chattogram,0,train
cities,cities,affirmative,508,Nanjing,1,train
cities,cities,affirmative,509,Nanjing,0,train
cities,cities,affirmative,510,Kaifeng,1,train
cities,cities,affirmative,511,Kaifeng,0,train
cities,cities,affirmative,512,Heze,1,train
cities,cities,affirmative,513,Heze,0,train
cities,cities,affirmative,514,Sendai,1,test
cities,cities,affirmative,515,Sendai,0,test
cities,cities,affirmative,516,Jeonju,1,train
cities,cities,affirmative,517,Jeonju,0,train
cities,cities,affirmative,518,Almaty,1,train
cities,cities,affirmative,519,Almaty,0,train
cities,cities,affirmative,520,Pimpri,1,test
cities,cities,affirmative,521,Pimpri,0,test
cities,cities,affirmative,522,Navi Mumbai,1,train
cities,cities,affirmative,523,Navi Mumbai,0,train
cities,cities,affirmative,524,Novosibirsk,1,train
cities,cities,affirmative,525,Novosibirsk,0,train
cities,cities,affirmative,526,Goeteborg,1,train
cities,cities,affirmative,527,Goeteborg,0,train
cities,cities,affirmative,528,Bursa,1,test
cities,cities,affirmative,529,Bursa,0,test
cities,cities,affirmative,530,Dar es Salaam,1,test
cities,cities,affirmative,531,Dar es Salaam,0,test
cities,cities,affirmative,532,Mbuji-Mayi,1,test
cities,cities,affirmative,533,Mbuji-Mayi,0,test
cities,cities,affirmative,534,Goiania,1,train
cities,cities,affirmative,535,Goiania,0,train
cities,cities,affirmative,536,Yaroslavl,1,train
cities,cities,affirmative,537,Yaroslavl,0,train
cities,cities,affirmative,538,Kigali,1,train
cities,cities,affirmative,539,Kigali,0,train
cities,cities,affirmative,540,Diyarbakir,1,train
cities,cities,affirmative,541,Diyarbakir,0,train
cities,cities,affirmative,542,Tyumen,1,train
cities,cities,affirmative,543,Tyumen,0,train
cities,cities,affirmative,544,Orenburg,1,train
cities,cities,affirmative,545,Orenburg,0,train
cities,cities,affirmative,546,Osaka,1,test
cities,cities,affirmative,547,Osaka,0,test
cities,cities,affirmative,548,Sapporo,1,train
cities,cities,affirmative,549,Sapporo,0,train
cities,cities,affirmative,550,Kimhae,1,train
cities,cities,affirmative,551,Kimhae,0,train
cities,cities,affirmative,552,Cheonan,1,train
cities,cities,affirmative,553,Cheonan,0,train
cities,cities,affirmative,554,San Luis Potosi,1,train
cities,cities,affirmative,555,San Luis Potosi,0,train
cities,cities,affirmative,556,Culiacan,1,train
cities,cities,affirmative,557,Culiacan,0,train
cities,cities,affirmative,558,Kaduna,1,train
cities,cities,affirmative,559,Kaduna,0,train
cities,cities,affirmative,560,General Santos,1,train
cities,cities,affirmative,561,General Santos,0,train
cities,cities,affirmative,562,Ebute Ikorodu,1,train
cities,cities,affirmative,563,Ebute Ikorodu,0,train
cities,cities,affirmative,564,Benin City,1,train
cities,cities,affirmative,565,Benin City,0,train
cities,cities,affirmative,566,Kanpur,1,train
cities,cities,affirmative,567,Kanpur,0,train
cities,cities,affirmative,568,Indore,1,train
cities,cities,affirmative,569,Indore,0,train
cities,cities,affirmative,570,Zunyi,1,train
cities,cities,affirmative,571,Zunyi,0,train
cities,cities,affirmative,572,Zhanjiang,1,train
cities,cities,affirmative,573,Zhanjiang,0,train
cities,cities,affirmative,574,Wenzhou,1,test
cities,cities,affirmative,575,Wenzhou,0,test
cities,cities,affirmative,576,Luohe,1,train
cities,cities,affirmative,577,Luohe,0,train
cities,cities,affirmative,578,Kunming,1,test
cities,cities,affirmative,579,Kunming,0,test
cities,cities,affirmative,580,Cixi,1,train
cities,cities,affirmative,581,Cixi,0,train
cities,cities,affirmative,582,Hanzhong,1,train
cities,cities,affirmative,583,Hanzhong,0,train
cities,cities,affirmative,584,Guangzhou,1,train
cities,cities,affirmative,585,Guangzhou,0,train
cities,cities,affirmative,586,Munich,1,train
cities,cities,affirmative,587,Munich,0,train
cities,cities,affirmative,588,Pekanbaru,1,train
cities,cities,affirmative,589,Pekanbaru,0,train
