topic,entity,entity_id,object_value,proposition_key,source_statement,source_label,source_dataset,source_file,source_row
cities,Nanchong,entity_35331c7e16e88f60df0c98f7a93673f58adb5af59d50f2122dff05da16f4173e,Nigeria,"[""cities"",""Nanchong"",""Nigeria""]",The city of Nanchong is in Nigeria.,0,cities,cities.csv,18
cities,Lu'an,entity_a666efa0e1eea6a5794f30c8474bf94d3f0d522579e22e1a3f1c3bcfc1fe978f,China,"[""cities"",""Lu'an"",""China""]",The city of Lu'an is in China.,1,cities,cities.csv,19
cities,Lu'an,entity_a666efa0e1eea6a5794f30c8474bf94d3f0d522579e22e1a3f1c3bcfc1fe978f,Turkey,"[""cities"",""Lu'an"",""Turkey""]",The city of Lu'an is in Turkey.,0,cities,cities.csv,20
cities,Jiaxing,entity_3ea8a31cd5fabad4f7beb390e760ead3a40c2d5272d1c028aeae88a36f9d15bf,China,"[""cities"",""Jiaxing"",""China""]",The city of Jiaxing is in China.,1,cities,cities.csv,21
cities,Jiaxing,entity_3ea8a31cd5fabad4f7beb390e760ead3a40c2d5272d1c028aeae88a36f9d15bf,Ukraine,"[""cities"",""Jiaxing"",""Ukraine""]",The city of Jiaxing is in Ukraine.,0,cities,cities.csv,22
cities,Huaihua,entity_ec54fffb9194d82ba2c64198f46bf7d35c9ed6974ba9e1bd5c639989fd87c70c,China,"[""cities"",""Huaihua"",""China""]",The city of Huaihua is in China.,1,cities,cities.csv,23
cities,Huaihua,entity_ec54fffb9194d82ba2c64198f46bf7d35c9ed6974ba9e1bd5c639989fd87c70c,South Africa,"[""cities"",""Huaihua"",""South Africa""]",The city of Huaihua is in South Africa.,0,cities,cities.csv,24
cities,Anqing,entity_66864f2676721c8c18ebf2cee648d7acc2a8f705eaf584fafeaa053bf0e408ef,China,"[""cities"",""Anqing"",""China""]",The city of Anqing is in China.,1,cities,cities.csv,25
cities,Anqing,entity_66864f2676721c8c18ebf2cee648d7acc2a8f705eaf584fafeaa053bf0e408ef,Brazil,"[""cities"",""Anqing"",""Brazil""]",The city of Anqing is in Brazil.,0,cities,cities.csv,26
cities,Yingkou,entity_e474375eafe77136028959f0bbd500b8327dd68903a85bd668c83c845223e0de,China,"[""cities"",""Yingkou"",""China""]",The city of Yingkou is in China.,1,cities,cities.csv,27
cities,Yingkou,entity_e474375eafe77136028959f0bbd500b8327dd68903a85bd668c83c845223e0de,the Philippines,"[""cities"",""Yingkou"",""the Philippines""]",The city of Yingkou is in the Philippines.,0,cities,cities.csv,28
cities,Panshan,entity_082de609e1b7dcc2cb63b58011ac0d652c88421698c1d83a9579b0e096bdc972,China,"[""cities"",""Panshan"",""China""]",The city of Panshan is in China.,1,cities,cities.csv,29
cities,Panshan,entity_082de609e1b7dcc2cb63b58011ac0d652c88421698c1d83a9579b0e096bdc972,Japan,"[""cities"",""Panshan"",""Japan""]",The city of Panshan is in Japan.,0,cities,cities.csv,30
cities,Guatemala City,entity_b1055c6ab3c21b6d10500ea25889245613c46b072852d20884fb2157d015dbe1,Guatemala,"[""cities"",""Guatemala City"",""Guatemala""]",The city of Guatemala City is in Guatemala.,1,cities,cities.csv,31
cities,Guatemala City,entity_b1055c6ab3c21b6d10500ea25889245613c46b072852d20884fb2157d015dbe1,Croatia,"[""cities"",""Guatemala City"",""Croatia""]",The city of Guatemala City is in Croatia.,0,cities,cities.csv,32
cities,Bauchi,entity_13ab0bbaf3f792b7e24b9ccccea2fd77314df57b5c305b47f637ae14e9994041,Nigeria,"[""cities"",""Bauchi"",""Nigeria""]",The city of Bauchi is in Nigeria.,1,cities,cities.csv,33
cities,Bauchi,entity_13ab0bbaf3f792b7e24b9ccccea2fd77314df57b5c305b47f637ae14e9994041,Iran,"[""cities"",""Bauchi"",""Iran""]",The city of Bauchi is in Iran.,0,cities,cities.csv,34
cities,Tokyo,entity_95b0d697f569f983fd05ce7c2144860e0a4a5dad9e5b5cd867b6accaa5e683f5,Japan,"[""cities"",""Tokyo"",""Japan""]",The city of Tokyo is in Japan.,1,cities,cities.csv,35
cities,Tokyo,entity_95b0d697f569f983fd05ce7c2144860e0a4a5dad9e5b5cd867b6accaa5e683f5,Pakistan,"[""cities"",""Tokyo"",""Pakistan""]",The city of Tokyo is in Pakistan.,0,cities,cities.csv,36
cities,Mombasa,entity_f9e42ce95a02ae98e48ec76bef39e8ea13e3499b89a8eb81a3eb42044821a283,Kenya,"[""cities"",""Mombasa"",""Kenya""]",The city of Mombasa is in Kenya.,1,cities,cities.csv,37
cities,Mombasa,entity_f9e42ce95a02ae98e48ec76bef39e8ea13e3499b89a8eb81a3eb42044821a283,India,"[""cities"",""Mombasa"",""India""]",The city of Mombasa is in India.,0,cities,cities.csv,38
cities,Ulsan,entity_db5aec647a3e1180d7774589ee7cb116da5acca10251dd9612bfebc156675551,South Korea,"[""cities"",""Ulsan"",""South Korea""]",The city of Ulsan is in South Korea.,1,cities,cities.csv,39
cities,Ulsan,entity_db5aec647a3e1180d7774589ee7cb116da5acca10251dd9612bfebc156675551,South Africa,"[""cities"",""Ulsan"",""South Africa""]",The city of Ulsan is in South Africa.,0,cities,cities.csv,40
cities,Warangal,entity_dd1bd51e727c4e09df8c16c4e28bd32f76edc19020c4c721e9ee03b550624ae0,India,"[""cities"",""Warangal"",""India""]",The city of Warangal is in India.,1,cities,cities.csv,41
cities,Warangal,entity_dd1bd51e727c4e09df8c16c4e28bd32f76edc19020c4c721e9ee03b550624ae0,Yemen,"[""cities"",""Warangal"",""Yemen""]",The city of Warangal is in Yemen.,0,cities,cities.csv,42
cities,Tiruchirappalli,entity_dc43751c2170a76891641beab419fa6c4b2f7063bdf6ae43cccd04312e6976db,India,"[""cities"",""Tiruchirappalli"",""India""]",The city of Tiruchirappalli is in India.,1,cities,cities.csv,43
cities,Tiruchirappalli,entity_dc43751c2170a76891641beab419fa6c4b2f7063bdf6ae43cccd04312e6976db,Iraq,"[""cities"",""Tiruchirappalli"",""Iraq""]",The city of Tiruchirappalli is in Iraq.,0,cities,cities.csv,44
cities,Nowrangapur,entity_e9866ae33a46e250b7a796ccc6410f7ac3ef7956e1d532db50179da220e02e4e,India,"[""cities"",""Nowrangapur"",""India""]",The city of Nowrangapur is in India.,1,cities,cities.csv,45
cities,Nowrangapur,entity_e9866ae33a46e250b7a796ccc6410f7ac3ef7956e1d532db50179da220e02e4e,Vietnam,"[""cities"",""Nowrangapur"",""Vietnam""]",The city of Nowrangapur is in Vietnam.,0,cities,cities.csv,46
cities,Sambhaji Nagar,entity_fa383f5b8897294fc114206b0c0cf13dba60cfe3d2db70d7923bc2d3e0b5ecaa,India,"[""cities"",""Sambhaji Nagar"",""India""]",The city of Sambhaji Nagar is in India.,1,cities,cities.csv,47
cities,Sambhaji Nagar,entity_fa383f5b8897294fc114206b0c0cf13dba60cfe3d2db70d7923bc2d3e0b5ecaa,China,"[""cities"",""Sambhaji Nagar"",""China""]",The city of Sambhaji Nagar is in China.,0,cities,cities.csv,48
cities,Ajmer,entity_01598358f97705079422319e257cfd8564800f791999af2af9531b9a254507ab,India,"[""cities"",""Ajmer"",""India""]",The city of Ajmer is in India.,1,cities,cities.csv,49
cities,Ajmer,entity_01598358f97705079422319e257cfd8564800f791999af2af9531b9a254507ab,Russia,"[""cities"",""Ajmer"",""Russia""]",The city of Ajmer is in Russia.,0,cities,cities.csv,50
cities,Rohini,entity_e4f476d2b0aa3c9f0ae5266d9e427568e657f15fab1f5bbb6746d2871b252eb7,India,"[""cities"",""Rohini"",""India""]",The city of Rohini is in India.,1,cities,cities.csv,51
cities,Rohini,entity_e4f476d2b0aa3c9f0ae5266d9e427568e657f15fab1f5bbb6746d2871b252eb7,Russia,"[""cities"",""Rohini"",""Russia""]",The city of Rohini is in Russia.,0,cities,cities.csv,52
cities,Serang,entity_1e0bd19ebb0650fc5c14a7e26084f2659c9df61c7d07d6492479cd4aba8ae944,Indonesia,"[""cities"",""Serang"",""Indonesia""]",The city of Serang is in Indonesia.,1,cities,cities.csv,53
cities,Serang,entity_1e0bd19ebb0650fc5c14a7e26084f2659c9df61c7d07d6492479cd4aba8ae944,Poland,"[""cities"",""Serang"",""Poland""]",The city of Serang is in Poland.,0,cities,cities.csv,54
cities,Niigata,entity_3b91e78d999fd2164477e1dfb5d28a19fc9e92f9d79cf1399eaf2ffecb8cc6f1,Japan,"[""cities"",""Niigata"",""Japan""]",The city of Niigata is in Japan.,1,cities,cities.csv,55
cities,Niigata,entity_3b91e78d999fd2164477e1dfb5d28a19fc9e92f9d79cf1399eaf2ffecb8cc6f1,Yemen,"[""cities"",""Niigata"",""Yemen""]",The city of Niigata is in Yemen.,0,cities,cities.csv,56
cities,Marrakesh,entity_485676ff0438d7d9cbad5ba2eddfb8cbc97ddeb2aa27d6f837fb7d5a38833d0f,Morocco,"[""cities"",""Marrakesh"",""Morocco""]",The city of Marrakesh is in Morocco.,1,cities,cities.csv,57
cities,Marrakesh,entity_485676ff0438d7d9cbad5ba2eddfb8cbc97ddeb2aa27d6f837fb7d5a38833d0f,Malaysia,"[""cities"",""Marrakesh"",""Malaysia""]",The city of Marrakesh is in Malaysia.,0,cities,cities.csv,58
cities,Makati City,entity_6f39f27d1e4686cc4bdff57f3d90a5c26bf892778f5045b51602c77b668b5c63,the Philippines,"[""cities"",""Makati City"",""the Philippines""]",The city of Makati City is in the Philippines.,1,cities,cities.csv,59
cities,Makati City,entity_6f39f27d1e4686cc4bdff57f3d90a5c26bf892778f5045b51602c77b668b5c63,India,"[""cities"",""Makati City"",""India""]",The city of Makati City is in India.,0,cities,cities.csv,60
cities,Tirunelveli,entity_fd7c6ad092b47e1f46203e01c36cf9de94150d1582b177e22fb89531bf9768f8,India,"[""cities"",""Tirunelveli"",""India""]",The city of Tirunelveli is in India.,1,cities,cities.csv,61
cities,Tirunelveli,entity_fd7c6ad092b47e1f46203e01c36cf9de94150d1582b177e22fb89531bf9768f8,China,"[""cities"",""Tirunelveli"",""China""]",The city of Tirunelveli is in China.,0,cities,cities.csv,62
cities,Thane,entity_34c027740824ad274b965163dd3561004023f0e7121a87ee0e6dcdb784d5db9b,India,"[""cities"",""Thane"",""India""]",The city of Thane is in India.,1,cities,cities.csv,63
cities,Thane,entity_34c027740824ad274b965163dd3561004023f0e7121a87ee0e6dcdb784d5db9b,China,"[""cities"",""Thane"",""China""]",The city of Thane is in China.,0,cities,cities.csv,64
cities,Solapur,entity_9b97bbf08bb8fb9965e6d48c35f4b68fecfaf18ad8f3170189642033f3127fb3,India,"[""cities"",""Solapur"",""India""]",The city of Solapur is in India.,1,cities,cities.csv,65
cities,Solapur,entity_9b97bbf08bb8fb9965e6d48c35f4b68fecfaf18ad8f3170189642033f3127fb3,the United States,"[""cities"",""Solapur"",""the United States""]",The city of Solapur is in the United States.,0,cities,cities.csv,66
cities,Najafgarh,entity_703793d0175fab26501c1d02955fe82c665345470175e1f9cc7696bc47301077,India,"[""cities"",""Najafgarh"",""India""]",The city of Najafgarh is in India.,1,cities,cities.csv,67
cities,Najafgarh,entity_703793d0175fab26501c1d02955fe82c665345470175e1f9cc7696bc47301077,Brazil,"[""cities"",""Najafgarh"",""Brazil""]",The city of Najafgarh is in Brazil.,0,cities,cities.csv,68
cities,Borivli,entity_1491da8dd63788444782ecb8e5d5db1885736c5a4911ffcaf3e8bdd0189758bc,India,"[""cities"",""Borivli"",""India""]",The city of Borivli is in India.,1,cities,cities.csv,69
cities,Borivli,entity_1491da8dd63788444782ecb8e5d5db1885736c5a4911ffcaf3e8bdd0189758bc,Ukraine,"[""cities"",""Borivli"",""Ukraine""]",The city of Borivli is in Ukraine.,0,cities,cities.csv,70
cities,Zhabei,entity_27bbe6ef48bc99a24cf506d4e2ece7cec400d849482ffc2366428d82cc5296b1,China,"[""cities"",""Zhabei"",""China""]",The city of Zhabei is in China.,1,cities,cities.csv,71
cities,Zhabei,entity_27bbe6ef48bc99a24cf506d4e2ece7cec400d849482ffc2366428d82cc5296b1,Afghanistan,"[""cities"",""Zhabei"",""Afghanistan""]",The city of Zhabei is in Afghanistan.,0,cities,cities.csv,72
cities,Liaocheng,entity_fe21aed47a3dcdd48f6583706e2788934c86dd8236c6c4ce1b5690fa4612bf59,China,"[""cities"",""Liaocheng"",""China""]",The city of Liaocheng is in China.,1,cities,cities.csv,73
cities,Liaocheng,entity_fe21aed47a3dcdd48f6583706e2788934c86dd8236c6c4ce1b5690fa4612bf59,South Korea,"[""cities"",""Liaocheng"",""South Korea""]",The city of Liaocheng is in South Korea.,0,cities,cities.csv,74
cities,Jiaozhou,entity_d7186bb8d31de13d1416c147adb53139ac8045f98bbefb7ee7ce3644b5239a4e,China,"[""cities"",""Jiaozhou"",""China""]",The city of Jiaozhou is in China.,1,cities,cities.csv,75
cities,Jiaozhou,entity_d7186bb8d31de13d1416c147adb53139ac8045f98bbefb7ee7ce3644b5239a4e,Latvia,"[""cities"",""Jiaozhou"",""Latvia""]",The city of Jiaozhou is in Latvia.,0,cities,cities.csv,76
cities,Guilin,entity_e8a1185054f4cc867416ccffcb31dd14c5fdb7bd53673531746f9af62a78e46b,China,"[""cities"",""Guilin"",""China""]",The city of Guilin is in China.,1,cities,cities.csv,77
cities,Guilin,entity_e8a1185054f4cc867416ccffcb31dd14c5fdb7bd53673531746f9af62a78e46b,the Dominican Republic,"[""cities"",""Guilin"",""the Dominican Republic""]",The city of Guilin is in the Dominican Republic.,0,cities,cities.csv,78
cities,Chaozhou,entity_04fc9a3fc44a06ed10f3cc9fdca4d4e9c97204863b74338d7137309af30c2756,China,"[""cities"",""Chaozhou"",""China""]",The city of Chaozhou is in China.,1,cities,cities.csv,79
cities,Chaozhou,entity_04fc9a3fc44a06ed10f3cc9fdca4d4e9c97204863b74338d7137309af30c2756,South Korea,"[""cities"",""Chaozhou"",""South Korea""]",The city of Chaozhou is in South Korea.,0,cities,cities.csv,80
cities,Panzhihua,entity_67c9dedde4d0c95846f72eb7b23c12dc707615463e2b0df325ae8bb76f297b36,China,"[""cities"",""Panzhihua"",""China""]",The city of Panzhihua is in China.,1,cities,cities.csv,81
cities,Panzhihua,entity_67c9dedde4d0c95846f72eb7b23c12dc707615463e2b0df325ae8bb76f297b36,Iran,"[""cities"",""Panzhihua"",""Iran""]",The city of Panzhihua is in Iran.,0,cities,cities.csv,82
cities,Bucaramanga,entity_c0c4c96ffd77c2c01468f758bc7423fdb0f317d662e9ed10c3be39971b5b71bf,Colombia,"[""cities"",""Bucaramanga"",""Colombia""]",The city of Bucaramanga is in Colombia.,1,cities,cities.csv,83
cities,Bucaramanga,entity_c0c4c96ffd77c2c01468f758bc7423fdb0f317d662e9ed10c3be39971b5b71bf,Brazil,"[""cities"",""Bucaramanga"",""Brazil""]",The city of Bucaramanga is in Brazil.,0,cities,cities.csv,84
cities,Niamey,entity_325a4cdf9f79efbd311bcfe927412bac54068e5d242212124b78af55f0a5ea72,Niger,"[""cities"",""Niamey"",""Niger""]",The city of Niamey is in Niger.,1,cities,cities.csv,85
cities,Niamey,entity_325a4cdf9f79efbd311bcfe927412bac54068e5d242212124b78af55f0a5ea72,China,"[""cities"",""Niamey"",""China""]",The city of Niamey is in China.,0,cities,cities.csv,86
cities,Sokoto,entity_a2ba89b45fdd785cf34025c6427a0746f18e7d294ac6514c392b1b38d0ee3e06,Nigeria,"[""cities"",""Sokoto"",""Nigeria""]",The city of Sokoto is in Nigeria.,1,cities,cities.csv,87
cities,Sokoto,entity_a2ba89b45fdd785cf34025c6427a0746f18e7d294ac6514c392b1b38d0ee3e06,South Korea,"[""cities"",""Sokoto"",""South Korea""]",The city of Sokoto is in South Korea.,0,cities,cities.csv,88
cities,Abuja,entity_c9ea9f64eff41af61c5da0f390bddf67d359d4faf1594b4d998eb55420a3fdd1,Nigeria,"[""cities"",""Abuja"",""Nigeria""]",The city of Abuja is in Nigeria.,1,cities,cities.csv,89
cities,Abuja,entity_c9ea9f64eff41af61c5da0f390bddf67d359d4faf1594b4d998eb55420a3fdd1,China,"[""cities"",""Abuja"",""China""]",The city of Abuja is in China.,0,cities,cities.csv,90
cities,South Tangerang,entity_26946ca90d2e1f9a87280a8541db4d7c4b4e496428e9334bf0b6c90cdfac2acb,Indonesia,"[""cities"",""South Tangerang"",""Indonesia""]",The city of South Tangerang is in Indonesia.,1,cities,cities.csv,91
cities,South Tangerang,entity_26946ca90d2e1f9a87280a8541db4d7c4b4e496428e9334bf0b6c90cdfac2acb,India,"[""cities"",""South Tangerang"",""India""]",The city of South Tangerang is in India.,0,cities,cities.csv,92
cities,Odesa,entity_f9a7c1b34183245701aa67c85698157a3f0fecbc634961b60f501c7e0b251383,Ukraine,"[""cities"",""Odesa"",""Ukraine""]",The city of Odesa is in Ukraine.,1,cities,cities.csv,93
cities,Odesa,entity_f9a7c1b34183245701aa67c85698157a3f0fecbc634961b60f501c7e0b251383,China,"[""cities"",""Odesa"",""China""]",The city of Odesa is in China.,0,cities,cities.csv,94
cities,Fort Worth,entity_ec5bcf666a0d488d067ae59443ca23da92e5be4d56b4a41ef1e10435ed2a2719,the United States,"[""cities"",""Fort Worth"",""the United States""]",The city of Fort Worth is in the United States.,1,cities,cities.csv,95
cities,Fort Worth,entity_ec5bcf666a0d488d067ae59443ca23da92e5be4d56b4a41ef1e10435ed2a2719,Russia,"[""cities"",""Fort Worth"",""Russia""]",The city of Fort Worth is in Russia.,0,cities,cities.csv,96
cities,Boumerdes,entity_d9b4c22103c3b0104f6bf3379d27246d5859cd66cf93967b1aac0b98858e8f20,Algeria,"[""cities"",""Boumerdes"",""Algeria""]",The city of Boumerdes is in Algeria.,1,cities,cities.csv,97
cities,Boumerdes,entity_d9b4c22103c3b0104f6bf3379d27246d5859cd66cf93967b1aac0b98858e8f20,Iran,"[""cities"",""Boumerdes"",""Iran""]",The city of Boumerdes is in Iran.,0,cities,cities.csv,98
cities,Asmara,entity_6079ff443f472db615d98455273544ec92d4e2f185fed5516d6dffb2909dbd9d,Eritrea,"[""cities"",""Asmara"",""Eritrea""]",The city of Asmara is in Eritrea.,1,cities,cities.csv,99
cities,Asmara,entity_6079ff443f472db615d98455273544ec92d4e2f185fed5516d6dffb2909dbd9d,Indonesia,"[""cities"",""Asmara"",""Indonesia""]",The city of Asmara is in Indonesia.,0,cities,cities.csv,100
cities,Santiago de Queretaro,entity_7ed1c5b0c6731845902db255f15ff0d995a77bf5774205a80152e8e6250e7968,Mexico,"[""cities"",""Santiago de Queretaro"",""Mexico""]",The city of Santiago de Queretaro is in Mexico.,1,cities,cities.csv,101
cities,Santiago de Queretaro,entity_7ed1c5b0c6731845902db255f15ff0d995a77bf5774205a80152e8e6250e7968,Ecuador,"[""cities"",""Santiago de Queretaro"",""Ecuador""]",The city of Santiago de Queretaro is in Ecuador.,0,cities,cities.csv,102
cities,Perm,entity_466c6b79f3532c615640ed79579c4c3cb5a261a67b24e3ee826c55480498f43e,Russia,"[""cities"",""Perm"",""Russia""]",The city of Perm is in Russia.,1,cities,cities.csv,103
cities,Perm,entity_466c6b79f3532c615640ed79579c4c3cb5a261a67b24e3ee826c55480498f43e,China,"[""cities"",""Perm"",""China""]",The city of Perm is in China.,0,cities,cities.csv,104
cities,Jeddah,entity_34da6cfe5f5599db6294eca8ee1eef42dee41c3d861ede0c91eefac04ceeec0b,Saudi Arabia,"[""cities"",""Jeddah"",""Saudi Arabia""]",The city of Jeddah is in Saudi Arabia.,1,cities,cities.csv,105
cities,Jeddah,entity_34da6cfe5f5599db6294eca8ee1eef42dee41c3d861ede0c91eefac04ceeec0b,Myanmar,"[""cities"",""Jeddah"",""Myanmar""]",The city of Jeddah is in Myanmar.,0,cities,cities.csv,106
cities,Konya,entity_ec3aa5c868f1540152dc01a0a40496087a9e7327935c303d2263e0caea651958,Turkey,"[""cities"",""Konya"",""Turkey""]",The city of Konya is in Turkey.,1,cities,cities.csv,107
cities,Konya,entity_ec3aa5c868f1540152dc01a0a40496087a9e7327935c303d2263e0caea651958,Russia,"[""cities"",""Konya"",""Russia""]",The city of Konya is in Russia.,0,cities,cities.csv,108
cities,Macapa,entity_22ae29c396d00735f2a00c7a0253e26e1b715474ea418d2ec9c6d5dd3a578c8b,Brazil,"[""cities"",""Macapa"",""Brazil""]",The city of Macapa is in Brazil.,1,cities,cities.csv,109
cities,Macapa,entity_22ae29c396d00735f2a00c7a0253e26e1b715474ea418d2ec9c6d5dd3a578c8b,China,"[""cities"",""Macapa"",""China""]",The city of Macapa is in China.,0,cities,cities.csv,110
cities,Belo Horizonte,entity_49238e92f15c6a9037dec2ca20f4ad54d31ca156c7c95886707656a503a23f6c,Brazil,"[""cities"",""Belo Horizonte"",""Brazil""]",The city of Belo Horizonte is in Brazil.,1,cities,cities.csv,111
cities,Belo Horizonte,entity_49238e92f15c6a9037dec2ca20f4ad54d31ca156c7c95886707656a503a23f6c,North Korea,"[""cities"",""Belo Horizonte"",""North Korea""]",The city of Belo Horizonte is in North Korea.,0,cities,cities.csv,112
cities,Poznan,entity_5fd508c0c06f482011127f7dff81e4b591244c442346fac2ffad1ea888cc2c23,Poland,"[""cities"",""Poznan"",""Poland""]",The city of Poznan is in Poland.,1,cities,cities.csv,113
cities,Poznan,entity_5fd508c0c06f482011127f7dff81e4b591244c442346fac2ffad1ea888cc2c23,Mexico,"[""cities"",""Poznan"",""Mexico""]",The city of Poznan is in Mexico.,0,cities,cities.csv,114
cities,Linyi,entity_45ef68699c33f4cf505c4fe163c62580c05c7be393d46a88a87c61ca1cbfb73e,China,"[""cities"",""Linyi"",""China""]",The city of Linyi is in China.,1,cities,cities.csv,115
cities,Linyi,entity_45ef68699c33f4cf505c4fe163c62580c05c7be393d46a88a87c61ca1cbfb73e,Iraq,"[""cities"",""Linyi"",""Iraq""]",The city of Linyi is in Iraq.,0,cities,cities.csv,116
cities,Hohhot,entity_390b98bbeca520e8c6e204fdf7de821b4c11d6afca642fc29a90608b04f70123,China,"[""cities"",""Hohhot"",""China""]",The city of Hohhot is in China.,1,cities,cities.csv,117
cities,Hohhot,entity_390b98bbeca520e8c6e204fdf7de821b4c11d6afca642fc29a90608b04f70123,Indonesia,"[""cities"",""Hohhot"",""Indonesia""]",The city of Hohhot is in Indonesia.,0,cities,cities.csv,118
cities,Malacca,entity_d90baca926beded2774b7b45289b6ccdd45dbac47d456810022ea7ae6e142955,Malaysia,"[""cities"",""Malacca"",""Malaysia""]",The city of Malacca is in Malaysia.,1,cities,cities.csv,119
cities,Malacca,entity_d90baca926beded2774b7b45289b6ccdd45dbac47d456810022ea7ae6e142955,China,"[""cities"",""Malacca"",""China""]",The city of Malacca is in China.,0,cities,cities.csv,120
cities,Busan,entity_c288106cb5c8b74859fa9fd9d99f60199d2d2fe4be296e89a5dbdb45aec6f12f,South Korea,"[""cities"",""Busan"",""South Korea""]",The city of Busan is in South Korea.,1,cities,cities.csv,121
cities,Busan,entity_c288106cb5c8b74859fa9fd9d99f60199d2d2fe4be296e89a5dbdb45aec6f12f,Brazil,"[""cities"",""Busan"",""Brazil""]",The city of Busan is in Brazil.,0,cities,cities.csv,122
cities,Seongnam-si,entity_9f8fa56f18605d92a6d371829e7056155bc686ffec53c89c9652152524c1969c,South Korea,"[""cities"",""Seongnam-si"",""South Korea""]",The city of Seongnam-si is in South Korea.,1,cities,cities.csv,123
cities,Seongnam-si,entity_9f8fa56f18605d92a6d371829e7056155bc686ffec53c89c9652152524c1969c,Russia,"[""cities"",""Seongnam-si"",""Russia""]",The city of Seongnam-si is in Russia.,0,cities,cities.csv,124
cities,Matsuyama,entity_4ac5c6ed8d73d0bb321856c5b71ce54a648cdb1d027d2ae24197aa3706e8cbb5,Japan,"[""cities"",""Matsuyama"",""Japan""]",The city of Matsuyama is in Japan.,1,cities,cities.csv,125
