topic,entity_pair_id,conjunctA,conjunctB,ordering,cell,labelA,labelB,and_row_index,or_row_index,and_statement,or_statement,atomic_union_score_and,atomic_union_score_or,atomic_union_delta_OR_AND,compound_trained_score_and,compound_trained_score_or,compound_trained_delta_OR_AND,and_partition,or_partition
cities,"cities::[""Gaziantep"",""Quito""]",The city of Gaziantep is in Turkey.,The city of Quito is in France.,AB,TF,1,0,20,5387,The city of Gaziantep is in Turkey and the city of Quito is in France.,The city of Gaziantep is in Turkey or the city of Quito is in France.,-0.6184394172888172,-0.3965664940024656,0.2218729232863516,-19.14606365334987,12.25556300399795,31.40162665734782,train,train
inventors,"inventors::[""Edouard Benedictus"",""Evangelista Torricelli""]",Edouard Benedictus lived in England.,Evangelista Torricelli lived in Italy.,AB,FT,0,1,21,1995,Edouard Benedictus lived in England and Evangelista Torricelli lived in Italy.,Edouard Benedictus lived in England or Evangelista Torricelli lived in Italy.,14.890220419410769,9.797582543158567,-5.092637876252201,-6.918518276264412,9.626393486841456,16.54491176310587,train,train
cities,"cities::[""Gaziantep"",""Quito""]",The city of Gaziantep is in Turkey.,The city of Quito is in Ecuador.,BA,TT,1,1,22,7812,The city of Quito is in Ecuador and the city of Gaziantep is in Turkey.,The city of Quito is in Ecuador or the city of Gaziantep is in Turkey.,9.94501648628554,3.077052185759496,-6.867964300526045,8.424703562758056,32.16532406647998,23.740620503721928,train,train
cities,"cities::[""Klang"",""Paranaque City""]",The city of Paranaque City is in the Philippines.,The city of Klang is in Malaysia.,AB,TT,1,1,7575,23,The city of Paranaque City is in the Philippines and the city of Klang is in Malaysia.,The city of Paranaque City is in the Philippines or the city of Klang is in Malaysia.,9.48381229544668,1.768814083030355,-7.714998212416326,13.818918658150913,29.14942718298158,15.330508524830666,train,train
sp_en_trans,"sp_en_trans::[""bosque"",""huevo""]",The Spanish word 'bosque' means 'forest'.,The Spanish word 'huevo' means 'sister'.,AB,TF,1,0,24,2590,The Spanish word 'bosque' means 'forest' and the Spanish word 'huevo' means 'sister'.,The Spanish word 'bosque' means 'forest' or the Spanish word 'huevo' means 'sister'.,-3.4785460345657206,-2.869002237705315,0.6095437968604056,-12.280125460449321,9.743065995920537,22.023191456369858,train,train
sp_en_trans,"sp_en_trans::[""boca"",""uno""]",The Spanish word 'boca' means 'mouth'.,The Spanish word 'uno' means 'mouth'.,AB,TF,1,0,25,3047,The Spanish word 'boca' means 'mouth' and the Spanish word 'uno' means 'mouth'.,The Spanish word 'boca' means 'mouth' or the Spanish word 'uno' means 'mouth'.,-6.168183641516624,-6.855682512540618,-0.687498871023994,-12.139124709216654,12.147872499498217,24.286997208714872,train,train
animal_class,"animal_class::[""otter"",""penguin""]",The otter is a mammal.,The penguin is a reptile.,BA,TF,1,0,6435,26,The penguin is a reptile and the otter is a mammal.,The penguin is a reptile or the otter is a mammal.,-1.2796388235104708,-1.0736970391537517,0.205941784356719,-13.07285436578469,4.664668038906229,17.737522404690917,train,train
cities,"cities::[""Khulna"",""Osaka""]",The city of Osaka is in Japan.,The city of Khulna is in Nigeria.,BA,TF,1,0,3554,27,The city of Khulna is in Nigeria and the city of Osaka is in Japan.,The city of Khulna is in Nigeria or the city of Osaka is in Japan.,1.8378079367504352,-0.7367469598391718,-2.574554896589607,-21.125194120713534,13.59696656130878,34.72216068202231,train,train
animal_class,"animal_class::[""axolotl"",""horse""]",The horse is a fish.,The axolotl is a fish.,BA,FF,0,0,251,28,The axolotl is a fish and the horse is a fish.,The axolotl is a fish or the horse is a fish.,-1.2481699265668844,0.5162051399658871,1.7643750665327715,-20.434520656044143,-3.85946629102282,16.575054365021323,train,train
sp_en_trans,"sp_en_trans::[""enviar"",""hombro""]",The Spanish word 'hombro' means 'map'.,The Spanish word 'enviar' means 'city'.,BA,FF,0,0,29,4956,The Spanish word 'enviar' means 'city' and the Spanish word 'hombro' means 'map'.,The Spanish word 'enviar' means 'city' or the Spanish word 'hombro' means 'map'.,0.4606939204179046,-5.713192763798645,-6.17388668421655,-31.78742873780022,-10.570208353428637,21.217220384371583,train,train
element_symb,"element_symb::[""Holmium"",""Praseodymium""]",Holmium has the symbol Ho.,Praseodymium has the symbol I.,BA,TF,1,0,2006,30,Praseodymium has the symbol I and Holmium has the symbol Ho.,Praseodymium has the symbol I or Holmium has the symbol Ho.,-0.7240025304013162,0.5438216633496307,1.267824193750947,-7.784371680709294,6.738201001747235,14.52257268245653,train,train
animal_class,"animal_class::[""deer"",""iguana""]",The iguana is a reptile.,The deer is a reptile.,AB,TF,1,0,1339,31,The iguana is a reptile and the deer is a reptile.,The iguana is a reptile or the deer is a reptile.,-1.6170423181440476,3.5087607180811373,5.125803036225185,-12.828441893610432,5.83117023829764,18.65961213190807,train,train
animal_class,"animal_class::[""otter"",""rabbit""]",The rabbit is a mammal.,The otter is a arachnid.,BA,TF,1,0,6133,32,The otter is a arachnid and the rabbit is a mammal.,The otter is a arachnid or the rabbit is a mammal.,5.391926458125547,0.9378664726795538,-4.454059985445993,-16.739495722276853,8.493440817197703,25.232936539474558,train,train
inventors,"inventors::[""Chester Carlson"",""Ignazio Porro""]",Ignazio Porro lived in Austria/the U.S.,Chester Carlson lived in Poland/Germany.,AB,FF,0,0,163,33,Ignazio Porro lived in Austria/the U.S and Chester Carlson lived in Poland/Germany.,Ignazio Porro lived in Austria/the U.S or Chester Carlson lived in Poland/Germany.,-2.065750540861901,1.3032853712176775,3.3690359120795783,-24.589021178771578,-9.638895869601429,14.950125309170149,test,test
inventors,"inventors::[""Georges Claude"",""Henry Bessemer""]",Henry Bessemer lived in Italy.,Georges Claude lived in Sweden/the U.S.,BA,FF,0,0,34,3790,Georges Claude lived in Sweden/the U.S and Henry Bessemer lived in Italy.,Georges Claude lived in Sweden/the U.S or Henry Bessemer lived in Italy.,-2.932006379731618,-0.6078740281623105,2.3241323515693075,-20.127117252416785,-5.084043208092412,15.043074044324372,train,train
cities,"cities::[""Nagoya"",""Siping""]",The city of Siping is in the United States.,The city of Nagoya is in Japan.,AB,FT,0,1,5147,35,The city of Siping is in the United States and the city of Nagoya is in Japan.,The city of Siping is in the United States or the city of Nagoya is in Japan.,1.6934111417246704,1.8919188067046504,0.1985076649799799,-5.468882267353182,12.692363384500664,18.161245651853847,train,train
inventors,"inventors::[""Charles Macintosh"",""James Watt""]",Charles Macintosh lived in Japan.,James Watt lived in Finland.,BA,FF,0,0,1979,36,James Watt lived in Finland and Charles Macintosh lived in Japan.,James Watt lived in Finland or Charles Macintosh lived in Japan.,-0.2470600053868796,-2.3058905203534454,-2.0588305149665658,-27.602101919565182,-10.3412832039354,17.26081871562978,train,train
animal_class,"animal_class::[""camel"",""moose""]",The moose is a reptile.,The camel is a mammal.,BA,FT,0,1,5404,37,The camel is a mammal and the moose is a reptile.,The camel is a mammal or the moose is a reptile.,0.0113481465150453,1.4563100800086648,1.4449619334936197,-11.457068484841395,10.655460690392571,22.112529175233966,train,train
sp_en_trans,"sp_en_trans::[""parte"",""piedra""]",The Spanish word 'piedra' means 'stone'.,The Spanish word 'parte' means 'black'.,AB,TF,1,0,38,5020,The Spanish word 'piedra' means 'stone' and the Spanish word 'parte' means 'black'.,The Spanish word 'piedra' means 'stone' or the Spanish word 'parte' means 'black'.,0.9236494639884184,-7.302007543440121,-8.22565700742854,-11.292942907179572,6.419564240602317,17.71250714778189,train,train
element_symb,"element_symb::[""Sodium"",""Thulium""]",Sodium has the symbol Na.,Thulium has the symbol Tm.,BA,TT,1,1,39,132,Thulium has the symbol Tm and Sodium has the symbol Na.,Thulium has the symbol Tm or Sodium has the symbol Na.,4.2956627920472314,5.17483230522398,0.8791695131767483,8.529466753848022,26.223672457848828,17.694205704000808,train,train
element_symb,"element_symb::[""Germanium"",""Potassium""]",Germanium has the symbol Ra.,Potassium has the symbol C.,BA,FF,0,0,40,1627,Potassium has the symbol C and Germanium has the symbol Ra.,Potassium has the symbol C or Germanium has the symbol Ra.,-9.82665739332234,-7.503763685750544,2.3228937075717955,-20.74606959911211,-7.219711536882509,13.526358062229601,train,train
cities,"cities::[""Bursa"",""Wuzhou""]",The city of Wuzhou is in China.,The city of Bursa is in Senegal.,BA,TF,1,0,7214,41,The city of Bursa is in Senegal and the city of Wuzhou is in China.,The city of Bursa is in Senegal or the city of Wuzhou is in China.,1.8593769045391184,-0.5209030565610426,-2.380279961100161,-16.139140610393106,15.36487734064643,31.504017951039536,train,train
sp_en_trans,"sp_en_trans::[""agua"",""negro""]",The Spanish word 'negro' means 'black'.,The Spanish word 'agua' means 'water'.,BA,TT,1,1,1996,42,The Spanish word 'agua' means 'water' and the Spanish word 'negro' means 'black'.,The Spanish word 'agua' means 'water' or the Spanish word 'negro' means 'black'.,9.934784401595222,5.330780706345866,-4.6040036952493555,10.513965781225531,23.32698852707102,12.813022745845489,train,train
sp_en_trans,"sp_en_trans::[""lanzar"",""rosa""]",The Spanish word 'lanzar' means 'sea'.,The Spanish word 'rosa' means 'to play'.,AB,FF,0,0,4933,43,The Spanish word 'lanzar' means 'sea' and the Spanish word 'rosa' means 'to play'.,The Spanish word 'lanzar' means 'sea' or the Spanish word 'rosa' means 'to play'.,-0.7869158643522507,-8.98392820820965,-8.197012343857399,-30.068015492338493,-8.946962159766276,21.121053332572217,train,train
cities,"cities::[""Najran"",""Santiago de Queretaro""]",The city of Najran is in Saudi Arabia.,The city of Santiago de Queretaro is in Mexico.,BA,TT,1,1,44,4827,The city of Santiago de Queretaro is in Mexico and the city of Najran is in Saudi Arabia.,The city of Santiago de Queretaro is in Mexico or the city of Najran is in Saudi Arabia.,12.95006660013712,0.872655498993808,-12.077411101143312,3.610978424938103,31.464099644524776,27.853121219586672,train,train
sp_en_trans,"sp_en_trans::[""lanzar"",""rosa""]",The Spanish word 'lanzar' means 'to throw'.,The Spanish word 'rosa' means 'rose'.,BA,TT,1,1,1841,45,The Spanish word 'rosa' means 'rose' and the Spanish word 'lanzar' means 'to throw'.,The Spanish word 'rosa' means 'rose' or the Spanish word 'lanzar' means 'to throw'.,8.501664835021595,2.620959751037452,-5.880705083984143,11.53245795032372,19.75640137703409,8.223943426710372,train,train
cities,"cities::[""Indianapolis"",""San Miguel de Tucuman""]",The city of San Miguel de Tucuman is in Argentina.,The city of Indianapolis is in Egypt.,BA,TF,1,0,46,1967,The city of Indianapolis is in Egypt and the city of San Miguel de Tucuman is in Argentina.,The city of Indianapolis is in Egypt or the city of San Miguel de Tucuman is in Argentina.,-1.5228533186802853,1.7607428000557537,3.283596118736039,-16.871271498839594,14.453198535889337,31.324470034728932,train,train
sp_en_trans,"sp_en_trans::[""invierno"",""mar""]",The Spanish word 'invierno' means 'family'.,The Spanish word 'mar' means 'to save'.,AB,FF,0,0,7723,47,The Spanish word 'invierno' means 'family' and the Spanish word 'mar' means 'to save'.,The Spanish word 'invierno' means 'family' or the Spanish word 'mar' means 'to save'.,-0.59790374742777,-5.88025241221373,-5.28234866478596,-28.407723999378288,-7.644891685616734,20.762832313761553,test,test
cities,"cities::[""Bursa"",""Wuzhou""]",The city of Wuzhou is in South Korea.,The city of Bursa is in Turkey.,BA,FT,0,1,5679,48,The city of Bursa is in Turkey and the city of Wuzhou is in South Korea.,The city of Bursa is in Turkey or the city of Wuzhou is in South Korea.,1.5434390822693371,-1.0544488295423964,-2.5978879118117337,-12.30467968928396,13.736368619503269,26.04104830878723,train,train
inventors,"inventors::[""John von Neumann"",""Percy Spencer""]",John von Neumann lived in France.,Percy Spencer lived in Russia.,AB,FF,0,0,49,6455,John von Neumann lived in France and Percy Spencer lived in Russia.,John von Neumann lived in France or Percy Spencer lived in Russia.,3.0351173475629576,1.2798519657317708,-1.7552653818311867,-28.59012802225693,-4.441018413508143,24.149109608748788,train,train
element_symb,"element_symb::[""Radon"",""Rhenium""]",Radon has the symbol Rn.,Rhenium has the symbol Pb.,AB,TF,1,0,50,4781,Radon has the symbol Rn and Rhenium has the symbol Pb.,Radon has the symbol Rn or Rhenium has the symbol Pb.,-8.658201247653688,-8.974718464510806,-0.3165172168571182,-8.064958227249114,6.864683251789476,14.92964147903859,train,train
element_symb,"element_symb::[""Magnesium"",""Rubidium""]",Rubidium has the symbol K.,Magnesium has the symbol Tc.,AB,FF,0,0,51,5737,Rubidium has the symbol K and Magnesium has the symbol Tc.,Rubidium has the symbol K or Magnesium has the symbol Tc.,-6.582122708122627,-11.038357781297105,-4.4562350731744775,-28.46991004003853,-7.156440776481624,21.313469263556907,train,train
sp_en_trans,"sp_en_trans::[""caliente"",""pierna""]",The Spanish word 'caliente' means 'corner'.,The Spanish word 'pierna' means 'leg'.,BA,FT,0,1,52,1382,The Spanish word 'pierna' means 'leg' and the Spanish word 'caliente' means 'corner'.,The Spanish word 'pierna' means 'leg' or the Spanish word 'caliente' means 'corner'.,-0.3476819593385816,-5.906774000960713,-5.559092041622131,-13.983140566987021,11.191787826096718,25.17492839308374,train,train
element_symb,"element_symb::[""Mercury"",""Tantalum""]",Tantalum has the symbol La.,Mercury has the symbol Hg.,BA,FT,0,1,53,3128,Mercury has the symbol Hg and Tantalum has the symbol La.,Mercury has the symbol Hg or Tantalum has the symbol La.,-3.4742726638511225,-2.103800092355,1.3704725714961223,-10.800462887327772,5.028984887460768,15.829447774788541,train,train
cities,"cities::[""Qujing"",""Ufa""]",The city of Ufa is in Italy.,The city of Qujing is in Yemen.,AB,FF,0,0,145,54,The city of Ufa is in Italy and the city of Qujing is in Yemen.,The city of Ufa is in Italy or the city of Qujing is in Yemen.,0.5430984547945581,2.94531199547572,2.4022135406811618,-29.828222927193444,-3.3505014342610377,26.477721492932407,test,test
element_symb,"element_symb::[""Platinum"",""Rhenium""]",Platinum has the symbol S.,Rhenium has the symbol Re.,AB,FT,0,1,5323,55,Platinum has the symbol S and Rhenium has the symbol Re.,Platinum has the symbol S or Rhenium has the symbol Re.,1.2422505290244077,2.695671366769706,1.4534208377452984,-12.686201782127194,8.879985010166296,21.56618679229349,train,train
animal_class,"animal_class::[""gorilla"",""panda""]",The gorilla is a mammal.,The panda is a bird.,AB,TF,1,0,3256,56,The gorilla is a mammal and the panda is a bird.,The gorilla is a mammal or the panda is a bird.,-0.14906932185038,4.592817018374985,4.741886340225365,-12.500952334349373,7.031546168134187,19.53249850248356,train,train
element_symb,"element_symb::[""Cerium"",""Terbium""]",Terbium has the symbol Tb.,Cerium has the symbol I.,AB,TF,1,0,5499,57,Terbium has the symbol Tb and Cerium has the symbol I.,Terbium has the symbol Tb or Cerium has the symbol I.,-8.787029673566211,-8.500695168940739,0.2863345046254721,-14.766172288712637,8.80493098980879,23.571103278521427,train,train
cities,"cities::[""Krasnoyarsk"",""Rohini""]",The city of Rohini is in India.,The city of Krasnoyarsk is in Russia.,AB,TT,1,1,918,58,The city of Rohini is in India and the city of Krasnoyarsk is in Russia.,The city of Rohini is in India or the city of Krasnoyarsk is in Russia.,10.805586853709418,7.2964217533537505,-3.509165100355667,5.381156138036654,13.368581389564554,7.9874252515279,train,train
cities,"cities::[""Kanpur"",""Nouakchott""]",The city of Kanpur is in Mozambique.,The city of Nouakchott is in Mauritania.,BA,FT,0,1,620,59,The city of Nouakchott is in Mauritania and the city of Kanpur is in Mozambique.,The city of Nouakchott is in Mauritania or the city of Kanpur is in Mozambique.,3.677978318910859,1.902439818453093,-1.775538500457766,-14.78301340100362,5.869546023702952,20.652559424706574,train,train
inventors,"inventors::[""James Murray Spangler"",""Percy Spencer""]",James Murray Spangler lived in Poland/Germany.,Percy Spencer lived in Russia.,AB,FF,0,0,5984,60,James Murray Spangler lived in Poland/Germany and Percy Spencer lived in Russia.,James Murray Spangler lived in Poland/Germany or Percy Spencer lived in Russia.,-3.262206755554553,-1.472974534561576,1.7892322209929772,-17.882277405265324,-9.419267274372498,8.463010130892826,train,train
sp_en_trans,"sp_en_trans::[""hombro"",""ocupado""]",The Spanish word 'hombro' means 'shoulder'.,The Spanish word 'ocupado' means 'to draw'.,BA,TF,1,0,875,61,The Spanish word 'ocupado' means 'to draw' and the Spanish word 'hombro' means 'shoulder'.,The Spanish word 'ocupado' means 'to draw' or the Spanish word 'hombro' means 'shoulder'.,3.5478716318913897,-2.788092858498631,-6.335964490390021,-10.173584426525514,7.966003605902764,18.13958803242828,train,train
inventors,"inventors::[""Linus Torvalds"",""Paul Gottlieb Nipkow""]",Linus Torvalds lived in Canada/the U.S.,Paul Gottlieb Nipkow lived in Norway.,AB,FF,0,0,7157,62,Linus Torvalds lived in Canada/the U.S and Paul Gottlieb Nipkow lived in Norway.,Linus Torvalds lived in Canada/the U.S or Paul Gottlieb Nipkow lived in Norway.,4.4826640198685705,1.2522543264909451,-3.2304096933776254,-14.552734823284249,-3.957063649716769,10.59567117356748,test,test
inventors,"inventors::[""Daisuke Inoue"",""Hans von Ohain""]",Daisuke Inoue lived in Japan.,Hans von Ohain lived in Germany.,BA,TT,1,1,4524,63,Hans von Ohain lived in Germany and Daisuke Inoue lived in Japan.,Hans von Ohain lived in Germany or Daisuke Inoue lived in Japan.,16.052385332428834,8.45896459849683,-7.593420733932003,7.803471801255497,19.72041159294332,11.916939791687824,test,test
element_symb,"element_symb::[""Carbon"",""Erbium""]",Carbon has the symbol C.,Erbium has the symbol Rh.,BA,TF,1,0,64,7119,Erbium has the symbol Rh and Carbon has the symbol C.,Erbium has the symbol Rh or Carbon has the symbol C.,3.3772787653709857,2.173288672968683,-1.2039900924023028,-4.4632931532395,15.700865006231588,20.16415815947109,train,train
element_symb,"element_symb::[""Phosphorus"",""Praseodymium""]",Phosphorus has the symbol P.,Praseodymium has the symbol Pr.,AB,TT,1,1,65,6493,Phosphorus has the symbol P and Praseodymium has the symbol Pr.,Phosphorus has the symbol P or Praseodymium has the symbol Pr.,5.371301306917185,8.642944221161292,3.271642914244107,4.834560433278772,20.189812456253147,15.355252022974376,test,test
cities,"cities::[""Nagoya"",""Siping""]",The city of Siping is in the United States.,The city of Nagoya is in Japan.,BA,FT,0,1,66,1659,The city of Nagoya is in Japan and the city of Siping is in the United States.,The city of Nagoya is in Japan or the city of Siping is in the United States.,1.1880024868559005,6.495134080782567,5.307131593926666,-13.43879684529736,13.149742867083523,26.588539712380882,train,train
inventors,"inventors::[""Carl Elsener"",""Philipp Reis""]",Carl Elsener lived in Switzerland.,Philipp Reis lived in Germany.,BA,TT,1,1,67,1551,Philipp Reis lived in Germany and Carl Elsener lived in Switzerland.,Philipp Reis lived in Germany or Carl Elsener lived in Switzerland.,7.483609176121112,9.620111452281323,2.1365022761602113,3.3033082237249696,11.772115271626973,8.468807047902004,train,train
sp_en_trans,"sp_en_trans::[""pagar"",""persona""]",The Spanish word 'persona' means 'person'.,The Spanish word 'pagar' means 'enough'.,BA,TF,1,0,68,2772,The Spanish word 'pagar' means 'enough' and the Spanish word 'persona' means 'person'.,The Spanish word 'pagar' means 'enough' or the Spanish word 'persona' means 'person'.,0.872804385090733,-0.1941519421744768,-1.0669563272652098,-16.48337324580066,9.56261046557747,26.045983711378128,test,test
animal_class,"animal_class::[""deer"",""raccoon""]",The raccoon is a mammal.,The deer is a mammal.,AB,TT,1,1,6161,69,The raccoon is a mammal and the deer is a mammal.,The raccoon is a mammal or the deer is a mammal.,10.081157936819878,3.276556978718027,-6.804600958101851,9.29219391437365,15.587120110764273,6.294926196390623,train,train
cities,"cities::[""Bucharest"",""Hegang""]",The city of Hegang is in China.,The city of Bucharest is in Turkmenistan.,BA,TF,1,0,70,2324,The city of Bucharest is in Turkmenistan and the city of Hegang is in China.,The city of Bucharest is in Turkmenistan or the city of Hegang is in China.,0.1708321220240414,4.113296652740954,3.942464530716912,-14.587686863184649,18.691616777044747,33.279303640229394,train,train
