topic,entity_pair_id,conjunctA,conjunctB,labelA,labelB,cell,connective,ordering,global_truth,score_A,score_B,score_compound
sp_en_trans,"sp_en_trans::[""parte"",""piedra""]",The Spanish word 'piedra' means 'stone'.,The Spanish word 'parte' means 'black'.,1,0,TF,and,AB,0,8.450802109623105,-13.126112978909967,0.9236494639884185
element_symb,"element_symb::[""Sodium"",""Thulium""]",Sodium has the symbol Na.,Thulium has the symbol Tm.,1,1,TT,and,BA,1,7.409549987405645,5.19692864468289,4.2956627920472314
element_symb,"element_symb::[""Germanium"",""Potassium""]",Germanium has the symbol Ra.,Potassium has the symbol C.,0,0,FF,and,BA,0,-13.699860409464735,-16.553989050785233,-9.826657393322341
cities,"cities::[""Bursa"",""Wuzhou""]",The city of Wuzhou is in China.,The city of Bursa is in Senegal.,1,0,TF,or,BA,1,9.547673908660407,-13.87343904334495,-0.5209030565610426
sp_en_trans,"sp_en_trans::[""agua"",""negro""]",The Spanish word 'negro' means 'black'.,The Spanish word 'agua' means 'water'.,1,1,TT,or,BA,1,5.745974166203448,10.636050434148789,5.330780706345866
sp_en_trans,"sp_en_trans::[""lanzar"",""rosa""]",The Spanish word 'lanzar' means 'sea'.,The Spanish word 'rosa' means 'to play'.,0,0,FF,or,AB,0,-17.445669863581642,-9.778909693230377,-8.98392820820965
cities,"cities::[""Najran"",""Santiago de Queretaro""]",The city of Najran is in Saudi Arabia.,The city of Santiago de Queretaro is in Mexico.,1,1,TT,and,BA,1,12.543912453518548,11.868069211267507,12.95006660013712
sp_en_trans,"sp_en_trans::[""lanzar"",""rosa""]",The Spanish word 'lanzar' means 'to throw'.,The Spanish word 'rosa' means 'rose'.,1,1,TT,or,BA,1,7.63819980342742,12.03459752312397,2.620959751037452
cities,"cities::[""Indianapolis"",""San Miguel de Tucuman""]",The city of San Miguel de Tucuman is in Argentina.,The city of Indianapolis is in Egypt.,1,0,TF,and,BA,0,11.090073299652738,-15.600671157500871,-1.5228533186802853
sp_en_trans,"sp_en_trans::[""invierno"",""mar""]",The Spanish word 'invierno' means 'family'.,The Spanish word 'mar' means 'to save'.,0,0,FF,or,AB,0,-14.235175757438904,-6.193556659289785,-5.88025241221373
cities,"cities::[""Bursa"",""Wuzhou""]",The city of Wuzhou is in South Korea.,The city of Bursa is in Turkey.,0,1,FT,or,BA,1,-12.699953265874372,10.46837905060957,-1.0544488295423964
inventors,"inventors::[""John von Neumann"",""Percy Spencer""]",John von Neumann lived in France.,Percy Spencer lived in Russia.,0,0,FF,and,AB,0,-9.22185803373703,-12.630847763134577,3.0351173475629576
element_symb,"element_symb::[""Radon"",""Rhenium""]",Radon has the symbol Rn.,Rhenium has the symbol Pb.,1,0,TF,and,AB,0,6.422782318543222,-12.425546118286155,-8.658201247653688
element_symb,"element_symb::[""Magnesium"",""Rubidium""]",Rubidium has the symbol K.,Magnesium has the symbol Tc.,0,0,FF,and,AB,0,-16.42010481332273,-17.037469677484488,-6.582122708122627
sp_en_trans,"sp_en_trans::[""caliente"",""pierna""]",The Spanish word 'caliente' means 'corner'.,The Spanish word 'pierna' means 'leg'.,0,1,FT,and,BA,0,-13.883994853487911,7.983116727184424,-0.3476819593385816
element_symb,"element_symb::[""Mercury"",""Tantalum""]",Tantalum has the symbol La.,Mercury has the symbol Hg.,0,1,FT,and,BA,0,-10.104492127833423,8.087149284305502,-3.4742726638511225
cities,"cities::[""Qujing"",""Ufa""]",The city of Ufa is in Italy.,The city of Qujing is in Yemen.,0,0,FF,or,AB,0,-11.421551174829025,-11.706791302512288,2.94531199547572
element_symb,"element_symb::[""Platinum"",""Rhenium""]",Platinum has the symbol S.,Rhenium has the symbol Re.,0,1,FT,or,AB,1,-16.633431028366118,9.700338709071989,2.695671366769706
animal_class,"animal_class::[""gorilla"",""panda""]",The gorilla is a mammal.,The panda is a bird.,1,0,TF,or,AB,1,14.889767650096179,-8.555303763721978,4.592817018374985
element_symb,"element_symb::[""Cerium"",""Terbium""]",Terbium has the symbol Tb.,Cerium has the symbol I.,1,0,TF,or,AB,1,6.475170120771304,-12.323442497293813,-8.500695168940739
cities,"cities::[""Krasnoyarsk"",""Rohini""]",The city of Rohini is in India.,The city of Krasnoyarsk is in Russia.,1,1,TT,or,AB,1,7.233881804020294,12.995331984365908,7.2964217533537505
cities,"cities::[""Kanpur"",""Nouakchott""]",The city of Kanpur is in Mozambique.,The city of Nouakchott is in Mauritania.,0,1,FT,or,BA,1,-12.594240682315833,7.350754869119149,1.902439818453093
inventors,"inventors::[""James Murray Spangler"",""Percy Spencer""]",James Murray Spangler lived in Poland/Germany.,Percy Spencer lived in Russia.,0,0,FF,or,AB,0,-7.9950911568468594,-12.630847763134577,-1.4729745345615761
sp_en_trans,"sp_en_trans::[""hombro"",""ocupado""]",The Spanish word 'hombro' means 'shoulder'.,The Spanish word 'ocupado' means 'to draw'.,1,0,TF,or,BA,1,8.747792939743855,-13.504407121857485,-2.788092858498631
inventors,"inventors::[""Linus Torvalds"",""Paul Gottlieb Nipkow""]",Linus Torvalds lived in Canada/the U.S.,Paul Gottlieb Nipkow lived in Norway.,0,0,FF,or,AB,0,-4.961148870600683,-10.288918422753577,1.2522543264909451
inventors,"inventors::[""Daisuke Inoue"",""Hans von Ohain""]",Daisuke Inoue lived in Japan.,Hans von Ohain lived in Germany.,1,1,TT,or,BA,1,7.539558258355234,15.295398824261708,8.45896459849683
element_symb,"element_symb::[""Carbon"",""Erbium""]",Carbon has the symbol C.,Erbium has the symbol Rh.,1,0,TF,and,BA,0,7.71550860841692,-6.979143396475289,3.3772787653709857
element_symb,"element_symb::[""Phosphorus"",""Praseodymium""]",Phosphorus has the symbol P.,Praseodymium has the symbol Pr.,1,1,TT,and,AB,1,8.546951357810526,10.31825219223224,5.371301306917185
cities,"cities::[""Nagoya"",""Siping""]",The city of Siping is in the United States.,The city of Nagoya is in Japan.,0,1,FT,and,BA,0,-6.969439851501244,11.259830749379546,1.1880024868559005
inventors,"inventors::[""Carl Elsener"",""Philipp Reis""]",Carl Elsener lived in Switzerland.,Philipp Reis lived in Germany.,1,1,TT,and,BA,1,6.402925528185677,14.80508825997501,7.483609176121112
sp_en_trans,"sp_en_trans::[""pagar"",""persona""]",The Spanish word 'persona' means 'person'.,The Spanish word 'pagar' means 'enough'.,1,0,TF,and,BA,0,6.753705534293214,-12.767326077862558,0.872804385090733
animal_class,"animal_class::[""deer"",""raccoon""]",The raccoon is a mammal.,The deer is a mammal.,1,1,TT,or,AB,1,14.464255173859497,11.322547988273584,3.276556978718027
cities,"cities::[""Bucharest"",""Hegang""]",The city of Hegang is in China.,The city of Bucharest is in Turkmenistan.,1,0,TF,and,BA,0,8.367121382615,-12.921248023452451,0.1708321220240414
inventors,"inventors::[""Charles Goodyear"",""Igor Sikorsky""]",Charles Goodyear lived in the U.S.,Igor Sikorsky lived in Ukraine/the U.S.,1,1,TT,and,AB,1,7.185554397688551,7.840875708633384,7.570739769546114
animal_class,"animal_class::[""gorilla"",""hamster""]",The gorilla is a reptile.,The hamster is a bird.,0,0,FF,or,BA,0,-10.39558199202684,-12.958208640437894,3.5116371655897582
cities,"cities::[""Changshu"",""Suining""]",The city of Suining is in Chad.,The city of Changshu is in China.,0,1,FT,and,BA,0,-4.14351093760323,11.475550491017806,2.951910783717903
element_symb,"element_symb::[""Astatine"",""Platinum""]",Platinum has the symbol S.,Astatine has the symbol At.,0,1,FT,or,AB,1,-16.633431028366118,6.029025727396412,4.827570209022751
inventors,"inventors::[""Charles Goodyear"",""Richard Leach Maddox""]",Charles Goodyear lived in Poland/France.,Richard Leach Maddox lived in Sweden/the U.S.,0,0,FF,or,AB,0,-14.530923773007691,-6.571336655820003,5.345782916978839
inventors,"inventors::[""Hans Goldschmidt"",""Samuel Morse""]",Samuel Morse lived in the U.S.,Hans Goldschmidt lived in Germany.,1,1,TT,and,BA,1,7.62521662856195,4.444371780664071,12.513379238503179
sp_en_trans,"sp_en_trans::[""lento"",""perro""]",The Spanish word 'perro' means 'class'.,The Spanish word 'lento' means 'cook'.,0,0,FF,or,AB,0,-13.234439874805775,-12.392885094049378,-5.31069727892997
element_symb,"element_symb::[""Neon"",""Xenon""]",Xenon has the symbol Hf.,Neon has the symbol B.,0,0,FF,or,BA,0,-4.461189165824321,-12.810061021382156,-8.062764999022997
sp_en_trans,"sp_en_trans::[""invierno"",""miedo""]",The Spanish word 'miedo' means 'fear'.,The Spanish word 'invierno' means 'winter'.,1,1,TT,or,AB,1,10.5798484792469,9.098942253831341,4.692697495704714
element_symb,"element_symb::[""Iron"",""Tantalum""]",Iron has the symbol Os.,Tantalum has the symbol La.,0,0,FF,and,AB,0,-15.15316287697784,-10.104492127833423,-4.481495931104961
element_symb,"element_symb::[""Holmium"",""Praseodymium""]",Holmium has the symbol Pd.,Praseodymium has the symbol Pr.,0,1,FT,or,AB,1,-12.857725238759611,10.31825219223224,-2.2605899708167705
element_symb,"element_symb::[""Chlorine"",""Platinum""]",Chlorine has the symbol Pt.,Platinum has the symbol S.,0,0,FF,and,BA,0,-12.638931244627232,-16.633431028366118,-7.283241624899633
animal_class,"animal_class::[""chimpanzee"",""hyena""]",The hyena is a cnidarian.,The chimpanzee is a insect.,0,0,FF,or,BA,0,-14.302585952535617,-9.522602607833113,0.5609234991618992
animal_class,"animal_class::[""lion"",""walrus""]",The walrus is a cnidarian.,The lion is a cnidarian.,0,0,FF,or,BA,0,-13.136104121585431,-14.681495675364546,2.9424345572846775
inventors,"inventors::[""John Atanasoff"",""Nils Bohlin""]",John Atanasoff lived in Croatia.,Nils Bohlin lived in the U.S.,0,0,FF,and,AB,0,-14.830461559568414,-12.636710634606596,9.935979926889615
cities,"cities::[""Tolyatti"",""Weinan""]",The city of Weinan is in Colombia.,The city of Tolyatti is in Russia.,0,1,FT,or,AB,1,-9.579877675983125,14.008524610066708,-1.1403432308483819
sp_en_trans,"sp_en_trans::[""desarrollar"",""escuela""]",The Spanish word 'desarrollar' means 'sand'.,The Spanish word 'escuela' means 'red'.,0,0,FF,and,BA,0,-17.43964000310531,-15.170458100187163,1.2810933488228518
cities,"cities::[""Khulna"",""Osaka""]",The city of Osaka is in Tajikistan.,The city of Khulna is in Nigeria.,0,0,FF,and,AB,0,-12.734008384417793,-14.410897604715691,-1.7401460806473654
animal_class,"animal_class::[""elephant"",""panda""]",The panda is a mammal.,The elephant is a mammal.,1,1,TT,and,AB,1,11.40734644761501,13.140458601141146,11.165940334129521
inventors,"inventors::[""Fridtjof Nansen"",""Ruth Benerito""]",Ruth Benerito lived in Italy.,Fridtjof Nansen lived in Norway.,0,1,FT,and,AB,0,-13.321649180274358,7.526095738785774,6.027838490416605
inventors,"inventors::[""Candace Pert"",""John Atanasoff""]",Candace Pert lived in Germany.,John Atanasoff lived in the U.S.,0,1,FT,or,BA,1,-10.440445477373965,7.207266835685541,-0.9959348854962204
sp_en_trans,"sp_en_trans::[""familia"",""guardar""]",The Spanish word 'familia' means 'family'.,The Spanish word 'guardar' means 'to save'.,1,1,TT,and,BA,1,9.089351554359085,8.190834524428634,8.42022275944276
animal_class,"animal_class::[""dog"",""iguana""]",The dog is a reptile.,The iguana is a reptile.,0,1,FT,and,BA,0,-12.725224850775282,16.639811050985053,-2.019227894863876
inventors,"inventors::[""Hans Oersted"",""Ralph H. Baer""]",Ralph H. Baer lived in Finland.,Hans Oersted lived in Denmark.,0,1,FT,and,AB,0,-14.202485120334329,13.851497088372533,9.529071089753778
element_symb,"element_symb::[""Gold"",""Ruthenium""]",Ruthenium has the symbol Ru.,Gold has the symbol Sm.,1,0,TF,and,AB,0,8.498973089482062,-6.217821143874096,-3.2781632925924082
cities,"cities::[""Gaziantep"",""Wanning""]",The city of Wanning is in China.,The city of Gaziantep is in Ghana.,1,0,TF,and,BA,0,10.134466065677385,-14.665427444057228,1.2273479787273889
sp_en_trans,"sp_en_trans::[""enviar"",""hombro""]",The Spanish word 'hombro' means 'shoulder'.,The Spanish word 'enviar' means 'to send'.,1,1,TT,and,AB,1,8.747792939743855,9.713597173066088,8.152696954690468
cities,"cities::[""Klang"",""Paranaque City""]",The city of Paranaque City is in the Philippines.,The city of Klang is in South Africa.,1,0,TF,or,BA,1,12.443239303304384,-11.52349834877442,2.953209049741959
animal_class,"animal_class::[""chicken"",""sparrow""]",The chicken is a mammal.,The sparrow is a bird.,0,1,FT,and,BA,0,-11.15412986419353,9.75591384609082,1.379269378449445
element_symb,"element_symb::[""Lanthanum"",""Technetium""]",Lanthanum has the symbol Pr.,Technetium has the symbol Tc.,0,1,FT,or,BA,1,-6.209702654135192,5.721670515591119,1.3582968736629617
inventors,"inventors::[""George Cayley"",""Joseph Swan""]",George Cayley lived in Denmark.,Joseph Swan lived in the U.K.,0,1,FT,or,BA,1,-9.556825777472804,10.642180929466875,2.126484045791784
animal_class,"animal_class::[""aardvark"",""dog""]",The aardvark is a mammal.,The dog is a mammal.,1,1,TT,and,BA,1,20.31919284984275,8.22389753939587,13.417908875996577
cities,"cities::[""Bursa"",""Wuzhou""]",The city of Wuzhou is in South Korea.,The city of Bursa is in Senegal.,0,0,FF,and,BA,0,-12.699953265874372,-13.87343904334495,-0.36586268687235624
cities,"cities::[""Gaziantep"",""Quito""]",The city of Gaziantep is in Turkey.,The city of Quito is in Ecuador.,1,1,TT,or,AB,1,11.459774181206281,10.559725693798361,5.759235865765845
cities,"cities::[""Da Nang"",""Wanzhou""]",The city of Da Nang is in Syria.,The city of Wanzhou is in China.,0,1,FT,or,AB,1,-12.928986430800487,9.478830341113827,1.5082112894750708
element_symb,"element_symb::[""Manganese"",""Neon""]",Manganese has the symbol S.,Neon has the symbol Ne.,0,1,FT,and,AB,0,-10.025163297116075,7.567103511911595,2.4501384921761966
element_symb,"element_symb::[""Cesium"",""Thulium""]",Thulium has the symbol Mg.,Cesium has the symbol Cs.,0,1,FT,and,AB,0,-16.905697713216995,8.917107221457277,-4.521495966449395
sp_en_trans,"sp_en_trans::[""brazo"",""jirafa""]",The Spanish word 'jirafa' means 'to send'.,The Spanish word 'brazo' means 'arm'.,0,1,FT,or,BA,1,-5.564569296789584,10.528431110855514,-6.234429612943034
cities,"cities::[""Khulna"",""Peshawar""]",The city of Peshawar is in Pakistan.,The city of Khulna is in Nigeria.,1,0,TF,and,AB,0,15.1536063851586,-14.410897604715691,0.4992308621977877
element_symb,"element_symb::[""Astatine"",""Palladium""]",Astatine has the symbol At.,Palladium has the symbol Ir.,1,0,TF,or,AB,1,6.029025727396412,-8.998530170507776,0.7776139205693609
inventors,"inventors::[""John von Neumann"",""Percy Spencer""]",John von Neumann lived in Hungary/the U.S.,Percy Spencer lived in the U.S.,1,1,TT,or,BA,1,4.826175651185231,8.055996607971448,4.970763118833618
cities,"cities::[""Jingmen"",""Tolyatti""]",The city of Jingmen is in China.,The city of Tolyatti is in Myanmar.,1,0,TF,and,AB,0,10.245511527275127,-12.701800846218445,2.425548595034284
animal_class,"animal_class::[""narwhal"",""penguin""]",The penguin is a bird.,The narwhal is a mammal.,1,1,TT,or,BA,1,10.356185574222538,15.127538386138083,4.8949193489157725
inventors,"inventors::[""Charles Goodyear"",""Richard Leach Maddox""]",Charles Goodyear lived in Poland/France.,Richard Leach Maddox lived in Sweden/the U.S.,0,0,FF,and,BA,0,-14.530923773007691,-6.571336655820003,-0.23550602436054469
animal_class,"animal_class::[""peacock"",""skunk""]",The peacock is a bird.,The skunk is a mammal.,1,1,TT,and,AB,1,10.1570764847536,14.860876974444972,12.240388452081023
sp_en_trans,"sp_en_trans::[""lento"",""perro""]",The Spanish word 'perro' means 'class'.,The Spanish word 'lento' means 'cook'.,0,0,FF,or,BA,0,-13.234439874805775,-12.392885094049378,-4.527660163404997
sp_en_trans,"sp_en_trans::[""abierto"",""desarrollar""]",The Spanish word 'abierto' means 'open'.,The Spanish word 'desarrollar' means 'to develop'.,1,1,TT,or,BA,1,10.495411820564387,9.645511263879222,2.3214792908371678
inventors,"inventors::[""Henry Ford"",""John Ericsson""]",Henry Ford lived in the U.S.,John Ericsson lived in Norway.,1,0,TF,and,AB,0,8.804435734229244,-5.035073159033518,6.358190005673378
animal_class,"animal_class::[""beaver"",""moose""]",The moose is a mammal.,The beaver is a mammal.,1,1,TT,or,AB,1,13.244416193347224,14.71762573755952,4.331688209193623
sp_en_trans,"sp_en_trans::[""imaginar"",""pero""]",The Spanish word 'pero' means 'but'.,The Spanish word 'imaginar' means 'to imagine'.,1,1,TT,or,BA,1,11.377357619530727,9.482359265084185,3.63506612613833
animal_class,"animal_class::[""bison"",""gazelle""]",The gazelle is a reptile.,The bison is a mammal.,0,1,FT,or,AB,1,-11.504315895893681,15.35446242086047,3.122553865187519
sp_en_trans,"sp_en_trans::[""hablar"",""perro""]",The Spanish word 'hablar' means 'dictionary'.,The Spanish word 'perro' means 'class'.,0,0,FF,or,AB,0,-13.939275052295324,-13.234439874805775,-3.6022961497098667
cities,"cities::[""Jamshedpur"",""Zapopan""]",The city of Jamshedpur is in Kenya.,The city of Zapopan is in Burundi.,0,0,FF,or,BA,0,-12.612346834665752,-6.884430973189787,3.7134191046621776
sp_en_trans,"sp_en_trans::[""hielo"",""palabra""]",The Spanish word 'hielo' means 'life'.,The Spanish word 'palabra' means 'word'.,0,1,FT,or,BA,1,-17.842971296411207,9.44450792913475,-4.852605950252235
inventors,"inventors::[""John Gorrie"",""John Logie Baird""]",John Logie Baird lived in Switzerland.,John Gorrie lived in Switzerland.,0,0,FF,or,AB,0,-14.61859683468729,-15.798009352589501,0.15513041733777122
inventors,"inventors::[""Jacob Perkins"",""John Boyd Dunlop""]",John Boyd Dunlop lived in Austria.,Jacob Perkins lived in the U.S.,0,1,FT,or,AB,1,-13.330840048234167,4.026031925596515,4.331605858610619
element_symb,"element_symb::[""Molybdenum"",""Nickel""]",Nickel has the symbol Ni.,Molybdenum has the symbol Mo.,1,1,TT,or,BA,1,8.391477849368236,9.822906036428567,5.468999541313232
sp_en_trans,"sp_en_trans::[""problema"",""veinte""]",The Spanish word 'problema' means 'problem'.,The Spanish word 'veinte' means 'shell'.,1,0,TF,or,AB,1,8.652192248812154,-14.149217566368206,-3.3716784691151194
animal_class,"animal_class::[""goat"",""rat""]",The rat is a arachnid.,The goat is a reptile.,0,0,FF,and,AB,0,-6.853295448059042,-8.780468308441064,-0.12873506094647347
sp_en_trans,"sp_en_trans::[""hueso"",""mujer""]",The Spanish word 'mujer' means 'enough'.,The Spanish word 'hueso' means 'bone'.,0,1,FT,or,AB,1,-12.561811410457418,6.1059872230359185,-1.9985498508877946
sp_en_trans,"sp_en_trans::[""oferta"",""siete""]",The Spanish word 'siete' means 'ice'.,The Spanish word 'oferta' means 'open'.,0,0,FF,and,AB,0,-16.828483724328443,-9.363287362292889,1.7663139597254487
element_symb,"element_symb::[""Sodium"",""Thulium""]",Sodium has the symbol Na.,Thulium has the symbol Tm.,1,1,TT,or,BA,1,7.409549987405645,5.19692864468289,5.17483230522398
animal_class,"animal_class::[""camel"",""skunk""]",The camel is a crustacean.,The skunk is a mammal.,0,1,FT,or,AB,1,-14.717208180669639,14.860876974444972,0.3624713497787173
cities,"cities::[""Beijing"",""Kemerovo""]",The city of Beijing is in the Republic of the Congo.,The city of Kemerovo is in Tajikistan.,0,0,FF,and,BA,0,-9.567444072679033,-7.069004192526966,-2.1423040694957542
inventors,"inventors::[""Alexander Graham Bell"",""Maria Telkes""]",Alexander Graham Bell lived in Scotland/Canada/the U.S.,Maria Telkes lived in Scotland.,1,0,TF,and,BA,0,4.625894279796278,-14.487643991227317,0.9681149993711813
cities,"cities::[""Bucharest"",""Hegang""]",The city of Hegang is in China.,The city of Bucharest is in Romania.,1,1,TT,and,AB,1,8.367121382615,11.999979234215566,14.470326032627982
sp_en_trans,"sp_en_trans::[""presente"",""veinte""]",The Spanish word 'veinte' means 'shell'.,The Spanish word 'presente' means 'present'.,0,1,FT,and,BA,0,-14.149217566368206,9.011850198700056,3.6206888701337263
animal_class,"animal_class::[""bison"",""gazelle""]",The gazelle is a mammal.,The bison is a mammal.,1,1,TT,or,AB,1,15.759554033973496,15.35446242086047,6.02148894007799
