statement,topic,n,condition,n_true,n_false,compound_label,conjuncts,labels
Europium has the symbol Eu and Krypton has the symbol Kr and Thorium has the symbol Th and Selenium has the symbol Se.,element_symb,4,all_true,4,0,1,"[""Europium has the symbol Eu."", ""Krypton has the symbol Kr."", ""Thorium has the symbol Th."", ""Selenium has the symbol Se.""]","[1, 1, 1, 1]"
Scandium has the symbol Sc and Yttrium has the symbol Y and Terbium has the symbol Tb.,element_symb,3,all_true,3,0,1,"[""Scandium has the symbol Sc."", ""Yttrium has the symbol Y."", ""Terbium has the symbol Tb.""]","[1, 1, 1]"
Lutetium has the symbol V and Calcium has the symbol B and Selenium has the symbol Po and Phosphorus has the symbol Se.,element_symb,4,all_false,0,4,0,"[""Lutetium has the symbol V."", ""Calcium has the symbol B."", ""Selenium has the symbol Po."", ""Phosphorus has the symbol Se.""]","[0, 0, 0, 0]"
Charles Townes lived in the U.S and Philipp Reis lived in Germany and Ada Lovelace lived in the U.K and Marvin Camras lived in the U.S and Charles Babbage lived in the U.K and Hans von Ohain lived in Germany.,inventors,6,all_true,6,0,1,"[""Charles Townes lived in the U.S."", ""Philipp Reis lived in Germany."", ""Ada Lovelace lived in the U.K."", ""Marvin Camras lived in the U.S."", ""Charles Babbage lived in the U.K."", ""Hans von Ohain lived in Germany.""]","[1, 1, 1, 1, 1, 1]"
Nils Bohlin lived in the U.S and Gottlieb Daimler lived in Italy.,inventors,2,all_false,0,2,0,"[""Nils Bohlin lived in the U.S."", ""Gottlieb Daimler lived in Italy.""]","[0, 0]"
Frederick Walton lived in the U.K and Ignazio Porro lived in Italy and Henry Bessemer lived in the U.K and Walter Hunt lived in the U.S.,inventors,4,all_true,4,0,1,"[""Frederick Walton lived in the U.K."", ""Ignazio Porro lived in Italy."", ""Henry Bessemer lived in the U.K."", ""Walter Hunt lived in the U.S.""]","[1, 1, 1, 1]"
Leonardo da Vinci lived in Sweden/the U.S and Alexander Graham Bell lived in Turkey/the U.S.,inventors,2,all_false,0,2,0,"[""Leonardo da Vinci lived in Sweden/the U.S."", ""Alexander Graham Bell lived in Turkey/the U.S.""]","[0, 0]"
Karl Benz lived in Germany and Archimedes lived in Ancient Greece and Luther Simjian lived in Turkey/the U.S and Frederick Walton lived in Croatia.,inventors,4,dilute_1false,3,1,0,"[""Karl Benz lived in Germany."", ""Archimedes lived in Ancient Greece."", ""Luther Simjian lived in Turkey/the U.S."", ""Frederick Walton lived in Croatia.""]","[1, 1, 1, 0]"
Antoine Lavoisier lived in Ukraine/the U.S and Frederick G. Creed lived in the U.S and Nikolai Basov lived in Norway and Alfred Nobel lived in Canada/the U.S and Joseph Bramah lived in Croatia and Ada Lovelace lived in Hungary/the U.S.,inventors,6,all_false,0,6,0,"[""Antoine Lavoisier lived in Ukraine/the U.S."", ""Frederick G. Creed lived in the U.S."", ""Nikolai Basov lived in Norway."", ""Alfred Nobel lived in Canada/the U.S."", ""Joseph Bramah lived in Croatia."", ""Ada Lovelace lived in Hungary/the U.S.""]","[0, 0, 0, 0, 0, 0]"
The Spanish word 'tener' means 'skin' and the Spanish word 'belleza' means 'beauty' and the Spanish word 'jugar' means 'to play' and the Spanish word 'demasiado' means 'too'.,sp_en_trans,4,dilute_1false,3,1,0,"[""The Spanish word 'tener' means 'skin'."", ""The Spanish word 'belleza' means 'beauty'."", ""The Spanish word 'jugar' means 'to play'."", ""The Spanish word 'demasiado' means 'too'.""]","[0, 1, 1, 1]"
The Spanish word 'olor' means 'fear' and the Spanish word 'coche' means 'month' and the Spanish word 'concha' means 'giraffe' and the Spanish word 'comer' means 'clock' and the Spanish word 'negro' means 'all' and the Spanish word 'potencia' means 'shell'.,sp_en_trans,6,all_false,0,6,0,"[""The Spanish word 'olor' means 'fear'."", ""The Spanish word 'coche' means 'month'."", ""The Spanish word 'concha' means 'giraffe'."", ""The Spanish word 'comer' means 'clock'."", ""The Spanish word 'negro' means 'all'."", ""The Spanish word 'potencia' means 'shell'.""]","[0, 0, 0, 0, 0, 0]"
The Spanish word 'ocupado' means 'to draw' and the Spanish word 'mercado' means 'old' and the Spanish word 'morir' means 'problem' and the Spanish word 'caballo' means 'red'.,sp_en_trans,4,all_false,0,4,0,"[""The Spanish word 'ocupado' means 'to draw'."", ""The Spanish word 'mercado' means 'old'."", ""The Spanish word 'morir' means 'problem'."", ""The Spanish word 'caballo' means 'red'.""]","[0, 0, 0, 0]"
The Spanish word 'hablar' means 'to speak' and the Spanish word 'suelo' means 'ground'.,sp_en_trans,2,all_true,2,0,1,"[""The Spanish word 'hablar' means 'to speak'."", ""The Spanish word 'suelo' means 'ground'.""]","[1, 1]"
The Spanish word 'potencia' means 'power' and the Spanish word 'caer' means 'to fall' and the Spanish word 'rana' means 'frog' and the Spanish word 'caminar' means 'to walk'.,sp_en_trans,4,all_true,4,0,1,"[""The Spanish word 'potencia' means 'power'."", ""The Spanish word 'caer' means 'to fall'."", ""The Spanish word 'rana' means 'frog'."", ""The Spanish word 'caminar' means 'to walk'.""]","[1, 1, 1, 1]"
The Spanish word 'mes' means 'month' and the Spanish word 'jugar' means 'to play' and the Spanish word 'vender' means 'to sell'.,sp_en_trans,3,all_true,3,0,1,"[""The Spanish word 'mes' means 'month'."", ""The Spanish word 'jugar' means 'to play'."", ""The Spanish word 'vender' means 'to sell'.""]","[1, 1, 1]"
