statement,topic,n,condition,n_true,n_false,compound_label,conjuncts,labels
The Spanish word 'viejo' means 'old' and the Spanish word 'libre' means 'free' and the Spanish word 'rana' means 'frog' and the Spanish word 'veinte' means 'twenty' and the Spanish word 'guardar' means 'to save' and the Spanish word 'bueno' means 'good'.,sp_en_trans,6,all_true,6,0,1,"[""The Spanish word 'viejo' means 'old'."", ""The Spanish word 'libre' means 'free'."", ""The Spanish word 'rana' means 'frog'."", ""The Spanish word 'veinte' means 'twenty'."", ""The Spanish word 'guardar' means 'to save'."", ""The Spanish word 'bueno' means 'good'.""]","[1, 1, 1, 1, 1, 1]"
The shark is a cnidarian and the otter is a mammal.,animal_class,2,dilute_1false,1,1,0,"[""The shark is a cnidarian."", ""The otter is a mammal.""]","[0, 1]"
The city of Goyang-si is in South Korea and the city of Karaj is in Iran and the city of Soweto is in South Africa and the city of Kalyan is in India and the city of Krakow is in Poland and the city of Tangier is in Morocco.,cities,6,all_true,6,0,1,"[""The city of Goyang-si is in South Korea."", ""The city of Karaj is in Iran."", ""The city of Soweto is in South Africa."", ""The city of Kalyan is in India."", ""The city of Krakow is in Poland."", ""The city of Tangier is in Morocco.""]","[1, 1, 1, 1, 1, 1]"
The city of Ibadan is in Denmark and the city of Tijuana is in Guinea.,cities,2,all_false,0,2,0,"[""The city of Ibadan is in Denmark."", ""The city of Tijuana is in Guinea.""]","[0, 0]"
The dolphin is a mammal and the crocodile is a reptile and the horse is a mammal.,animal_class,3,all_true,3,0,1,"[""The dolphin is a mammal."", ""The crocodile is a reptile."", ""The horse is a mammal.""]","[1, 1, 1]"
Cerium has the symbol I and Tungsten has the symbol Th and Chlorine has the symbol Pt and Vanadium has the symbol Ta and Ruthenium has the symbol Rh and Francium has the symbol Se.,element_symb,6,all_false,0,6,0,"[""Cerium has the symbol I."", ""Tungsten has the symbol Th."", ""Chlorine has the symbol Pt."", ""Vanadium has the symbol Ta."", ""Ruthenium has the symbol Rh."", ""Francium has the symbol Se.""]","[0, 0, 0, 0, 0, 0]"
The cow is a mammal and the flamingo is a bird.,animal_class,2,all_true,2,0,1,"[""The cow is a mammal."", ""The flamingo is a bird.""]","[1, 1]"
The lobster is a arachnid and the raccoon is a bird and the gecko is a bird.,animal_class,3,all_false,0,3,0,"[""The lobster is a arachnid."", ""The raccoon is a bird."", ""The gecko is a bird.""]","[0, 0, 0]"
The narwhal is a fish and the ostrich is a mollusk and the whale is a amphibian.,animal_class,3,all_false,0,3,0,"[""The narwhal is a fish."", ""The ostrich is a mollusk."", ""The whale is a amphibian.""]","[0, 0, 0]"
The rhinoceros is a mammal and the gorilla is a mammal.,animal_class,2,all_true,2,0,1,"[""The rhinoceros is a mammal."", ""The gorilla is a mammal.""]","[1, 1]"
The city of Cixi is in China and the city of Hangzhou is in China.,cities,2,all_true,2,0,1,"[""The city of Cixi is in China."", ""The city of Hangzhou is in China.""]","[1, 1]"
Cobalt has the symbol Co and Hydrogen has the symbol H.,element_symb,2,all_true,2,0,1,"[""Cobalt has the symbol Co."", ""Hydrogen has the symbol H.""]","[1, 1]"
The city of Hebi is in China and the city of Port Said is in Egypt and the city of Latakia is in Syria and the city of Bahawalpur is in Pakistan and the city of Chisinau is in Moldova and the city of Mazar-e Sharif is in Afghanistan.,cities,6,all_true,6,0,1,"[""The city of Hebi is in China."", ""The city of Port Said is in Egypt."", ""The city of Latakia is in Syria."", ""The city of Bahawalpur is in Pakistan."", ""The city of Chisinau is in Moldova."", ""The city of Mazar-e Sharif is in Afghanistan.""]","[1, 1, 1, 1, 1, 1]"
Chromium has the symbol Cr and Iridium has the symbol Ir and Yttrium has the symbol Bi and Silicon has the symbol Si.,element_symb,4,dilute_1false,3,1,0,"[""Chromium has the symbol Cr."", ""Iridium has the symbol Ir."", ""Yttrium has the symbol Bi."", ""Silicon has the symbol Si.""]","[1, 1, 0, 1]"
The whale is a mammal and the axolotl is a amphibian and the goat is a mammal and the lobster is a crustacean and the alpaca is a mammal and the hippopotamus is a mollusk.,animal_class,6,dilute_1false,5,1,0,"[""The whale is a mammal."", ""The axolotl is a amphibian."", ""The goat is a mammal."", ""The lobster is a crustacean."", ""The alpaca is a mammal."", ""The hippopotamus is a mollusk.""]","[1, 1, 1, 1, 1, 0]"
The city of Uberlandia is in Turkey and the city of Nowrangapur is in India.,cities,2,dilute_1false,1,1,0,"[""The city of Uberlandia is in Turkey."", ""The city of Nowrangapur is in India.""]","[0, 1]"
The city of Hamadan is in Kazakhstan and the city of Beira is in Mozambique.,cities,2,dilute_1false,1,1,0,"[""The city of Hamadan is in Kazakhstan."", ""The city of Beira is in Mozambique.""]","[0, 1]"
Radium has the symbol Pr and Niobium has the symbol Fr and Protactinium has the symbol Eu.,element_symb,3,all_false,0,3,0,"[""Radium has the symbol Pr."", ""Niobium has the symbol Fr."", ""Protactinium has the symbol Eu.""]","[0, 0, 0]"
Fridtjof Nansen lived in Norway and Richard Leach Maddox lived in the U.K and Galileo Galilei lived in Italy and Edmund Cartwright lived in the U.K.,inventors,4,all_true,4,0,1,"[""Fridtjof Nansen lived in Norway."", ""Richard Leach Maddox lived in the U.K."", ""Galileo Galilei lived in Italy."", ""Edmund Cartwright lived in the U.K.""]","[1, 1, 1, 1]"
David Edward Hughes lived in Germany/the U.S and Shinya Yamanaka lived in Sweden and Charles Macintosh lived in Japan.,inventors,3,all_false,0,3,0,"[""David Edward Hughes lived in Germany/the U.S."", ""Shinya Yamanaka lived in Sweden."", ""Charles Macintosh lived in Japan.""]","[0, 0, 0]"
The frog is a bird and the lobster is a arachnid and the seagull is a reptile and the octopus is a crustacean.,animal_class,4,all_false,0,4,0,"[""The frog is a bird."", ""The lobster is a arachnid."", ""The seagull is a reptile."", ""The octopus is a crustacean.""]","[0, 0, 0, 0]"
The city of Guarulhos is in Sudan and the city of Xiaogan is in Nigeria and the city of Zapopan is in Burundi and the city of Diyarbakir is in Kazakhstan and the city of Uskudar is in Nigeria and the city of Islamabad is in Turkmenistan.,cities,6,all_false,0,6,0,"[""The city of Guarulhos is in Sudan."", ""The city of Xiaogan is in Nigeria."", ""The city of Zapopan is in Burundi."", ""The city of Diyarbakir is in Kazakhstan."", ""The city of Uskudar is in Nigeria."", ""The city of Islamabad is in Turkmenistan.""]","[0, 0, 0, 0, 0, 0]"
Arsenic has the symbol As and Hydrogen has the symbol H and Dysprosium has the symbol Dy and Phosphorus has the symbol P and Polonium has the symbol Po and Neodymium has the symbol Nd.,element_symb,6,all_true,6,0,1,"[""Arsenic has the symbol As."", ""Hydrogen has the symbol H."", ""Dysprosium has the symbol Dy."", ""Phosphorus has the symbol P."", ""Polonium has the symbol Po."", ""Neodymium has the symbol Nd.""]","[1, 1, 1, 1, 1, 1]"
Sodium has the symbol Na and Thorium has the symbol Th and Samarium has the symbol Sm.,element_symb,3,all_true,3,0,1,"[""Sodium has the symbol Na."", ""Thorium has the symbol Th."", ""Samarium has the symbol Sm.""]","[1, 1, 1]"
The Spanish word 'ballena' means 'whale' and the Spanish word 'herramienta' means 'to play' and the Spanish word 'todo' means 'all' and the Spanish word 'pero' means 'but' and the Spanish word 'resultado' means 'result' and the Spanish word 'mientras' means 'while'.,sp_en_trans,6,dilute_1false,5,1,0,"[""The Spanish word 'ballena' means 'whale'."", ""The Spanish word 'herramienta' means 'to play'."", ""The Spanish word 'todo' means 'all'."", ""The Spanish word 'pero' means 'but'."", ""The Spanish word 'resultado' means 'result'."", ""The Spanish word 'mientras' means 'while'.""]","[1, 0, 1, 1, 1, 1]"
The moose is a reptile and the skunk is a insect and the panda is a bird and the tuna is a insect and the dolphin is a crustacean and the swan is a cnidarian.,animal_class,6,all_false,0,6,0,"[""The moose is a reptile."", ""The skunk is a insect."", ""The panda is a bird."", ""The tuna is a insect."", ""The dolphin is a crustacean."", ""The swan is a cnidarian.""]","[0, 0, 0, 0, 0, 0]"
The city of Hamamatsu is in Yemen and the city of Abeokuta is in Nigeria and the city of Hanzhong is in China and the city of Pretoria is in South Africa and the city of Abu Dhabi is in the United Arab Emirates and the city of Bhayandar is in India.,cities,6,dilute_1false,5,1,0,"[""The city of Hamamatsu is in Yemen."", ""The city of Abeokuta is in Nigeria."", ""The city of Hanzhong is in China."", ""The city of Pretoria is in South Africa."", ""The city of Abu Dhabi is in the United Arab Emirates."", ""The city of Bhayandar is in India.""]","[0, 1, 1, 1, 1, 1]"
Robert Noyce lived in Poland/Germany and Spencer Silver lived in France.,inventors,2,all_false,0,2,0,"[""Robert Noyce lived in Poland/Germany."", ""Spencer Silver lived in France.""]","[0, 0]"
The city of Benoni is in South Africa and the city of Tirunelveli is in India and the city of Fort Worth is in the United States and the city of Jiangmen is in Lithuania.,cities,4,dilute_1false,3,1,0,"[""The city of Benoni is in South Africa."", ""The city of Tirunelveli is in India."", ""The city of Fort Worth is in the United States."", ""The city of Jiangmen is in Lithuania.""]","[1, 1, 1, 0]"
Gideon Sundback lived in Sweden/the U.S and Ernest Swinton lived in the U.K and Yoshiro Nakamatsu lived in Japan and Gordon Gould lived in the U.S and Richard Gatling lived in the U.S and László Bíró lived in Hungary.,inventors,6,all_true,6,0,1,"[""Gideon Sundback lived in Sweden/the U.S."", ""Ernest Swinton lived in the U.K."", ""Yoshiro Nakamatsu lived in Japan."", ""Gordon Gould lived in the U.S."", ""Richard Gatling lived in the U.S."", ""L\u00e1szl\u00f3 B\u00edr\u00f3 lived in Hungary.""]","[1, 1, 1, 1, 1, 1]"
Bette Nesmith Graham lived in Austria/the U.S and Henry Bessemer lived in Italy.,inventors,2,all_false,0,2,0,"[""Bette Nesmith Graham lived in Austria/the U.S."", ""Henry Bessemer lived in Italy.""]","[0, 0]"
The Spanish word 'olor' means 'fear' and the Spanish word 'cocinero' means 'cook' and the Spanish word 'uno' means 'one'.,sp_en_trans,3,dilute_1false,2,1,0,"[""The Spanish word 'olor' means 'fear'."", ""The Spanish word 'cocinero' means 'cook'."", ""The Spanish word 'uno' means 'one'.""]","[0, 1, 1]"
The tiger is a amphibian and the sparrow is a crustacean.,animal_class,2,all_false,0,2,0,"[""The tiger is a amphibian."", ""The sparrow is a crustacean.""]","[0, 0]"
The chicken is a bird and the snake is a reptile and the koala is a reptile and the rhinoceros is a mammal.,animal_class,4,dilute_1false,3,1,0,"[""The chicken is a bird."", ""The snake is a reptile."", ""The koala is a reptile."", ""The rhinoceros is a mammal.""]","[1, 1, 0, 1]"
Jean-Bernard-Léon Foucault lived in France and Hans Oersted lived in Denmark and Hippolyte Mège-Mouriès lived in France and Zhores Alferov lived in Russia and Henry Bessemer lived in the U.K and John Ambrose Fleming lived in the U.K.,inventors,6,all_true,6,0,1,"[""Jean-Bernard-L\u00e9on Foucault lived in France."", ""Hans Oersted lived in Denmark."", ""Hippolyte M\u00e8ge-Mouri\u00e8s lived in France."", ""Zhores Alferov lived in Russia."", ""Henry Bessemer lived in the U.K."", ""John Ambrose Fleming lived in the U.K.""]","[1, 1, 1, 1, 1, 1]"
Orville and Wilbur Wright lived in the U.S and Benjamin Holt lived in the U.S and Eugene Polley lived in the U.S and Gottlieb Daimler lived in Germany and Charles Wheatstone lived in the U.K and Bartolomeo Cristofori lived in Italy.,inventors,6,all_true,6,0,1,"[""Orville and Wilbur Wright lived in the U.S."", ""Benjamin Holt lived in the U.S."", ""Eugene Polley lived in the U.S."", ""Gottlieb Daimler lived in Germany."", ""Charles Wheatstone lived in the U.K."", ""Bartolomeo Cristofori lived in Italy.""]","[1, 1, 1, 1, 1, 1]"
The octopus is a crustacean and the squirrel is a mammal and the cow is a mammal.,animal_class,3,dilute_1false,2,1,0,"[""The octopus is a crustacean."", ""The squirrel is a mammal."", ""The cow is a mammal.""]","[0, 1, 1]"
The ostrich is a bird and the dolphin is a mammal and the goldfish is a fish and the squirrel is a mammal.,animal_class,4,all_true,4,0,1,"[""The ostrich is a bird."", ""The dolphin is a mammal."", ""The goldfish is a fish."", ""The squirrel is a mammal.""]","[1, 1, 1, 1]"
Chromium has the symbol Cr and Sodium has the symbol Na and Selenium has the symbol Se.,element_symb,3,all_true,3,0,1,"[""Chromium has the symbol Cr."", ""Sodium has the symbol Na."", ""Selenium has the symbol Se.""]","[1, 1, 1]"
The chicken is a mammal and the otter is a arachnid.,animal_class,2,all_false,0,2,0,"[""The chicken is a mammal."", ""The otter is a arachnid.""]","[0, 0]"
The hyena is a mammal and the kangaroo is a mammal and the bat is a mammal and the zebra is a mammal.,animal_class,4,all_true,4,0,1,"[""The hyena is a mammal."", ""The kangaroo is a mammal."", ""The bat is a mammal."", ""The zebra is a mammal.""]","[1, 1, 1, 1]"
The city of Boumerdes is in Eritrea and the city of Jambi City is in Indonesia.,cities,2,dilute_1false,1,1,0,"[""The city of Boumerdes is in Eritrea."", ""The city of Jambi City is in Indonesia.""]","[0, 1]"
The Spanish word 'conectar' means 'to sell' and the Spanish word 'mapa' means 'to swim'.,sp_en_trans,2,all_false,0,2,0,"[""The Spanish word 'conectar' means 'to sell'."", ""The Spanish word 'mapa' means 'to swim'.""]","[0, 0]"
Georges Claude lived in Sweden/the U.S and Edwin Herbert Hall lived in Austria and Joseph Marie Jacquard lived in the U.K.,inventors,3,all_false,0,3,0,"[""Georges Claude lived in Sweden/the U.S."", ""Edwin Herbert Hall lived in Austria."", ""Joseph Marie Jacquard lived in the U.K.""]","[0, 0, 0]"
Iodine has the symbol Y and Europium has the symbol Pm and Polonium has the symbol Dy and Manganese has the symbol S and Lutetium has the symbol V and Molybdenum has the symbol V.,element_symb,6,all_false,0,6,0,"[""Iodine has the symbol Y."", ""Europium has the symbol Pm."", ""Polonium has the symbol Dy."", ""Manganese has the symbol S."", ""Lutetium has the symbol V."", ""Molybdenum has the symbol V.""]","[0, 0, 0, 0, 0, 0]"
The city of Zhangjiagang is in Malaysia and the city of Nanning is in China.,cities,2,dilute_1false,1,1,0,"[""The city of Zhangjiagang is in Malaysia."", ""The city of Nanning is in China.""]","[0, 1]"
The Spanish word 'ola' means 'wave' and the Spanish word 'toro' means 'voice' and the Spanish word 'antes' means 'before' and the Spanish word 'momento' means 'moment' and the Spanish word 'abrigo' means 'coat' and the Spanish word 'hierro' means 'iron'.,sp_en_trans,6,dilute_1false,5,1,0,"[""The Spanish word 'ola' means 'wave'."", ""The Spanish word 'toro' means 'voice'."", ""The Spanish word 'antes' means 'before'."", ""The Spanish word 'momento' means 'moment'."", ""The Spanish word 'abrigo' means 'coat'."", ""The Spanish word 'hierro' means 'iron'.""]","[1, 0, 1, 1, 1, 1]"
The Spanish word 'rana' means 'moment' and the Spanish word 'escuela' means 'red' and the Spanish word 'parecer' means 'wave'.,sp_en_trans,3,all_false,0,3,0,"[""The Spanish word 'rana' means 'moment'."", ""The Spanish word 'escuela' means 'red'."", ""The Spanish word 'parecer' means 'wave'.""]","[0, 0, 0]"
John Logie Baird lived in Scotland and James Starley lived in the U.K and Emile Berliner lived in Germany/the U.S and John Ericsson lived in Sweden.,inventors,4,all_true,4,0,1,"[""John Logie Baird lived in Scotland."", ""James Starley lived in the U.K."", ""Emile Berliner lived in Germany/the U.S."", ""John Ericsson lived in Sweden.""]","[1, 1, 1, 1]"
The whale is a amphibian and the lobster is a arachnid and the crocodile is a bird.,animal_class,3,all_false,0,3,0,"[""The whale is a amphibian."", ""The lobster is a arachnid."", ""The crocodile is a bird.""]","[0, 0, 0]"
Philipp Reis lived in Sweden/the U.S and Mary Walton lived in the U.S and Clyde Tombaugh lived in the U.S.,inventors,3,dilute_1false,2,1,0,"[""Philipp Reis lived in Sweden/the U.S."", ""Mary Walton lived in the U.S."", ""Clyde Tombaugh lived in the U.S.""]","[0, 1, 1]"
Willis Carrier lived in the U.S and Christopher Cockerell lived in the U.K and John Gorrie lived in the U.S.,inventors,3,all_true,3,0,1,"[""Willis Carrier lived in the U.S."", ""Christopher Cockerell lived in the U.K."", ""John Gorrie lived in the U.S.""]","[1, 1, 1]"
George Devol lived in the U.S and Gordon Gould lived in Norway and Maria Telkes lived in Hungary/the U.S and Heinrich Göbel lived in Germany and John Walker lived in the U.K and Joseph Marie Jacquard lived in France.,inventors,6,dilute_1false,5,1,0,"[""George Devol lived in the U.S."", ""Gordon Gould lived in Norway."", ""Maria Telkes lived in Hungary/the U.S."", ""Heinrich G\u00f6bel lived in Germany."", ""John Walker lived in the U.K."", ""Joseph Marie Jacquard lived in France.""]","[1, 0, 1, 1, 1, 1]"
Protactinium has the symbol Pa and Bromine has the symbol N and Tungsten has the symbol W.,element_symb,3,dilute_1false,2,1,0,"[""Protactinium has the symbol Pa."", ""Bromine has the symbol N."", ""Tungsten has the symbol W.""]","[1, 0, 1]"
The lobster is a crustacean and the ostrich is a bird and the skunk is a insect.,animal_class,3,dilute_1false,2,1,0,"[""The lobster is a crustacean."", ""The ostrich is a bird."", ""The skunk is a insect.""]","[1, 1, 0]"
The Spanish word 'potencia' means 'shell' and the Spanish word 'crecer' means 'to pay' and the Spanish word 'arena' means 'place' and the Spanish word 'peligro' means 'shell' and the Spanish word 'coche' means 'month' and the Spanish word 'hueso' means 'to eat'.,sp_en_trans,6,all_false,0,6,0,"[""The Spanish word 'potencia' means 'shell'."", ""The Spanish word 'crecer' means 'to pay'."", ""The Spanish word 'arena' means 'place'."", ""The Spanish word 'peligro' means 'shell'."", ""The Spanish word 'coche' means 'month'."", ""The Spanish word 'hueso' means 'to eat'.""]","[0, 0, 0, 0, 0, 0]"
Boron has the symbol H and Sodium has the symbol N and Dysprosium has the symbol I and Fluorine has the symbol Pt.,element_symb,4,all_false,0,4,0,"[""Boron has the symbol H."", ""Sodium has the symbol N."", ""Dysprosium has the symbol I."", ""Fluorine has the symbol Pt.""]","[0, 0, 0, 0]"
Germanium has the symbol Ra and Polonium has the symbol Po.,element_symb,2,dilute_1false,1,1,0,"[""Germanium has the symbol Ra."", ""Polonium has the symbol Po.""]","[0, 1]"
The Spanish word 'conectar' means 'to sell' and the Spanish word 'vida' means 'rock' and the Spanish word 'noche' means 'to write' and the Spanish word 'carne' means 'bear' and the Spanish word 'papel' means 'neck' and the Spanish word 'imaginar' means 'star'.,sp_en_trans,6,all_false,0,6,0,"[""The Spanish word 'conectar' means 'to sell'."", ""The Spanish word 'vida' means 'rock'."", ""The Spanish word 'noche' means 'to write'."", ""The Spanish word 'carne' means 'bear'."", ""The Spanish word 'papel' means 'neck'."", ""The Spanish word 'imaginar' means 'star'.""]","[0, 0, 0, 0, 0, 0]"
Neodymium has the symbol Te and Radon has the symbol Rn and Oxygen has the symbol O.,element_symb,3,dilute_1false,2,1,0,"[""Neodymium has the symbol Te."", ""Radon has the symbol Rn."", ""Oxygen has the symbol O.""]","[0, 1, 1]"
The leopard is a mammal and the swan is a bird and the bison is a mammal.,animal_class,3,all_true,3,0,1,"[""The leopard is a mammal."", ""The swan is a bird."", ""The bison is a mammal.""]","[1, 1, 1]"
Calcium has the symbol Ca and Rhenium has the symbol Re and Silver has the symbol Ag.,element_symb,3,all_true,3,0,1,"[""Calcium has the symbol Ca."", ""Rhenium has the symbol Re."", ""Silver has the symbol Ag.""]","[1, 1, 1]"
Bismuth has the symbol Tl and Scandium has the symbol Kr and Rhenium has the symbol Pb and Thorium has the symbol Ac.,element_symb,4,all_false,0,4,0,"[""Bismuth has the symbol Tl."", ""Scandium has the symbol Kr."", ""Rhenium has the symbol Pb."", ""Thorium has the symbol Ac.""]","[0, 0, 0, 0]"
The Spanish word 'ola' means 'class' and the Spanish word 'mercado' means 'old' and the Spanish word 'grande' means 'power'.,sp_en_trans,3,all_false,0,3,0,"[""The Spanish word 'ola' means 'class'."", ""The Spanish word 'mercado' means 'old'."", ""The Spanish word 'grande' means 'power'.""]","[0, 0, 0]"
Willem Einthoven lived in England and Mary Phelps Jacob lived in Croatia and Biruté Galdikas lived in Hungary.,inventors,3,all_false,0,3,0,"[""Willem Einthoven lived in England."", ""Mary Phelps Jacob lived in Croatia."", ""Birut\u00e9 Galdikas lived in Hungary.""]","[0, 0, 0]"
Palladium has the symbol Ir and Iodine has the symbol Y and Cadmium has the symbol Pr and Phosphorus has the symbol Se and Lutetium has the symbol V and Dysprosium has the symbol I.,element_symb,6,all_false,0,6,0,"[""Palladium has the symbol Ir."", ""Iodine has the symbol Y."", ""Cadmium has the symbol Pr."", ""Phosphorus has the symbol Se."", ""Lutetium has the symbol V."", ""Dysprosium has the symbol I.""]","[0, 0, 0, 0, 0, 0]"
The whale is a amphibian and the jellyfish is a mammal and the porcupine is a bird and the hippopotamus is a mollusk.,animal_class,4,all_false,0,4,0,"[""The whale is a amphibian."", ""The jellyfish is a mammal."", ""The porcupine is a bird."", ""The hippopotamus is a mollusk.""]","[0, 0, 0, 0]"
Emile Berliner lived in Japan and Luther Simjian lived in Hungary and Leonardo da Vinci lived in Sweden/the U.S.,inventors,3,all_false,0,3,0,"[""Emile Berliner lived in Japan."", ""Luther Simjian lived in Hungary."", ""Leonardo da Vinci lived in Sweden/the U.S.""]","[0, 0, 0]"
The Spanish word 'y' means 'city' and the Spanish word 'nuevo' means 'new'.,sp_en_trans,2,dilute_1false,1,1,0,"[""The Spanish word 'y' means 'city'."", ""The Spanish word 'nuevo' means 'new'.""]","[0, 1]"
The city of Hebi is in Sweden and the city of Barquisimeto is in Sudan and the city of Ghaziabad is in Eritrea and the city of Anyang is in Japan and the city of Reynosa is in Niger and the city of Zhangjiagang is in Malaysia.,cities,6,all_false,0,6,0,"[""The city of Hebi is in Sweden."", ""The city of Barquisimeto is in Sudan."", ""The city of Ghaziabad is in Eritrea."", ""The city of Anyang is in Japan."", ""The city of Reynosa is in Niger."", ""The city of Zhangjiagang is in Malaysia.""]","[0, 0, 0, 0, 0, 0]"
The moose is a mammal and the peacock is a bird.,animal_class,2,all_true,2,0,1,"[""The moose is a mammal."", ""The peacock is a bird.""]","[1, 1]"
The city of Sharjah is in Belarus and the city of Libreville is in Gabon and the city of Lubumbashi is in the Democratic Republic of the Congo.,cities,3,dilute_1false,2,1,0,"[""The city of Sharjah is in Belarus."", ""The city of Libreville is in Gabon."", ""The city of Lubumbashi is in the Democratic Republic of the Congo.""]","[0, 1, 1]"
Lester Wire lived in the U.S and Sir Frank Whittle lived in the U.K and John Boyd Dunlop lived in Scotland and Ferdinand von Zeppelin lived in Ancient Greece and William Kelly lived in the U.S and Thomas Tompion lived in the U.K.,inventors,6,dilute_1false,5,1,0,"[""Lester Wire lived in the U.S."", ""Sir Frank Whittle lived in the U.K."", ""John Boyd Dunlop lived in Scotland."", ""Ferdinand von Zeppelin lived in Ancient Greece."", ""William Kelly lived in the U.S."", ""Thomas Tompion lived in the U.K.""]","[1, 1, 1, 0, 1, 1]"
James Starley lived in Austria/the U.S and John Shepherd-Barron lived in Austria and Igor Sikorsky lived in Turkey/the U.S and Whitcomb Judson lived in Sweden/the U.S.,inventors,4,all_false,0,4,0,"[""James Starley lived in Austria/the U.S."", ""John Shepherd-Barron lived in Austria."", ""Igor Sikorsky lived in Turkey/the U.S."", ""Whitcomb Judson lived in Sweden/the U.S.""]","[0, 0, 0, 0]"
The mongoose is a mammal and the alpaca is a mammal.,animal_class,2,all_true,2,0,1,"[""The mongoose is a mammal."", ""The alpaca is a mammal.""]","[1, 1]"
