statement,topic,conjunctA,conjunctB,labelA,labelB,cell,connective,ordering
"Either the Spanish word 'suficiente' means 'tool' or the Spanish word 'elegir' means 'to choose', but not both.",sp_en_trans,The Spanish word 'elegir' means 'to choose'.,The Spanish word 'suficiente' means 'tool'.,1,0,TF,xor,BA
"Either the Spanish word 'piel' means 'three' or the Spanish word 'belleza' means 'rabbit', but not both.",sp_en_trans,The Spanish word 'piel' means 'three'.,The Spanish word 'belleza' means 'rabbit'.,0,0,FF,xor,AB
"Either the Spanish word 'belleza' means 'rabbit' or the Spanish word 'piel' means 'skin', but not both.",sp_en_trans,The Spanish word 'piel' means 'skin'.,The Spanish word 'belleza' means 'rabbit'.,1,0,TF,xor,BA
"Either the Spanish word 'mar' means 'sea' or the Spanish word 'invierno' means 'winter', but not both.",sp_en_trans,The Spanish word 'invierno' means 'winter'.,The Spanish word 'mar' means 'sea'.,1,1,TT,xor,BA
"Either the cow is a mammal or the goldfish is a fish, but not both.",animal_class,The goldfish is a fish.,The cow is a mammal.,1,1,TT,xor,BA
"Either the slug is a mollusk or the llama is a mollusk, but not both.",animal_class,The slug is a mollusk.,The llama is a mollusk.,1,0,TF,xor,AB
"Either the gorilla is a reptile or the llama is a mollusk, but not both.",animal_class,The llama is a mollusk.,The gorilla is a reptile.,0,0,FF,xor,BA
"Either Richard Leach Maddox lived in the U.K or Charles Goodyear lived in the U.S, but not both.",inventors,Charles Goodyear lived in the U.S.,Richard Leach Maddox lived in the U.K.,1,1,TT,xor,BA
"Either the city of Siping is in the United States or the city of Nagoya is in the Dominican Republic, but not both.",cities,The city of Siping is in the United States.,The city of Nagoya is in the Dominican Republic.,0,0,FF,xor,AB
"Either the Spanish word 'temprano' means 'nothing' or the Spanish word 'noche' means 'night', but not both.",sp_en_trans,The Spanish word 'temprano' means 'nothing'.,The Spanish word 'noche' means 'night'.,0,1,FT,xor,AB
"Either Neon has the symbol Ne or Xenon has the symbol Hf, but not both.",element_symb,Xenon has the symbol Hf.,Neon has the symbol Ne.,0,1,FT,xor,BA
"Either James Starley lived in the U.K or Hans Geiger lived in Germany, but not both.",inventors,James Starley lived in the U.K.,Hans Geiger lived in Germany.,1,1,TT,xor,AB
"Either James Starley lived in Austria/the U.S or Arthur Pitney lived in Ukraine/the U.S, but not both.",inventors,Arthur Pitney lived in Ukraine/the U.S.,James Starley lived in Austria/the U.S.,0,0,FF,xor,BA
"Either the narwhal is a mammal or the goat is a mammal, but not both.",animal_class,The goat is a mammal.,The narwhal is a mammal.,1,1,TT,xor,BA
"Either Guglielmo Marconi lived in Italy or George Devol lived in Hungary, but not both.",inventors,George Devol lived in Hungary.,Guglielmo Marconi lived in Italy.,0,1,FT,xor,BA
"Either Lead has the symbol Er or Lutetium has the symbol V, but not both.",element_symb,Lutetium has the symbol V.,Lead has the symbol Er.,0,0,FF,xor,BA
"Either the Spanish word 'belleza' means 'rabbit' or the Spanish word 'piel' means 'three', but not both.",sp_en_trans,The Spanish word 'piel' means 'three'.,The Spanish word 'belleza' means 'rabbit'.,0,0,FF,xor,BA
"Either the chimpanzee is a insect or the axolotl is a amphibian, but not both.",animal_class,The axolotl is a amphibian.,The chimpanzee is a insect.,1,0,TF,xor,BA
"Either the Spanish word 'uno' means 'mouth' or the Spanish word 'parecer' means 'to seem', but not both.",sp_en_trans,The Spanish word 'uno' means 'mouth'.,The Spanish word 'parecer' means 'to seem'.,0,1,FT,xor,AB
"Either the iguana is a reptile or the dog is a mammal, but not both.",animal_class,The dog is a mammal.,The iguana is a reptile.,1,1,TT,xor,BA
"Either John Gorrie lived in the U.S or John Logie Baird lived in Scotland, but not both.",inventors,John Logie Baird lived in Scotland.,John Gorrie lived in the U.S.,1,1,TT,xor,BA
"Either the Spanish word 'y' means 'city' or the Spanish word 'ciudad' means 'city', but not both.",sp_en_trans,The Spanish word 'y' means 'city'.,The Spanish word 'ciudad' means 'city'.,0,1,FT,xor,AB
"Either the goat is a reptile or the salmon is a crustacean, but not both.",animal_class,The salmon is a crustacean.,The goat is a reptile.,0,0,FF,xor,BA
"Either Platinum has the symbol Pt or Chlorine has the symbol Pt, but not both.",element_symb,Chlorine has the symbol Pt.,Platinum has the symbol Pt.,0,1,FT,xor,BA
"Either the Spanish word 'olor' means 'smell' or the Spanish word 'aceite' means 'son', but not both.",sp_en_trans,The Spanish word 'olor' means 'smell'.,The Spanish word 'aceite' means 'son'.,1,0,TF,xor,AB
"Either the city of San Miguel de Tucuman is in Argentina or the city of Indianapolis is in the United States, but not both.",cities,The city of San Miguel de Tucuman is in Argentina.,The city of Indianapolis is in the United States.,1,1,TT,xor,AB
"Either Lead has the symbol Er or Lutetium has the symbol Lu, but not both.",element_symb,Lutetium has the symbol Lu.,Lead has the symbol Er.,1,0,TF,xor,BA
"Either the city of Winnipeg is in Canada or the city of Kolhapur is in the Republic of the Congo, but not both.",cities,The city of Kolhapur is in the Republic of the Congo.,The city of Winnipeg is in Canada.,0,1,FT,xor,BA
"Either Chlorine has the symbol Cl or Platinum has the symbol Pt, but not both.",element_symb,Chlorine has the symbol Cl.,Platinum has the symbol Pt.,1,1,TT,xor,AB
"Either Vanadium has the symbol V or Phosphorus has the symbol P, but not both.",element_symb,Phosphorus has the symbol P.,Vanadium has the symbol V.,1,1,TT,xor,BA
"Either the Spanish word 'pierna' means 'leg' or the Spanish word 'caliente' means 'corner', but not both.",sp_en_trans,The Spanish word 'caliente' means 'corner'.,The Spanish word 'pierna' means 'leg'.,0,1,FT,xor,BA
"Either the goat is a mammal or the rat is a mammal, but not both.",animal_class,The rat is a mammal.,The goat is a mammal.,1,1,TT,xor,BA
"Either the Spanish word 'temprano' means 'early' or the Spanish word 'noche' means 'to write', but not both.",sp_en_trans,The Spanish word 'temprano' means 'early'.,The Spanish word 'noche' means 'to write'.,1,0,TF,xor,AB
"Either Chromium has the symbol Rb or Radon has the symbol Rn, but not both.",element_symb,Chromium has the symbol Rb.,Radon has the symbol Rn.,0,1,FT,xor,AB
"Either the city of Warangal is in India or the city of Ahmedabad is in India, but not both.",cities,The city of Warangal is in India.,The city of Ahmedabad is in India.,1,1,TT,xor,AB
"Either the Spanish word 'y' means 'and' or the Spanish word 'ciudad' means 'to connect', but not both.",sp_en_trans,The Spanish word 'y' means 'and'.,The Spanish word 'ciudad' means 'to connect'.,1,0,TF,xor,AB
"Either Michael Faraday lived in Croatia or Emile Berliner lived in Germany/the U.S, but not both.",inventors,Michael Faraday lived in Croatia.,Emile Berliner lived in Germany/the U.S.,0,1,FT,xor,AB
"Either Zirconium has the symbol Ru or Tellurium has the symbol Te, but not both.",element_symb,Tellurium has the symbol Te.,Zirconium has the symbol Ru.,1,0,TF,xor,BA
"Either the city of Klang is in South Africa or the city of Paranaque City is in the Philippines, but not both.",cities,The city of Paranaque City is in the Philippines.,The city of Klang is in South Africa.,1,0,TF,xor,BA
"Either the Spanish word 'viejo' means 'to save' or the Spanish word 'desarrollar' means 'sand', but not both.",sp_en_trans,The Spanish word 'viejo' means 'to save'.,The Spanish word 'desarrollar' means 'sand'.,0,0,FF,xor,AB
"Either Promethium has the symbol Pm or Tantalum has the symbol Ta, but not both.",element_symb,Promethium has the symbol Pm.,Tantalum has the symbol Ta.,1,1,TT,xor,AB
"Either the city of Santo Domingo Oeste is in the Dominican Republic or the city of Uberlandia is in Turkey, but not both.",cities,The city of Uberlandia is in Turkey.,The city of Santo Domingo Oeste is in the Dominican Republic.,0,1,FT,xor,BA
"Either the city of Najran is in Saudi Arabia or the city of Santiago de Queretaro is in Somalia, but not both.",cities,The city of Najran is in Saudi Arabia.,The city of Santiago de Queretaro is in Somalia.,1,0,TF,xor,AB
"Either the seagull is a reptile or the flamingo is a bird, but not both.",animal_class,The flamingo is a bird.,The seagull is a reptile.,1,0,TF,xor,BA
"Either the chimpanzee is a insect or the axolotl is a fish, but not both.",animal_class,The axolotl is a fish.,The chimpanzee is a insect.,0,0,FF,xor,BA
"Either the Spanish word 'imaginar' means 'to imagine' or the Spanish word 'tercero' means 'third', but not both.",sp_en_trans,The Spanish word 'imaginar' means 'to imagine'.,The Spanish word 'tercero' means 'third'.,1,1,TT,xor,AB
"Either the Spanish word 'familia' means 'family' or the Spanish word 'vender' means 'son', but not both.",sp_en_trans,The Spanish word 'vender' means 'son'.,The Spanish word 'familia' means 'family'.,0,1,FT,xor,BA
"Either the Spanish word 'parecer' means 'wave' or the Spanish word 'uno' means 'one', but not both.",sp_en_trans,The Spanish word 'uno' means 'one'.,The Spanish word 'parecer' means 'wave'.,1,0,TF,xor,BA
"Either Candace Pert lived in Germany or John Atanasoff lived in Croatia, but not both.",inventors,Candace Pert lived in Germany.,John Atanasoff lived in Croatia.,0,0,FF,xor,AB
"Either the city of Siping is in the United States or the city of Algiers is in Lithuania, but not both.",cities,The city of Algiers is in Lithuania.,The city of Siping is in the United States.,0,0,FF,xor,BA
"Either the porcupine is a mammal or the bee is a mollusk, but not both.",animal_class,The bee is a mollusk.,The porcupine is a mammal.,0,1,FT,xor,BA
"Either the Spanish word 'roca' means 'rock' or the Spanish word 'higo' means 'nothing', but not both.",sp_en_trans,The Spanish word 'higo' means 'nothing'.,The Spanish word 'roca' means 'rock'.,0,1,FT,xor,BA
"Either the Spanish word 'ciudad' means 'to connect' or the Spanish word 'y' means 'city', but not both.",sp_en_trans,The Spanish word 'y' means 'city'.,The Spanish word 'ciudad' means 'to connect'.,0,0,FF,xor,BA
"Either the Spanish word 'familia' means 'family' or the Spanish word 'guardar' means 'to save', but not both.",sp_en_trans,The Spanish word 'familia' means 'family'.,The Spanish word 'guardar' means 'to save'.,1,1,TT,xor,AB
"Either the Spanish word 'hijo' means 'cook' or the Spanish word 'delgado' means 'history', but not both.",sp_en_trans,The Spanish word 'delgado' means 'history'.,The Spanish word 'hijo' means 'cook'.,0,0,FF,xor,BA
"Either the Spanish word 'caliente' means 'corner' or the Spanish word 'pierna' means 'to draw', but not both.",sp_en_trans,The Spanish word 'caliente' means 'corner'.,The Spanish word 'pierna' means 'to draw'.,0,0,FF,xor,AB
"Either the city of Guigang is in Senegal or the city of Linfen is in Uzbekistan, but not both.",cities,The city of Guigang is in Senegal.,The city of Linfen is in Uzbekistan.,0,0,FF,xor,AB
"Either the city of Denpasar is in Indonesia or the city of Salta is in Argentina, but not both.",cities,The city of Denpasar is in Indonesia.,The city of Salta is in Argentina.,1,1,TT,xor,AB
"Either Ytterbium has the symbol F or Zinc has the symbol Ac, but not both.",element_symb,Ytterbium has the symbol F.,Zinc has the symbol Ac.,0,0,FF,xor,AB
"Either the raccoon is a mammal or the seagull is a bird, but not both.",animal_class,The raccoon is a mammal.,The seagull is a bird.,1,1,TT,xor,AB
"Either Richard Trevithick lived in the U.K or Luther George Simjian lived in Turkey/the U.S, but not both.",inventors,Richard Trevithick lived in the U.K.,Luther George Simjian lived in Turkey/the U.S.,1,1,TT,xor,AB
"Either the city of Jiaxing is in China or the city of Marseille is in Romania, but not both.",cities,The city of Marseille is in Romania.,The city of Jiaxing is in China.,0,1,FT,xor,BA
"Either the city of Santo Domingo Oeste is in the Dominican Republic or the city of Uberlandia is in Brazil, but not both.",cities,The city of Uberlandia is in Brazil.,The city of Santo Domingo Oeste is in the Dominican Republic.,1,1,TT,xor,BA
"Either Tellurium has the symbol Te or Radium has the symbol Ra, but not both.",element_symb,Tellurium has the symbol Te.,Radium has the symbol Ra.,1,1,TT,xor,AB
"Either Astatine has the symbol Ca or Palladium has the symbol Pd, but not both.",element_symb,Astatine has the symbol Ca.,Palladium has the symbol Pd.,0,1,FT,xor,AB
"Either the hamster is a bird or the crocodile is a reptile, but not both.",animal_class,The crocodile is a reptile.,The hamster is a bird.,1,0,TF,xor,BA
"Either the city of Changshu is in China or the city of Nagoya is in the Dominican Republic, but not both.",cities,The city of Changshu is in China.,The city of Nagoya is in the Dominican Republic.,1,0,TF,xor,AB
"Either Lutetium has the symbol Lu or Lead has the symbol Pb, but not both.",element_symb,Lutetium has the symbol Lu.,Lead has the symbol Pb.,1,1,TT,xor,AB
"Either Cobalt has the symbol Co or Fluorine has the symbol Pt, but not both.",element_symb,Fluorine has the symbol Pt.,Cobalt has the symbol Co.,0,1,FT,xor,BA
"Either Leonardo da Vinci lived in Sweden/the U.S or Ami Argand lived in China, but not both.",inventors,Ami Argand lived in China.,Leonardo da Vinci lived in Sweden/the U.S.,0,0,FF,xor,BA
"Either the Spanish word 'lento' means 'slow' or the Spanish word 'perro' means 'dog', but not both.",sp_en_trans,The Spanish word 'perro' means 'dog'.,The Spanish word 'lento' means 'slow'.,1,1,TT,xor,BA
"Either the Spanish word 'abrigo' means 'to eat' or the Spanish word 'ejemplo' means 'example', but not both.",sp_en_trans,The Spanish word 'ejemplo' means 'example'.,The Spanish word 'abrigo' means 'to eat'.,1,0,TF,xor,BA
"Either the Spanish word 'parecer' means 'wave' or the Spanish word 'uno' means 'mouth', but not both.",sp_en_trans,The Spanish word 'uno' means 'mouth'.,The Spanish word 'parecer' means 'wave'.,0,0,FF,xor,BA
"Either Promethium has the symbol Bi or Tantalum has the symbol Ta, but not both.",element_symb,Promethium has the symbol Bi.,Tantalum has the symbol Ta.,0,1,FT,xor,AB
"Either the city of Diyarbakir is in Turkey or the city of Seoul is in Zimbabwe, but not both.",cities,The city of Seoul is in Zimbabwe.,The city of Diyarbakir is in Turkey.,0,1,FT,xor,BA
"Either the city of Osaka is in Japan or the city of Khulna is in Bangladesh, but not both.",cities,The city of Osaka is in Japan.,The city of Khulna is in Bangladesh.,1,1,TT,xor,AB
"Either the city of Jiaxing is in China or the city of Marseille is in France, but not both.",cities,The city of Marseille is in France.,The city of Jiaxing is in China.,1,1,TT,xor,BA
"Either the city of Changshu is in China or the city of Suining is in China, but not both.",cities,The city of Suining is in China.,The city of Changshu is in China.,1,1,TT,xor,BA
"Either the horse is a mammal or the axolotl is a amphibian, but not both.",animal_class,The horse is a mammal.,The axolotl is a amphibian.,1,1,TT,xor,AB
"Either Hans von Ohain lived in England or Daisuke Inoue lived in Sweden, but not both.",inventors,Daisuke Inoue lived in Sweden.,Hans von Ohain lived in England.,0,0,FF,xor,BA
"Either the city of Gaziantep is in Turkey or the city of Quito is in Ecuador, but not both.",cities,The city of Gaziantep is in Turkey.,The city of Quito is in Ecuador.,1,1,TT,xor,AB
"Either the hamster is a mammal or the gorilla is a mammal, but not both.",animal_class,The gorilla is a mammal.,The hamster is a mammal.,1,1,TT,xor,BA
"Either James Starley lived in the U.K or Arthur Pitney lived in Ukraine/the U.S, but not both.",inventors,Arthur Pitney lived in Ukraine/the U.S.,James Starley lived in the U.K.,0,1,FT,xor,BA
"Either the Spanish word 'oscuro' means 'to see' or the Spanish word 'primero' means 'to multiply', but not both.",sp_en_trans,The Spanish word 'oscuro' means 'to see'.,The Spanish word 'primero' means 'to multiply'.,0,0,FF,xor,AB
"Either the city of Marseille is in France or the city of Jiaxing is in China, but not both.",cities,The city of Marseille is in France.,The city of Jiaxing is in China.,1,1,TT,xor,AB
"Either Hans Goldschmidt lived in Germany or John Ambrose Fleming lived in the U.K, but not both.",inventors,Hans Goldschmidt lived in Germany.,John Ambrose Fleming lived in the U.K.,1,1,TT,xor,AB
"Either the Spanish word 'hueso' means 'to eat' or the Spanish word 'mujer' means 'woman', but not both.",sp_en_trans,The Spanish word 'mujer' means 'woman'.,The Spanish word 'hueso' means 'to eat'.,1,0,TF,xor,BA
"Either the Spanish word 'piel' means 'three' or the Spanish word 'belleza' means 'beauty', but not both.",sp_en_trans,The Spanish word 'piel' means 'three'.,The Spanish word 'belleza' means 'beauty'.,0,1,FT,xor,AB
"Either the Spanish word 'leer' means 'to read' or the Spanish word 'prueba' means 'whale', but not both.",sp_en_trans,The Spanish word 'prueba' means 'whale'.,The Spanish word 'leer' means 'to read'.,0,1,FT,xor,BA
"Either Europium has the symbol Eu or Carbon has the symbol C, but not both.",element_symb,Carbon has the symbol C.,Europium has the symbol Eu.,1,1,TT,xor,BA
"Either the Spanish word 'primero' means 'to multiply' or the Spanish word 'oscuro' means 'dark', but not both.",sp_en_trans,The Spanish word 'oscuro' means 'dark'.,The Spanish word 'primero' means 'to multiply'.,1,0,TF,xor,BA
"Either the Spanish word 'hola' means 'hello' or the Spanish word 'arena' means 'sand', but not both.",sp_en_trans,The Spanish word 'hola' means 'hello'.,The Spanish word 'arena' means 'sand'.,1,1,TT,xor,AB
"Either the crocodile is a bird or the hamster is a mammal, but not both.",animal_class,The crocodile is a bird.,The hamster is a mammal.,0,1,FT,xor,AB
"Either Barium has the symbol Ba or Tantalum has the symbol Ta, but not both.",element_symb,Tantalum has the symbol Ta.,Barium has the symbol Ba.,1,1,TT,xor,BA
"Either David Schwarz lived in Finland or James West lived in the U.S, but not both.",inventors,James West lived in the U.S.,David Schwarz lived in Finland.,1,0,TF,xor,BA
"Either Ralph H. Baer lived in Finland or Hans Oersted lived in Finland, but not both.",inventors,Ralph H. Baer lived in Finland.,Hans Oersted lived in Finland.,0,0,FF,xor,AB
"Either the city of Vladivostok is in Ghana or the city of Tlaquepaque is in Mexico, but not both.",cities,The city of Vladivostok is in Ghana.,The city of Tlaquepaque is in Mexico.,0,1,FT,xor,AB
"Either the walrus is a mammal or the lion is a mammal, but not both.",animal_class,The walrus is a mammal.,The lion is a mammal.,1,1,TT,xor,AB
"Either William Kelly lived in the U.S or John Callcott Horsley lived in the U.K, but not both.",inventors,William Kelly lived in the U.S.,John Callcott Horsley lived in the U.K.,1,1,TT,xor,AB
"Either the Spanish word 'higo' means 'fig' or the Spanish word 'roca' means 'rock', but not both.",sp_en_trans,The Spanish word 'higo' means 'fig'.,The Spanish word 'roca' means 'rock'.,1,1,TT,xor,AB
"Either the city of Linfen is in Uzbekistan or the city of Guigang is in China, but not both.",cities,The city of Guigang is in China.,The city of Linfen is in Uzbekistan.,1,0,TF,xor,BA
"Either the city of Santiago de los Caballeros is in China or the city of Port Harcourt is in Malaysia, but not both.",cities,The city of Santiago de los Caballeros is in China.,The city of Port Harcourt is in Malaysia.,0,0,FF,xor,AB
"Either Praseodymium has the symbol Pr or Holmium has the symbol Pd, but not both.",element_symb,Holmium has the symbol Pd.,Praseodymium has the symbol Pr.,0,1,FT,xor,BA
"Either Jean-Bernard-Léon Foucault lived in France or Daniel Fahrenheit lived in Poland/Germany, but not both.",inventors,Daniel Fahrenheit lived in Poland/Germany.,Jean-Bernard-Léon Foucault lived in France.,1,1,TT,xor,BA
"Either the Spanish word 'enviar' means 'to send' or the Spanish word 'caer' means 'to fall', but not both.",sp_en_trans,The Spanish word 'enviar' means 'to send'.,The Spanish word 'caer' means 'to fall'.,1,1,TT,xor,AB
"Either Narinder Singh Kapany lived in India or Joseph Glidden lived in the U.S, but not both.",inventors,Narinder Singh Kapany lived in India.,Joseph Glidden lived in the U.S.,1,1,TT,xor,AB
"Either Candace Pert lived in Germany or Clarence Birdseye lived in Croatia, but not both.",inventors,Clarence Birdseye lived in Croatia.,Candace Pert lived in Germany.,0,0,FF,xor,BA
"Either Emile Berliner lived in Germany/the U.S or Michael Faraday lived in Croatia, but not both.",inventors,Michael Faraday lived in Croatia.,Emile Berliner lived in Germany/the U.S.,0,1,FT,xor,BA
"Either the city of Bhopal is in Iraq or the city of Kisangani is in the Democratic Republic of the Congo, but not both.",cities,The city of Bhopal is in Iraq.,The city of Kisangani is in the Democratic Republic of the Congo.,0,1,FT,xor,AB
"Either the Spanish word 'conectar' means 'to connect' or the Spanish word 'clase' means 'class', but not both.",sp_en_trans,The Spanish word 'conectar' means 'to connect'.,The Spanish word 'clase' means 'class'.,1,1,TT,xor,AB
"Either the Spanish word 'oveja' means 'busy' or the Spanish word 'imaginar' means 'star', but not both.",sp_en_trans,The Spanish word 'oveja' means 'busy'.,The Spanish word 'imaginar' means 'star'.,0,0,FF,xor,AB
"Either the Spanish word 'caliente' means 'hot' or the Spanish word 'fuego' means 'fire', but not both.",sp_en_trans,The Spanish word 'caliente' means 'hot'.,The Spanish word 'fuego' means 'fire'.,1,1,TT,xor,AB
"Either the camel is a mammal or the moose is a reptile, but not both.",animal_class,The moose is a reptile.,The camel is a mammal.,0,1,FT,xor,BA
"Either the city of Khulna is in Bangladesh or the city of Osaka is in Japan, but not both.",cities,The city of Osaka is in Japan.,The city of Khulna is in Bangladesh.,1,1,TT,xor,BA
"Either the city of Port Harcourt is in Malaysia or the city of Santiago de los Caballeros is in China, but not both.",cities,The city of Santiago de los Caballeros is in China.,The city of Port Harcourt is in Malaysia.,0,0,FF,xor,BA
"Either Tellurium has the symbol Zn or Zirconium has the symbol Ru, but not both.",element_symb,Tellurium has the symbol Zn.,Zirconium has the symbol Ru.,0,0,FF,xor,AB
"Either the city of Vladivostok is in Russia or the city of Tlaquepaque is in Mexico, but not both.",cities,The city of Vladivostok is in Russia.,The city of Tlaquepaque is in Mexico.,1,1,TT,xor,AB
"Either Aluminum has the symbol Al or Niobium has the symbol Nb, but not both.",element_symb,Aluminum has the symbol Al.,Niobium has the symbol Nb.,1,1,TT,xor,AB
"Either Igor Tamm lived in Russia or Whitcomb Judson lived in Sweden/the U.S, but not both.",inventors,Whitcomb Judson lived in Sweden/the U.S.,Igor Tamm lived in Russia.,0,1,FT,xor,BA
"Either Krypton has the symbol Kr or Nickel has the symbol Ni, but not both.",element_symb,Nickel has the symbol Ni.,Krypton has the symbol Kr.,1,1,TT,xor,BA
"Either the sparrow is a crustacean or the chicken is a mammal, but not both.",animal_class,The chicken is a mammal.,The sparrow is a crustacean.,0,0,FF,xor,BA
"Either the Spanish word 'guardar' means 'to save' or the Spanish word 'familia' means 'family', but not both.",sp_en_trans,The Spanish word 'familia' means 'family'.,The Spanish word 'guardar' means 'to save'.,1,1,TT,xor,BA
"Either Germanium has the symbol Ge or Potassium has the symbol K, but not both.",element_symb,Germanium has the symbol Ge.,Potassium has the symbol K.,1,1,TT,xor,AB
