statement,topic,truth_label,entity,dedup_identity,source_r1_row_indices,source_r1_conjunct_refs,n_r1_rows,n_r1_conjunct_occurrences,absence_reason
The crocodile is a bird.,animal_class,0,crocodile,animal_class::The crocodile is a bird.,"[646, 1112, 1250, 1320, 1607, 1662, 1789, 2020, 2460, 2838, 3423, 3519, 3963, 4582, 6837, 6968]","[""646:A"", ""1112:A"", ""1250:A"", ""1320:A"", ""1607:A"", ""1662:A"", ""1789:A"", ""2020:A"", ""2460:A"", ""2838:A"", ""3423:A"", ""3519:A"", ""3963:A"", ""4582:A"", ""6837:A"", ""6968:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The deer is a reptile.,animal_class,0,deer,animal_class::The deer is a reptile.,"[31, 352, 482, 625, 1227, 1339, 1694, 2481, 2945, 3115, 3868, 4165, 4452, 4666, 4765, 4782, 5145, 5148, 5300, 5626, 5893, 5895, 6280, 6764]","[""31:B"", ""352:B"", ""482:B"", ""625:B"", ""1227:B"", ""1339:B"", ""1694:B"", ""2481:B"", ""2945:B"", ""3115:B"", ""3868:B"", ""4165:B"", ""4452:B"", ""4666:B"", ""4765:B"", ""4782:B"", ""5145:B"", ""5148:B"", ""5300:B"", ""5626:B"", ""5893:B"", ""5895:B"", ""6280:B"", ""6764:B""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
The dog is a reptile.,animal_class,0,dog,animal_class::The dog is a reptile.,"[93, 370, 389, 502, 517, 952, 1122, 1154, 1695, 1858, 3687, 4233, 5329, 5469, 6354, 7617]","[""93:A"", ""370:A"", ""389:B"", ""502:B"", ""517:A"", ""952:A"", ""1122:B"", ""1154:A"", ""1695:A"", ""1858:B"", ""3687:B"", ""4233:A"", ""5329:B"", ""5469:B"", ""6354:A"", ""7617:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The eagle is a mollusk.,animal_class,0,eagle,animal_class::The eagle is a mollusk.,"[1094, 3009, 3793, 4250, 5686, 6169, 7511, 7670]","[""1094:B"", ""3009:B"", ""3793:B"", ""4250:B"", ""5686:B"", ""6169:B"", ""7511:B"", ""7670:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The elephant is a crustacean.,animal_class,0,elephant,animal_class::The elephant is a crustacean.,"[139, 1348, 1768, 1795, 2244, 3675, 4077, 4465, 4848, 5272, 6066, 6729, 6831, 6924, 7381, 7979]","[""139:B"", ""1348:B"", ""1768:B"", ""1795:B"", ""2244:B"", ""3675:B"", ""4077:B"", ""4465:B"", ""4848:B"", ""5272:B"", ""6066:B"", ""6729:B"", ""6831:B"", ""6924:B"", ""7381:B"", ""7979:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The flamingo is a amphibian.,animal_class,0,flamingo,animal_class::The flamingo is a amphibian.,"[1197, 2466, 2845, 3338, 4227, 5336, 6198, 7944]","[""1197:A"", ""2466:A"", ""2845:A"", ""3338:A"", ""4227:A"", ""5336:A"", ""6198:A"", ""7944:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The gazelle is a reptile.,animal_class,0,gazelle,animal_class::The gazelle is a reptile.,"[121, 169, 396, 589, 595, 951, 1525, 1603, 1909, 2958, 3440, 3504, 3566, 3580, 3620, 3681, 4295, 4699, 5372, 5892, 6674, 6717, 6856, 7208]","[""121:A"", ""169:B"", ""396:B"", ""589:B"", ""595:A"", ""951:B"", ""1525:A"", ""1603:A"", ""1909:B"", ""2958:B"", ""3440:B"", ""3504:A"", ""3566:B"", ""3580:B"", ""3620:A"", ""3681:B"", ""4295:B"", ""4699:A"", ""5372:B"", ""5892:A"", ""6674:B"", ""6717:B"", ""6856:B"", ""7208:B""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
The goat is a reptile.,animal_class,0,goat,animal_class::The goat is a reptile.,"[129, 254, 302, 455, 697, 760, 1161, 1175, 1178, 1276, 1355, 1587, 2110, 2205, 2431, 2435, 2499, 3007, 3044, 3154, 3244, 3582, 3592, 3676, 3866, 4035, 4052, 4315, 4360, 4491, 4581, 4760, 4763, 5076, 5086, 5112, 5138, 5484, 5608, 5750, 5905, 5931, 6123, 6981, 7017, 7229, 7303, 7340, 7363, 7391, 7612, 7742, 7782, 7796, 7859, 7984]","[""129:B"", ""254:A"", ""302:A"", ""455:B"", ""697:B"", ""760:B"", ""1161:B"", ""1175:B"", ""1178:B"", ""1276:B"", ""1355:A"", ""1587:A"", ""2110:A"", ""2205:B"", ""2431:B"", ""2435:B"", ""2499:B"", ""3007:A"", ""3044:A"", ""3154:A"", ""3244:B"", ""3582:B"", ""3592:B"", ""3676:B"", ""3866:A"", ""4035:A"", ""4052:B"", ""4315:B"", ""4360:A"", ""4491:A"", ""4581:B"", ""4760:A"", ""4763:B"", ""5076:A"", ""5086:B"", ""5112:A"", ""5138:B"", ""5484:A"", ""5608:A"", ""5750:B"", ""5905:B"", ""5931:A"", ""6123:B"", ""6981:A"", ""7017:B"", ""7229:B"", ""7303:B"", ""7340:B"", ""7363:A"", ""7391:A"", ""7612:B"", ""7742:A"", ""7782:B"", ""7796:B"", ""7859:A"", ""7984:A""]",56,56,generated_wrong_object_text_absent_from_source_atomic_metadata
The goldfish is a mollusk.,animal_class,0,goldfish,animal_class::The goldfish is a mollusk.,"[484, 888, 1647, 2019, 2116, 2121, 2122, 2546, 2803, 3254, 3721, 4182, 4385, 4634, 5142, 5159, 5545, 5787, 5907, 6642, 6745, 6986, 7001, 7012]","[""484:A"", ""888:A"", ""1647:A"", ""2019:A"", ""2116:A"", ""2121:A"", ""2122:A"", ""2546:A"", ""2803:A"", ""3254:A"", ""3721:A"", ""4182:A"", ""4385:A"", ""4634:A"", ""5142:A"", ""5159:A"", ""5545:A"", ""5787:A"", ""5907:A"", ""6642:A"", ""6745:A"", ""6986:A"", ""7001:A"", ""7012:A""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
The gorilla is a reptile.,animal_class,0,gorilla,animal_class::The gorilla is a reptile.,"[72, 481, 1563, 1668, 1710, 2037, 2285, 2348, 2382, 2835, 2863, 2983, 3429, 3678, 3716, 3788, 3915, 4044, 4142, 4450, 5042, 5293, 5486, 5773, 5838, 6296, 6300, 6334, 6335, 6930, 7218, 7374]","[""72:A"", ""481:B"", ""1563:B"", ""1668:A"", ""1710:A"", ""2037:B"", ""2285:B"", ""2348:B"", ""2382:B"", ""2835:A"", ""2863:A"", ""2983:B"", ""3429:B"", ""3678:B"", ""3716:B"", ""3788:A"", ""3915:A"", ""4044:B"", ""4142:A"", ""4450:B"", ""5042:B"", ""5293:A"", ""5486:A"", ""5773:B"", ""5838:A"", ""6296:A"", ""6300:A"", ""6334:B"", ""6335:A"", ""6930:A"", ""7218:A"", ""7374:B""]",32,32,generated_wrong_object_text_absent_from_source_atomic_metadata
The hamster is a bird.,animal_class,0,hamster,animal_class::The hamster is a bird.,"[72, 300, 366, 888, 1083, 1497, 1662, 1668, 1811, 2019, 2020, 2122, 2894, 3406, 3519, 3692, 3721, 3781, 3794, 3832, 3955, 3973, 5391, 5661, 6156, 6335, 6750, 6968, 6970, 7218, 7895, 7951]","[""72:B"", ""300:B"", ""366:B"", ""888:B"", ""1083:B"", ""1497:B"", ""1662:B"", ""1668:B"", ""1811:B"", ""2019:B"", ""2020:B"", ""2122:B"", ""2894:A"", ""3406:A"", ""3519:B"", ""3692:B"", ""3721:B"", ""3781:A"", ""3794:A"", ""3832:A"", ""3955:B"", ""3973:A"", ""5391:A"", ""5661:B"", ""6156:B"", ""6335:B"", ""6750:B"", ""6968:B"", ""6970:B"", ""7218:B"", ""7895:B"", ""7951:A""]",32,32,generated_wrong_object_text_absent_from_source_atomic_metadata
The hedgehog is a fish.,animal_class,0,hedgehog,animal_class::The hedgehog is a fish.,"[317, 818, 1427, 1608, 1671, 1724, 1867, 2030, 2119, 2174, 2504, 2549, 2581, 2654, 2817, 3342, 3542, 3671, 3717, 4022, 4138, 4829, 5220, 5464, 5468, 5842, 5889, 5902, 6294, 6370, 6703, 7500]","[""317:B"", ""818:B"", ""1427:A"", ""1608:A"", ""1671:B"", ""1724:A"", ""1867:B"", ""2030:B"", ""2119:A"", ""2174:B"", ""2504:B"", ""2549:A"", ""2581:B"", ""2654:A"", ""2817:A"", ""3342:B"", ""3542:B"", ""3671:A"", ""3717:A"", ""4022:A"", ""4138:B"", ""4829:A"", ""5220:B"", ""5464:B"", ""5468:B"", ""5842:A"", ""5889:A"", ""5902:B"", ""6294:A"", ""6370:A"", ""6703:A"", ""7500:B""]",32,32,generated_wrong_object_text_absent_from_source_atomic_metadata
The hippopotamus is a mollusk.,animal_class,0,hippopotamus,animal_class::The hippopotamus is a mollusk.,"[639, 1109, 1143, 1238, 1383, 1396, 1637, 1755, 2128, 2144, 2488, 2723, 2836, 3540, 3807, 4054, 4379, 4701, 5342, 5845, 6028, 7215, 7841, 7924]","[""639:B"", ""1109:B"", ""1143:A"", ""1238:A"", ""1383:A"", ""1396:B"", ""1637:B"", ""1755:B"", ""2128:B"", ""2144:B"", ""2488:B"", ""2723:B"", ""2836:B"", ""3540:A"", ""3807:B"", ""4054:A"", ""4379:B"", ""4701:A"", ""5342:B"", ""5845:B"", ""6028:A"", ""7215:A"", ""7841:B"", ""7924:B""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
The horse is a fish.,animal_class,0,horse,animal_class::The horse is a fish.,"[28, 251, 555, 907, 969, 1261, 2361, 2619, 2900, 4083, 4284, 4341, 5031, 5256, 5451, 5512, 5633, 5915, 6018, 6197, 6402, 6772, 6833, 7882]","[""28:A"", ""251:A"", ""555:A"", ""907:A"", ""969:A"", ""1261:A"", ""2361:A"", ""2619:A"", ""2900:A"", ""4083:A"", ""4284:A"", ""4341:A"", ""5031:A"", ""5256:A"", ""5451:A"", ""5512:A"", ""5633:A"", ""5915:A"", ""6018:A"", ""6197:A"", ""6402:A"", ""6772:A"", ""6833:A"", ""7882:A""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
The hummingbird is a crustacean.,animal_class,0,hummingbird,animal_class::The hummingbird is a crustacean.,"[624, 664, 708, 1250, 1320, 1372, 1789, 1797, 1917, 2128, 2571, 2685, 2836, 2892, 2928, 3127, 3438, 4226, 4562, 5031, 5129, 5223, 5242, 5423, 5466, 5512, 5537, 5542, 5633, 5652, 5845, 6180, 6186, 6235, 6402, 6512, 6837, 7389, 7924, 7986]","[""624:A"", ""664:A"", ""708:A"", ""1250:B"", ""1320:B"", ""1372:A"", ""1789:B"", ""1797:B"", ""1917:B"", ""2128:A"", ""2571:B"", ""2685:A"", ""2836:A"", ""2892:A"", ""2928:B"", ""3127:B"", ""3438:A"", ""4226:B"", ""4562:A"", ""5031:B"", ""5129:B"", ""5223:A"", ""5242:A"", ""5423:B"", ""5466:B"", ""5512:B"", ""5537:A"", ""5542:B"", ""5633:B"", ""5652:A"", ""5845:A"", ""6180:B"", ""6186:B"", ""6235:B"", ""6402:B"", ""6512:B"", ""6837:B"", ""7389:B"", ""7924:A"", ""7986:B""]",40,40,generated_wrong_object_text_absent_from_source_atomic_metadata
The hyena is a cnidarian.,animal_class,0,hyena,animal_class::The hyena is a cnidarian.,"[83, 796, 1592, 2538, 2987, 3612, 4224, 4418, 4572, 4997, 5416, 5777, 5882, 6485, 6939, 7939]","[""83:A"", ""796:A"", ""1592:B"", ""2538:B"", ""2987:B"", ""3612:B"", ""4224:B"", ""4418:B"", ""4572:A"", ""4997:A"", ""5416:A"", ""5777:B"", ""5882:A"", ""6485:B"", ""6939:A"", ""7939:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The iguana is a crustacean.,animal_class,0,iguana,animal_class::The iguana is a crustacean.,"[370, 952, 1091, 1154, 1695, 1791, 2270, 2945, 3355, 3901, 4197, 4292, 4452, 4490, 4666, 4802, 5038, 5626, 5928, 6574, 6587, 6909, 6965, 7930]","[""370:B"", ""952:B"", ""1091:B"", ""1154:B"", ""1695:B"", ""1791:B"", ""2270:A"", ""2945:A"", ""3355:B"", ""3901:A"", ""4197:B"", ""4292:B"", ""4452:A"", ""4490:B"", ""4666:A"", ""4802:B"", ""5038:A"", ""5626:A"", ""5928:B"", ""6574:A"", ""6587:B"", ""6909:B"", ""6965:B"", ""7930:B""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
The kangaroo is a reptile.,animal_class,0,kangaroo,animal_class::The kangaroo is a reptile.,"[625, 739, 1212, 2121, 3115, 3477, 3510, 4108, 4428, 4513, 5145, 5159, 5528, 5843, 5895, 5907, 6251, 6332, 6942, 7001, 7011, 7121, 7407, 7805]","[""625:A"", ""739:B"", ""1212:A"", ""2121:B"", ""3115:A"", ""3477:A"", ""3510:B"", ""4108:B"", ""4428:B"", ""4513:B"", ""5145:A"", ""5159:B"", ""5528:A"", ""5843:B"", ""5895:A"", ""5907:B"", ""6251:B"", ""6332:B"", ""6942:B"", ""7001:B"", ""7011:B"", ""7121:A"", ""7407:B"", ""7805:B""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
The leopard is a cnidarian.,animal_class,0,leopard,animal_class::The leopard is a cnidarian.,"[1777, 2793, 3508, 3616, 3844, 5355, 6293, 6719]","[""1777:B"", ""2793:B"", ""3508:B"", ""3616:B"", ""3844:B"", ""5355:B"", ""6293:B"", ""6719:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The lion is a cnidarian.,animal_class,0,lion,animal_class::The lion is a cnidarian.,"[84, 179, 479, 915, 1367, 1556, 1759, 1990, 2052, 2552, 2712, 2817, 2840, 2860, 3012, 3454, 3625, 3671, 3691, 3818, 3909, 4112, 5154, 5406, 5471, 5933, 5944, 6002, 6329, 6370, 6611, 6665, 6684, 6703, 6781, 6971, 7256, 7684, 7869, 7889]","[""84:B"", ""179:B"", ""479:B"", ""915:A"", ""1367:B"", ""1556:B"", ""1759:B"", ""1990:A"", ""2052:B"", ""2552:B"", ""2712:B"", ""2817:B"", ""2840:B"", ""2860:A"", ""3012:A"", ""3454:B"", ""3625:B"", ""3671:B"", ""3691:B"", ""3818:A"", ""3909:B"", ""4112:B"", ""5154:B"", ""5406:B"", ""5471:B"", ""5933:A"", ""5944:B"", ""6002:B"", ""6329:B"", ""6370:B"", ""6611:B"", ""6665:B"", ""6684:B"", ""6703:B"", ""6781:A"", ""6971:B"", ""7256:A"", ""7684:B"", ""7869:B"", ""7889:B""]",40,40,generated_wrong_object_text_absent_from_source_atomic_metadata
The llama is a mollusk.,animal_class,0,llama,animal_class::The llama is a mollusk.,"[192, 388, 446, 774, 855, 1266, 1307, 1371, 1401, 1563, 1723, 1805, 2528, 2869, 2983, 3231, 3374, 3428, 3592, 3656, 3667, 3668, 3754, 3767, 4044, 4237, 4450, 4665, 4763, 4867, 4959, 5138, 5284, 5970, 5988, 6214, 6302, 6428, 6562, 6599, 6709, 7051, 7055, 7245, 7449, 7714, 7718, 7796]","[""192:A"", ""388:A"", ""446:A"", ""774:A"", ""855:B"", ""1266:B"", ""1307:A"", ""1371:A"", ""1401:B"", ""1563:A"", ""1723:B"", ""1805:A"", ""2528:A"", ""2869:A"", ""2983:A"", ""3231:A"", ""3374:A"", ""3428:A"", ""3592:A"", ""3656:B"", ""3667:A"", ""3668:B"", ""3754:A"", ""3767:A"", ""4044:A"", ""4237:B"", ""4450:A"", ""4665:A"", ""4763:A"", ""4867:A"", ""4959:B"", ""5138:A"", ""5284:B"", ""5970:B"", ""5988:B"", ""6214:A"", ""6302:B"", ""6428:A"", ""6562:A"", ""6599:A"", ""6709:A"", ""7051:B"", ""7055:A"", ""7245:B"", ""7449:B"", ""7714:A"", ""7718:B"", ""7796:A""]",48,48,generated_wrong_object_text_absent_from_source_atomic_metadata
The lobster is a arachnid.,animal_class,0,lobster,animal_class::The lobster is a arachnid.,"[299, 378, 872, 1637, 1849, 2076, 2436, 2489, 2623, 3306, 3427, 3456, 3807, 3917, 4255, 5022, 5030, 5063, 5342, 5805, 6653, 7841, 7961, 7985]","[""299:B"", ""378:A"", ""872:A"", ""1637:A"", ""1849:B"", ""2076:B"", ""2436:B"", ""2489:B"", ""2623:A"", ""3306:A"", ""3427:B"", ""3456:A"", ""3807:A"", ""3917:A"", ""4255:A"", ""5022:B"", ""5030:A"", ""5063:A"", ""5342:A"", ""5805:A"", ""6653:A"", ""7841:A"", ""7961:A"", ""7985:B""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
The mongoose is a reptile.,animal_class,0,mongoose,animal_class::The mongoose is a reptile.,"[247, 371, 679, 818, 1274, 1306, 1401, 1449, 1707, 2044, 2174, 2393, 2916, 3656, 3839, 3854, 4559, 5060, 5220, 5906, 5988, 7051, 7500, 7501]","[""247:A"", ""371:A"", ""679:A"", ""818:A"", ""1274:A"", ""1306:B"", ""1401:A"", ""1449:B"", ""1707:A"", ""2044:B"", ""2174:A"", ""2393:B"", ""2916:B"", ""3656:A"", ""3839:A"", ""3854:A"", ""4559:B"", ""5060:A"", ""5220:A"", ""5906:B"", ""5988:A"", ""7051:A"", ""7500:A"", ""7501:B""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
The moose is a reptile.,animal_class,0,moose,animal_class::The moose is a reptile.,"[9, 37, 355, 1099, 1232, 1700, 2198, 2290, 2317, 2657, 2662, 2829, 2830, 3127, 3318, 3388, 3409, 3615, 3751, 3764, 3931, 4226, 4857, 5129, 5225, 5404, 5423, 5433, 5558, 5640, 5701, 5817, 6106, 6114, 6301, 6303, 6624, 6647, 6713, 6782, 6945, 7147, 7250, 7254, 7593, 7733, 7839, 7983]","[""9:B"", ""37:A"", ""355:A"", ""1099:A"", ""1232:A"", ""1700:A"", ""2198:A"", ""2290:A"", ""2317:A"", ""2657:A"", ""2662:A"", ""2829:A"", ""2830:A"", ""3127:A"", ""3318:A"", ""3388:A"", ""3409:A"", ""3615:A"", ""3751:B"", ""3764:A"", ""3931:A"", ""4226:A"", ""4857:A"", ""5129:A"", ""5225:A"", ""5404:A"", ""5423:A"", ""5433:A"", ""5558:B"", ""5640:A"", ""5701:A"", ""5817:A"", ""6106:A"", ""6114:B"", ""6301:B"", ""6303:A"", ""6624:B"", ""6647:A"", ""6713:B"", ""6782:A"", ""6945:B"", ""7147:A"", ""7250:A"", ""7254:A"", ""7593:A"", ""7733:A"", ""7839:A"", ""7983:A""]",48,48,generated_wrong_object_text_absent_from_source_atomic_metadata
The narwhal is a fish.,animal_class,0,narwhal,animal_class::The narwhal is a fish.,"[859, 1409, 2096, 2110, 2130, 2422, 3154, 3317, 3422, 3744, 4491, 6278, 6320, 7053, 7391, 7932]","[""859:B"", ""1409:B"", ""2096:B"", ""2110:B"", ""2130:B"", ""2422:B"", ""3154:B"", ""3317:B"", ""3422:B"", ""3744:B"", ""4491:B"", ""6278:B"", ""6320:B"", ""7053:B"", ""7391:B"", ""7932:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The ostrich is a mollusk.,animal_class,0,ostrich,animal_class::The ostrich is a mollusk.,"[3962, 4471, 5594, 5674, 5710, 6017, 7090, 7704]","[""3962:A"", ""4471:A"", ""5594:A"", ""5674:A"", ""5710:A"", ""6017:A"", ""7090:A"", ""7704:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The otter is a arachnid.,animal_class,0,otter,animal_class::The otter is a arachnid.,"[32, 1399, 1656, 1661, 1998, 2150, 2413, 2890, 3375, 3415, 3772, 3927, 4050, 4293, 4665, 5455, 5558, 5627, 5650, 5785, 6133, 6137, 6301, 6428, 6562, 6624, 6709, 6713, 7393, 7756, 7822, 7828]","[""32:B"", ""1399:A"", ""1656:A"", ""1661:B"", ""1998:A"", ""2150:A"", ""2413:B"", ""2890:B"", ""3375:A"", ""3415:B"", ""3772:A"", ""3927:B"", ""4050:A"", ""4293:B"", ""4665:B"", ""5455:A"", ""5558:A"", ""5627:A"", ""5650:B"", ""5785:B"", ""6133:B"", ""6137:B"", ""6301:A"", ""6428:B"", ""6562:B"", ""6624:A"", ""6709:B"", ""6713:A"", ""7393:A"", ""7756:B"", ""7822:A"", ""7828:A""]",32,32,generated_wrong_object_text_absent_from_source_atomic_metadata
