statement,topic,conjunctA,conjunctB,labelA,labelB,cell,connective,ordering
Hans von Ohain lived in Germany blah Reginald Fessenden lived in Canada/the U.S.,inventors,Reginald Fessenden lived in Canada/the U.S.,Hans von Ohain lived in Germany.,1,1,TT,blah,BA
The walrus is a cnidarian blah the zebra is a arachnid.,animal_class,The walrus is a cnidarian.,The zebra is a arachnid.,0,0,FF,blah,AB
Henry Bessemer lived in the U.K blah Georges Claude lived in Sweden/the U.S.,inventors,Henry Bessemer lived in the U.K.,Georges Claude lived in Sweden/the U.S.,1,0,TF,blah,AB
Osmium has the symbol Os blah Boron has the symbol H.,element_symb,Osmium has the symbol Os.,Boron has the symbol H.,1,0,TF,blah,AB
Cobalt has the symbol H blah Hydrogen has the symbol Cl.,element_symb,Cobalt has the symbol H.,Hydrogen has the symbol Cl.,0,0,FF,blah,AB
The cassowary is a amphibian blah the skunk is a mammal.,animal_class,The skunk is a mammal.,The cassowary is a amphibian.,1,0,TF,blah,BA
Palladium has the symbol Ir blah Uranium has the symbol U.,element_symb,Uranium has the symbol U.,Palladium has the symbol Ir.,1,0,TF,blah,BA
The panda is a bird blah the seagull is a reptile.,animal_class,The seagull is a reptile.,The panda is a bird.,0,0,FF,blah,BA
The Spanish word 'nombre' means 'water' blah the Spanish word 'negro' means 'black'.,sp_en_trans,The Spanish word 'negro' means 'black'.,The Spanish word 'nombre' means 'water'.,1,0,TF,blah,BA
The Spanish word 'belleza' means 'beauty' blah the Spanish word 'piel' means 'three'.,sp_en_trans,The Spanish word 'piel' means 'three'.,The Spanish word 'belleza' means 'beauty'.,0,1,FT,blah,BA
The Spanish word 'hueso' means 'to eat' blah the Spanish word 'mujer' means 'enough'.,sp_en_trans,The Spanish word 'mujer' means 'enough'.,The Spanish word 'hueso' means 'to eat'.,0,0,FF,blah,BA
The Spanish word 'y' means 'city' blah the Spanish word 'ciudad' means 'to connect'.,sp_en_trans,The Spanish word 'y' means 'city'.,The Spanish word 'ciudad' means 'to connect'.,0,0,FF,blah,AB
The city of Okayama is in Somalia blah the city of Changchun is in Senegal.,cities,The city of Changchun is in Senegal.,The city of Okayama is in Somalia.,0,0,FF,blah,BA
Nitrogen has the symbol N blah Copper has the symbol La.,element_symb,Nitrogen has the symbol N.,Copper has the symbol La.,1,0,TF,blah,AB
Édouard-Léon Scott de Martinville lived in France blah Arthur Fry lived in the U.S.,inventors,Édouard-Léon Scott de Martinville lived in France.,Arthur Fry lived in the U.S.,1,1,TT,blah,AB
The rabbit is a bird blah the otter is a mammal.,animal_class,The rabbit is a bird.,The otter is a mammal.,0,1,FT,blah,AB
The parrot is a bird blah the chimpanzee is a insect.,animal_class,The parrot is a bird.,The chimpanzee is a insect.,1,0,TF,blah,AB
Narinder Singh Kapany lived in India blah John Wesley Hyatt lived in England.,inventors,John Wesley Hyatt lived in England.,Narinder Singh Kapany lived in India.,0,1,FT,blah,BA
The city of Indore is in Argentina blah the city of Lodz is in Niger.,cities,The city of Lodz is in Niger.,The city of Indore is in Argentina.,0,0,FF,blah,BA
The Spanish word 'concha' means 'shell' blah the Spanish word 'papel' means 'neck'.,sp_en_trans,The Spanish word 'papel' means 'neck'.,The Spanish word 'concha' means 'shell'.,0,1,FT,blah,BA
The narwhal is a fish blah the goat is a reptile.,animal_class,The goat is a reptile.,The narwhal is a fish.,0,0,FF,blah,BA
The Spanish word 'clase' means 'class' blah the Spanish word 'conectar' means 'to sell'.,sp_en_trans,The Spanish word 'conectar' means 'to sell'.,The Spanish word 'clase' means 'class'.,0,1,FT,blah,BA
Clarence Birdseye lived in Croatia blah Candace Pert lived in the U.S.,inventors,Clarence Birdseye lived in Croatia.,Candace Pert lived in the U.S.,0,1,FT,blah,AB
The city of Changchun is in China blah the city of Okayama is in Japan.,cities,The city of Changchun is in China.,The city of Okayama is in Japan.,1,1,TT,blah,AB
The seagull is a reptile blah the panda is a mammal.,animal_class,The seagull is a reptile.,The panda is a mammal.,0,1,FT,blah,AB
The Spanish word 'ejemplo' means 'example' blah the Spanish word 'abrigo' means 'to eat'.,sp_en_trans,The Spanish word 'ejemplo' means 'example'.,The Spanish word 'abrigo' means 'to eat'.,1,0,TF,blah,AB
Rhenium has the symbol Pb blah Argon has the symbol Pr.,element_symb,Argon has the symbol Pr.,Rhenium has the symbol Pb.,0,0,FF,blah,BA
Benjamin Holt lived in Poland/Germany blah Willis Carrier lived in the U.S.,inventors,Benjamin Holt lived in Poland/Germany.,Willis Carrier lived in the U.S.,0,1,FT,blah,AB
Marvin Camras lived in Japan blah John Ambrose Fleming lived in Finland.,inventors,John Ambrose Fleming lived in Finland.,Marvin Camras lived in Japan.,0,0,FF,blah,BA
Vanadium has the symbol V blah Phosphorus has the symbol Se.,element_symb,Phosphorus has the symbol Se.,Vanadium has the symbol V.,0,1,FT,blah,BA
The llama is a mollusk blah the mongoose is a reptile.,animal_class,The mongoose is a reptile.,The llama is a mollusk.,0,0,FF,blah,BA
Zinc has the symbol Ac blah Thulium has the symbol Tm.,element_symb,Zinc has the symbol Ac.,Thulium has the symbol Tm.,0,1,FT,blah,AB
The lion is a cnidarian blah the chimpanzee is a insect.,animal_class,The chimpanzee is a insect.,The lion is a cnidarian.,0,0,FF,blah,BA
The whale is a amphibian blah the goat is a mammal.,animal_class,The goat is a mammal.,The whale is a amphibian.,1,0,TF,blah,BA
The Spanish word 'enviar' means 'to send' blah the Spanish word 'hombro' means 'shoulder'.,sp_en_trans,The Spanish word 'hombro' means 'shoulder'.,The Spanish word 'enviar' means 'to send'.,1,1,TT,blah,BA
Potassium has the symbol K blah Germanium has the symbol Ge.,element_symb,Germanium has the symbol Ge.,Potassium has the symbol K.,1,1,TT,blah,BA
Willis Carrier lived in the U.S blah Igor Tamm lived in Denmark.,inventors,Willis Carrier lived in the U.S.,Igor Tamm lived in Denmark.,1,0,TF,blah,AB
The Spanish word 'clase' means 'twenty' blah the Spanish word 'bosque' means 'forest'.,sp_en_trans,The Spanish word 'clase' means 'twenty'.,The Spanish word 'bosque' means 'forest'.,0,1,FT,blah,AB
The city of Makassar is in the United States blah the city of Al Mawsil al Jadidah is in Iraq.,cities,The city of Al Mawsil al Jadidah is in Iraq.,The city of Makassar is in the United States.,1,0,TF,blah,BA
The hyena is a cnidarian blah the chimpanzee is a insect.,animal_class,The hyena is a cnidarian.,The chimpanzee is a insect.,0,0,FF,blah,AB
Gideon Sundback lived in Poland/Germany blah Grace Hopper lived in the U.S.,inventors,Grace Hopper lived in the U.S.,Gideon Sundback lived in Poland/Germany.,1,0,TF,blah,BA
The Spanish word 'imaginar' means 'star' blah the Spanish word 'tercero' means 'sea'.,sp_en_trans,The Spanish word 'imaginar' means 'star'.,The Spanish word 'tercero' means 'sea'.,0,0,FF,blah,AB
The Spanish word 'bosque' means 'forest' blah the Spanish word 'huevo' means 'sister'.,sp_en_trans,The Spanish word 'bosque' means 'forest'.,The Spanish word 'huevo' means 'sister'.,1,0,TF,blah,AB
The city of Yangquan is in Mozambique blah the city of Bhayandar is in India.,cities,The city of Bhayandar is in India.,The city of Yangquan is in Mozambique.,1,0,TF,blah,BA
The goat is a reptile blah the whale is a amphibian.,animal_class,The goat is a reptile.,The whale is a amphibian.,0,0,FF,blah,AB
Ernesto Blanco lived in India blah Ernest Swinton lived in Poland/France.,inventors,Ernesto Blanco lived in India.,Ernest Swinton lived in Poland/France.,0,0,FF,blah,AB
Tantalum has the symbol La blah Barium has the symbol Ba.,element_symb,Tantalum has the symbol La.,Barium has the symbol Ba.,0,1,FT,blah,AB
The city of Marseille is in Romania blah the city of Jiaxing is in North Korea.,cities,The city of Marseille is in Romania.,The city of Jiaxing is in North Korea.,0,0,FF,blah,AB
The aardvark is a insect blah the hyena is a cnidarian.,animal_class,The aardvark is a insect.,The hyena is a cnidarian.,0,0,FF,blah,AB
The Spanish word 'perro' means 'dog' blah the Spanish word 'hablar' means 'dictionary'.,sp_en_trans,The Spanish word 'hablar' means 'dictionary'.,The Spanish word 'perro' means 'dog'.,0,1,FT,blah,BA
Scandium has the symbol Kr blah Thorium has the symbol Th.,element_symb,Scandium has the symbol Kr.,Thorium has the symbol Th.,0,1,FT,blah,AB
The city of Kisangani is in the Democratic Republic of the Congo blah the city of Ciudad Nezahualcoyotl is in Mongolia.,cities,The city of Ciudad Nezahualcoyotl is in Mongolia.,The city of Kisangani is in the Democratic Republic of the Congo.,0,1,FT,blah,BA
Selenium has the symbol Po blah Boron has the symbol H.,element_symb,Selenium has the symbol Po.,Boron has the symbol H.,0,0,FF,blah,AB
The Spanish word 'oveja' means 'sheep' blah the Spanish word 'imaginar' means 'star'.,sp_en_trans,The Spanish word 'oveja' means 'sheep'.,The Spanish word 'imaginar' means 'star'.,1,0,TF,blah,AB
The city of Irbid is in Burkina Faso blah the city of Sanaa is in Yemen.,cities,The city of Sanaa is in Yemen.,The city of Irbid is in Burkina Faso.,1,0,TF,blah,BA
The Spanish word 'mezclar' means 'ice' blah the Spanish word 'viento' means 'industry'.,sp_en_trans,The Spanish word 'viento' means 'industry'.,The Spanish word 'mezclar' means 'ice'.,0,0,FF,blah,BA
The Spanish word 'desarrollar' means 'to develop' blah the Spanish word 'abierto' means 'to build'.,sp_en_trans,The Spanish word 'abierto' means 'to build'.,The Spanish word 'desarrollar' means 'to develop'.,0,1,FT,blah,BA
Joseph Bramah lived in Croatia blah Joseph Henry lived in Scotland.,inventors,Joseph Henry lived in Scotland.,Joseph Bramah lived in Croatia.,0,0,FF,blah,BA
James Hargreaves lived in Japan blah Garrett Morgan lived in Ukraine/the U.S.,inventors,James Hargreaves lived in Japan.,Garrett Morgan lived in Ukraine/the U.S.,0,0,FF,blah,AB
The city of Zhabei is in China blah the city of Rio de Janeiro is in Cambodia.,cities,The city of Rio de Janeiro is in Cambodia.,The city of Zhabei is in China.,0,1,FT,blah,BA
Molybdenum has the symbol V blah Nickel has the symbol Os.,element_symb,Nickel has the symbol Os.,Molybdenum has the symbol V.,0,0,FF,blah,BA
The Spanish word 'isla' means 'island' blah the Spanish word 'tres' means 'three'.,sp_en_trans,The Spanish word 'tres' means 'three'.,The Spanish word 'isla' means 'island'.,1,1,TT,blah,BA
The deer is a reptile blah the iguana is a reptile.,animal_class,The iguana is a reptile.,The deer is a reptile.,1,0,TF,blah,BA
Chromium has the symbol Cr blah Radon has the symbol Rn.,element_symb,Chromium has the symbol Cr.,Radon has the symbol Rn.,1,1,TT,blah,AB
The chimpanzee is a mammal blah the parrot is a arachnid.,animal_class,The parrot is a arachnid.,The chimpanzee is a mammal.,0,1,FT,blah,BA
The Spanish word 'coche' means 'month' blah the Spanish word 'hueso' means 'to eat'.,sp_en_trans,The Spanish word 'coche' means 'month'.,The Spanish word 'hueso' means 'to eat'.,0,0,FF,blah,AB
Lead has the symbol Pb blah Lithium has the symbol Li.,element_symb,Lithium has the symbol Li.,Lead has the symbol Pb.,1,1,TT,blah,BA
The Spanish word 'hielo' means 'ice' blah the Spanish word 'palabra' means 'word'.,sp_en_trans,The Spanish word 'hielo' means 'ice'.,The Spanish word 'palabra' means 'word'.,1,1,TT,blah,AB
The Spanish word 'oferta' means 'open' blah the Spanish word 'siete' means 'ice'.,sp_en_trans,The Spanish word 'siete' means 'ice'.,The Spanish word 'oferta' means 'open'.,0,0,FF,blah,BA
Sir Humphry Davy lived in the U.K blah Robert Noyce lived in the U.S.,inventors,Sir Humphry Davy lived in the U.K.,Robert Noyce lived in the U.S.,1,1,TT,blah,AB
The peacock is a bird blah the hamster is a bird.,animal_class,The hamster is a bird.,The peacock is a bird.,0,1,FT,blah,BA
The flamingo is a bird blah the seagull is a reptile.,animal_class,The flamingo is a bird.,The seagull is a reptile.,1,0,TF,blah,AB
The Spanish word 'boca' means 'mouth' blah the Spanish word 'uno' means 'one'.,sp_en_trans,The Spanish word 'boca' means 'mouth'.,The Spanish word 'uno' means 'one'.,1,1,TT,blah,AB
The Spanish word 'caer' means 'sun' blah the Spanish word 'enviar' means 'city'.,sp_en_trans,The Spanish word 'enviar' means 'city'.,The Spanish word 'caer' means 'sun'.,0,0,FF,blah,BA
The Spanish word 'ejemplo' means 'example' blah the Spanish word 'gato' means 'cat'.,sp_en_trans,The Spanish word 'gato' means 'cat'.,The Spanish word 'ejemplo' means 'example'.,1,1,TT,blah,BA
The city of Harbin is in China blah the city of Sapporo is in Japan.,cities,The city of Sapporo is in Japan.,The city of Harbin is in China.,1,1,TT,blah,BA
The city of Porto Velho is in Brazil blah the city of Abu Ghurayb is in Iraq.,cities,The city of Porto Velho is in Brazil.,The city of Abu Ghurayb is in Iraq.,1,1,TT,blah,AB
Benjamin Holt lived in the U.S blah Willis Carrier lived in the U.S.,inventors,Benjamin Holt lived in the U.S.,Willis Carrier lived in the U.S.,1,1,TT,blah,AB
Thallium has the symbol Fe blah Osmium has the symbol Os.,element_symb,Osmium has the symbol Os.,Thallium has the symbol Fe.,1,0,TF,blah,BA
Argon has the symbol Pr blah Thulium has the symbol Tm.,element_symb,Thulium has the symbol Tm.,Argon has the symbol Pr.,1,0,TF,blah,BA
The parrot is a arachnid blah the camel is a crustacean.,animal_class,The parrot is a arachnid.,The camel is a crustacean.,0,0,FF,blah,AB
The city of Krakow is in Poland blah the city of Chisinau is in Moldova.,cities,The city of Chisinau is in Moldova.,The city of Krakow is in Poland.,1,1,TT,blah,BA
Alfred Nobel lived in Sweden blah Charles Fritts lived in Italy.,inventors,Charles Fritts lived in Italy.,Alfred Nobel lived in Sweden.,0,1,FT,blah,BA
The cow is a mammal blah the whale is a mammal.,animal_class,The whale is a mammal.,The cow is a mammal.,1,1,TT,blah,BA
The Spanish word 'lento' means 'cook' blah the Spanish word 'familia' means 'dog'.,sp_en_trans,The Spanish word 'familia' means 'dog'.,The Spanish word 'lento' means 'cook'.,0,0,FF,blah,BA
The platypus is a arachnid blah the gazelle is a reptile.,animal_class,The platypus is a arachnid.,The gazelle is a reptile.,0,0,FF,blah,AB
The city of Quetta is in Pakistan blah the city of Orenburg is in Latvia.,cities,The city of Orenburg is in Latvia.,The city of Quetta is in Pakistan.,0,1,FT,blah,BA
Cesium has the symbol Cs blah Dysprosium has the symbol I.,element_symb,Dysprosium has the symbol I.,Cesium has the symbol Cs.,0,1,FT,blah,BA
Lead has the symbol Pb blah Strontium has the symbol I.,element_symb,Lead has the symbol Pb.,Strontium has the symbol I.,1,0,TF,blah,AB
Dysprosium has the symbol Dy blah Copper has the symbol Cu.,element_symb,Dysprosium has the symbol Dy.,Copper has the symbol Cu.,1,1,TT,blah,AB
Titanium has the symbol Ti blah Aluminum has the symbol Al.,element_symb,Aluminum has the symbol Al.,Titanium has the symbol Ti.,1,1,TT,blah,BA
The jellyfish is a mammal blah the platypus is a arachnid.,animal_class,The jellyfish is a mammal.,The platypus is a arachnid.,0,0,FF,blah,AB
Daisuke Inoue lived in Sweden blah Hans von Ohain lived in England.,inventors,Daisuke Inoue lived in Sweden.,Hans von Ohain lived in England.,0,0,FF,blah,AB
The Spanish word 'parte' means 'part' blah the Spanish word 'piedra' means 'stone'.,sp_en_trans,The Spanish word 'piedra' means 'stone'.,The Spanish word 'parte' means 'part'.,1,1,TT,blah,BA
Narinder Singh Kapany lived in Canada/the U.S blah Fridtjof Nansen lived in Scotland/Canada/the U.S.,inventors,Narinder Singh Kapany lived in Canada/the U.S.,Fridtjof Nansen lived in Scotland/Canada/the U.S.,0,0,FF,blah,AB
The Spanish word 'libre' means 'soldier' blah the Spanish word 'aceite' means 'oil'.,sp_en_trans,The Spanish word 'libre' means 'soldier'.,The Spanish word 'aceite' means 'oil'.,0,1,FT,blah,AB
The city of Ho Chi Minh City is in Ghana blah the city of Hannover is in Germany.,cities,The city of Ho Chi Minh City is in Ghana.,The city of Hannover is in Germany.,0,1,FT,blah,AB
The city of Diyarbakir is in Turkey blah the city of Seoul is in Zimbabwe.,cities,The city of Seoul is in Zimbabwe.,The city of Diyarbakir is in Turkey.,0,1,FT,blah,BA
The Spanish word 'ejemplo' means 'to see' blah the Spanish word 'abrigo' means 'coat'.,sp_en_trans,The Spanish word 'ejemplo' means 'to see'.,The Spanish word 'abrigo' means 'coat'.,0,1,FT,blah,AB
The Spanish word 'caer' means 'sun' blah the Spanish word 'enviar' means 'to send'.,sp_en_trans,The Spanish word 'enviar' means 'to send'.,The Spanish word 'caer' means 'sun'.,1,0,TF,blah,BA
Bromine has the symbol Br blah Potassium has the symbol K.,element_symb,Potassium has the symbol K.,Bromine has the symbol Br.,1,1,TT,blah,BA
Zinc has the symbol Ac blah Ytterbium has the symbol Yb.,element_symb,Ytterbium has the symbol Yb.,Zinc has the symbol Ac.,1,0,TF,blah,BA
The Spanish word 'gato' means 'cat' blah the Spanish word 'ejemplo' means 'to see'.,sp_en_trans,The Spanish word 'gato' means 'cat'.,The Spanish word 'ejemplo' means 'to see'.,1,0,TF,blah,AB
The Spanish word 'lento' means 'slow' blah the Spanish word 'familia' means 'dog'.,sp_en_trans,The Spanish word 'familia' means 'dog'.,The Spanish word 'lento' means 'slow'.,0,1,FT,blah,BA
The Spanish word 'escuela' means 'school' blah the Spanish word 'desarrollar' means 'sand'.,sp_en_trans,The Spanish word 'desarrollar' means 'sand'.,The Spanish word 'escuela' means 'school'.,0,1,FT,blah,BA
The tuna is a fish blah the raccoon is a mammal.,animal_class,The raccoon is a mammal.,The tuna is a fish.,1,1,TT,blah,BA
Ralph H. Baer lived in the U.S blah Hans Oersted lived in Denmark.,inventors,Ralph H. Baer lived in the U.S.,Hans Oersted lived in Denmark.,1,1,TT,blah,AB
Carl Sontheimer lived in the U.S blah Elihu Thomson lived in the U.S.,inventors,Carl Sontheimer lived in the U.S.,Elihu Thomson lived in the U.S.,1,1,TT,blah,AB
Igor Tamm lived in Russia blah Ralph H. Baer lived in Finland.,inventors,Igor Tamm lived in Russia.,Ralph H. Baer lived in Finland.,1,0,TF,blah,AB
Strontium has the symbol Sr blah Phosphorus has the symbol P.,element_symb,Phosphorus has the symbol P.,Strontium has the symbol Sr.,1,1,TT,blah,BA
Neodymium has the symbol Nd blah Cesium has the symbol Cs.,element_symb,Cesium has the symbol Cs.,Neodymium has the symbol Nd.,1,1,TT,blah,BA
Argon has the symbol Pr blah Neodymium has the symbol Te.,element_symb,Argon has the symbol Pr.,Neodymium has the symbol Te.,0,0,FF,blah,AB
The Spanish word 'hueso' means 'to eat' blah the Spanish word 'morir' means 'to die'.,sp_en_trans,The Spanish word 'hueso' means 'to eat'.,The Spanish word 'morir' means 'to die'.,0,1,FT,blah,AB
Garrett Morgan lived in the U.S blah Levi Strauss lived in the U.S.,inventors,Garrett Morgan lived in the U.S.,Levi Strauss lived in the U.S.,1,1,TT,blah,AB
Molybdenum has the symbol Mo blah Radon has the symbol Np.,element_symb,Radon has the symbol Np.,Molybdenum has the symbol Mo.,0,1,FT,blah,BA
The city of Vladivostok is in Russia blah the city of Tlaquepaque is in Mexico.,cities,The city of Vladivostok is in Russia.,The city of Tlaquepaque is in Mexico.,1,1,TT,blah,AB
Emile Berliner lived in Japan blah Thomas Tompion lived in the U.K.,inventors,Emile Berliner lived in Japan.,Thomas Tompion lived in the U.K.,0,1,FT,blah,AB
The otter is a arachnid blah the rabbit is a bird.,animal_class,The rabbit is a bird.,The otter is a arachnid.,0,0,FF,blah,BA
Cobalt has the symbol H blah Hydrogen has the symbol H.,element_symb,Cobalt has the symbol H.,Hydrogen has the symbol H.,0,1,FT,blah,AB
Igor Tamm lived in Denmark blah Ralph H. Baer lived in the U.S.,inventors,Igor Tamm lived in Denmark.,Ralph H. Baer lived in the U.S.,0,1,FT,blah,AB
The Spanish word 'siete' means 'ice' blah the Spanish word 'historia' means 'stone'.,sp_en_trans,The Spanish word 'siete' means 'ice'.,The Spanish word 'historia' means 'stone'.,0,0,FF,blah,AB
The Spanish word 'ciudad' means 'city' blah the Spanish word 'y' means 'and'.,sp_en_trans,The Spanish word 'y' means 'and'.,The Spanish word 'ciudad' means 'city'.,1,1,TT,blah,BA
Albert Ghiorso lived in Austria blah Alexander Graham Bell lived in Turkey/the U.S.,inventors,Alexander Graham Bell lived in Turkey/the U.S.,Albert Ghiorso lived in Austria.,0,0,FF,blah,BA
Leon Theremin lived in Russia blah Arthur Fry lived in the U.S.,inventors,Leon Theremin lived in Russia.,Arthur Fry lived in the U.S.,1,1,TT,blah,AB
Charles Francis Richter lived in India blah Igor Tamm lived in Russia.,inventors,Igor Tamm lived in Russia.,Charles Francis Richter lived in India.,1,0,TF,blah,BA
The vulture is a bird blah the cat is a bird.,animal_class,The cat is a bird.,The vulture is a bird.,0,1,FT,blah,BA
The city of Yaounde is in Cameroon blah the city of Ganzhou is in Tanzania.,cities,The city of Ganzhou is in Tanzania.,The city of Yaounde is in Cameroon.,0,1,FT,blah,BA
The hippopotamus is a mollusk blah the shark is a cnidarian.,animal_class,The hippopotamus is a mollusk.,The shark is a cnidarian.,0,0,FF,blah,AB
Charles Cros lived in the Netherlands blah James Clerk Maxwell lived in the U.K.,inventors,Charles Cros lived in the Netherlands.,James Clerk Maxwell lived in the U.K.,0,1,FT,blah,AB
The city of San Pedro Sula is in Burundi blah the city of Nanded is in Pakistan.,cities,The city of San Pedro Sula is in Burundi.,The city of Nanded is in Pakistan.,0,0,FF,blah,AB
The city of Durban is in the Dominican Republic blah the city of Aguascalientes is in Ghana.,cities,The city of Durban is in the Dominican Republic.,The city of Aguascalientes is in Ghana.,0,0,FF,blah,AB
The city of Pimpri is in India blah the city of Jamshedpur is in India.,cities,The city of Jamshedpur is in India.,The city of Pimpri is in India.,1,1,TT,blah,BA
The otter is a arachnid blah the moose is a reptile.,animal_class,The otter is a arachnid.,The moose is a reptile.,0,0,FF,blah,AB
The city of San Pedro Sula is in Honduras blah the city of Nanded is in Pakistan.,cities,The city of San Pedro Sula is in Honduras.,The city of Nanded is in Pakistan.,1,0,TF,blah,AB
The raccoon is a mammal blah the tuna is a fish.,animal_class,The raccoon is a mammal.,The tuna is a fish.,1,1,TT,blah,AB
Alan Turing lived in the U.K blah James Watt lived in Finland.,inventors,James Watt lived in Finland.,Alan Turing lived in the U.K.,0,1,FT,blah,BA
Thallium has the symbol Tl blah Cerium has the symbol I.,element_symb,Cerium has the symbol I.,Thallium has the symbol Tl.,0,1,FT,blah,BA
The Spanish word 'sol' means 'sun' blah the Spanish word 'nada' means 'nothing'.,sp_en_trans,The Spanish word 'sol' means 'sun'.,The Spanish word 'nada' means 'nothing'.,1,1,TT,blah,AB
The gorilla is a mammal blah the llama is a mammal.,animal_class,The llama is a mammal.,The gorilla is a mammal.,1,1,TT,blah,BA
Hans von Ohain lived in Germany blah Daisuke Inoue lived in Japan.,inventors,Daisuke Inoue lived in Japan.,Hans von Ohain lived in Germany.,1,1,TT,blah,BA
The Spanish word 'leer' means 'to read' blah the Spanish word 'prueba' means 'test'.,sp_en_trans,The Spanish word 'prueba' means 'test'.,The Spanish word 'leer' means 'to read'.,1,1,TT,blah,BA
The city of Kunming is in China blah the city of N'Djamena is in Chad.,cities,The city of N'Djamena is in Chad.,The city of Kunming is in China.,1,1,TT,blah,BA
The city of Asmara is in Nepal blah the city of Onitsha is in Vietnam.,cities,The city of Asmara is in Nepal.,The city of Onitsha is in Vietnam.,0,0,FF,blah,AB
The seagull is a reptile blah the flamingo is a bird.,animal_class,The flamingo is a bird.,The seagull is a reptile.,1,0,TF,blah,BA
The city of Klang is in Malaysia blah the city of Paranaque City is in Italy.,cities,The city of Paranaque City is in Italy.,The city of Klang is in Malaysia.,0,1,FT,blah,BA
The Spanish word 'aceite' means 'son' blah the Spanish word 'olor' means 'fear'.,sp_en_trans,The Spanish word 'olor' means 'fear'.,The Spanish word 'aceite' means 'son'.,0,0,FF,blah,BA
Marvin Camras lived in the U.S blah John Ambrose Fleming lived in the U.K.,inventors,John Ambrose Fleming lived in the U.K.,Marvin Camras lived in the U.S.,1,1,TT,blah,BA
The moose is a reptile blah the otter is a arachnid.,animal_class,The otter is a arachnid.,The moose is a reptile.,0,0,FF,blah,BA
John Logie Baird lived in Switzerland blah John Gorrie lived in the U.S.,inventors,John Logie Baird lived in Switzerland.,John Gorrie lived in the U.S.,0,1,FT,blah,AB
The camel is a mammal blah the seagull is a reptile.,animal_class,The seagull is a reptile.,The camel is a mammal.,0,1,FT,blah,BA
The city of Nagoya is in Japan blah the city of Siping is in the United States.,cities,The city of Siping is in the United States.,The city of Nagoya is in Japan.,0,1,FT,blah,BA
Carl Elsener lived in the Netherlands blah Philipp Reis lived in Germany.,inventors,Carl Elsener lived in the Netherlands.,Philipp Reis lived in Germany.,0,1,FT,blah,AB
Christian Huygens lived in the Netherlands blah Hippolyte Mège-Mouriès lived in France.,inventors,Hippolyte Mège-Mouriès lived in France.,Christian Huygens lived in the Netherlands.,1,1,TT,blah,BA
Ralph Benjamin lived in Poland/France blah Frederick G. Creed lived in Canada.,inventors,Frederick G. Creed lived in Canada.,Ralph Benjamin lived in Poland/France.,1,0,TF,blah,BA
The panda is a mammal blah the elephant is a crustacean.,animal_class,The panda is a mammal.,The elephant is a crustacean.,1,0,TF,blah,AB
The Spanish word 'guardar' means 'to pass' blah the Spanish word 'familia' means 'family'.,sp_en_trans,The Spanish word 'familia' means 'family'.,The Spanish word 'guardar' means 'to pass'.,1,0,TF,blah,BA
Palladium has the symbol Pd blah Uranium has the symbol U.,element_symb,Uranium has the symbol U.,Palladium has the symbol Pd.,1,1,TT,blah,BA
