statement,topic,conjunctA,conjunctB,labelA,labelB,cell,connective,ordering
The Spanish word 'pero' means 'hot' or the Spanish word 'esquina' means 'corner'.,sp_en_trans,The Spanish word 'pero' means 'hot'.,The Spanish word 'esquina' means 'corner'.,0,1,FT,or,AB
Arthur Fry lived in the U.S or Édouard-Léon Scott de Martinville lived in Poland/Germany.,inventors,Édouard-Léon Scott de Martinville lived in Poland/Germany.,Arthur Fry lived in the U.S.,0,1,FT,or,BA
Gallium has the symbol Ga and Molybdenum has the symbol Mo.,element_symb,Gallium has the symbol Ga.,Molybdenum has the symbol Mo.,1,1,TT,and,AB
Scandium has the symbol Sc and Radon has the symbol Np.,element_symb,Scandium has the symbol Sc.,Radon has the symbol Np.,1,0,TF,and,AB
The Spanish word 'cabeza' means 'head' or the Spanish word 'lento' means 'cook'.,sp_en_trans,The Spanish word 'lento' means 'cook'.,The Spanish word 'cabeza' means 'head'.,0,1,FT,or,BA
The city of Gaziantep is in Turkey and the city of Quito is in France.,cities,The city of Gaziantep is in Turkey.,The city of Quito is in France.,1,0,TF,and,AB
Edouard Benedictus lived in England and Evangelista Torricelli lived in Italy.,inventors,Edouard Benedictus lived in England.,Evangelista Torricelli lived in Italy.,0,1,FT,and,AB
The city of Quito is in Ecuador and the city of Gaziantep is in Turkey.,cities,The city of Gaziantep is in Turkey.,The city of Quito is in Ecuador.,1,1,TT,and,BA
The city of Paranaque City is in the Philippines or the city of Klang is in Malaysia.,cities,The city of Paranaque City is in the Philippines.,The city of Klang is in Malaysia.,1,1,TT,or,AB
The Spanish word 'bosque' means 'forest' and the Spanish word 'huevo' means 'sister'.,sp_en_trans,The Spanish word 'bosque' means 'forest'.,The Spanish word 'huevo' means 'sister'.,1,0,TF,and,AB
The Spanish word 'boca' means 'mouth' and the Spanish word 'uno' means 'mouth'.,sp_en_trans,The Spanish word 'boca' means 'mouth'.,The Spanish word 'uno' means 'mouth'.,1,0,TF,and,AB
The penguin is a reptile or the otter is a mammal.,animal_class,The otter is a mammal.,The penguin is a reptile.,1,0,TF,or,BA
The city of Khulna is in Nigeria or the city of Osaka is in Japan.,cities,The city of Osaka is in Japan.,The city of Khulna is in Nigeria.,1,0,TF,or,BA
The axolotl is a fish or the horse is a fish.,animal_class,The horse is a fish.,The axolotl is a fish.,0,0,FF,or,BA
The Spanish word 'enviar' means 'city' and the Spanish word 'hombro' means 'map'.,sp_en_trans,The Spanish word 'hombro' means 'map'.,The Spanish word 'enviar' means 'city'.,0,0,FF,and,BA
Praseodymium has the symbol I or Holmium has the symbol Ho.,element_symb,Holmium has the symbol Ho.,Praseodymium has the symbol I.,1,0,TF,or,BA
The iguana is a reptile or the deer is a reptile.,animal_class,The iguana is a reptile.,The deer is a reptile.,1,0,TF,or,AB
The otter is a arachnid or the rabbit is a mammal.,animal_class,The rabbit is a mammal.,The otter is a arachnid.,1,0,TF,or,BA
Ignazio Porro lived in Austria/the U.S or Chester Carlson lived in Poland/Germany.,inventors,Ignazio Porro lived in Austria/the U.S.,Chester Carlson lived in Poland/Germany.,0,0,FF,or,AB
Georges Claude lived in Sweden/the U.S and Henry Bessemer lived in Italy.,inventors,Henry Bessemer lived in Italy.,Georges Claude lived in Sweden/the U.S.,0,0,FF,and,BA
The city of Siping is in the United States or the city of Nagoya is in Japan.,cities,The city of Siping is in the United States.,The city of Nagoya is in Japan.,0,1,FT,or,AB
James Watt lived in Finland or Charles Macintosh lived in Japan.,inventors,Charles Macintosh lived in Japan.,James Watt lived in Finland.,0,0,FF,or,BA
The camel is a mammal or the moose is a reptile.,animal_class,The moose is a reptile.,The camel is a mammal.,0,1,FT,or,BA
The Spanish word 'piedra' means 'stone' and the Spanish word 'parte' means 'black'.,sp_en_trans,The Spanish word 'piedra' means 'stone'.,The Spanish word 'parte' means 'black'.,1,0,TF,and,AB
Thulium has the symbol Tm and Sodium has the symbol Na.,element_symb,Sodium has the symbol Na.,Thulium has the symbol Tm.,1,1,TT,and,BA
Potassium has the symbol C and Germanium has the symbol Ra.,element_symb,Germanium has the symbol Ra.,Potassium has the symbol C.,0,0,FF,and,BA
The city of Bursa is in Senegal or the city of Wuzhou is in China.,cities,The city of Wuzhou is in China.,The city of Bursa is in Senegal.,1,0,TF,or,BA
The Spanish word 'agua' means 'water' or the Spanish word 'negro' means 'black'.,sp_en_trans,The Spanish word 'negro' means 'black'.,The Spanish word 'agua' means 'water'.,1,1,TT,or,BA
The Spanish word 'lanzar' means 'sea' or the Spanish word 'rosa' means 'to play'.,sp_en_trans,The Spanish word 'lanzar' means 'sea'.,The Spanish word 'rosa' means 'to play'.,0,0,FF,or,AB
The city of Santiago de Queretaro is in Mexico and the city of Najran is in Saudi Arabia.,cities,The city of Najran is in Saudi Arabia.,The city of Santiago de Queretaro is in Mexico.,1,1,TT,and,BA
The Spanish word 'rosa' means 'rose' or the Spanish word 'lanzar' means 'to throw'.,sp_en_trans,The Spanish word 'lanzar' means 'to throw'.,The Spanish word 'rosa' means 'rose'.,1,1,TT,or,BA
The city of Indianapolis is in Egypt and the city of San Miguel de Tucuman is in Argentina.,cities,The city of San Miguel de Tucuman is in Argentina.,The city of Indianapolis is in Egypt.,1,0,TF,and,BA
The Spanish word 'invierno' means 'family' or the Spanish word 'mar' means 'to save'.,sp_en_trans,The Spanish word 'invierno' means 'family'.,The Spanish word 'mar' means 'to save'.,0,0,FF,or,AB
The city of Bursa is in Turkey or the city of Wuzhou is in South Korea.,cities,The city of Wuzhou is in South Korea.,The city of Bursa is in Turkey.,0,1,FT,or,BA
John von Neumann lived in France and Percy Spencer lived in Russia.,inventors,John von Neumann lived in France.,Percy Spencer lived in Russia.,0,0,FF,and,AB
Radon has the symbol Rn and Rhenium has the symbol Pb.,element_symb,Radon has the symbol Rn.,Rhenium has the symbol Pb.,1,0,TF,and,AB
Rubidium has the symbol K and Magnesium has the symbol Tc.,element_symb,Rubidium has the symbol K.,Magnesium has the symbol Tc.,0,0,FF,and,AB
The Spanish word 'pierna' means 'leg' and the Spanish word 'caliente' means 'corner'.,sp_en_trans,The Spanish word 'caliente' means 'corner'.,The Spanish word 'pierna' means 'leg'.,0,1,FT,and,BA
Mercury has the symbol Hg and Tantalum has the symbol La.,element_symb,Tantalum has the symbol La.,Mercury has the symbol Hg.,0,1,FT,and,BA
The city of Ufa is in Italy or the city of Qujing is in Yemen.,cities,The city of Ufa is in Italy.,The city of Qujing is in Yemen.,0,0,FF,or,AB
Platinum has the symbol S or Rhenium has the symbol Re.,element_symb,Platinum has the symbol S.,Rhenium has the symbol Re.,0,1,FT,or,AB
The gorilla is a mammal or the panda is a bird.,animal_class,The gorilla is a mammal.,The panda is a bird.,1,0,TF,or,AB
Terbium has the symbol Tb or Cerium has the symbol I.,element_symb,Terbium has the symbol Tb.,Cerium has the symbol I.,1,0,TF,or,AB
The city of Rohini is in India or the city of Krasnoyarsk is in Russia.,cities,The city of Rohini is in India.,The city of Krasnoyarsk is in Russia.,1,1,TT,or,AB
The city of Nouakchott is in Mauritania or the city of Kanpur is in Mozambique.,cities,The city of Kanpur is in Mozambique.,The city of Nouakchott is in Mauritania.,0,1,FT,or,BA
James Murray Spangler lived in Poland/Germany or Percy Spencer lived in Russia.,inventors,James Murray Spangler lived in Poland/Germany.,Percy Spencer lived in Russia.,0,0,FF,or,AB
The Spanish word 'ocupado' means 'to draw' or the Spanish word 'hombro' means 'shoulder'.,sp_en_trans,The Spanish word 'hombro' means 'shoulder'.,The Spanish word 'ocupado' means 'to draw'.,1,0,TF,or,BA
Linus Torvalds lived in Canada/the U.S or Paul Gottlieb Nipkow lived in Norway.,inventors,Linus Torvalds lived in Canada/the U.S.,Paul Gottlieb Nipkow lived in Norway.,0,0,FF,or,AB
Hans von Ohain lived in Germany or Daisuke Inoue lived in Japan.,inventors,Daisuke Inoue lived in Japan.,Hans von Ohain lived in Germany.,1,1,TT,or,BA
Erbium has the symbol Rh and Carbon has the symbol C.,element_symb,Carbon has the symbol C.,Erbium has the symbol Rh.,1,0,TF,and,BA
Phosphorus has the symbol P and Praseodymium has the symbol Pr.,element_symb,Phosphorus has the symbol P.,Praseodymium has the symbol Pr.,1,1,TT,and,AB
The city of Nagoya is in Japan and the city of Siping is in the United States.,cities,The city of Siping is in the United States.,The city of Nagoya is in Japan.,0,1,FT,and,BA
Philipp Reis lived in Germany and Carl Elsener lived in Switzerland.,inventors,Carl Elsener lived in Switzerland.,Philipp Reis lived in Germany.,1,1,TT,and,BA
The Spanish word 'pagar' means 'enough' and the Spanish word 'persona' means 'person'.,sp_en_trans,The Spanish word 'persona' means 'person'.,The Spanish word 'pagar' means 'enough'.,1,0,TF,and,BA
The raccoon is a mammal or the deer is a mammal.,animal_class,The raccoon is a mammal.,The deer is a mammal.,1,1,TT,or,AB
The city of Bucharest is in Turkmenistan and the city of Hegang is in China.,cities,The city of Hegang is in China.,The city of Bucharest is in Turkmenistan.,1,0,TF,and,BA
Charles Goodyear lived in the U.S and Igor Sikorsky lived in Ukraine/the U.S.,inventors,Charles Goodyear lived in the U.S.,Igor Sikorsky lived in Ukraine/the U.S.,1,1,TT,and,AB
The hamster is a bird or the gorilla is a reptile.,animal_class,The gorilla is a reptile.,The hamster is a bird.,0,0,FF,or,BA
The city of Changshu is in China and the city of Suining is in Chad.,cities,The city of Suining is in Chad.,The city of Changshu is in China.,0,1,FT,and,BA
Platinum has the symbol S or Astatine has the symbol At.,element_symb,Platinum has the symbol S.,Astatine has the symbol At.,0,1,FT,or,AB
Charles Goodyear lived in Poland/France or Richard Leach Maddox lived in Sweden/the U.S.,inventors,Charles Goodyear lived in Poland/France.,Richard Leach Maddox lived in Sweden/the U.S.,0,0,FF,or,AB
Hans Goldschmidt lived in Germany and Samuel Morse lived in the U.S.,inventors,Samuel Morse lived in the U.S.,Hans Goldschmidt lived in Germany.,1,1,TT,and,BA
The Spanish word 'perro' means 'class' or the Spanish word 'lento' means 'cook'.,sp_en_trans,The Spanish word 'perro' means 'class'.,The Spanish word 'lento' means 'cook'.,0,0,FF,or,AB
Neon has the symbol B or Xenon has the symbol Hf.,element_symb,Xenon has the symbol Hf.,Neon has the symbol B.,0,0,FF,or,BA
The Spanish word 'miedo' means 'fear' or the Spanish word 'invierno' means 'winter'.,sp_en_trans,The Spanish word 'miedo' means 'fear'.,The Spanish word 'invierno' means 'winter'.,1,1,TT,or,AB
Iron has the symbol Os and Tantalum has the symbol La.,element_symb,Iron has the symbol Os.,Tantalum has the symbol La.,0,0,FF,and,AB
Holmium has the symbol Pd or Praseodymium has the symbol Pr.,element_symb,Holmium has the symbol Pd.,Praseodymium has the symbol Pr.,0,1,FT,or,AB
Platinum has the symbol S and Chlorine has the symbol Pt.,element_symb,Chlorine has the symbol Pt.,Platinum has the symbol S.,0,0,FF,and,BA
The chimpanzee is a insect or the hyena is a cnidarian.,animal_class,The hyena is a cnidarian.,The chimpanzee is a insect.,0,0,FF,or,BA
The lion is a cnidarian or the walrus is a cnidarian.,animal_class,The walrus is a cnidarian.,The lion is a cnidarian.,0,0,FF,or,BA
John Atanasoff lived in Croatia and Nils Bohlin lived in the U.S.,inventors,John Atanasoff lived in Croatia.,Nils Bohlin lived in the U.S.,0,0,FF,and,AB
The city of Weinan is in Colombia or the city of Tolyatti is in Russia.,cities,The city of Weinan is in Colombia.,The city of Tolyatti is in Russia.,0,1,FT,or,AB
The Spanish word 'escuela' means 'red' and the Spanish word 'desarrollar' means 'sand'.,sp_en_trans,The Spanish word 'desarrollar' means 'sand'.,The Spanish word 'escuela' means 'red'.,0,0,FF,and,BA
The city of Osaka is in Tajikistan and the city of Khulna is in Nigeria.,cities,The city of Osaka is in Tajikistan.,The city of Khulna is in Nigeria.,0,0,FF,and,AB
The panda is a mammal and the elephant is a mammal.,animal_class,The panda is a mammal.,The elephant is a mammal.,1,1,TT,and,AB
Ruth Benerito lived in Italy and Fridtjof Nansen lived in Norway.,inventors,Ruth Benerito lived in Italy.,Fridtjof Nansen lived in Norway.,0,1,FT,and,AB
John Atanasoff lived in the U.S or Candace Pert lived in Germany.,inventors,Candace Pert lived in Germany.,John Atanasoff lived in the U.S.,0,1,FT,or,BA
The Spanish word 'guardar' means 'to save' and the Spanish word 'familia' means 'family'.,sp_en_trans,The Spanish word 'familia' means 'family'.,The Spanish word 'guardar' means 'to save'.,1,1,TT,and,BA
The iguana is a reptile and the dog is a reptile.,animal_class,The dog is a reptile.,The iguana is a reptile.,0,1,FT,and,BA
Ralph H. Baer lived in Finland and Hans Oersted lived in Denmark.,inventors,Ralph H. Baer lived in Finland.,Hans Oersted lived in Denmark.,0,1,FT,and,AB
Ruthenium has the symbol Ru and Gold has the symbol Sm.,element_symb,Ruthenium has the symbol Ru.,Gold has the symbol Sm.,1,0,TF,and,AB
The city of Gaziantep is in Ghana and the city of Wanning is in China.,cities,The city of Wanning is in China.,The city of Gaziantep is in Ghana.,1,0,TF,and,BA
The Spanish word 'hombro' means 'shoulder' and the Spanish word 'enviar' means 'to send'.,sp_en_trans,The Spanish word 'hombro' means 'shoulder'.,The Spanish word 'enviar' means 'to send'.,1,1,TT,and,AB
The city of Klang is in South Africa or the city of Paranaque City is in the Philippines.,cities,The city of Paranaque City is in the Philippines.,The city of Klang is in South Africa.,1,0,TF,or,BA
The sparrow is a bird and the chicken is a mammal.,animal_class,The chicken is a mammal.,The sparrow is a bird.,0,1,FT,and,BA
Technetium has the symbol Tc or Lanthanum has the symbol Pr.,element_symb,Lanthanum has the symbol Pr.,Technetium has the symbol Tc.,0,1,FT,or,BA
Joseph Swan lived in the U.K or George Cayley lived in Denmark.,inventors,George Cayley lived in Denmark.,Joseph Swan lived in the U.K.,0,1,FT,or,BA
The dog is a mammal and the aardvark is a mammal.,animal_class,The aardvark is a mammal.,The dog is a mammal.,1,1,TT,and,BA
The city of Bursa is in Senegal and the city of Wuzhou is in South Korea.,cities,The city of Wuzhou is in South Korea.,The city of Bursa is in Senegal.,0,0,FF,and,BA
The city of Gaziantep is in Turkey or the city of Quito is in Ecuador.,cities,The city of Gaziantep is in Turkey.,The city of Quito is in Ecuador.,1,1,TT,or,AB
The city of Da Nang is in Syria or the city of Wanzhou is in China.,cities,The city of Da Nang is in Syria.,The city of Wanzhou is in China.,0,1,FT,or,AB
Manganese has the symbol S and Neon has the symbol Ne.,element_symb,Manganese has the symbol S.,Neon has the symbol Ne.,0,1,FT,and,AB
Thulium has the symbol Mg and Cesium has the symbol Cs.,element_symb,Thulium has the symbol Mg.,Cesium has the symbol Cs.,0,1,FT,and,AB
The Spanish word 'brazo' means 'arm' or the Spanish word 'jirafa' means 'to send'.,sp_en_trans,The Spanish word 'jirafa' means 'to send'.,The Spanish word 'brazo' means 'arm'.,0,1,FT,or,BA
The city of Peshawar is in Pakistan and the city of Khulna is in Nigeria.,cities,The city of Peshawar is in Pakistan.,The city of Khulna is in Nigeria.,1,0,TF,and,AB
Astatine has the symbol At or Palladium has the symbol Ir.,element_symb,Astatine has the symbol At.,Palladium has the symbol Ir.,1,0,TF,or,AB
Percy Spencer lived in the U.S or John von Neumann lived in Hungary/the U.S.,inventors,John von Neumann lived in Hungary/the U.S.,Percy Spencer lived in the U.S.,1,1,TT,or,BA
The city of Jingmen is in China and the city of Tolyatti is in Myanmar.,cities,The city of Jingmen is in China.,The city of Tolyatti is in Myanmar.,1,0,TF,and,AB
The narwhal is a mammal or the penguin is a bird.,animal_class,The penguin is a bird.,The narwhal is a mammal.,1,1,TT,or,BA
Richard Leach Maddox lived in Sweden/the U.S and Charles Goodyear lived in Poland/France.,inventors,Charles Goodyear lived in Poland/France.,Richard Leach Maddox lived in Sweden/the U.S.,0,0,FF,and,BA
The peacock is a bird and the skunk is a mammal.,animal_class,The peacock is a bird.,The skunk is a mammal.,1,1,TT,and,AB
The Spanish word 'lento' means 'cook' or the Spanish word 'perro' means 'class'.,sp_en_trans,The Spanish word 'perro' means 'class'.,The Spanish word 'lento' means 'cook'.,0,0,FF,or,BA
The Spanish word 'desarrollar' means 'to develop' or the Spanish word 'abierto' means 'open'.,sp_en_trans,The Spanish word 'abierto' means 'open'.,The Spanish word 'desarrollar' means 'to develop'.,1,1,TT,or,BA
Henry Ford lived in the U.S and John Ericsson lived in Norway.,inventors,Henry Ford lived in the U.S.,John Ericsson lived in Norway.,1,0,TF,and,AB
The moose is a mammal or the beaver is a mammal.,animal_class,The moose is a mammal.,The beaver is a mammal.,1,1,TT,or,AB
The Spanish word 'imaginar' means 'to imagine' or the Spanish word 'pero' means 'but'.,sp_en_trans,The Spanish word 'pero' means 'but'.,The Spanish word 'imaginar' means 'to imagine'.,1,1,TT,or,BA
The gazelle is a reptile or the bison is a mammal.,animal_class,The gazelle is a reptile.,The bison is a mammal.,0,1,FT,or,AB
The Spanish word 'hablar' means 'dictionary' or the Spanish word 'perro' means 'class'.,sp_en_trans,The Spanish word 'hablar' means 'dictionary'.,The Spanish word 'perro' means 'class'.,0,0,FF,or,AB
The city of Zapopan is in Burundi or the city of Jamshedpur is in Kenya.,cities,The city of Jamshedpur is in Kenya.,The city of Zapopan is in Burundi.,0,0,FF,or,BA
The Spanish word 'palabra' means 'word' or the Spanish word 'hielo' means 'life'.,sp_en_trans,The Spanish word 'hielo' means 'life'.,The Spanish word 'palabra' means 'word'.,0,1,FT,or,BA
John Logie Baird lived in Switzerland or John Gorrie lived in Switzerland.,inventors,John Logie Baird lived in Switzerland.,John Gorrie lived in Switzerland.,0,0,FF,or,AB
John Boyd Dunlop lived in Austria or Jacob Perkins lived in the U.S.,inventors,John Boyd Dunlop lived in Austria.,Jacob Perkins lived in the U.S.,0,1,FT,or,AB
Molybdenum has the symbol Mo or Nickel has the symbol Ni.,element_symb,Nickel has the symbol Ni.,Molybdenum has the symbol Mo.,1,1,TT,or,BA
The Spanish word 'problema' means 'problem' or the Spanish word 'veinte' means 'shell'.,sp_en_trans,The Spanish word 'problema' means 'problem'.,The Spanish word 'veinte' means 'shell'.,1,0,TF,or,AB
The rat is a arachnid and the goat is a reptile.,animal_class,The rat is a arachnid.,The goat is a reptile.,0,0,FF,and,AB
The Spanish word 'mujer' means 'enough' or the Spanish word 'hueso' means 'bone'.,sp_en_trans,The Spanish word 'mujer' means 'enough'.,The Spanish word 'hueso' means 'bone'.,0,1,FT,or,AB
The Spanish word 'siete' means 'ice' and the Spanish word 'oferta' means 'open'.,sp_en_trans,The Spanish word 'siete' means 'ice'.,The Spanish word 'oferta' means 'open'.,0,0,FF,and,AB
Thulium has the symbol Tm or Sodium has the symbol Na.,element_symb,Sodium has the symbol Na.,Thulium has the symbol Tm.,1,1,TT,or,BA
The camel is a crustacean or the skunk is a mammal.,animal_class,The camel is a crustacean.,The skunk is a mammal.,0,1,FT,or,AB
The city of Kemerovo is in Tajikistan and the city of Beijing is in the Republic of the Congo.,cities,The city of Beijing is in the Republic of the Congo.,The city of Kemerovo is in Tajikistan.,0,0,FF,and,BA
Maria Telkes lived in Scotland and Alexander Graham Bell lived in Scotland/Canada/the U.S.,inventors,Alexander Graham Bell lived in Scotland/Canada/the U.S.,Maria Telkes lived in Scotland.,1,0,TF,and,BA
The city of Hegang is in China and the city of Bucharest is in Romania.,cities,The city of Hegang is in China.,The city of Bucharest is in Romania.,1,1,TT,and,AB
The Spanish word 'presente' means 'present' and the Spanish word 'veinte' means 'shell'.,sp_en_trans,The Spanish word 'veinte' means 'shell'.,The Spanish word 'presente' means 'present'.,0,1,FT,and,BA
The gazelle is a mammal or the bison is a mammal.,animal_class,The gazelle is a mammal.,The bison is a mammal.,1,1,TT,or,AB
The elephant is a crustacean or the camel is a crustacean.,animal_class,The camel is a crustacean.,The elephant is a crustacean.,0,0,FF,or,BA
The city of Kuala Lumpur is in Malaysia or the city of Pretoria is in South Africa.,cities,The city of Kuala Lumpur is in Malaysia.,The city of Pretoria is in South Africa.,1,1,TT,or,AB
The tuna is a fish or the lion is a mammal.,animal_class,The lion is a mammal.,The tuna is a fish.,1,1,TT,or,BA
Thomas Tompion lived in the U.K or John Walker lived in the U.K.,inventors,John Walker lived in the U.K.,Thomas Tompion lived in the U.K.,1,1,TT,or,BA
The city of Ciudad Nezahualcoyotl is in Mexico or the city of Kisangani is in the Democratic Republic of the Congo.,cities,The city of Ciudad Nezahualcoyotl is in Mexico.,The city of Kisangani is in the Democratic Republic of the Congo.,1,1,TT,or,AB
Cerium has the symbol Ce and Lanthanum has the symbol Pr.,element_symb,Lanthanum has the symbol Pr.,Cerium has the symbol Ce.,0,1,FT,and,BA
The city of Ufa is in Italy and the city of Qujing is in Yemen.,cities,The city of Ufa is in Italy.,The city of Qujing is in Yemen.,0,0,FF,and,AB
The city of Rostov-na-Donu is in Russia or the city of Hwaseong-si is in South Korea.,cities,The city of Hwaseong-si is in South Korea.,The city of Rostov-na-Donu is in Russia.,1,1,TT,or,BA
Boron has the symbol B or Selenium has the symbol Po.,element_symb,Selenium has the symbol Po.,Boron has the symbol B.,0,1,FT,or,BA
The Spanish word 'historia' means 'stone' and the Spanish word 'bueno' means 'modern'.,sp_en_trans,The Spanish word 'historia' means 'stone'.,The Spanish word 'bueno' means 'modern'.,0,0,FF,and,AB
The Spanish word 'fuego' means 'woman' or the Spanish word 'caliente' means 'corner'.,sp_en_trans,The Spanish word 'caliente' means 'corner'.,The Spanish word 'fuego' means 'woman'.,0,0,FF,or,BA
The city of Sapporo is in Tanzania and the city of Harbin is in Madagascar.,cities,The city of Sapporo is in Tanzania.,The city of Harbin is in Madagascar.,0,0,FF,and,AB
The panda is a mammal or the salmon is a fish.,animal_class,The panda is a mammal.,The salmon is a fish.,1,1,TT,or,AB
Lead has the symbol Er or Strontium has the symbol I.,element_symb,Lead has the symbol Er.,Strontium has the symbol I.,0,0,FF,or,AB
The Spanish word 'fuego' means 'fire' or the Spanish word 'caliente' means 'hot'.,sp_en_trans,The Spanish word 'caliente' means 'hot'.,The Spanish word 'fuego' means 'fire'.,1,1,TT,or,BA
The city of Aguascalientes is in Mexico or the city of Durban is in the Dominican Republic.,cities,The city of Durban is in the Dominican Republic.,The city of Aguascalientes is in Mexico.,0,1,FT,or,BA
The rat is a arachnid or the goat is a mammal.,animal_class,The rat is a arachnid.,The goat is a mammal.,0,1,FT,or,AB
The gorilla is a mammal and the jellyfish is a cnidarian.,animal_class,The jellyfish is a cnidarian.,The gorilla is a mammal.,1,1,TT,and,BA
The tarantula is a arachnid or the sparrow is a bird.,animal_class,The tarantula is a arachnid.,The sparrow is a bird.,1,1,TT,or,AB
Iron has the symbol Os or Phosphorus has the symbol Se.,element_symb,Phosphorus has the symbol Se.,Iron has the symbol Os.,0,0,FF,or,BA
Tellurium has the symbol Te and Radium has the symbol Ra.,element_symb,Tellurium has the symbol Te.,Radium has the symbol Ra.,1,1,TT,and,AB
The city of Pontianak is in Mongolia or the city of Homyel' is in Nepal.,cities,The city of Pontianak is in Mongolia.,The city of Homyel' is in Nepal.,0,0,FF,or,AB
Terbium has the symbol Br and Nickel has the symbol Os.,element_symb,Terbium has the symbol Br.,Nickel has the symbol Os.,0,0,FF,and,AB
The city of Okayama is in Somalia and the city of Changchun is in Senegal.,cities,The city of Changchun is in Senegal.,The city of Okayama is in Somalia.,0,0,FF,and,BA
Ignazio Porro lived in Austria/the U.S and Chester Carlson lived in Poland/Germany.,inventors,Ignazio Porro lived in Austria/the U.S.,Chester Carlson lived in Poland/Germany.,0,0,FF,and,AB
Frederick G. Creed lived in Canada and Ralph Benjamin lived in the U.K.,inventors,Frederick G. Creed lived in Canada.,Ralph Benjamin lived in the U.K.,1,1,TT,and,AB
The lion is a mammal or the tortoise is a fish.,animal_class,The tortoise is a fish.,The lion is a mammal.,0,1,FT,or,BA
The elephant is a mammal or the camel is a mammal.,animal_class,The camel is a mammal.,The elephant is a mammal.,1,1,TT,or,BA
Sergey Brin and Larry Page lived in Hungary or Willis Carrier lived in Switzerland.,inventors,Willis Carrier lived in Switzerland.,Sergey Brin and Larry Page lived in Hungary.,0,0,FF,or,BA
Levi Strauss lived in the U.S and Garrett Morgan lived in the U.S.,inventors,Garrett Morgan lived in the U.S.,Levi Strauss lived in the U.S.,1,1,TT,and,BA
The gazelle is a reptile or the platypus is a arachnid.,animal_class,The platypus is a arachnid.,The gazelle is a reptile.,0,0,FF,or,BA
The city of Osaka is in Tajikistan or the city of Rizhao is in China.,cities,The city of Osaka is in Tajikistan.,The city of Rizhao is in China.,0,1,FT,or,AB
The Spanish word 'papel' means 'paper' or the Spanish word 'concha' means 'giraffe'.,sp_en_trans,The Spanish word 'papel' means 'paper'.,The Spanish word 'concha' means 'giraffe'.,1,0,TF,or,AB
Platinum has the symbol S and Astatine has the symbol Ca.,element_symb,Platinum has the symbol S.,Astatine has the symbol Ca.,0,0,FF,and,AB
Cobalt has the symbol H and Hydrogen has the symbol H.,element_symb,Cobalt has the symbol H.,Hydrogen has the symbol H.,0,1,FT,and,AB
The lion is a mammal or the hedgehog is a mammal.,animal_class,The hedgehog is a mammal.,The lion is a mammal.,1,1,TT,or,BA
The Spanish word 'veinte' means 'shell' or the Spanish word 'oferta' means 'offer'.,sp_en_trans,The Spanish word 'veinte' means 'shell'.,The Spanish word 'oferta' means 'offer'.,0,1,FT,or,AB
