idx,statement,conjunctA,conjunctB,labelA,labelB,compound_label,n_parts
45,It is the case both that John Bardeen lived in the U.S and that Henri Giffard lived in France.,John Bardeen / the U.S,Henri Giffard / France,1,1,1,2
46,It is the case both that Reginald Fessenden lived in the U.K and that Hans Lippershey lived in the Netherlands.,Reginald Fessenden / the U.K,Hans Lippershey / the Netherlands,0,1,0,2
47,It is the case both that André-Jacques Garnerin lived in the Netherlands and that Jack Kilby lived in the U.S.,André-Jacques Garnerin / the Netherlands,Jack Kilby / the U.S,0,1,0,2
48,It is the case both that André-Jacques Garnerin lived in France and that Carl Sontheimer lived in the U.S.,André-Jacques Garnerin / France,Carl Sontheimer / the U.S,1,1,1,2
49,It is the case both that John Ericsson lived in Sweden and that Jack Kilby lived in the U.S.,John Ericsson / Sweden,Jack Kilby / the U.S,1,1,1,2
50,It is the case both that Thomas Wedgwood lived in Finland and that Charles Townes lived in the U.S.,Thomas Wedgwood / Finland,Charles Townes / the U.S,0,1,0,2
51,It is the case both that Tim Berners-Lee lived in the U.K and that Alfred Nobel lived in the U.S.,Tim Berners-Lee / the U.K,Alfred Nobel / the U.S,1,0,0,2
52,It is the case both that Benjamin Rubin lived in the U.S and that Sir Humphry Davy lived in the U.K.,Benjamin Rubin / the U.S,Sir Humphry Davy / the U.K,1,1,1,2
53,It is the case both that Christopher Cockerell lived in France and that R. Buckminster Fuller lived in Scotland.,Christopher Cockerell / France,R. Buckminster Fuller / Scotland,0,0,0,2
54,It is the case both that Whitcomb Judson lived in the U.S and that Sir Sandford Fleming lived in Canada.,Whitcomb Judson / the U.S,Sir Sandford Fleming / Canada,1,1,1,2
55,It is the case both that John Bardeen lived in the U.S and that Ernesto Blanco lived in the U.S.,John Bardeen / the U.S,Ernesto Blanco / the U.S,1,1,1,2
56,It is the case both that Bette Nesmith Graham lived in the U.S and that Eugene Polley lived in the U.S.,Bette Nesmith Graham / the U.S,Eugene Polley / the U.S,1,1,1,2
57,It is the case both that Joseph Henry lived in the U.S and that Benjamin Holt lived in the U.S.,Joseph Henry / the U.S,Benjamin Holt / the U.S,1,1,1,2
58,It is the case both that Thomas Edison lived in the U.K and that Ignazio Porro lived in Italy.,Thomas Edison / the U.K,Ignazio Porro / Italy,0,1,0,2
59,It is the case both that Heinrich Göbel lived in Germany and that John Boyd Dunlop lived in France.,Heinrich Göbel / Germany,John Boyd Dunlop / France,1,0,0,2
60,It is the case both that Ralph Benjamin lived in the U.K and that R. Buckminster Fuller lived in the U.S.,Ralph Benjamin / the U.K,R. Buckminster Fuller / the U.S,1,1,1,2
61,It is the case both that Clarence Birdseye lived in the U.S and that Grace Hopper lived in the U.S.,Clarence Birdseye / the U.S,Grace Hopper / the U.S,1,1,1,2
62,It is the case both that Reginald Fessenden lived in Canada/the U.S and that Jacob Perkins lived in the U.S.,Reginald Fessenden / Canada/the U.S,Jacob Perkins / the U.S,1,1,1,2
63,It is the case both that Evangelista Torricelli lived in the U.S and that Arthur Pitney lived in the U.S.,Evangelista Torricelli / the U.S,Arthur Pitney / the U.S,0,1,0,2
64,It is the case both that John Boyd Dunlop lived in France and that Sir Humphry Davy lived in the U.K.,John Boyd Dunlop / France,Sir Humphry Davy / the U.K,0,1,0,2
65,It is the case both that Ferdinand Carré lived in the U.S and that George de Mestral lived in Switzerland.,Ferdinand Carré / the U.S,George de Mestral / Switzerland,0,1,0,2
66,It is the case both that Whitcomb Judson lived in the U.S and that Robert Adler lived in Austria/the U.S.,Whitcomb Judson / the U.S,Robert Adler / Austria/the U.S,1,1,1,2
67,It is the case both that Wallace Carothers lived in Denmark and that Antoine Lavoisier lived in Austria.,Wallace Carothers / Denmark,Antoine Lavoisier / Austria,0,0,0,2
68,It is the case both that Philo Taylor Farnsworth lived in the U.S and that Edwin H. Land lived in the U.S.,Philo Taylor Farnsworth / the U.S,Edwin H. Land / the U.S,1,1,1,2
69,It is the case both that Igor Tamm lived in Russia and that Josephine Cochrane lived in the U.S.,Igor Tamm / Russia,Josephine Cochrane / the U.S,1,1,1,2
70,It is the case both that Chester Carlson lived in the U.K and that Hans Berger lived in Germany.,Chester Carlson / the U.K,Hans Berger / Germany,0,1,0,2
71,It is the case both that John Ambrose Fleming lived in the U.K and that Hans Goldschmidt lived in Germany.,John Ambrose Fleming / the U.K,Hans Goldschmidt / Germany,1,1,1,2
72,It is the case both that Christopher Cockerell lived in the U.K and that James Dyson lived in the U.K.,Christopher Cockerell / the U.K,James Dyson / the U.K,1,1,1,2
73,It is the case both that Henry Bessemer lived in the U.S and that George de Mestral lived in Canada.,Henry Bessemer / the U.S,George de Mestral / Canada,0,0,0,2
74,It is the case both that R. Buckminster Fuller lived in the U.S and that Gottlieb Daimler lived in France.,R. Buckminster Fuller / the U.S,Gottlieb Daimler / France,1,0,0,2
75,It is the case both that Herbert Saffir lived in the U.S and that Charles Macintosh lived in the U.K.,Herbert Saffir / the U.S,Charles Macintosh / the U.K,1,1,1,2
76,It is the case both that Edwin Link lived in the U.S and that Auguste and Louis Lumière lived in France.,Edwin Link / the U.S,Auguste and Louis Lumière / France,1,1,1,2
77,It is the case both that George Washington Carver lived in the U.S and that Daniel Fahrenheit lived in Poland/Germany.,George Washington Carver / the U.S,Daniel Fahrenheit / Poland/Germany,1,1,1,2
78,It is the case both that John Ambrose Fleming lived in the U.K and that Alexander Fleming lived in France.,John Ambrose Fleming / the U.K,Alexander Fleming / France,1,0,0,2
79,It is the case both that Hans Berger lived in Germany and that Orville and Wilbur Wright lived in the U.S.,Hans Berger / Germany,Orville and Wilbur Wright / the U.S,1,1,1,2
80,It is the case both that Philo Farnsworth lived in the U.S and that Charles Macintosh lived in the U.K.,Philo Farnsworth / the U.S,Charles Macintosh / the U.K,1,1,1,2
81,It is the case both that Leonardo da Vinci lived in Poland/France and that John T. Parsons lived in the U.S.,Leonardo da Vinci / Poland/France,John T. Parsons / the U.S,0,1,0,2
82,It is the case both that August Horch lived in Germany and that André-Jacques Garnerin lived in France.,August Horch / Germany,André-Jacques Garnerin / France,1,1,1,2
83,It is the case both that Lloyd Groff Copeman lived in the U.S and that Samuel Fox lived in the U.K.,Lloyd Groff Copeman / the U.S,Samuel Fox / the U.K,1,1,1,2
84,It is the case both that Reginald Fessenden lived in Canada/the U.S and that Frederick G. Creed lived in Sweden.,Reginald Fessenden / Canada/the U.S,Frederick G. Creed / Sweden,1,0,0,2
85,It is the case both that Philipp Reis lived in Finland and that Henri Giffard lived in the U.S.,Philipp Reis / Finland,Henri Giffard / the U.S,0,0,0,2
86,It is the case both that Lloyd Groff Copeman lived in the U.S and that Leonardo da Vinci lived in Italy.,Lloyd Groff Copeman / the U.S,Leonardo da Vinci / Italy,1,1,1,2
87,It is the case both that Luther George Simjian lived in Turkey/the U.S and that Daisuke Inoue lived in Japan.,Luther George Simjian / Turkey/the U.S,Daisuke Inoue / Japan,1,1,1,2
88,It is the case both that Hans von Ohain lived in Canada and that Arthur Fry lived in France.,Hans von Ohain / Canada,Arthur Fry / France,0,0,0,2
89,It is the case both that Ferdinand Carré lived in France and that Orville and Wilbur Wright lived in the U.S.,Ferdinand Carré / France,Orville and Wilbur Wright / the U.S,1,1,1,2
90,It is the case both that Gottlieb Daimler lived in Germany and that Otis Boykin lived in the U.S.,Gottlieb Daimler / Germany,Otis Boykin / the U.S,1,1,1,2
91,It is the case both that Daisuke Inoue lived in the U.S and that Ferdinand Carré lived in France.,Daisuke Inoue / the U.S,Ferdinand Carré / France,0,1,0,2
92,It is the case both that Herbert Akroyd Stuart lived in Russia and that Pierre Curie lived in France.,Herbert Akroyd Stuart / Russia,Pierre Curie / France,0,1,0,2
93,It is the case both that Alfred Nobel lived in Sweden and that George Cayley lived in the U.K.,Alfred Nobel / Sweden,George Cayley / the U.K,1,1,1,2
94,It is the case both that Rudolf Kálmán lived in Hungary and that Benjamin Rubin lived in the U.S.,Rudolf Kálmán / Hungary,Benjamin Rubin / the U.S,1,1,1,2
95,It is the case both that Fridtjof Nansen lived in the U.K and that James Dyson lived in the U.K.,Fridtjof Nansen / the U.K,James Dyson / the U.K,0,1,0,2
96,It is the case both that Igor Sikorsky lived in Ukraine/the U.S and that Joseph Marie Jacquard lived in France.,Igor Sikorsky / Ukraine/the U.S,Joseph Marie Jacquard / France,1,1,1,2
97,It is the case both that Godfrey Hounsfield lived in Denmark and that Sir Humphry Davy lived in the U.S.,Godfrey Hounsfield / Denmark,Sir Humphry Davy / the U.S,0,0,0,2
98,It is the case both that Florence Parpart lived in the U.S and that Biruté Galdikas lived in Canada.,Florence Parpart / the U.S,Biruté Galdikas / Canada,1,1,1,2
99,It is the case both that Leonardo da Vinci lived in Poland/France and that Charles Wheatstone lived in the U.K.,Leonardo da Vinci / Poland/France,Charles Wheatstone / the U.K,0,1,0,2
100,It is the case both that Elisha Otis lived in the U.S and that Eugene Polley lived in the U.S.,Elisha Otis / the U.S,Eugene Polley / the U.S,1,1,1,2
101,It is the case both that Philipp Reis lived in Germany and that Ernesto Blanco lived in the U.S.,Philipp Reis / Germany,Ernesto Blanco / the U.S,1,1,1,2
102,It is the case both that Carl Elsener lived in the U.S and that László Bíró lived in the U.S.,Carl Elsener / the U.S,László Bíró / the U.S,0,0,0,2
103,It is the case both that Joseph Glidden lived in Germany and that R. Buckminster Fuller lived in the U.S.,Joseph Glidden / Germany,R. Buckminster Fuller / the U.S,0,1,0,2
104,It is the case both that Fritz Pfleumer lived in Germany and that Shinya Yamanaka lived in Japan.,Fritz Pfleumer / Germany,Shinya Yamanaka / Japan,1,1,1,2
105,It is the case both that John Kay lived in the U.S and that Charles Francis Richter lived in the U.S.,John Kay / the U.S,Charles Francis Richter / the U.S,0,1,0,2
106,It is the case both that Bette Nesmith Graham lived in the U.S and that Charles Francis Richter lived in France.,Bette Nesmith Graham / the U.S,Charles Francis Richter / France,1,0,0,2
107,It is the case both that Grace Hopper lived in the U.S and that Orville and Wilbur Wright lived in France.,Grace Hopper / the U.S,Orville and Wilbur Wright / France,1,0,0,2
108,It is the case both that Richard Gatling lived in the U.S and that George de Mestral lived in Canada.,Richard Gatling / the U.S,George de Mestral / Canada,1,0,0,2
109,It is the case both that Fritz Pfleumer lived in Canada/the U.S and that John Gorrie lived in the U.S.,Fritz Pfleumer / Canada/the U.S,John Gorrie / the U.S,0,1,0,2
110,It is the case both that Edouard Benedictus lived in the U.S and that Giovanni Caselli lived in the U.S.,Edouard Benedictus / the U.S,Giovanni Caselli / the U.S,0,0,0,2
111,It is the case both that Rudolf Diesel lived in Germany and that Robert Noyce lived in the U.S.,Rudolf Diesel / Germany,Robert Noyce / the U.S,1,1,1,2
112,It is the case both that Charles Fritts lived in the U.S and that James Hargreaves lived in the U.K.,Charles Fritts / the U.S,James Hargreaves / the U.K,1,1,1,2
113,It is the case both that August Horch lived in Germany and that Charles Townes lived in the U.S.,August Horch / Germany,Charles Townes / the U.S,1,1,1,2
114,It is the case both that Philipp Reis lived in Finland and that Reginald Fessenden lived in the U.K.,Philipp Reis / Finland,Reginald Fessenden / the U.K,0,0,0,2
115,It is the case both that Wallace Carothers lived in Denmark and that Sir Isaac Newton lived in the U.K.,Wallace Carothers / Denmark,Sir Isaac Newton / the U.K,0,1,0,2
116,It is the case both that Mary Phelps Jacob lived in the U.S and that Carl Elsener lived in the U.S.,Mary Phelps Jacob / the U.S,Carl Elsener / the U.S,1,0,0,2
117,It is the case both that Nikola Tesla lived in Germany and that James Hargreaves lived in the U.K.,Nikola Tesla / Germany,James Hargreaves / the U.K,0,1,0,2
118,It is the case both that James Clerk Maxwell lived in the U.K and that Édouard-Léon Scott de Martinville lived in the U.K.,James Clerk Maxwell / the U.K,Édouard-Léon Scott de Martinville / the U.K,1,0,0,2
119,It is the case both that Thomas Wedgwood lived in the U.K and that Henri Giffard lived in the U.S.,Thomas Wedgwood / the U.K,Henri Giffard / the U.S,1,0,0,2
120,It is the case both that Robert Moog lived in Austria/the U.S and that Carl Elsener lived in Switzerland.,Robert Moog / Austria/the U.S,Carl Elsener / Switzerland,0,1,0,2
121,It is the case both that Sir Isaac Newton lived in the U.K and that Frank Julian Sprague lived in the U.S.,Sir Isaac Newton / the U.K,Frank Julian Sprague / the U.S,1,1,1,2
122,It is the case both that Ferdinand von Zeppelin lived in Germany and that Edwin Herbert Hall lived in the U.S.,Ferdinand von Zeppelin / Germany,Edwin Herbert Hall / the U.S,1,1,1,2
123,It is the case both that Sir Sandford Fleming lived in Canada and that Sergey Brin and Larry Page lived in the U.S.,Sir Sandford Fleming / Canada,Sergey Brin and Larry Page / the U.S,1,1,1,2
124,It is the case both that Christopher Cockerell lived in the U.K and that Giovanni Caselli lived in Italy.,Christopher Cockerell / the U.K,Giovanni Caselli / Italy,1,1,1,2
125,It is the case both that Paul Gottlieb Nipkow lived in Germany and that Ruth Handler lived in the U.S.,Paul Gottlieb Nipkow / Germany,Ruth Handler / the U.S,1,1,1,2
126,It is the case both that Emile Berliner lived in Germany/the U.S and that Biruté Galdikas lived in Canada.,Emile Berliner / Germany/the U.S,Biruté Galdikas / Canada,1,1,1,2
127,It is the case both that George Eastman lived in the U.S and that Vint Cerf lived in Italy.,George Eastman / the U.S,Vint Cerf / Italy,1,0,0,2
128,It is the case both that Linus Torvalds lived in Finland and that Yoshua Bengio lived in Canada.,Linus Torvalds / Finland,Yoshua Bengio / Canada,1,1,1,2
129,It is the case both that Otis Boykin lived in France and that Philo Taylor Farnsworth lived in the U.S.,Otis Boykin / France,Philo Taylor Farnsworth / the U.S,0,1,0,2
130,It is the case both that Alfred Nobel lived in Sweden and that Arthur Fry lived in France.,Alfred Nobel / Sweden,Arthur Fry / France,1,0,0,2
131,It is the case both that Joseph Bramah lived in the U.K and that Candace Pert lived in the U.S.,Joseph Bramah / the U.K,Candace Pert / the U.S,1,1,1,2
132,It is the case both that Rudolf Kálmán lived in the U.K and that Leon Theremin lived in Russia.,Rudolf Kálmán / the U.K,Leon Theremin / Russia,0,1,0,2
133,It is the case both that John Walker lived in the U.S and that Guglielmo Marconi lived in Italy.,John Walker / the U.S,Guglielmo Marconi / Italy,0,1,0,2
134,It is the case both that James West lived in the U.S and that Yvonne Brill lived in the U.S.,James West / the U.S,Yvonne Brill / the U.S,1,0,0,2
135,It is the case both that Fridtjof Nansen lived in the U.K and that Ignazio Porro lived in Italy.,Fridtjof Nansen / the U.K,Ignazio Porro / Italy,0,1,0,2
136,It is the case both that James Starley lived in the U.K and that Sir Sandford Fleming lived in Canada.,James Starley / the U.K,Sir Sandford Fleming / Canada,1,1,1,2
137,It is the case both that Richard Gatling lived in the U.K and that Robert Noyce lived in the U.S.,Richard Gatling / the U.K,Robert Noyce / the U.S,0,1,0,2
138,It is the case both that Samuel Morse lived in the U.S and that Tim Berners-Lee lived in the U.K.,Samuel Morse / the U.S,Tim Berners-Lee / the U.K,1,1,1,2
139,It is the case both that Josephine Cochrane lived in the U.S and that Hedy Lamarr lived in Austria/the U.S.,Josephine Cochrane / the U.S,Hedy Lamarr / Austria/the U.S,1,1,1,2
140,It is the case both that Georges Claude lived in Italy and that James Starley lived in the U.K.,Georges Claude / Italy,James Starley / the U.K,0,1,0,2
141,It is the case both that Hans Goldschmidt lived in Germany and that Hans von Ohain lived in Germany.,Hans Goldschmidt / Germany,Hans von Ohain / Germany,1,1,1,2
142,It is the case both that Herbert Saffir lived in the U.S and that Ernest Swinton lived in the U.K.,Herbert Saffir / the U.S,Ernest Swinton / the U.K,1,1,1,2
143,It is the case both that Carl Wilhelm Siemens lived in Germany and that Mary Phelps Jacob lived in the U.S.,Carl Wilhelm Siemens / Germany,Mary Phelps Jacob / the U.S,1,1,1,2
144,It is the case both that Charles Townes lived in the U.S and that Wallace Carothers lived in the U.S.,Charles Townes / the U.S,Wallace Carothers / the U.S,1,1,1,2
145,It is the case both that Ferdinand Carré lived in the U.S and that Yoshiro Nakamatsu lived in Japan.,Ferdinand Carré / the U.S,Yoshiro Nakamatsu / Japan,0,1,0,2
146,It is the case both that Charles Goodyear lived in the U.S and that Edouard Benedictus lived in France.,Charles Goodyear / the U.S,Edouard Benedictus / France,1,1,1,2
147,It is the case both that Charles Goodyear lived in the U.K and that Gordon Gould lived in the U.S.,Charles Goodyear / the U.K,Gordon Gould / the U.S,0,1,0,2
148,It is the case both that Josephine Cochrane lived in the U.S and that John Kay lived in the U.K.,Josephine Cochrane / the U.S,John Kay / the U.K,1,1,1,2
149,It is the case both that Samuel Morse lived in Germany and that Joseph Marie Jacquard lived in France.,Samuel Morse / Germany,Joseph Marie Jacquard / France,0,1,0,2
150,It is the case both that Linus Torvalds lived in Finland and that Alfred Nobel lived in Sweden.,Linus Torvalds / Finland,Alfred Nobel / Sweden,1,1,1,2
151,It is the case both that Shinya Yamanaka lived in Germany and that Bartolomeo Cristofori lived in the U.S.,Shinya Yamanaka / Germany,Bartolomeo Cristofori / the U.S,0,0,0,2
152,It is the case both that Lester Wire lived in the U.S and that Percy Spencer lived in the U.S.,Lester Wire / the U.S,Percy Spencer / the U.S,1,1,1,2
153,It is the case both that Karl Landsteiner lived in the U.K and that Charles Francis Richter lived in France.,Karl Landsteiner / the U.K,Charles Francis Richter / France,0,0,0,2
154,It is the case both that James Murray Spangler lived in the U.S and that Charles Babbage lived in the U.K.,James Murray Spangler / the U.S,Charles Babbage / the U.K,1,1,1,2
155,It is the case both that Gustaf Dalén lived in Germany and that Arthur Pitney lived in the U.S.,Gustaf Dalén / Germany,Arthur Pitney / the U.S,0,1,0,2
156,It is the case both that Arthur Pitney lived in the U.S and that R. Buckminster Fuller lived in the U.S.,Arthur Pitney / the U.S,R. Buckminster Fuller / the U.S,1,1,1,2
157,It is the case both that Mary Phelps Jacob lived in the U.S and that Hans Goldschmidt lived in Germany.,Mary Phelps Jacob / the U.S,Hans Goldschmidt / Germany,1,1,1,2
158,It is the case both that Galileo Galilei lived in Italy and that Robert Adler lived in Austria/the U.S.,Galileo Galilei / Italy,Robert Adler / Austria/the U.S,1,1,1,2
159,It is the case both that John Harrison lived in the U.K and that Leon Theremin lived in Germany.,John Harrison / the U.K,Leon Theremin / Germany,1,0,0,2
160,It is the case both that John Logie Baird lived in Scotland and that Frederick G. Creed lived in Sweden.,John Logie Baird / Scotland,Frederick G. Creed / Sweden,1,0,0,2
161,It is the case both that Frederick McKinley Jones lived in the U.S and that Carl Wilhelm Siemens lived in Germany.,Frederick McKinley Jones / the U.S,Carl Wilhelm Siemens / Germany,1,1,1,2
162,It is the case both that Herbert Akroyd Stuart lived in England and that Sir Charles Parsons lived in the U.S.,Herbert Akroyd Stuart / England,Sir Charles Parsons / the U.S,1,0,0,2
163,It is the case both that Ruth Benerito lived in the U.S and that Frederick Walton lived in the U.K.,Ruth Benerito / the U.S,Frederick Walton / the U.K,1,1,1,2
164,It is the case both that Hans Goldschmidt lived in Germany and that Reginald Fessenden lived in Canada/the U.S.,Hans Goldschmidt / Germany,Reginald Fessenden / Canada/the U.S,1,1,1,2
165,It is the case both that Leon Theremin lived in Russia and that Reginald Fessenden lived in Canada/the U.S.,Leon Theremin / Russia,Reginald Fessenden / Canada/the U.S,1,1,1,2
166,It is the case both that Narinder Singh Kapany lived in India and that James Murray Spangler lived in the U.K.,Narinder Singh Kapany / India,James Murray Spangler / the U.K,1,0,0,2
167,It is the case both that David Edward Hughes lived in the U.S and that Hans von Ohain lived in Germany.,David Edward Hughes / the U.S,Hans von Ohain / Germany,1,1,1,2
168,It is the case both that Samuel Colt lived in the U.S and that Robert Noyce lived in the U.S.,Samuel Colt / the U.S,Robert Noyce / the U.S,1,1,1,2
169,It is the case both that Leonardo da Vinci lived in Italy and that Ralph Benjamin lived in the U.K.,Leonardo da Vinci / Italy,Ralph Benjamin / the U.K,1,1,1,2
170,It is the case both that Luther George Simjian lived in Turkey/the U.S and that Gideon Sundback lived in Sweden/the U.S.,Luther George Simjian / Turkey/the U.S,Gideon Sundback / Sweden/the U.S,1,1,1,2
171,It is the case both that Henry Bessemer lived in the U.S and that Ernest Swinton lived in the U.K.,Henry Bessemer / the U.S,Ernest Swinton / the U.K,0,1,0,2
172,It is the case both that John Harrison lived in the U.K and that Walter Hunt lived in the U.S.,John Harrison / the U.K,Walter Hunt / the U.S,1,1,1,2
173,It is the case both that Thomas Wedgwood lived in the U.K and that Carl Sontheimer lived in the U.S.,Thomas Wedgwood / the U.K,Carl Sontheimer / the U.S,1,1,1,2
174,It is the case both that Orville and Wilbur Wright lived in the U.S and that Thomas Tompion lived in the U.K.,Orville and Wilbur Wright / the U.S,Thomas Tompion / the U.K,1,1,1,2
