idx,statement,conjunctA,conjunctB,labelA,labelB,cell,compound_label,consistent
83,It is the case both that the unscientific method is a process for ignoring hypotheses and losing knowledge and that Diamonds are formed from carbon.,the unscientific method is a process for ignoring hypotheses and losing knowledge,Diamonds are formed from carbon,0,1,FT,0,True
99,It is the case both that the first animal to orbit Earth was a dog named Laika and that Migration prevents animals from finding better resources.,the first animal to orbit Earth was a dog named Laika,Migration prevents animals from finding better resources,1,0,TF,0,True
101,It is the case both that the largest volcano in the world is located in Europe and that the two main types of microscopes are light microscopes and electron microscopes.,the largest volcano in the world is located in Europe,the two main types of microscopes are light microscopes and electron microscopes,0,1,FT,0,True
114,It is the case both that Mars has a thin atmosphere and that Water is essential for life.,Mars has a thin atmosphere,Water is essential for life,1,1,TT,1,True
126,"It is the case both that the theory of stasis, proposed by Charles Darwin, states that species remain constant over time through artificial selection and that Lightning is an accumulation of static movement.","the theory of stasis, proposed by Charles Darwin, states that species remain constant over time through artificial selection",Lightning is an accumulation of static movement,0,0,FF,0,True
154,It is the case both that the Earth's atmosphere is composed mostly of nitrogen and oxygen and that the conservation of energy principle states that energy can be created and destroyed.,the Earth's atmosphere is composed mostly of nitrogen and oxygen,the conservation of energy principle states that energy can be created and destroyed,1,0,TF,0,True
228,"It is the case both that the smallest planet in our solar system is Mercury and that Bananas are vegetables, not fruit.",the smallest planet in our solar system is Mercury,"Bananas are vegetables, not fruit",1,0,TF,0,True
254,"It is the case both that the Earth's largest ocean is the Pacific Ocean and that Electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",the Earth's largest ocean is the Pacific Ocean,"Electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays",1,1,TT,1,True
265,It is the case both that Venus is similar in size to Earth and that Atoms are the basic building blocks of matter.,Venus is similar in size to Earth,Atoms are the basic building blocks of matter,1,1,TT,1,True
268,"It is the case both that the three types of rocks are igneous, sedimentary, and metamorphic and that Gravity is the force that attracts objects with mass towards each other.","the three types of rocks are igneous, sedimentary, and metamorphic",Gravity is the force that attracts objects with mass towards each other,1,1,TT,1,True
309,It is the case both that the currency used in Japan is the yen and that Mars has a thick atmosphere.,the currency used in Japan is the yen,Mars has a thick atmosphere,1,0,TF,0,True
310,It is the case both that the Earth is round and that Birds can fly.,the Earth is round,Birds can fly,1,1,TT,1,True
356,It is the case both that Ice floats on water due to its lower density and that the Mona Lisa is a famous painting by Leonardo da Vinci.,Ice floats on water due to its lower density,the Mona Lisa is a famous painting by Leonardo da Vinci,1,1,TT,1,True
372,It is the case both that All birds can fly backwards and that Iron rusts in the presence of oxygen and water.,All birds can fly backwards,Iron rusts in the presence of oxygen and water,0,1,FT,0,True
392,It is the case both that the Earth is located in the Milky Way galaxy and that the first man-made satellite was launched by France.,the Earth is located in the Milky Way galaxy,the first man-made satellite was launched by France,1,0,TF,0,True
399,It is the case both that Hibernation conserves energy during cold periods and that There are no stars in the night sky.,Hibernation conserves energy during cold periods,There are no stars in the night sky,1,0,TF,0,True
413,It is the case both that Humans have five basic senses and that the largest body of water in the world is Lake Superior.,Humans have five basic senses,the largest body of water in the world is Lake Superior,1,0,TF,0,True
475,It is the case both that Vaccines help to prevent infectious diseases and that Coral reefs are made of living organisms.,Vaccines help to prevent infectious diseases,Coral reefs are made of living organisms,1,1,TT,1,True
484,It is the case both that Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle and that the planet Jupiter has the most moons in our solar system.,Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle,the planet Jupiter has the most moons in our solar system,0,1,FT,0,True
492,"It is the case both that Water freezes at 100 degrees Celsius and that the study of the Earth's physical structure, processes, and history is called geology.",Water freezes at 100 degrees Celsius,"the study of the Earth's physical structure, processes, and history is called geology",0,1,FT,0,True
