idx,statement,subject,disjunctA_obj,disjunctB_obj,labelA,labelB,compound_label,n_parts
54,It is the case either that the city of Dushanbe is in Nigeria or that it is in Senegal.,Dushanbe,Nigeria,Senegal,0,0,0,2
55,It is the case either that the city of Nagpur is in India or that it is in Ukraine.,Nagpur,India,Ukraine,1,0,1,2
56,It is the case either that the city of Queens is in the United States or that it is in India.,Queens,the United States,India,1,0,1,2
57,It is the case either that the city of Al Ahmadi is in Ghana or that it is in Japan.,Al Ahmadi,Ghana,Japan,0,0,0,2
58,It is the case either that the city of Abobo is in Côte d'Ivoire or that it is in Korea.,Abobo,Côte d'Ivoire,Korea,1,0,1,2
59,It is the case either that the city of Zagreb is in Japan or that it is in China.,Zagreb,Japan,China,0,0,0,2
60,It is the case either that the city of Bloemfontein is in Malaysia or that it is in China.,Bloemfontein,Malaysia,China,0,0,0,2
61,It is the case either that the city of Xiangtan is in China or that it is in Ukraine.,Xiangtan,China,Ukraine,1,0,1,2
62,It is the case either that the city of Ya'an is in Morocco or that it is in Malawi.,Ya'an,Morocco,Malawi,0,0,0,2
63,It is the case either that the city of Al Mahallah al Kubra is in China or that it is in Afghanistan.,Al Mahallah al Kubra,China,Afghanistan,0,0,0,2
64,It is the case either that the city of Aparecida de Goiania is in States or that it is in Brazil.,Aparecida de Goiania,States,Brazil,0,1,1,2
65,It is the case either that the city of Algiers is in Russia or that it is in Algeria.,Algiers,Russia,Algeria,0,1,1,2
66,It is the case either that the city of Sevastopol is in Pakistan or that it is in China.,Sevastopol,Pakistan,China,0,0,0,2
67,It is the case either that the city of Huizhou is in China or that it is in Indonesia.,Huizhou,China,Indonesia,1,0,1,2
68,It is the case either that the city of Linfen is in States or that it is in India.,Linfen,States,India,0,0,0,2
69,It is the case either that the city of Ya'an is in China or that it is in Sudan.,Ya'an,China,Sudan,1,0,1,2
70,It is the case either that the city of Nouakchott is in China or that it is in Mauritania.,Nouakchott,China,Mauritania,0,1,1,2
71,It is the case either that the city of Feira de Santana is in India or that it is in Brazil.,Feira de Santana,India,Brazil,0,1,1,2
72,It is the case either that the city of E'zhou is in Russia or that it is in Malaysia.,E'zhou,Russia,Malaysia,0,0,0,2
73,It is the case either that the city of Tomsk is in Ghana or that it is in Japan.,Tomsk,Ghana,Japan,0,0,0,2
74,It is the case either that the city of Faisalabad is in China or that it is in India.,Faisalabad,China,India,0,0,0,2
75,It is the case either that the city of Gold Coast is in India or that it is in Australia.,Gold Coast,India,Australia,0,1,1,2
76,It is the case either that the city of Vadodara is in China or that it is in India.,Vadodara,China,India,0,1,1,2
77,It is the case either that the city of Anyang-si is in South Korea or that it is in Germany.,Anyang-si,South Korea,Germany,1,0,1,2
78,It is the case either that the city of Almaty is in Pakistan or that it is in Iraq.,Almaty,Pakistan,Iraq,0,0,0,2
79,It is the case either that the city of Torreon is in Brazil or that it is in Mexico.,Torreon,Brazil,Mexico,0,1,1,2
80,It is the case either that the city of Frankfurt am Main is in Germany or that it is in China.,Frankfurt am Main,Germany,China,1,0,1,2
81,It is the case either that the city of Kalyan is in Colombia or that it is in India.,Kalyan,Colombia,India,0,1,1,2
82,It is the case either that the city of San Pedro Sula is in Brazil or that it is in India.,San Pedro Sula,Brazil,India,0,0,0,2
83,It is the case either that the city of Baoji is in India or that it is in China.,Baoji,India,China,0,1,1,2
84,It is the case either that the city of Santiago de Cuba is in Ukraine or that it is in India.,Santiago de Cuba,Ukraine,India,0,0,0,2
85,It is the case either that the city of Bhayandar is in China or that it is in Nigeria.,Bhayandar,China,Nigeria,0,0,0,2
86,It is the case either that the city of Hangzhou is in Pakistan or that it is in Russia.,Hangzhou,Pakistan,Russia,0,0,0,2
87,It is the case either that the city of Puente Alto is in Chile or that it is in Myanmar.,Puente Alto,Chile,Myanmar,1,0,1,2
88,It is the case either that the city of Harare is in Korea or that it is in Turkey.,Harare,Korea,Turkey,0,0,0,2
89,It is the case either that the city of Da Nang is in China or that it is in India.,Da Nang,China,India,0,0,0,2
90,It is the case either that the city of Luohe is in China or that it is in Brazil.,Luohe,China,Brazil,1,0,0,2
91,It is the case either that the city of Jaboatao is in Syria or that it is in China.,Jaboatao,Syria,China,0,0,0,2
92,It is the case either that the city of Abobo is in Côte Korea or that it is in d'Ivoire.,Abobo,Côte Korea,d'Ivoire,0,0,1,2
93,It is the case either that the city of Namangan is in Uzbekistan or that it is in Faso.,Namangan,Uzbekistan,Faso,1,0,1,2
94,It is the case either that the city of Zunyi is in Republic or that it is in China.,Zunyi,Republic,China,0,1,1,2
95,It is the case either that the city of Sofia is in Kenya or that it is in Bulgaria.,Sofia,Kenya,Bulgaria,0,1,1,2
96,It is the case either that the city of Deyang is in China or that it is in Turkey.,Deyang,China,Turkey,1,0,1,2
97,It is the case either that the city of Esenler is in d'Ivoire or that it is in India.,Esenler,d'Ivoire,India,0,0,0,2
98,It is the case either that the city of Vadodara is in India or that it is in Poland.,Vadodara,India,Poland,1,0,1,2
99,It is the case either that the city of Qinhuangdao is in Eritrea or that it is in Lebanon.,Qinhuangdao,Eritrea,Lebanon,0,0,0,2
100,It is the case either that the city of Amman is in Malaysia or that it is in Russia.,Amman,Malaysia,Russia,0,0,0,2
101,It is the case either that the city of Bandar Lampung is in South Russia or that it is in Africa.,Bandar Lampung,South Russia,Africa,0,0,0,2
102,It is the case either that the city of Wenzhou is in Ghana or that it is in China.,Wenzhou,Ghana,China,0,1,1,2
103,It is the case either that the city of Tebessa is in Venezuela or that it is in India.,Tebessa,Venezuela,India,0,0,0,2
104,It is the case either that the city of Marrakesh is in China or that it is in Morocco.,Marrakesh,China,Morocco,0,1,1,2
105,It is the case either that the city of Karachi is in Cameroon or that it is in India.,Karachi,Cameroon,India,0,0,0,2
106,It is the case either that the city of Tangerang is in China or that it is in India.,Tangerang,China,India,0,0,0,2
107,It is the case either that the city of Nouakchott is in Mauritania or that it is in India.,Nouakchott,Mauritania,India,1,0,1,2
108,It is the case either that the city of Kahriz is in Uzbekistan or that it is in China.,Kahriz,Uzbekistan,China,0,0,0,2
109,It is the case either that the city of Makassar is in India or that it is in China.,Makassar,India,China,0,0,0,2
110,It is the case either that the city of Budapest is in Indonesia or that it is in Hungary.,Budapest,Indonesia,Hungary,0,1,1,2
111,It is the case either that the city of Maracaibo is in Russia or that it is in Indonesia.,Maracaibo,Russia,Indonesia,0,0,0,2
112,It is the case either that the city of Sao Bernardo do Campo is in Korea or that it is in Zambia.,Sao Bernardo do Campo,Korea,Zambia,0,0,0,2
113,It is the case either that the city of Suwon is in Russia or that it is in China.,Suwon,Russia,China,0,0,0,2
114,It is the case either that the city of Vadodara is in Japan or that it is in India.,Vadodara,Japan,India,0,1,1,2
115,It is the case either that the city of Sangli is in China or that it is in Japan.,Sangli,China,Japan,0,0,0,2
116,It is the case either that the city of Amritsar is in Brazil or that it is in Moldova.,Amritsar,Brazil,Moldova,0,0,0,2
117,It is the case either that the city of Mazar-e Sharif is in Germany or that it is in India.,Mazar-e Sharif,Germany,India,0,0,0,2
118,It is the case either that the city of Cangzhou is in Germany or that it is in Japan.,Cangzhou,Germany,Japan,0,0,0,2
119,It is the case either that the city of Banjarmasin is in South Korea or that it is in Iraq.,Banjarmasin,South Korea,Iraq,0,0,0,2
120,It is the case either that the city of Ranchi is in Myanmar or that it is in India.,Ranchi,Myanmar,India,0,1,1,2
121,It is the case either that the city of Thuan An is in Vietnam or that it is in Russia.,Thuan An,Vietnam,Russia,1,0,1,2
122,It is the case either that the city of Bilimora is in Uzbekistan or that it is in China.,Bilimora,Uzbekistan,China,0,0,0,2
123,It is the case either that the city of Nairobi is in Mexico or that it is in Mozambique.,Nairobi,Mexico,Mozambique,0,0,0,2
124,It is the case either that the city of Shijiazhuang is in China or that it is in Uzbekistan.,Shijiazhuang,China,Uzbekistan,1,0,0,2
125,It is the case either that the city of Deyang is in Japan or that it is in China.,Deyang,Japan,China,0,1,0,2
126,It is the case either that the city of Namangan is in Uzbekistan or that it is in India.,Namangan,Uzbekistan,India,1,0,1,2
127,It is the case either that the city of Zhangye is in Venezuela or that it is in Malaysia.,Zhangye,Venezuela,Malaysia,0,0,0,2
128,It is the case either that the city of Lanzhou is in Mexico or that it is in China.,Lanzhou,Mexico,China,0,1,0,2
129,It is the case either that the city of Jiujiang is in Latvia or that it is in China.,Jiujiang,Latvia,China,0,1,1,2
130,It is the case either that the city of Bengbu is in India or that it is in Emirates.,Bengbu,India,Emirates,0,0,0,2
131,It is the case either that the city of Reynosa is in China or that it is in Africa.,Reynosa,China,Africa,0,0,0,2
132,It is the case either that the city of Novosibirsk is in China or that it is in Russia.,Novosibirsk,China,Russia,0,1,1,2
133,It is the case either that the city of Varanasi is in India or that it is in Lithuania.,Varanasi,India,Lithuania,1,0,1,2
134,It is the case either that the city of Dortmund is in India or that it is in Philippines.,Dortmund,India,Philippines,0,0,0,2
135,It is the case either that the city of Jamshedpur is in India or that it is in Yemen.,Jamshedpur,India,Yemen,1,0,1,2
136,It is the case either that the city of E'zhou is in India or that it is in China.,E'zhou,India,China,0,1,1,2
137,It is the case either that the city of Leon de los Aldama is in Mexico or that it is in Chile.,Leon de los Aldama,Mexico,Chile,1,0,1,2
138,It is the case either that the city of Yangjiang is in China or that it is in Indonesia.,Yangjiang,China,Indonesia,1,0,0,2
139,It is the case either that the city of Chenzhou is in Brazil or that it is in India.,Chenzhou,Brazil,India,0,0,0,2
140,It is the case either that the city of San Luis Potosi is in the Democratic Republic of the Syria or that it is in Congo.,San Luis Potosi,the Democratic Republic of the Syria,Congo,0,0,0,2
141,It is the case either that the city of Surakarta is in Mexico or that it is in India.,Surakarta,Mexico,India,0,0,0,2
142,It is the case either that the city of Karaj is in China or that it is in India.,Karaj,China,India,0,0,0,2
143,It is the case either that the city of Zhanjiang is in China or that it is in Yemen.,Zhanjiang,China,Yemen,1,0,1,2
144,It is the case either that the city of Bandar Lampung is in Indonesia or that it is in China.,Bandar Lampung,Indonesia,China,1,0,1,2
145,It is the case either that the city of Panzhihua is in Pakistan or that it is in Iran.,Panzhihua,Pakistan,Iran,0,0,0,2
146,It is the case either that the city of Zhangye is in Venezuela or that it is in Malaysia.,Zhangye,Venezuela,Malaysia,0,0,0,2
147,It is the case either that the city of Pasig City is in Turkey or that it is in Morocco.,Pasig City,Turkey,Morocco,0,0,0,2
148,It is the case either that the city of Kyiv is in Russia or that it is in Iran.,Kyiv,Russia,Iran,0,0,0,2
149,It is the case either that the city of Tembisa is in South Japan or that it is in Africa.,Tembisa,South Japan,Africa,0,0,1,2
150,It is the case either that the city of Yerevan is in Iraq or that it is in Armenia.,Yerevan,Iraq,Armenia,0,1,1,2
151,It is the case either that the city of Arak is in Algeria or that it is in Iran.,Arak,Algeria,Iran,0,1,1,2
152,It is the case either that the city of Culiacan is in China or that it is in Mexico.,Culiacan,China,Mexico,0,1,1,2
153,It is the case either that the city of Antwerpen is in Belgium or that it is in Iran.,Antwerpen,Belgium,Iran,1,0,1,2
154,It is the case either that the city of Ciudad Guayana is in Turkey or that it is in Venezuela.,Ciudad Guayana,Turkey,Venezuela,0,1,1,2
155,It is the case either that the city of Urumqi is in Brazil or that it is in China.,Urumqi,Brazil,China,0,1,1,2
156,It is the case either that the city of Mogadishu is in Iran or that it is in Kenya.,Mogadishu,Iran,Kenya,0,0,0,2
157,It is the case either that the city of Bulawayo is in India or that it is in China.,Bulawayo,India,China,0,0,0,2
158,It is the case either that the city of Novosibirsk is in Tanzania or that it is in Russia.,Novosibirsk,Tanzania,Russia,0,1,1,2
159,It is the case either that the city of Nasiriyah is in Iraq or that it is in Bangladesh.,Nasiriyah,Iraq,Bangladesh,1,0,1,2
160,It is the case either that the city of Mosul is in China or that it is in Korea.,Mosul,China,Korea,0,0,0,2
161,It is the case either that the city of Xianning is in Lebanon or that it is in India.,Xianning,Lebanon,India,0,0,0,2
162,It is the case either that the city of Tashkent is in Egypt or that it is in Uzbekistan.,Tashkent,Egypt,Uzbekistan,0,1,1,2
163,It is the case either that the city of Almaty is in Vietnam or that it is in Kazakhstan.,Almaty,Vietnam,Kazakhstan,0,1,1,2
164,It is the case either that the city of Isfahan is in Iran or that it is in Ghana.,Isfahan,Iran,Ghana,1,0,1,2
165,It is the case either that the city of Balikpapan is in Japan or that it is in China.,Balikpapan,Japan,China,0,0,0,2
166,It is the case either that the city of Bikaner is in South Russia or that it is in Korea.,Bikaner,South Russia,Korea,0,0,0,2
167,It is the case either that the city of Thane is in India or that it is in Korea.,Thane,India,Korea,1,0,1,2
168,It is the case either that the city of Mar del Plata is in Algeria or that it is in Nigeria.,Mar del Plata,Algeria,Nigeria,0,0,0,2
169,It is the case either that the city of Siliguri is in Finland or that it is in India.,Siliguri,Finland,India,0,1,1,2
170,It is the case either that the city of Rahim Yar Khan is in Lithuania or that it is in Venezuela.,Rahim Yar Khan,Lithuania,Venezuela,0,0,0,2
171,It is the case either that the city of Gaziantep is in Korea or that it is in Turkey.,Gaziantep,Korea,Turkey,0,1,1,2
172,It is the case either that the city of Nanded is in China or that it is in Congo.,Nanded,China,Congo,0,0,0,2
173,It is the case either that the city of Kleinzschocher is in Germany or that it is in Iran.,Kleinzschocher,Germany,Iran,1,0,1,2
174,It is the case either that the city of Hangzhou is in Japan or that it is in China.,Hangzhou,Japan,China,0,1,1,2
175,It is the case either that the city of Kobe is in Japan or that it is in China.,Kobe,Japan,China,1,0,1,2
176,It is the case either that the city of Guang'an is in Germany or that it is in Egypt.,Guang'an,Germany,Egypt,0,0,0,2
177,It is the case either that the city of Comilla is in Russia or that it is in Bangladesh.,Comilla,Russia,Bangladesh,0,1,1,2
178,It is the case either that the city of Siliguri is in China or that it is in India.,Siliguri,China,India,0,1,1,2
179,It is the case either that the city of Yibin is in Brazil or that it is in Russia.,Yibin,Brazil,Russia,0,0,0,2
180,It is the case either that the city of Pretoria is in Malaysia or that it is in India.,Pretoria,Malaysia,India,0,0,0,2
181,It is the case either that the city of Hannover is in Brazil or that it is in China.,Hannover,Brazil,China,0,0,0,2
182,It is the case either that the city of Karachi is in India or that it is in China.,Karachi,India,China,0,0,0,2
183,It is the case either that the city of Hegang is in Russia or that it is in China.,Hegang,Russia,China,0,1,0,2
184,It is the case either that the city of Daejeon is in South India or that it is in Korea.,Daejeon,South India,Korea,0,0,1,2
185,It is the case either that the city of Sapporo is in Japan or that it is in Mexico.,Sapporo,Japan,Mexico,1,0,0,2
186,It is the case either that the city of Putian is in Philippines or that it is in Vietnam.,Putian,Philippines,Vietnam,0,0,0,2
187,It is the case either that the city of Hebi is in Egypt or that it is in China.,Hebi,Egypt,China,0,1,1,2
188,It is the case either that the city of Kahriz is in China or that it is in Uzbekistan.,Kahriz,China,Uzbekistan,0,0,0,2
189,It is the case either that the city of Kota Bharu is in Norway or that it is in China.,Kota Bharu,Norway,China,0,0,0,2
190,It is the case either that the city of Recife is in North Korea or that it is in Venezuela.,Recife,North Korea,Venezuela,0,0,0,2
191,It is the case either that the city of Boumerdes is in Algeria or that it is in India.,Boumerdes,Algeria,India,1,0,1,2
192,It is the case either that the city of Peshawar is in Pakistan or that it is in India.,Peshawar,Pakistan,India,1,0,1,2
193,It is the case either that the city of Matola is in Thailand or that it is in India.,Matola,Thailand,India,0,0,0,2
194,It is the case either that the city of Johor Bahru is in China or that it is in Cuba.,Johor Bahru,China,Cuba,0,0,0,2
195,It is the case either that the city of Wuwei is in China or that it is in India.,Wuwei,China,India,1,0,1,2
196,It is the case either that the city of Shangqiu is in South Germany or that it is in Korea.,Shangqiu,South Germany,Korea,0,0,0,2
197,It is the case either that the city of Shenyang is in India or that it is in China.,Shenyang,India,China,0,1,1,2
198,It is the case either that the city of Jiujiang is in China or that it is in Pakistan.,Jiujiang,China,Pakistan,1,0,1,2
199,It is the case either that the city of Beijing is in Ghana or that it is in Africa.,Beijing,Ghana,Africa,0,0,0,2
200,It is the case either that the city of Weihai is in Brazil or that it is in Russia.,Weihai,Brazil,Russia,0,0,0,2
201,It is the case either that the city of Brasilia is in South Korea or that it is in Japan.,Brasilia,South Korea,Japan,0,0,0,2
202,It is the case either that the city of Queens is in Vietnam or that it is in India.,Queens,Vietnam,India,0,0,0,2
203,It is the case either that the city of Xining is in China or that it is in Germany.,Xining,China,Germany,1,0,1,2
204,It is the case either that the city of Kleinzschocher is in Germany or that it is in China.,Kleinzschocher,Germany,China,1,0,1,2
205,It is the case either that the city of Cotonou is in Benin or that it is in India.,Cotonou,Benin,India,1,0,1,2
206,It is the case either that the city of Lyon is in France or that it is in Nigeria.,Lyon,France,Nigeria,1,0,1,2
207,It is the case either that the city of Tianjin is in Turkey or that it is in China.,Tianjin,Turkey,China,0,1,1,2
208,It is the case either that the city of Xinyang is in Japan or that it is in Russia.,Xinyang,Japan,Russia,0,0,0,2
209,It is the case either that the city of Tianjin is in Nigeria or that it is in Bangladesh.,Tianjin,Nigeria,Bangladesh,0,0,0,2
210,It is the case either that the city of Zapopan is in China or that it is in Ghana.,Zapopan,China,Ghana,0,0,0,2
211,It is the case either that the city of Makassar is in China or that it is in Mexico.,Makassar,China,Mexico,0,0,0,2
212,It is the case either that the city of Orumiyeh is in Saudi Malaysia or that it is in Arabia.,Orumiyeh,Saudi Malaysia,Arabia,0,0,0,2
213,It is the case either that the city of Vadodara is in China or that it is in Russia.,Vadodara,China,Russia,0,0,0,2
214,It is the case either that the city of Bhubaneswar is in India or that it is in Indonesia.,Bhubaneswar,India,Indonesia,1,0,1,2
215,It is the case either that the city of Pingliang is in Turkey or that it is in Tanzania.,Pingliang,Turkey,Tanzania,0,0,0,2
216,It is the case either that the city of Bhayandar is in Nigeria or that it is in India.,Bhayandar,Nigeria,India,0,1,1,2
217,It is the case either that the city of Meerut is in India or that it is in Brazil.,Meerut,India,Brazil,1,0,1,2
218,It is the case either that the city of Ranchi is in Russia or that it is in Venezuela.,Ranchi,Russia,Venezuela,0,0,0,2
219,It is the case either that the city of Ciudad Juarez is in Pakistan or that it is in India.,Ciudad Juarez,Pakistan,India,0,0,0,2
220,It is the case either that the city of Zunyi is in Senegal or that it is in Brazil.,Zunyi,Senegal,Brazil,0,0,0,2
221,It is the case either that the city of Abeokuta is in Nigeria or that it is in India.,Abeokuta,Nigeria,India,1,0,1,2
222,It is the case either that the city of Jambi City is in Indonesia or that it is in Arabia.,Jambi City,Indonesia,Arabia,1,0,1,2
223,It is the case either that the city of Peshawar is in Pakistan or that it is in China.,Peshawar,Pakistan,China,1,0,1,2
224,It is the case either that the city of Ulsan is in South China or that it is in Africa.,Ulsan,South China,Africa,0,0,0,2
225,It is the case either that the city of Cotonou is in Bulgaria or that it is in Benin.,Cotonou,Bulgaria,Benin,0,1,1,2
226,It is the case either that the city of Jeonju is in the United States or that it is in China.,Jeonju,the United States,China,0,0,0,2
227,It is the case either that the city of Tangerang is in Japan or that it is in China.,Tangerang,Japan,China,0,0,0,2
228,It is the case either that the city of Amritsar is in Moldova or that it is in Niger.,Amritsar,Moldova,Niger,0,0,0,2
229,It is the case either that the city of Khulna is in Bangladesh or that it is in Senegal.,Khulna,Bangladesh,Senegal,1,0,1,2
230,It is the case either that the city of Zunyi is in Pakistan or that it is in China.,Zunyi,Pakistan,China,0,1,1,2
231,It is the case either that the city of Chennai is in Japan or that it is in China.,Chennai,Japan,China,0,0,0,2
232,It is the case either that the city of Busan is in South Korea or that it is in India.,Busan,South Korea,India,1,0,1,2
233,It is the case either that the city of Matsuyama is in Mexico or that it is in Japan.,Matsuyama,Mexico,Japan,0,1,1,2
234,It is the case either that the city of Tembisa is in the Philippines or that it is in India.,Tembisa,the Philippines,India,0,0,0,2
235,It is the case either that the city of Vladivostok is in China or that it is in Russia.,Vladivostok,China,Russia,0,1,1,2
236,It is the case either that the city of Ryazan' is in Russia or that it is in China.,Ryazan',Russia,China,1,0,1,2
237,It is the case either that the city of Orumiyeh is in Saudi Arabia or that it is in China.,Orumiyeh,Saudi Arabia,China,0,0,0,2
238,It is the case either that the city of Santo Domingo Este is in India or that it is in Russia.,Santo Domingo Este,India,Russia,0,0,0,2
239,It is the case either that the city of Goiania is in China or that it is in Ukraine.,Goiania,China,Ukraine,0,0,0,2
240,It is the case either that the city of Linyi is in Iraq or that it is in States.,Linyi,Iraq,States,0,0,0,2
241,It is the case either that the city of Bogor is in Indonesia or that it is in Brazil.,Bogor,Indonesia,Brazil,1,0,1,2
242,It is the case either that the city of Poznan is in Mexico or that it is in States.,Poznan,Mexico,States,0,0,0,2
243,It is the case either that the city of Rawalpindi is in Pakistan or that it is in China.,Rawalpindi,Pakistan,China,1,0,1,2
244,It is the case either that the city of Huizhou is in China or that it is in Congo.,Huizhou,China,Congo,1,0,1,2
245,It is the case either that the city of Caracas is in China or that it is in Sudan.,Caracas,China,Sudan,0,0,0,2
246,It is the case either that the city of Quetta is in Russia or that it is in Pakistan.,Quetta,Russia,Pakistan,0,1,1,2
247,It is the case either that the city of Fukuoka is in Senegal or that it is in Japan.,Fukuoka,Senegal,Japan,0,1,0,2
248,It is the case either that the city of New South Memphis is in China or that it is in Japan.,New South Memphis,China,Japan,0,0,0,2
249,It is the case either that the city of Lahore is in China or that it is in Pakistan.,Lahore,China,Pakistan,0,1,1,2
250,It is the case either that the city of Cheongju-si is in India or that it is in China.,Cheongju-si,India,China,0,0,0,2
251,It is the case either that the city of Zaozhuang is in China or that it is in Finland.,Zaozhuang,China,Finland,1,0,1,2
252,It is the case either that the city of Qingdao is in Congo or that it is in India.,Qingdao,Congo,India,0,0,0,2
253,It is the case either that the city of Arak is in India or that it is in Myanmar.,Arak,India,Myanmar,0,0,0,2
254,It is the case either that the city of Cebu City is in Mexico or that it is in China.,Cebu City,Mexico,China,0,0,0,2
255,It is the case either that the city of Weihai is in China or that it is in Brazil.,Weihai,China,Brazil,1,0,1,2
256,It is the case either that the city of Zhabei is in China or that it is in Somalia.,Zhabei,China,Somalia,1,0,1,2
