idx,statement,conjunctA,conjunctB,labelA,labelB,compound_label,n_parts
30,It is the case both that the Earth's magnetic field is what causes compasses to point north and that the planet Pluto has five known moons.,the Earth's magnetic field is what causes compasses to point north,the planet Pluto has five known moons,1,1,1,2
31,It is the case both that the Roman Empire existed from 27 BC to 476 AD and that the Earth is round.,the Roman Empire existed from 27 BC to 476 AD,the Earth is round,1,1,1,2
32,It is the case both that the currency of Japan is the yen and that the Pacific Ocean is the largest ocean in the world.,the currency of Japan is the yen,the Pacific Ocean is the largest ocean in the world,1,1,1,2
33,It is the case both that the shortest distance between two points is a curve and that Oxygen is essential for respiration.,the shortest distance between two points is a curve,Oxygen is essential for respiration,0,1,0,2
34,It is the case both that the human muscular system allows us to move and lift things and that the speed of light is the fastest known speed in the universe.,the human muscular system allows us to move and lift things,the speed of light is the fastest known speed in the universe,1,1,1,2
35,"It is the case both that the human respiratory system includes the trachea, bronchi, and lungs and that the speed of light is the slowest known speed in the universe.","the human respiratory system includes the trachea, bronchi, and lungs",the speed of light is the slowest known speed in the universe,1,0,0,2
36,It is the case both that the two main types of microscopes are light microscopes and electron microscopes and that Photosynthesis in plants produces oxygen as a byproduct.,the two main types of microscopes are light microscopes and electron microscopes,Photosynthesis in plants produces oxygen as a byproduct,1,1,1,2
37,It is the case both that the smallest tree in the world is the redwood and that the planet Saturn has the largest rings in our solar system.,the smallest tree in the world is the redwood,the planet Saturn has the largest rings in our solar system,0,1,0,2
38,"It is the case both that Chemical reactions involve the conservation of atoms to maintain old substances and that the three main types of symbiotic relationships are mutualism, commensalism, and parasitism.",Chemical reactions involve the conservation of atoms to maintain old substances,"the three main types of symbiotic relationships are mutualism, commensalism, and parasitism",0,1,0,2
39,It is the case both that Light can exhibit neither wave-like nor particle-like properties and that the smallest state in the United States is Texas.,Light can exhibit neither wave-like nor particle-like properties,the smallest state in the United States is Texas,0,0,0,2
40,It is the case both that the Earth is round and that Fossils are the preserved remains or traces of organisms that lived in the past.,the Earth is round,Fossils are the preserved remains or traces of organisms that lived in the past,1,1,1,2
41,"It is the case both that the auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field and that the fastest swimmer in the world is CÃ©sar Cielo from Brazil.","the auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field",the fastest swimmer in the world is CÃ©sar Cielo from Brazil,1,1,1,2
42,It is the case both that Mercury has no moons and that Water is essential for life.,Mercury has no moons,Water is essential for life,1,1,1,2
43,It is the case both that the circulatory system blocks nutrients and oxygen throughout the body and that Erosion is the gradual wearing away of Earth's surface by natural processes.,the circulatory system blocks nutrients and oxygen throughout the body,Erosion is the gradual wearing away of Earth's surface by natural processes,0,1,0,2
44,It is the case both that the circulatory system blocks nutrients and oxygen throughout the body and that the Coriolis effect influences the movement of large-scale weather systems.,the circulatory system blocks nutrients and oxygen throughout the body,the Coriolis effect influences the movement of large-scale weather systems,0,1,0,2
45,It is the case both that the Milky Way is a spiral galaxy and that the respiratory system prevents the exchange of gases between the body and the environment.,the Milky Way is a spiral galaxy,the respiratory system prevents the exchange of gases between the body and the environment,1,0,0,2
46,It is the case both that the shortest month of the year is February and that Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle.,the shortest month of the year is February,Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle,1,0,0,2
47,"It is the case both that Neptune has the strongest winds in the solar system and that the planet Mars is known as the Red Planet"" due to its reddish appearance."".",Neptune has the strongest winds in the solar system,"the planet Mars is known as the Red Planet"" due to its reddish appearance.""",1,1,1,2
48,It is the case both that Sound travels through the air as light and that DNA carries genetic information in living organisms.,Sound travels through the air as light,DNA carries genetic information in living organisms,0,1,0,2
49,It is the case both that the ozone layer exposes Earth to harmful ultraviolet radiation and that DNA carries genetic information in living organisms.,the ozone layer exposes Earth to harmful ultraviolet radiation,DNA carries genetic information in living organisms,0,1,0,2
50,"It is the case both that the three main types of symbiotic relationships are mutualism, commensalism, and parasitism and that the largest planet in our solar system is Mercury.","the three main types of symbiotic relationships are mutualism, commensalism, and parasitism",the largest planet in our solar system is Mercury,1,0,0,2
51,It is the case both that Gravity makes things fall down and that the moon is made of cheese.,Gravity makes things fall down,the moon is made of cheese,1,0,0,2
52,"It is the case both that the fastest swimmer in the world is CÃ©sar Cielo from Brazil and that Jupiter has the Great Red Spot, a giant storm.",the fastest swimmer in the world is CÃ©sar Cielo from Brazil,"Jupiter has the Great Red Spot, a giant storm",1,1,1,2
53,It is the case both that the Titanic was a famous ship that sank in 1912 and that the human body is approximately 60% water.,the Titanic was a famous ship that sank in 1912,the human body is approximately 60% water,1,1,1,2
54,It is the case both that the human body is approximately 60% water and that the unscientific method is a random process for ignoring phenomena and losing knowledge.,the human body is approximately 60% water,the unscientific method is a random process for ignoring phenomena and losing knowledge,1,0,0,2
55,It is the case both that the Great Wall of China is the longest wall in the world and that the coldest place on Earth is the equator.,the Great Wall of China is the longest wall in the world,the coldest place on Earth is the equator,1,0,0,2
56,It is the case both that Cars need gasoline or electricity to run and that Gravity is the force that attracts objects with mass towards each other.,Cars need gasoline or electricity to run,Gravity is the force that attracts objects with mass towards each other,1,1,1,2
57,It is the case both that the planet Mars is named after the Roman god of war and that Fire needs oxygen to burn.,the planet Mars is named after the Roman god of war,Fire needs oxygen to burn,1,1,1,2
58,It is the case both that the two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus) and that the moon is made of cheese.,the two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus),the moon is made of cheese,1,0,0,2
59,"It is the case both that Cars need gasoline or electricity to run and that Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration.",Cars need gasoline or electricity to run,"Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration",1,1,1,2
60,"It is the case both that the only continent without any deserts is Antarctica and that the three types of rocks are igneous, sedimentary, and metamorphic.",the only continent without any deserts is Antarctica,"the three types of rocks are igneous, sedimentary, and metamorphic",0,1,0,2
61,It is the case both that the human skin is the body's largest organ and that Sound travels through the air as vibrations.,the human skin is the body's largest organ,Sound travels through the air as vibrations,1,1,1,2
62,It is the case both that the Sun is a star and that the largest reptile in the world is the crocodile.,the Sun is a star,the largest reptile in the world is the crocodile,1,0,0,2
63,It is the case both that the coldest place on Earth is the equator and that Convection is the transfer of heat through the movement of fluids or gases.,the coldest place on Earth is the equator,Convection is the transfer of heat through the movement of fluids or gases,0,1,0,2
64,"It is the case both that the Earth's magnetic field is what causes compasses to point south and that Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration.",the Earth's magnetic field is what causes compasses to point south,"Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration",0,1,0,2
65,It is the case both that the first successful powered flight was made by the Wright Brothers in 1903 and that Tornadoes are slowly rotating columns of water that can cause minimal damage.,the first successful powered flight was made by the Wright Brothers in 1903,Tornadoes are slowly rotating columns of water that can cause minimal damage,1,0,0,2
66,It is the case both that the shortest distance between two points is a zigzag and that Fossils provide evidence of past life on Earth.,the shortest distance between two points is a zigzag,Fossils provide evidence of past life on Earth,0,1,0,2
67,It is the case both that Sound remains stationary through various mediums and that Birds are not animals.,Sound remains stationary through various mediums,Birds are not animals,0,0,0,2
68,It is the case both that Tornadoes are rapidly rotating columns of air that can cause extensive damage and that the most abundant gas in Earth's atmosphere is nitrogen.,Tornadoes are rapidly rotating columns of air that can cause extensive damage,the most abundant gas in Earth's atmosphere is nitrogen,1,1,1,2
69,It is the case both that Tornadoes are rapidly rotating columns of air and that Cars can travel faster than the speed of light.,Tornadoes are rapidly rotating columns of air,Cars can travel faster than the speed of light,1,0,0,2
70,It is the case both that the smallest unit of life is the cell and that the process of pollination is crucial for plant reproduction.,the smallest unit of life is the cell,the process of pollination is crucial for plant reproduction,1,1,1,2
71,"It is the case both that the scientific name for humans is Homo sapiens and that the planet Mars is known as the Red Planet"" due to its reddish appearance."".",the scientific name for humans is Homo sapiens,"the planet Mars is known as the Red Planet"" due to its reddish appearance.""",1,1,1,2
72,It is the case both that Neurons are specialized cells that transmit electrical and chemical signals in the nervous system and that Gravity pulls objects towards each other.,Neurons are specialized cells that transmit electrical and chemical signals in the nervous system,Gravity pulls objects towards each other,1,1,1,2
73,It is the case both that the Amazon rainforest is home to minimal biodiversity and that the tallest tree in the world is a redwood tree named Hyperion.,the Amazon rainforest is home to minimal biodiversity,the tallest tree in the world is a redwood tree named Hyperion,0,1,0,2
74,"It is the case both that Giraffes are not real animals, they are made up and that Venus has a thick atmosphere.","Giraffes are not real animals, they are made up",Venus has a thick atmosphere,0,1,0,2
75,It is the case both that Ice floats on water due to its lower density and that Evolution occurs through the process of natural selection.,Ice floats on water due to its lower density,Evolution occurs through the process of natural selection,1,1,1,2
76,"It is the case both that the human circulatory system is an open system consisting of the heart, air vessels, and air and that Rainbows are formed when light is refracted through water droplets in the air.","the human circulatory system is an open system consisting of the heart, air vessels, and air",Rainbows are formed when light is refracted through water droplets in the air,0,1,0,2
77,"It is the case both that the human reproductive system includes the ovaries, uterus, and testes and that Saturn's largest moon is Titan.","the human reproductive system includes the ovaries, uterus, and testes",Saturn's largest moon is Titan,1,1,1,2
78,It is the case both that the largest tree in the world is a cactus and that the human skin is the body's largest organ.,the largest tree in the world is a cactus,the human skin is the body's largest organ,0,1,0,2
79,It is the case both that the boiling point of water decreases as altitude increases and that the only continent without any forests is South America.,the boiling point of water decreases as altitude increases,the only continent without any forests is South America,1,0,0,2
80,It is the case both that the Earth's ozone layer protects us from harmful ultraviolet (UV) radiation from the sun and that Rainbows form when light refracts through water droplets.,the Earth's ozone layer protects us from harmful ultraviolet (UV) radiation from the sun,Rainbows form when light refracts through water droplets,1,1,1,2
81,It is the case both that the Earth's atmosphere is composed mostly of helium and carbon dioxide and that Birds can fly.,the Earth's atmosphere is composed mostly of helium and carbon dioxide,Birds can fly,0,1,0,2
82,It is the case both that DNA carries genetic information in living organisms and that Light travels faster than sound.,DNA carries genetic information in living organisms,Light travels faster than sound,1,1,1,2
83,It is the case both that the unscientific method is a process for ignoring hypotheses and losing knowledge and that Diamonds are formed from carbon.,the unscientific method is a process for ignoring hypotheses and losing knowledge,Diamonds are formed from carbon,0,1,0,2
84,"It is the case both that Our solar system consists of eight planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune and that Polar bears have white fur to camouflage in their snowy environment.","Our solar system consists of eight planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune",Polar bears have white fur to camouflage in their snowy environment,1,1,1,2
85,It is the case both that the process of pollination is crucial for plant reproduction and that the highest point in Africa is Mount Kilimanjaro.,the process of pollination is crucial for plant reproduction,the highest point in Africa is Mount Kilimanjaro,1,1,1,2
86,It is the case both that the largest volcano in the world is located in Europe and that Tornadoes are rapidly rotating columns of air.,the largest volcano in the world is located in Europe,Tornadoes are rapidly rotating columns of air,0,1,0,2
87,It is the case both that Neptune has the strongest winds in the solar system and that Migration prevents animals from finding better resources.,Neptune has the strongest winds in the solar system,Migration prevents animals from finding better resources,1,0,0,2
88,It is the case both that the human respiratory system consists of lungs and airways and that the Earth's largest ocean is the Pacific Ocean.,the human respiratory system consists of lungs and airways,the Earth's largest ocean is the Pacific Ocean,1,1,1,2
89,It is the case both that the sun rises in the east and sets in the west and that the Earth orbits the Sun.,the sun rises in the east and sets in the west,the Earth orbits the Sun,1,1,1,2
90,It is the case both that Fermentation is a process by which microorganisms break down complex organic compounds and that the Great Wall of China was built in the 21st century.,Fermentation is a process by which microorganisms break down complex organic compounds,the Great Wall of China was built in the 21st century,1,0,0,2
91,It is the case both that Oxygen is harmful to human breathing and that the human heart pumps blood throughout the body.,Oxygen is harmful to human breathing,the human heart pumps blood throughout the body,0,1,0,2
92,It is the case both that Plate tectonics shape the Earth's surface and that the Great Sphinx of Giza is an ancient statue in Egypt.,Plate tectonics shape the Earth's surface,the Great Sphinx of Giza is an ancient statue in Egypt,1,1,1,2
93,It is the case both that the Earth avoids the Sun and that Fossils are the preserved remains or traces of organisms that lived in the past.,the Earth avoids the Sun,Fossils are the preserved remains or traces of organisms that lived in the past,0,1,0,2
94,It is the case both that Apples are a type of fruit and that the largest continent in the world is Asia.,Apples are a type of fruit,the largest continent in the world is Asia,1,1,1,2
95,It is the case both that the conservation of energy principle states that energy cannot be created or destroyed and that the two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus).,the conservation of energy principle states that energy cannot be created or destroyed,the two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus),1,1,1,2
96,It is the case both that the first Olympic Games were held in ancient Greece in 776 B.C and that Polar ice caps are primarily made of saltwater.,the first Olympic Games were held in ancient Greece in 776 B.C,Polar ice caps are primarily made of saltwater,1,0,0,2
97,It is the case both that the Sahara Desert is the largest hot desert in the world and that Gravity is the force that repels objects with mass away from each other.,the Sahara Desert is the largest hot desert in the world,Gravity is the force that repels objects with mass away from each other,1,0,0,2
98,It is the case both that the fastest swimmer in the world is CÃ©sar Cielo from Brazil and that the Sahara Desert is covered in snow and ice.,the fastest swimmer in the world is CÃ©sar Cielo from Brazil,the Sahara Desert is covered in snow and ice,1,0,0,2
99,It is the case both that the first animal to orbit Earth was a dog named Laika and that Migration prevents animals from finding better resources.,the first animal to orbit Earth was a dog named Laika,Migration prevents animals from finding better resources,1,0,0,2
100,It is the case both that the human skeleton provides support and protection for the body and that Tornadoes are rapidly rotating columns of air.,the human skeleton provides support and protection for the body,Tornadoes are rapidly rotating columns of air,1,1,1,2
101,It is the case both that the largest volcano in the world is located in Europe and that the two main types of microscopes are light microscopes and electron microscopes.,the largest volcano in the world is located in Europe,the two main types of microscopes are light microscopes and electron microscopes,0,1,0,2
102,It is the case both that Fermentation is a process by which microorganisms break down complex organic compounds and that the sun rises in the east and sets in the west.,Fermentation is a process by which microorganisms break down complex organic compounds,the sun rises in the east and sets in the west,1,1,1,2
103,It is the case both that the Nile River is located in South America and that Rainbows are formed when light is reflected off of dirt particles in the air.,the Nile River is located in South America,Rainbows are formed when light is reflected off of dirt particles in the air,0,0,0,2
104,"It is the case both that Stars appear to twinkle due to Earth's atmosphere and that the human circulatory system is an open system consisting of the heart, air vessels, and air.",Stars appear to twinkle due to Earth's atmosphere,"the human circulatory system is an open system consisting of the heart, air vessels, and air",1,0,0,2
105,It is the case both that the longest mountain range in the world is the Andes and that the planet Mars is named after the Roman god of war.,the longest mountain range in the world is the Andes,the planet Mars is named after the Roman god of war,1,1,1,2
106,It is the case both that Auroras occur near Earth's polar regions and that the fastest land animal is the snail.,Auroras occur near Earth's polar regions,the fastest land animal is the snail,1,0,0,2
107,It is the case both that DNA carries genetic information in living organisms and that DNA carries genetic information in living organisms.,DNA carries genetic information in living organisms,DNA carries genetic information in living organisms,1,1,1,2
108,"It is the case both that Humans need air, water, and food to survive and that the longest highway in the world is the Pan-American Highway.","Humans need air, water, and food to survive",the longest highway in the world is the Pan-American Highway,1,1,1,2
109,It is the case both that Humans have wings and can fly and that Fire needs oxygen to burn.,Humans have wings and can fly,Fire needs oxygen to burn,0,1,0,2
110,"It is the case both that the human body has 206 bones and that the auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field.",the human body has 206 bones,"the auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field",1,1,1,2
111,It is the case both that Erosion is the gradual wearing away of Earth's surface by natural processes and that Seasons are caused by Earth's constant alignment.,Erosion is the gradual wearing away of Earth's surface by natural processes,Seasons are caused by Earth's constant alignment,1,0,0,2
112,"It is the case both that Inertia is an object's resistance to change in motion and that the theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection.",Inertia is an object's resistance to change in motion,"the theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection",1,1,1,2
113,"It is the case both that Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration and that Sound travels through the air as vibrations.","Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration",Sound travels through the air as vibrations,1,1,1,2
114,It is the case both that Mars has a thin atmosphere and that Water is essential for life.,Mars has a thin atmosphere,Water is essential for life,1,1,1,2
115,It is the case both that the Earth's largest ocean is the Pacific Ocean and that the currency used in Japan is the yen.,the Earth's largest ocean is the Pacific Ocean,the currency used in Japan is the yen,1,1,1,2
116,It is the case both that the Hubble Space Telescope has provided no information about distant celestial objects and that the atomic number of an element represents the number of protons in its nucleus.,the Hubble Space Telescope has provided no information about distant celestial objects,the atomic number of an element represents the number of protons in its nucleus,0,1,0,2
117,It is the case both that Photosynthesis in plants consumes oxygen as a byproduct and that Trees absorb carbon dioxide and release oxygen.,Photosynthesis in plants consumes oxygen as a byproduct,Trees absorb carbon dioxide and release oxygen,0,1,0,2
118,It is the case both that Oxygen is necessary for humans to breathe and that the Milky Way is a spiral galaxy.,Oxygen is necessary for humans to breathe,the Milky Way is a spiral galaxy,1,1,1,2
119,It is the case both that A substance that cannot be broken down into simpler substances by chemical means is called an element and that Stars appear to twinkle due to Earth's atmosphere.,A substance that cannot be broken down into simpler substances by chemical means is called an element,Stars appear to twinkle due to Earth's atmosphere,1,1,1,2
120,It is the case both that the circulatory system blocks nutrients and oxygen throughout the body and that the process of aging is influenced solely by environmental factors.,the circulatory system blocks nutrients and oxygen throughout the body,the process of aging is influenced solely by environmental factors,0,0,0,2
121,It is the case both that the human respiratory system consists of lungs and airways and that the shortest month of the year is February.,the human respiratory system consists of lungs and airways,the shortest month of the year is February,1,1,1,2
122,"It is the case both that the Earth's magnetic field is what causes compasses to point north and that Butterflies are not insects, they are birds.",the Earth's magnetic field is what causes compasses to point north,"Butterflies are not insects, they are birds",1,0,0,2
123,It is the case both that the sun rises in the east and sets in the west and that the human eye can distinguish about 10 million different colors.,the sun rises in the east and sets in the west,the human eye can distinguish about 10 million different colors,1,1,1,2
124,It is the case both that A potato is a type of meat and that the sky is blue.,A potato is a type of meat,the sky is blue,0,1,0,2
125,It is the case both that the human lymphatic system helps fight infections and diseases and that Electromagnetic induction is the process by which a changing magnetic field generates an electric current.,the human lymphatic system helps fight infections and diseases,Electromagnetic induction is the process by which a changing magnetic field generates an electric current,1,1,1,2
126,"It is the case both that the theory of stasis, proposed by Charles Darwin, states that species remain constant over time through artificial selection and that Lightning is an accumulation of static movement.","the theory of stasis, proposed by Charles Darwin, states that species remain constant over time through artificial selection",Lightning is an accumulation of static movement,0,0,0,2
127,It is the case both that Migration prevents animals from finding better resources and that the largest animal in the world is a mosquito.,Migration prevents animals from finding better resources,the largest animal in the world is a mosquito,0,0,0,2
128,It is the case both that Ice floats on water due to its lower density and that Bees pollinate approximately one-third of the food we eat.,Ice floats on water due to its lower density,Bees pollinate approximately one-third of the food we eat,1,1,1,2
129,It is the case both that Earth is 71% water and that the human body is composed of about 60% water.,Earth is 71% water,the human body is composed of about 60% water,1,1,1,2
130,It is the case both that Earth has one moon and that the smallest unit of life is the cell.,Earth has one moon,the smallest unit of life is the cell,1,1,1,2
131,It is the case both that Atoms are the basic breaking points of matter and that Lava is molten rock from volcanoes.,Atoms are the basic breaking points of matter,Lava is molten rock from volcanoes,0,1,0,2
132,It is the case both that Pizza is a type of food that many people enjoy and that the human digestive system breaks down food into nutrients.,Pizza is a type of food that many people enjoy,the human digestive system breaks down food into nutrients,1,1,1,2
133,It is the case both that the Sahara Desert is the largest hot desert in the world and that the fastest animal in the world is the turtle.,the Sahara Desert is the largest hot desert in the world,the fastest animal in the world is the turtle,1,0,0,2
134,It is the case both that Oxygen is necessary for humans to breathe and that the sun revolves around the moon.,Oxygen is necessary for humans to breathe,the sun revolves around the moon,1,0,0,2
135,It is the case both that the largest mammal in the world is the mouse and that Ecosystems consist of living organisms and their physical environment.,the largest mammal in the world is the mouse,Ecosystems consist of living organisms and their physical environment,0,1,0,2
136,It is the case both that Neurons are generalized cells that block electrical and chemical signals in the nervous system and that the color of an object depends on the wavelengths of light that it reflects.,Neurons are generalized cells that block electrical and chemical signals in the nervous system,the color of an object depends on the wavelengths of light that it reflects,0,1,0,2
137,It is the case both that the study of substances and their interactions is called chemistry and that Gravity pulls objects towards each other.,the study of substances and their interactions is called chemistry,Gravity pulls objects towards each other,1,1,1,2
138,It is the case both that the smallest mammal on Earth is the blue whale and that the Earth has one moon.,the smallest mammal on Earth is the blue whale,the Earth has one moon,0,1,0,2
139,It is the case both that the largest canyon in the world is located in Europe and that the Grand Canyon is located in Europe.,the largest canyon in the world is located in Europe,the Grand Canyon is located in Europe,0,0,0,2
140,It is the case both that the Great Wall of China is the longest wall in the world and that Cells are the complex units of life.,the Great Wall of China is the longest wall in the world,Cells are the complex units of life,1,0,0,2
141,It is the case both that A substance that can be broken down into simpler substances by chemical means is called a compound and that the Sun is a planet.,A substance that can be broken down into simpler substances by chemical means is called a compound,the Sun is a planet,0,0,0,2
142,It is the case both that the Krebs cycle is a series of chemical reactions that generate energy in cells and that the process of pollination is crucial for plant reproduction.,the Krebs cycle is a series of chemical reactions that generate energy in cells,the process of pollination is crucial for plant reproduction,1,1,1,2
143,"It is the case both that Polar bears have black fur to stand out in their snowy environment and that Gravity only affects living things, not inanimate objects.",Polar bears have black fur to stand out in their snowy environment,"Gravity only affects living things, not inanimate objects",0,0,0,2
144,"It is the case both that A year on Earth is approximately 365.25 days long, which is why we have a leap year every four years and that the process by which cells divide to form two identical daughter cells is called mitosis.","A year on Earth is approximately 365.25 days long, which is why we have a leap year every four years",the process by which cells divide to form two identical daughter cells is called mitosis,1,1,1,2
145,"It is the case both that the first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another and that Penguins can fly.","the first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another",Penguins can fly,1,0,0,2
146,It is the case both that the continent of Antarctica is mostly covered in ice and that the sun rises in the east and sets in the west.,the continent of Antarctica is mostly covered in ice,the sun rises in the east and sets in the west,1,1,1,2
147,It is the case both that the largest volcano in the world is located in Europe and that the first successful human heart transplant was performed in 1967.,the largest volcano in the world is located in Europe,the first successful human heart transplant was performed in 1967,0,1,0,2
