idx,statement,conjunctA,conjunctB,labelA,labelB,compound_label,n_parts
36,It is the case both that the Spanish word 'suave' means 'skin' and that the Spanish word 'momento' means 'moment'.,suave / skin,momento / moment,0,1,0,2
37,It is the case both that the Spanish word 'mapa' means 'map' and that the Spanish word 'mercado' means 'market'.,mapa / map,mercado / market,1,1,1,2
38,It is the case both that the Spanish word 'lanzar' means 'to throw' and that the Spanish word 'proteger' means 'dry'.,lanzar / to throw,proteger / dry,1,0,0,2
39,It is the case both that the Spanish word 'orden' means 'old' and that the Spanish word 'valle' means 'face'.,orden / old,valle / face,0,0,0,2
40,It is the case both that the Spanish word 'imaginar' means 'to imagine' and that the Spanish word 'llano' means 'chair'.,imaginar / to imagine,llano / chair,1,0,0,2
41,It is the case both that the Spanish word 'vaca' means 'cow' and that the Spanish word 'prueba' means 'test'.,vaca / cow,prueba / test,1,1,1,2
42,It is the case both that the Spanish word 'encontrar' means 'person' and that the Spanish word 'reloj' means 'clock'.,encontrar / person,reloj / clock,0,1,0,2
43,It is the case both that the Spanish word 'gris' means 'history' and that the Spanish word 'todo' means 'all'.,gris / history,todo / all,0,1,0,2
44,It is the case both that the Spanish word 'veinte' means 'twenty' and that the Spanish word 'lugar' means 'place'.,veinte / twenty,lugar / place,1,1,1,2
45,It is the case both that the Spanish word 'huevo' means 'egg' and that the Spanish word 'guiar' means 'age'.,huevo / egg,guiar / age,1,0,0,2
46,It is the case both that the Spanish word 'libre' means 'free' and that the Spanish word 'hijo' means 'son'.,libre / free,hijo / son,1,1,1,2
47,It is the case both that the Spanish word 'enemigo' means 'enemy' and that the Spanish word 'pronto' means 'to die'.,enemigo / enemy,pronto / to die,1,0,0,2
48,It is the case both that the Spanish word 'gobernar' means 'to eat' and that the Spanish word 'hombre' means 'simple'.,gobernar / to eat,hombre / simple,0,0,0,2
49,It is the case both that the Spanish word 'naturaleza' means 'to buy' and that the Spanish word 'abrigo' means 'coat'.,naturaleza / to buy,abrigo / coat,0,1,0,2
50,It is the case both that the Spanish word 'cuerpo' means 'body' and that the Spanish word 'parte' means 'part'.,cuerpo / body,parte / part,1,1,1,2
51,It is the case both that the Spanish word 'madre' means 'mother' and that the Spanish word 'usar' means 'to fight'.,madre / mother,usar / to fight,1,0,0,2
52,It is the case both that the Spanish word 'y' means 'and' and that the Spanish word 'jirafa' means 'giraffe'.,y / and,jirafa / giraffe,1,1,1,2
53,It is the case both that the Spanish word 'peligro' means 'danger' and that the Spanish word 'presente' means 'present'.,peligro / danger,presente / present,1,1,1,2
54,It is the case both that the Spanish word 'rueda' means 'sister' and that the Spanish word 'tren' means 'train'.,rueda / sister,tren / train,0,1,0,2
55,It is the case both that the Spanish word 'mezclar' means 'to mix' and that the Spanish word 'hueso' means 'bone'.,mezclar / to mix,hueso / bone,1,1,1,2
56,It is the case both that the Spanish word 'madre' means 'mother' and that the Spanish word 'viento' means 'wind'.,madre / mother,viento / wind,1,1,1,2
57,It is the case both that the Spanish word 'lago' means 'month' and that the Spanish word 'abrigo' means 'coat'.,lago / month,abrigo / coat,0,1,0,2
58,It is the case both that the Spanish word 'oficina' means 'direct' and that the Spanish word 'ver' means 'to see'.,oficina / direct,ver / to see,0,1,0,2
59,It is the case both that the Spanish word 'respuesta' means 'bread' and that the Spanish word 'semilla' means 'seed'.,respuesta / bread,semilla / seed,0,1,0,2
60,It is the case both that the Spanish word 'esposa' means 'wife' and that the Spanish word 'grande' means 'large'.,esposa / wife,grande / large,1,1,1,2
61,It is the case both that the Spanish word 'nube' means 'to write' and that the Spanish word 'fuerza' means 'force'.,nube / to write,fuerza / force,0,1,0,2
62,It is the case both that the Spanish word 'grupo' means 'group' and that the Spanish word 'dinero' means 'mouth'.,grupo / group,dinero / mouth,1,0,0,2
63,It is the case both that the Spanish word 'diccionario' means 'dictionary' and that the Spanish word 'miedo' means 'fear'.,diccionario / dictionary,miedo / fear,1,1,1,2
64,It is the case both that the Spanish word 'isla' means 'island' and that the Spanish word 'elefante' means 'spring'.,isla / island,elefante / spring,1,0,0,2
65,It is the case both that the Spanish word 'grasa' means 'new' and that the Spanish word 'oro' means 'story'.,grasa / new,oro / story,0,0,0,2
66,It is the case both that the Spanish word 'fuego' means 'fire' and that the Spanish word 'ocho' means 'too'.,fuego / fire,ocho / too,1,0,0,2
67,It is the case both that the Spanish word 'moderno' means 'modern' and that the Spanish word 'calamar' means 'squid'.,moderno / modern,calamar / squid,1,1,1,2
68,It is the case both that the Spanish word 'oferta' means 'offer' and that the Spanish word 'coche' means 'car'.,oferta / offer,coche / car,1,1,1,2
69,It is the case both that the Spanish word 'lanzar' means 'to throw' and that the Spanish word 'tiempo' means 'market'.,lanzar / to throw,tiempo / market,1,0,0,2
70,It is the case both that the Spanish word 'voz' means 'voice' and that the Spanish word 'ruido' means 'noise'.,voz / voice,ruido / noise,1,1,1,2
71,It is the case both that the Spanish word 'medio' means 'large' and that the Spanish word 'espalda' means 'back'.,medio / large,espalda / back,0,1,0,2
72,It is the case both that the Spanish word 'enemigo' means 'enemy' and that the Spanish word 'luchar' means 'heat'.,enemigo / enemy,luchar / heat,1,0,0,2
73,It is the case both that the Spanish word 'ocupado' means 'busy' and that the Spanish word 'pie' means 'lake'.,ocupado / busy,pie / lake,1,0,0,2
74,It is the case both that the Spanish word 'mapa' means 'map' and that the Spanish word 'vaca' means 'cow'.,mapa / map,vaca / cow,1,1,1,2
75,It is the case both that the Spanish word 'con' means 'to speak' and that the Spanish word 'cosa' means 'thing'.,con / to speak,cosa / thing,0,1,0,2
76,It is the case both that the Spanish word 'desarrollar' means 'to develop' and that the Spanish word 'venir' means 'to know'.,desarrollar / to develop,venir / to know,1,0,0,2
77,It is the case both that the Spanish word 'soldado' means 'soldier' and that the Spanish word 'bosque' means 'forest'.,soldado / soldier,bosque / forest,1,1,1,2
78,It is the case both that the Spanish word 'diez' means 'ten' and that the Spanish word 'elegir' means 'to choose'.,diez / ten,elegir / to choose,1,1,1,2
79,It is the case both that the Spanish word 'clase' means 'class' and that the Spanish word 'viejo' means 'old'.,clase / class,viejo / old,1,1,1,2
80,It is the case both that the Spanish word 'miedo' means 'fear' and that the Spanish word 'presente' means 'present'.,miedo / fear,presente / present,1,1,1,2
81,It is the case both that the Spanish word 'nombre' means 'name' and that the Spanish word 'tierra' means 'land'.,nombre / name,tierra / land,1,1,1,2
82,It is the case both that the Spanish word 'manzana' means 'hand' and that the Spanish word 'sencilla' means 'simple'.,manzana / hand,sencilla / simple,0,1,0,2
83,It is the case both that the Spanish word 'hermana' means 'sister' and that the Spanish word 'ocho' means 'too'.,hermana / sister,ocho / too,1,0,0,2
84,It is the case both that the Spanish word 'burro' means 'donkey' and that the Spanish word 'cielo' means 'old'.,burro / donkey,cielo / old,1,0,0,2
85,It is the case both that the Spanish word 'ventana' means 'half' and that the Spanish word 'viejo' means 'old'.,ventana / half,viejo / old,0,1,0,2
86,It is the case both that the Spanish word 'rojo' means 'red' and that the Spanish word 'conejo' means 'rabbit'.,rojo / red,conejo / rabbit,1,1,1,2
87,It is the case both that the Spanish word 'esquina' means 'corner' and that the Spanish word 'preguntar' means 'to describe'.,esquina / corner,preguntar / to describe,1,0,0,2
88,It is the case both that the Spanish word 'cinco' means 'five' and that the Spanish word 'primero' means 'first'.,cinco / five,primero / first,1,1,1,2
89,It is the case both that the Spanish word 'palabra' means 'word' and that the Spanish word 'rojo' means 'red'.,palabra / word,rojo / red,1,1,1,2
90,It is the case both that the Spanish word 'luz' means 'week' and that the Spanish word 'sol' means 'sun'.,luz / week,sol / sun,0,1,0,2
91,It is the case both that the Spanish word 'conjunto' means 'son' and that the Spanish word 'libre' means 'free'.,conjunto / son,libre / free,0,1,0,2
92,It is the case both that the Spanish word 'caminar' means 'to walk' and that the Spanish word 'resultado' means 'result'.,caminar / to walk,resultado / result,1,1,1,2
93,It is the case both that the Spanish word 'perro' means 'dog' and that the Spanish word 'hablar' means 'to speak'.,perro / dog,hablar / to speak,1,1,1,2
94,It is the case both that the Spanish word 'ahora' means 'now' and that the Spanish word 'tierra' means 'land'.,ahora / now,tierra / land,1,1,1,2
95,It is the case both that the Spanish word 'caliente' means 'hot' and that the Spanish word 'pierna' means 'leg'.,caliente / hot,pierna / leg,1,1,1,2
96,It is the case both that the Spanish word 'suelo' means 'ground' and that the Spanish word 'parecer' means 'to seem'.,suelo / ground,parecer / to seem,1,1,1,2
97,It is the case both that the Spanish word 'hueso' means 'bone' and that the Spanish word 'mientras' means 'while'.,hueso / bone,mientras / while,1,1,1,2
98,It is the case both that the Spanish word 'rosa' means 'rose' and that the Spanish word 'concha' means 'shell'.,rosa / rose,concha / shell,1,1,1,2
99,It is the case both that the Spanish word 'pero' means 'but' and that the Spanish word 'pieza' means 'duck'.,pero / but,pieza / duck,1,0,0,2
100,It is the case both that the Spanish word 'diez' means 'ten' and that the Spanish word 'rosa' means 'rose'.,diez / ten,rosa / rose,1,1,1,2
101,It is the case both that the Spanish word 'jugar' means 'to play' and that the Spanish word 'granja' means 'woman'.,jugar / to play,granja / woman,1,0,0,2
102,It is the case both that the Spanish word 'rama' means 'back' and that the Spanish word 'hermana' means 'sister'.,rama / back,hermana / sister,0,1,0,2
103,It is the case both that the Spanish word 'arena' means 'sand' and that the Spanish word 'negro' means 'black'.,arena / sand,negro / black,1,1,1,2
104,It is the case both that the Spanish word 'lobo' means 'leg' and that the Spanish word 'mano' means 'too'.,lobo / leg,mano / too,0,0,0,2
105,It is the case both that the Spanish word 'fuego' means 'fire' and that the Spanish word 'escuela' means 'school'.,fuego / fire,escuela / school,1,1,1,2
106,It is the case both that the Spanish word 'cuatro' means 'to imagine' and that the Spanish word 'hacer' means 'lost'.,cuatro / to imagine,hacer / lost,0,0,0,2
107,It is the case both that the Spanish word 'todo' means 'all' and that the Spanish word 'nariz' means 'giraffe'.,todo / all,nariz / giraffe,1,0,0,2
108,It is the case both that the Spanish word 'tercero' means 'third' and that the Spanish word 'grupo' means 'group'.,tercero / third,grupo / group,1,1,1,2
109,It is the case both that the Spanish word 'clase' means 'class' and that the Spanish word 'persona' means 'person'.,clase / class,persona / person,1,1,1,2
110,It is the case both that the Spanish word 'estudiante' means 'student' and that the Spanish word 'cuello' means 'neck'.,estudiante / student,cuello / neck,1,1,1,2
111,It is the case both that the Spanish word 'mujer' means 'woman' and that the Spanish word 'parecer' means 'to seem'.,mujer / woman,parecer / to seem,1,1,1,2
112,It is the case both that the Spanish word 'grande' means 'large' and that the Spanish word 'parecer' means 'to seem'.,grande / large,parecer / to seem,1,1,1,2
113,It is the case both that the Spanish word 'pensar' means 'to think' and that the Spanish word 'cuerpo' means 'body'.,pensar / to think,cuerpo / body,1,1,1,2
114,It is the case both that the Spanish word 'demasiado' means 'too' and that the Spanish word 'desarrollar' means 'to develop'.,demasiado / too,desarrollar / to develop,1,1,1,2
115,It is the case both that the Spanish word 'corto' means 'letter' and that the Spanish word 'grupo' means 'group'.,corto / letter,grupo / group,0,1,0,2
116,It is the case both that the Spanish word 'hombro' means 'shoulder' and that the Spanish word 'hombro' means 'shoulder'.,hombro / shoulder,hombro / shoulder,1,1,1,2
117,It is the case both that the Spanish word 'mes' means 'month' and that the Spanish word 'oscuro' means 'dark'.,mes / month,oscuro / dark,1,1,1,2
118,It is the case both that the Spanish word 'segundo' means 'hello' and that the Spanish word 'dedo' means 'finger'.,segundo / hello,dedo / finger,0,1,0,2
119,It is the case both that the Spanish word 'olor' means 'smell' and that the Spanish word 'demasiado' means 'too'.,olor / smell,demasiado / too,1,1,1,2
120,It is the case both that the Spanish word 'elegir' means 'to choose' and that the Spanish word 'oeste' means 'moment'.,elegir / to choose,oeste / moment,1,0,0,2
121,It is the case both that the Spanish word 'aprender' means 'light' and that the Spanish word 'reloj' means 'clock'.,aprender / light,reloj / clock,0,1,0,2
122,It is the case both that the Spanish word 'perro' means 'dog' and that the Spanish word 'comprar' means 'dry'.,perro / dog,comprar / dry,1,0,0,2
123,It is the case both that the Spanish word 'ahora' means 'now' and that the Spanish word 'comer' means 'to eat'.,ahora / now,comer / to eat,1,1,1,2
124,It is the case both that the Spanish word 'hueso' means 'bone' and that the Spanish word 'vida' means 'life'.,hueso / bone,vida / life,1,1,1,2
125,It is the case both that the Spanish word 'lugar' means 'place' and that the Spanish word 'clase' means 'class'.,lugar / place,clase / class,1,1,1,2
126,It is the case both that the Spanish word 'caminar' means 'to walk' and that the Spanish word 'listo' means 'ready'.,caminar / to walk,listo / ready,1,1,1,2
127,It is the case both that the Spanish word 'corto' means 'letter' and that the Spanish word 'conectar' means 'to connect'.,corto / letter,conectar / to connect,0,1,0,2
128,It is the case both that the Spanish word 'agudo' means 'sharp' and that the Spanish word 'rueda' means 'sister'.,agudo / sharp,rueda / sister,1,0,0,2
129,It is the case both that the Spanish word 'caer' means 'to fall' and that the Spanish word 'brazo' means 'arm'.,caer / to fall,brazo / arm,1,1,1,2
130,It is the case both that the Spanish word 'sol' means 'sun' and that the Spanish word 'hielo' means 'ice'.,sol / sun,hielo / ice,1,1,1,2
131,It is the case both that the Spanish word 'delgado' means 'thin' and that the Spanish word 'hielo' means 'ice'.,delgado / thin,hielo / ice,1,1,1,2
132,It is the case both that the Spanish word 'directo' means 'to eat' and that the Spanish word 'temprano' means 'early'.,directo / to eat,temprano / early,0,1,0,2
133,It is the case both that the Spanish word 'luchar' means 'heat' and that the Spanish word 'concha' means 'shell'.,luchar / heat,concha / shell,0,1,0,2
134,It is the case both that the Spanish word 'grupo' means 'group' and that the Spanish word 'agua' means 'water'.,grupo / group,agua / water,1,1,1,2
135,It is the case both that the Spanish word 'soldado' means 'soldier' and that the Spanish word 'uno' means 'one'.,soldado / soldier,uno / one,1,1,1,2
136,It is the case both that the Spanish word 'leer' means 'to read' and that the Spanish word 'agua' means 'water'.,leer / to read,agua / water,1,1,1,2
137,It is the case both that the Spanish word 'ciudad' means 'city' and that the Spanish word 'siempre' means 'month'.,ciudad / city,siempre / month,1,0,0,2
138,It is the case both that the Spanish word 'burro' means 'donkey' and that the Spanish word 'lanzar' means 'to throw'.,burro / donkey,lanzar / to throw,1,1,1,2
139,It is the case both that the Spanish word 'moderno' means 'modern' and that the Spanish word 'anguila' means 'south'.,moderno / modern,anguila / south,1,0,0,2
140,It is the case both that the Spanish word 'preguntar' means 'to describe' and that the Spanish word 'caballo' means 'horse'.,preguntar / to describe,caballo / horse,0,1,0,2
141,It is the case both that the Spanish word 'peligro' means 'danger' and that the Spanish word 'antes' means 'before'.,peligro / danger,antes / before,1,1,1,2
142,It is the case both that the Spanish word 'esclavo' means 'slave' and that the Spanish word 'cosa' means 'thing'.,esclavo / slave,cosa / thing,1,1,1,2
143,It is the case both that the Spanish word 'ola' means 'wave' and that the Spanish word 'vaca' means 'cow'.,ola / wave,vaca / cow,1,1,1,2
144,It is the case both that the Spanish word 'sur' means 'south' and that the Spanish word 'belleza' means 'beauty'.,sur / south,belleza / beauty,1,1,1,2
145,It is the case both that the Spanish word 'siempre' means 'month' and that the Spanish word 'rosa' means 'rose'.,siempre / month,rosa / rose,0,1,0,2
146,It is the case both that the Spanish word 'siempre' means 'month' and that the Spanish word 'diez' means 'ten'.,siempre / month,diez / ten,0,1,0,2
147,It is the case both that the Spanish word 'caer' means 'to fall' and that the Spanish word 'idioma' means 'moment'.,caer / to fall,idioma / moment,1,0,0,2
148,It is the case both that the Spanish word 'mezclar' means 'to mix' and that the Spanish word 'oferta' means 'offer'.,mezclar / to mix,oferta / offer,1,1,1,2
149,It is the case both that the Spanish word 'higo' means 'fig' and that the Spanish word 'con' means 'to speak'.,higo / fig,con / to speak,1,0,0,2
150,It is the case both that the Spanish word 'esquina' means 'corner' and that the Spanish word 'reloj' means 'clock'.,esquina / corner,reloj / clock,1,1,1,2
151,It is the case both that the Spanish word 'ojo' means 'order' and that the Spanish word 'bueno' means 'good'.,ojo / order,bueno / good,0,1,0,2
152,It is the case both that the Spanish word 'zorro' means 'shell' and that the Spanish word 'clase' means 'class'.,zorro / shell,clase / class,0,1,0,2
153,It is the case both that the Spanish word 'cuello' means 'neck' and that the Spanish word 'construir' means 'to build'.,cuello / neck,construir / to build,1,1,1,2
154,It is the case both that the Spanish word 'caliente' means 'iron' and that the Spanish word 'ayudar' means 'to help'.,caliente / iron,ayudar / to help,0,1,0,2
155,It is the case both that the Spanish word 'plata' means 'silver' and that the Spanish word 'noche' means 'night'.,plata / silver,noche / night,1,1,1,2
156,It is the case both that the Spanish word 'construir' means 'to build' and that the Spanish word 'nuevo' means 'new'.,construir / to build,nuevo / new,1,1,1,2
157,It is the case both that the Spanish word 'escribir' means 'to write' and that the Spanish word 'suelo' means 'ground'.,escribir / to write,suelo / ground,1,1,1,2
158,It is the case both that the Spanish word 'tiempo' means 'market' and that the Spanish word 'miedo' means 'fear'.,tiempo / market,miedo / fear,0,1,0,2
159,It is the case both that the Spanish word 'negro' means 'black' and that the Spanish word 'industria' means 'industry'.,negro / black,industria / industry,1,1,1,2
160,It is the case both that the Spanish word 'viaje' means 'system' and that the Spanish word 'decir' means 'order'.,viaje / system,decir / order,0,0,0,2
161,It is the case both that the Spanish word 'hermana' means 'sister' and that the Spanish word 'muy' means 'temperature'.,hermana / sister,muy / temperature,1,0,0,2
162,It is the case both that the Spanish word 'viento' means 'wind' and that the Spanish word 'mar' means 'sea'.,viento / wind,mar / sea,1,1,1,2
163,It is the case both that the Spanish word 'tres' means 'three' and that the Spanish word 'cara' means 'name'.,tres / three,cara / name,1,0,0,2
164,It is the case both that the Spanish word 'caer' means 'to fall' and that the Spanish word 'poema' means 'to win'.,caer / to fall,poema / to win,1,0,0,2
165,It is the case both that the Spanish word 'noche' means 'night' and that the Spanish word 'carta' means 'nothing'.,noche / night,carta / nothing,1,0,0,2
166,It is the case both that the Spanish word 'ruido' means 'noise' and that the Spanish word 'volar' means 'to hear'.,ruido / noise,volar / to hear,1,0,0,2
167,It is the case both that the Spanish word 'lugar' means 'place' and that the Spanish word 'tarde' means 'hand'.,lugar / place,tarde / hand,1,0,0,2
168,It is the case both that the Spanish word 'barco' means 'hello' and that the Spanish word 'peligro' means 'danger'.,barco / hello,peligro / danger,0,1,0,2
169,It is the case both that the Spanish word 'describir' means 'to die' and that the Spanish word 'antes' means 'before'.,describir / to die,antes / before,0,1,0,2
170,It is the case both that the Spanish word 'de' means 'now' and that the Spanish word 'delgado' means 'thin'.,de / now,delgado / thin,0,1,0,2
171,It is the case both that the Spanish word 'sol' means 'sun' and that the Spanish word 'viaje' means 'system'.,sol / sun,viaje / system,1,0,0,2
172,It is the case both that the Spanish word 'lanzar' means 'to throw' and that the Spanish word 'industria' means 'industry'.,lanzar / to throw,industria / industry,1,1,1,2
173,It is the case both that the Spanish word 'rey' means 'king' and that the Spanish word 'parte' means 'part'.,rey / king,parte / part,1,1,1,2
174,It is the case both that the Spanish word 'jugar' means 'to play' and that the Spanish word 'crecer' means 'to grow'.,jugar / to play,crecer / to grow,1,1,1,2
175,It is the case both that the Spanish word 'viento' means 'wind' and that the Spanish word 'temprano' means 'early'.,viento / wind,temprano / early,1,1,1,2
176,It is the case both that the Spanish word 'mariposa' means 'rose' and that the Spanish word 'calamar' means 'squid'.,mariposa / rose,calamar / squid,0,1,0,2
177,It is the case both that the Spanish word 'historia' means 'history' and that the Spanish word 'amigo' means 'friend'.,historia / history,amigo / friend,1,1,1,2
178,It is the case both that the Spanish word 'amigo' means 'friend' and that the Spanish word 'grupo' means 'group'.,amigo / friend,grupo / group,1,1,1,2
179,It is the case both that the Spanish word 'cosa' means 'thing' and that the Spanish word 'abrigo' means 'coat'.,cosa / thing,abrigo / coat,1,1,1,2
180,It is the case both that the Spanish word 'isla' means 'island' and that the Spanish word 'escuchar' means 'market'.,isla / island,escuchar / market,1,0,0,2
181,It is the case both that the Spanish word 'nube' means 'to write' and that the Spanish word 'caliente' means 'hot'.,nube / to write,caliente / hot,0,1,0,2
182,It is the case both that the Spanish word 'grupo' means 'group' and that the Spanish word 'leche' means 'glass'.,grupo / group,leche / glass,1,0,0,2
183,It is the case both that the Spanish word 'mil' means 'to eat' and that the Spanish word 'escuela' means 'school'.,mil / to eat,escuela / school,0,1,0,2
184,It is the case both that the Spanish word 'mapa' means 'map' and that the Spanish word 'elegir' means 'to choose'.,mapa / map,elegir / to choose,1,1,1,2
185,It is the case both that the Spanish word 'imaginar' means 'to imagine' and that the Spanish word 'ballena' means 'whale'.,imaginar / to imagine,ballena / whale,1,1,1,2
186,It is the case both that the Spanish word 'hombro' means 'shoulder' and that the Spanish word 'pero' means 'but'.,hombro / shoulder,pero / but,1,1,1,2
187,It is the case both that the Spanish word 'papel' means 'paper' and that the Spanish word 'uno' means 'one'.,papel / paper,uno / one,1,1,1,2
188,It is the case both that the Spanish word 'soldado' means 'soldier' and that the Spanish word 'usar' means 'to fight'.,soldado / soldier,usar / to fight,1,0,0,2
189,It is the case both that the Spanish word 'silla' means 'neighbor' and that the Spanish word 'enviar' means 'to send'.,silla / neighbor,enviar / to send,0,1,0,2
190,It is the case both that the Spanish word 'hermana' means 'sister' and that the Spanish word 'diccionario' means 'dictionary'.,hermana / sister,diccionario / dictionary,1,1,1,2
191,It is the case both that the Spanish word 'leer' means 'to read' and that the Spanish word 'vaca' means 'cow'.,leer / to read,vaca / cow,1,1,1,2
192,It is the case both that the Spanish word 'rueda' means 'sister' and that the Spanish word 'venir' means 'to know'.,rueda / sister,venir / to know,0,0,0,2
193,It is the case both that the Spanish word 'de' means 'now' and that the Spanish word 'nombre' means 'name'.,de / now,nombre / name,0,1,0,2
194,It is the case both that the Spanish word 'olor' means 'smell' and that the Spanish word 'sal' means 'horse'.,olor / smell,sal / horse,1,0,0,2
195,It is the case both that the Spanish word 'viento' means 'wind' and that the Spanish word 'ala' means 'wing'.,viento / wind,ala / wing,1,1,1,2
196,It is the case both that the Spanish word 'lobo' means 'leg' and that the Spanish word 'bueno' means 'good'.,lobo / leg,bueno / good,0,1,0,2
197,It is the case both that the Spanish word 'historia' means 'office' and that the Spanish word 'rana' means 'frog'.,historia / office,rana / frog,0,1,0,2
198,It is the case both that the Spanish word 'estudiante' means 'student' and that the Spanish word 'negro' means 'black'.,estudiante / student,negro / black,1,1,1,2
199,It is the case both that the Spanish word 'valle' means 'face' and that the Spanish word 'esquina' means 'corner'.,valle / face,esquina / corner,0,1,0,2
200,It is the case both that the Spanish word 'ver' means 'to see' and that the Spanish word 'mercado' means 'market'.,ver / to see,mercado / market,1,1,1,2
201,It is the case both that the Spanish word 'comer' means 'to eat' and that the Spanish word 'dos' means 'enemy'.,comer / to eat,dos / enemy,1,0,0,2
202,It is the case both that the Spanish word 'hombre' means 'simple' and that the Spanish word 'vender' means 'to sell'.,hombre / simple,vender / to sell,0,1,0,2
