idx,statement,disjunctA,disjunctB,labelA,labelB,compound_label,n_parts
25,It is the case either that the scientific method is a process for testing hypotheses and acquiring knowledge or that Earth has one moon.,the scientific method is a process for testing hypotheses and acquiring knowledge,Earth has one moon,1,1,1,2
26,"It is the case either that the three main types of neurons are muscle neurons, sensory neurons, and extraneurons or that Cats can bark like dogs.","the three main types of neurons are muscle neurons, sensory neurons, and extraneurons",Cats can bark like dogs,0,0,0,2
27,"It is the case either that the largest body of water in the world is the Mediterranean Sea or that the human nervous system includes the brain, spinal cord, and nerves.",the largest body of water in the world is the Mediterranean Sea,"the human nervous system includes the brain, spinal cord, and nerves",0,1,1,2
28,It is the case either that the sun rises in the east and sets in the west or that Fish can live on land.,the sun rises in the east and sets in the west,Fish can live on land,1,0,1,2
29,It is the case either that the largest living organism in the world is a single ant or that the Earth's magnetic field is what causes compasses to point south.,the largest living organism in the world is a single ant,the Earth's magnetic field is what causes compasses to point south,0,0,0,2
30,It is the case either that Erosion is the gradual wearing away of Earth's surface by natural processes or that the tallest building in the world is located in Antarctica.,Erosion is the gradual wearing away of Earth's surface by natural processes,the tallest building in the world is located in Antarctica,1,0,1,2
31,It is the case either that Oxygen is harmful to human breathing or that Lightning is an accumulation of static movement.,Oxygen is harmful to human breathing,Lightning is an accumulation of static movement,0,0,0,2
32,It is the case either that the largest body of water in the world is the Mediterranean Sea or that the only continent without any mountains is Asia.,the largest body of water in the world is the Mediterranean Sea,the only continent without any mountains is Asia,0,0,0,2
33,It is the case either that the tallest mammal in the world is the giraffe or that the human eye can see radio waves.,the tallest mammal in the world is the giraffe,the human eye can see radio waves,1,0,1,2
34,"It is the case either that A substance that can be broken down into simpler substances by chemical means is called a compound or that A day on Earth is approximately 365.25 days long, which is why we have a leap year every four years.",A substance that can be broken down into simpler substances by chemical means is called a compound,"A day on Earth is approximately 365.25 days long, which is why we have a leap year every four years",0,0,0,2
35,It is the case either that Polar bears have black fur to stand out in their snowy environment or that the Mona Lisa was painted by Michelangelo.,Polar bears have black fur to stand out in their snowy environment,the Mona Lisa was painted by Michelangelo,0,0,0,2
36,It is the case either that the sky is often clear when it's going to rain or that the atomic number of an element represents the number of electrons in its nucleus.,the sky is often clear when it's going to rain,the atomic number of an element represents the number of electrons in its nucleus,0,0,0,2
37,"It is the case either that Humans have six senses: sight, hearing, touch, taste, smell, and telekinesis or that the human body is not affected by the force of gravity.","Humans have six senses: sight, hearing, touch, taste, smell, and telekinesis",the human body is not affected by the force of gravity,0,0,0,2
38,It is the case either that the Nile River is the longest river in the world or that the human brain weighs about 100 pounds.,the Nile River is the longest river in the world,the human brain weighs about 100 pounds,0,0,0,2
39,It is the case either that Venus has a thick atmosphere or that Electromagnetic induction is the process by which a constant magnetic field dampens an electric current.,Venus has a thick atmosphere,Electromagnetic induction is the process by which a constant magnetic field dampens an electric current,1,0,1,2
40,"It is the case either that the first Olympic Games were held in ancient Greece in 776 BC or that the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field.",the first Olympic Games were held in ancient Greece in 776 BC,"the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field",1,0,1,2
41,It is the case either that Atoms are the basic building blocks of matter or that Elephants can fly.,Atoms are the basic building blocks of matter,Elephants can fly,1,0,1,2
42,It is the case either that the currency used in Japan is the yen or that Birds are not animals.,the currency used in Japan is the yen,Birds are not animals,1,0,1,2
43,It is the case either that the fastest fish in the world is the goldfish or that Elephants are the largest land animals on Earth.,the fastest fish in the world is the goldfish,Elephants are the largest land animals on Earth,0,1,1,2
44,It is the case either that DNA erases genetic information in living organisms or that the shortest distance between two points is a curve.,DNA erases genetic information in living organisms,the shortest distance between two points is a curve,0,0,0,2
45,It is the case either that Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle or that the unscientific method is a process for ignoring hypotheses and losing knowledge.,Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle,the unscientific method is a process for ignoring hypotheses and losing knowledge,0,0,0,2
46,It is the case either that the unscientific method is a random process for ignoring phenomena and losing knowledge or that Lightning is a discharge of static electricity.,the unscientific method is a random process for ignoring phenomena and losing knowledge,Lightning is a discharge of static electricity,0,1,1,2
47,It is the case either that Chemical reactions involve the conservation of atoms to maintain old substances or that Stars appear steady due to Earth's atmosphere.,Chemical reactions involve the conservation of atoms to maintain old substances,Stars appear steady due to Earth's atmosphere,0,0,0,2
48,It is the case either that there are no stars in the night sky or that the Sahara Desert is the largest hot desert in the world.,there are no stars in the night sky,the Sahara Desert is the largest hot desert in the world,0,1,1,2
49,It is the case either that the Earth is the third planet from the sun or that the Milky Way is a linear galaxy.,the Earth is the third planet from the sun,the Milky Way is a linear galaxy,1,0,1,2
50,It is the case either that Mount Everest is the highest mountain in the world or that the sky is blue.,Mount Everest is the highest mountain in the world,the sky is blue,1,1,1,2
51,It is the case either that the largest volcano in the world is located in Hawaii or that Atoms are the basic breaking points of matter.,the largest volcano in the world is located in Hawaii,Atoms are the basic breaking points of matter,0,0,0,2
52,It is the case either that the human body is not affected by the force of gravity or that the process of pollination is harmful for plant reproduction.,the human body is not affected by the force of gravity,the process of pollination is harmful for plant reproduction,0,0,0,2
53,It is the case either that Jupiter is mostly made of iron and oxygen or that the highest mountain in the world is Mount Kilimanjaro.,Jupiter is mostly made of iron and oxygen,the highest mountain in the world is Mount Kilimanjaro,0,0,0,2
54,"It is the case either that the color of an object depends on the temperature of its surface or that the three types of air vessels in the human body are arteries, veins, and capillaries.",the color of an object depends on the temperature of its surface,"the three types of air vessels in the human body are arteries, veins, and capillaries",0,0,0,2
55,It is the case either that the human body is approximately 60% water or that the Earth is round.,the human body is approximately 60% water,the Earth is round,1,1,1,2
56,It is the case either that the fastest bird in the world is the penguin or that Oxygen is harmful to human breathing.,the fastest bird in the world is the penguin,Oxygen is harmful to human breathing,0,0,0,2
57,It is the case either that the freezing point of water decreases as altitude increases or that Rainbows form when light avoids water droplets.,the freezing point of water decreases as altitude increases,Rainbows form when light avoids water droplets,0,0,0,2
58,It is the case either that the human body has 206 bones or that the Statue of Liberty was a gift from Canada.,the human body has 206 bones,the Statue of Liberty was a gift from Canada,1,0,1,2
59,It is the case either that the smallest mammal in the world is the elephant or that Sound remains stationary through various mediums.,the smallest mammal in the world is the elephant,Sound remains stationary through various mediums,0,0,0,2
60,It is the case either that the Coriolis effect prevents the movement of large-scale weather systems or that the Great Wall of China can be seen from space.,the Coriolis effect prevents the movement of large-scale weather systems,the Great Wall of China can be seen from space,0,0,0,2
61,It is the case either that the planet Jupiter is the largest planet in our solar system or that the planet Saturn is named after the Roman god of agriculture.,the planet Jupiter is the largest planet in our solar system,the planet Saturn is named after the Roman god of agriculture,1,1,1,2
62,It is the case either that the human liver helps filter toxins from the body or that Neptune has the calmest winds in the solar system.,the human liver helps filter toxins from the body,Neptune has the calmest winds in the solar system,1,0,1,2
63,"It is the case either that Our solar system consists of eight stars: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune or that the planet Pluto has five known moons.","Our solar system consists of eight stars: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune",the planet Pluto has five known moons,0,1,1,2
64,"It is the case either that the human circulatory system is an open system consisting of the heart, air vessels, and air or that the human respiratory system consists of lungs and airways.","the human circulatory system is an open system consisting of the heart, air vessels, and air",the human respiratory system consists of lungs and airways,0,1,1,2
65,It is the case either that the Great Barrier Reef is the largest coral reef system in the world or that the endocrine system regulates body functions through hormones.,the Great Barrier Reef is the largest coral reef system in the world,the endocrine system regulates body functions through hormones,1,1,1,2
66,It is the case either that the fastest fish in the world is the goldfish or that the smallest continent in the world is Australia.,the fastest fish in the world is the goldfish,the smallest continent in the world is Australia,0,1,1,2
67,"It is the case either that the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field or that the least abundant gas in Earth's atmosphere is nitrogen.","the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field",the least abundant gas in Earth's atmosphere is nitrogen,0,0,0,2
68,"It is the case either that Butterflies are not insects, they are birds or that Evolution occurs through the process of artificial selection.","Butterflies are not insects, they are birds",Evolution occurs through the process of artificial selection,0,0,0,2
69,It is the case either that the Pacific Ocean is the smallest ocean in the world or that Lava is solid rock from volcanoes.,the Pacific Ocean is the smallest ocean in the world,Lava is solid rock from volcanoes,0,0,0,2
70,It is the case either that the first animal to orbit Earth was a dog named Laika or that the sun rises in the west.,the first animal to orbit Earth was a dog named Laika,the sun rises in the west,1,0,1,2
71,It is the case either that Symbiosis is a close relationship between two species or that the smallest planet in the solar system is Jupiter.,Symbiosis is a close relationship between two species,the smallest planet in the solar system is Jupiter,1,0,1,2
72,"It is the case either that the Hubble Space Telescope has provided no information about distant celestial objects or that the three main types of neurons are muscle neurons, sensory neurons, and extraneurons.",the Hubble Space Telescope has provided no information about distant celestial objects,"the three main types of neurons are muscle neurons, sensory neurons, and extraneurons",0,0,0,2
73,"It is the case either that the carbon cycle disrupts the balance of carbon in Earth's atmosphere, oceans, and biosphere or that the first man-made satellite was launched by North Korea.","the carbon cycle disrupts the balance of carbon in Earth's atmosphere, oceans, and biosphere",the first man-made satellite was launched by North Korea,0,0,0,2
74,It is the case either that the largest bird in the world is the penguin or that Water is useless for life.,the largest bird in the world is the penguin,Water is useless for life,0,0,0,2
75,It is the case either that the tallest waterfall in the world is located in North America or that the human body has 12 pairs of legs.,the tallest waterfall in the world is located in North America,the human body has 12 pairs of legs,0,0,0,2
76,It is the case either that the largest flower in the world is the daisy or that the least abundant gas in Earth's atmosphere is nitrogen.,the largest flower in the world is the daisy,the least abundant gas in Earth's atmosphere is nitrogen,0,0,0,2
77,It is the case either that the Earth's magnetic field is what causes compasses to point north or that the sun revolves around the Earth.,the Earth's magnetic field is what causes compasses to point north,the sun revolves around the Earth,1,0,1,2
78,"It is the case either that the two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus) or that Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration.",the two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus),"Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration",1,1,1,2
79,It is the case either that the human body is not affected by the force of gravity or that Ice cream is a popular dessert.,the human body is not affected by the force of gravity,Ice cream is a popular dessert,0,1,1,2
80,"It is the case either that the moon is a star, not a satellite or that the Nile River is located in South America.","the moon is a star, not a satellite",the Nile River is located in South America,0,0,0,2
81,It is the case either that the human brain is uninvolved in the body's functions and emotions or that the Sun is a planet.,the human brain is uninvolved in the body's functions and emotions,the Sun is a planet,0,0,0,2
82,It is the case either that Mars has a thick atmosphere or that the smallest planet in our solar system is Saturn.,Mars has a thick atmosphere,the smallest planet in our solar system is Saturn,0,0,0,2
83,"It is the case either that Electromagnetic waves exclude radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays or that Mercury is the largest planet.","Electromagnetic waves exclude radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays",Mercury is the largest planet,0,0,0,2
84,It is the case either that the Roman Empire existed from 27 BC to 476 AD or that Earthquakes are caused by the movement of tectonic plates.,the Roman Empire existed from 27 BC to 476 AD,Earthquakes are caused by the movement of tectonic plates,1,1,1,2
85,It is the case either that Ice sinks in water due to its higher density or that the human body is composed of about 60% water.,Ice sinks in water due to its higher density,the human body is composed of about 60% water,0,1,1,2
86,It is the case either that the planet Jupiter is the largest planet in our solar system or that Symbiosis is a distant relationship between two species.,the planet Jupiter is the largest planet in our solar system,Symbiosis is a distant relationship between two species,1,0,1,2
87,"It is the case either that the human heart beats approximately 100,000 times per day or that A day on Earth is approximately 365.25 days long, which is why we have a leap year every four years.","the human heart beats approximately 100,000 times per day","A day on Earth is approximately 365.25 days long, which is why we have a leap year every four years",1,0,1,2
88,It is the case either that the highest mountain in the world is Mount Fuji or that the largest planet in our solar system is Mercury.,the highest mountain in the world is Mount Fuji,the largest planet in our solar system is Mercury,0,0,0,2
89,It is the case either that the fastest land animal in the world is the snail or that the tallest mountain in the world is located in Australia.,the fastest land animal in the world is the snail,the tallest mountain in the world is located in Australia,0,0,0,2
90,"It is the case either that the three main types of chemical bonds are ionic, covalent, and metallic or that Black holes are regions in space with immense gravitational pull.","the three main types of chemical bonds are ionic, covalent, and metallic",Black holes are regions in space with immense gravitational pull,1,1,1,2
91,It is the case either that Earth has no magnetic field or that Sound travels faster through solids than through liquids or gases.,Earth has no magnetic field,Sound travels faster through solids than through liquids or gases,0,1,1,2
92,It is the case either that the largest body of water in the world is Lake Superior or that the human body has 12 pairs of legs.,the largest body of water in the world is Lake Superior,the human body has 12 pairs of legs,0,0,0,2
93,It is the case either that the human body is approximately 60% water or that Vaccines help to prevent infectious diseases.,the human body is approximately 60% water,Vaccines help to prevent infectious diseases,1,1,1,2
94,It is the case either that the smallest state in the United States is Texas or that Superconductors are materials that have infinite electrical resistance when cooled to certain temperatures.,the smallest state in the United States is Texas,Superconductors are materials that have infinite electrical resistance when cooled to certain temperatures,0,0,0,2
95,It is the case either that the first man-made satellite was launched by France or that Vaccines promote infectious diseases.,the first man-made satellite was launched by France,Vaccines promote infectious diseases,0,0,0,2
96,It is the case either that Apples grow on vines or that the largest planet in our solar system is Mercury.,Apples grow on vines,the largest planet in our solar system is Mercury,0,0,0,2
97,It is the case either that the largest unit of life is the cell or that Uranus orbits the Sun upright.,the largest unit of life is the cell,Uranus orbits the Sun upright,0,0,0,2
98,It is the case either that the study of living organisms and their interactions with the environment is called biology or that the electron configuration of an atom determines its physical properties.,the study of living organisms and their interactions with the environment is called biology,the electron configuration of an atom determines its physical properties,1,0,1,2
99,"It is the case either that Our solar system consists of eight stars: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune or that Echoes are sound waves reflecting off surfaces.","Our solar system consists of eight stars: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune",Echoes are sound waves reflecting off surfaces,0,1,1,2
100,It is the case either that the study of non-living organisms and their interactions with the environment is called anti-biology or that the color of an object depends on the temperature of its surface.,the study of non-living organisms and their interactions with the environment is called anti-biology,the color of an object depends on the temperature of its surface,0,0,0,2
101,It is the case either that the human brain weighs about 100 pounds or that Mercury is the largest planet.,the human brain weighs about 100 pounds,Mercury is the largest planet,0,0,0,2
102,It is the case either that the Earth is the only planet in the solar system or that Magnetism is a force that attracts or repels certain materials.,the Earth is the only planet in the solar system,Magnetism is a force that attracts or repels certain materials,0,1,1,2
103,It is the case either that Vaccines promote infectious diseases or that the Great Wall of China was built in the 21st century.,Vaccines promote infectious diseases,the Great Wall of China was built in the 21st century,0,0,0,2
104,It is the case either that the Statue of Liberty is located in Paris or that the Statue of Liberty is located in Tokyo.,the Statue of Liberty is located in Paris,the Statue of Liberty is located in Tokyo,0,0,0,2
105,It is the case either that Cars can travel faster than the speed of light or that Trees absorb carbon dioxide and release oxygen.,Cars can travel faster than the speed of light,Trees absorb carbon dioxide and release oxygen,0,1,1,2
106,It is the case either that Deposition is the rapid building up of Earth's surface by natural processes or that Iron remains unaffected in the presence of oxygen and water.,Deposition is the rapid building up of Earth's surface by natural processes,Iron remains unaffected in the presence of oxygen and water,0,0,0,2
107,"It is the case either that the process by which cells divide to form two identical daughter cells is called mitosis or that the three main types of neurons are muscle neurons, sensory neurons, and extraneurons.",the process by which cells divide to form two identical daughter cells is called mitosis,"the three main types of neurons are muscle neurons, sensory neurons, and extraneurons",1,0,1,2
108,"It is the case either that the human circulatory system is an open system consisting of the heart, air vessels, and air or that the Statue of Liberty is located in Tokyo.","the human circulatory system is an open system consisting of the heart, air vessels, and air",the Statue of Liberty is located in Tokyo,0,0,0,2
109,It is the case either that the Seven Wonders of the World are located in North America or that the largest reptile in the world is the mouse.,the Seven Wonders of the World are located in North America,the largest reptile in the world is the mouse,0,0,0,2
110,It is the case either that the highest mountain in North America is Denali or that the color of an object depends on the temperature of its surface.,the highest mountain in North America is Denali,the color of an object depends on the temperature of its surface,1,0,1,2
111,It is the case either that Rainbows form when light refracts through water droplets or that the human brain weighs around 3 pounds.,Rainbows form when light refracts through water droplets,the human brain weighs around 3 pounds,1,1,1,2
112,It is the case either that Oxygen is harmful to human breathing or that the fastest fish in the world is the goldfish.,Oxygen is harmful to human breathing,the fastest fish in the world is the goldfish,0,0,0,2
113,"It is the case either that Electromagnetic induction is the process by which a constant magnetic field dampens an electric current or that the four fundamental forces of nature are gravity, electromagnetism, the strong nuclear force, and the weak nuclear force.",Electromagnetic induction is the process by which a constant magnetic field dampens an electric current,"the four fundamental forces of nature are gravity, electromagnetism, the strong nuclear force, and the weak nuclear force",0,1,1,2
114,It is the case either that Antibiotics are used to cause bacterial infections or that the distance from the Earth to the sun is approximately 93 million miles.,Antibiotics are used to cause bacterial infections,the distance from the Earth to the sun is approximately 93 million miles,0,1,1,2
115,It is the case either that Mount Everest is the highest mountain in the world or that the human body has 12 pairs of ribs.,Mount Everest is the highest mountain in the world,the human body has 12 pairs of ribs,1,1,1,2
116,"It is the case either that Sound remains stationary through various mediums or that Sharks are mammals, not fish.",Sound remains stationary through various mediums,"Sharks are mammals, not fish",0,0,0,2
117,"It is the case either that Giraffes are not real animals, they are made up or that the human body is not affected by the force of gravity.","Giraffes are not real animals, they are made up",the human body is not affected by the force of gravity,0,0,0,2
118,It is the case either that the ozone layer exposes Earth to harmful ultraviolet radiation or that the fastest car in the world is made of cardboard.,the ozone layer exposes Earth to harmful ultraviolet radiation,the fastest car in the world is made of cardboard,0,0,0,2
119,"It is the case either that the first man-made satellite was launched by France or that the human nervous system includes the brain, spinal cord, and nerves.",the first man-made satellite was launched by France,"the human nervous system includes the brain, spinal cord, and nerves",0,1,1,2
120,It is the case either that Water freezes at 100 degrees Celsius or that Pizza is a type of food that no one likes.,Water freezes at 100 degrees Celsius,Pizza is a type of food that no one likes,0,0,0,2
121,It is the case either that the study of the Earth's core beyond Earth's atmosphere is called geoastronomy or that the human body has 12 pairs of ribs.,the study of the Earth's core beyond Earth's atmosphere is called geoastronomy,the human body has 12 pairs of ribs,0,1,1,2
122,"It is the case either that All animals are cold-blooded or that the planet Mars is known as the Red Planet"" due to its reddish appearance."".",All animals are cold-blooded,"the planet Mars is known as the Red Planet"" due to its reddish appearance.""",0,1,1,2
123,"It is the case either that the largest animal in the world is the rhinoceros or that the Earth is flat, not round.",the largest animal in the world is the rhinoceros,"the Earth is flat, not round",0,0,0,2
124,It is the case either that the first successful human heart transplant was performed in 1967 or that the Mona Lisa was painted by Michelangelo.,the first successful human heart transplant was performed in 1967,the Mona Lisa was painted by Michelangelo,1,0,1,2
125,It is the case either that the human body has 100 bones or that the Milky Way is a linear galaxy.,the human body has 100 bones,the Milky Way is a linear galaxy,0,0,0,2
126,"It is the case either that the fastest way to travel from New York to London is by car or that Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration.",the fastest way to travel from New York to London is by car,"Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration",0,1,1,2
127,It is the case either that Earth has a magnetic field or that the fastest land animal is the snail.,Earth has a magnetic field,the fastest land animal is the snail,1,0,1,2
128,It is the case either that the sun revolves around the Earth or that Evolution occurs through the process of natural selection.,the sun revolves around the Earth,Evolution occurs through the process of natural selection,0,1,1,2
129,It is the case either that the human heart is located in the foot or that Comets are fiery celestial objects that avoid the Sun.,the human heart is located in the foot,Comets are fiery celestial objects that avoid the Sun,0,0,0,2
130,"It is the case either that the coldest place on Earth is the equator or that the planet Mars is known as the Red Planet"" due to its reddish appearance."".",the coldest place on Earth is the equator,"the planet Mars is known as the Red Planet"" due to its reddish appearance.""",0,1,1,2
131,It is the case either that Humans have wings and can fly or that Vaccines promote infectious diseases.,Humans have wings and can fly,Vaccines promote infectious diseases,0,0,0,2
132,It is the case either that Sound travels through the air as light or that the conservation of energy principle states that energy can be created and destroyed.,Sound travels through the air as light,the conservation of energy principle states that energy can be created and destroyed,0,0,0,2
133,It is the case either that Water is wet or that Photosynthesis in plants consumes oxygen as a byproduct.,Water is wet,Photosynthesis in plants consumes oxygen as a byproduct,1,0,1,2
134,It is the case either that the smallest country in the world is Canada or that the human heart is located in the foot.,the smallest country in the world is Canada,the human heart is located in the foot,0,0,0,2
135,It is the case either that the largest mammal in the world is the mosquito or that the human nose is located on the forehead.,the largest mammal in the world is the mosquito,the human nose is located on the forehead,0,0,0,2
136,It is the case either that the Earth is the only planet in the solar system or that Humans do not use their brains.,the Earth is the only planet in the solar system,Humans do not use their brains,0,0,0,2
137,It is the case either that the largest body of water in the world is Lake Superior or that the human body has 12 pairs of legs.,the largest body of water in the world is Lake Superior,the human body has 12 pairs of legs,0,0,0,2
138,It is the case either that the human body does not need water to survive or that the ozone layer exposes Earth to harmful ultraviolet radiation.,the human body does not need water to survive,the ozone layer exposes Earth to harmful ultraviolet radiation,0,0,0,2
139,"It is the case either that the largest volcano in the world is located in Europe or that the three states of anti-matter are solid, liquid, and gas.",the largest volcano in the world is located in Europe,"the three states of anti-matter are solid, liquid, and gas",0,0,0,2
140,"It is the case either that the primary colors of light are red, green, and blue or that the two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus).","the primary colors of light are red, green, and blue",the two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus),1,1,1,2
141,It is the case either that the process by which a gas turns into a liquid is called condensation or that the two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus).,the process by which a gas turns into a liquid is called condensation,the two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus),1,1,1,2
142,It is the case either that the human body has 100 bones or that Cells are the complex units of life.,the human body has 100 bones,Cells are the complex units of life,0,0,0,2
143,It is the case either that the largest animal in the world is a mosquito or that the smallest state in the United States is Texas.,the largest animal in the world is a mosquito,the smallest state in the United States is Texas,0,0,0,2
144,It is the case either that the process by which a gas turns into a liquid is called condensation or that Venus is drastically different in size from Earth.,the process by which a gas turns into a liquid is called condensation,Venus is drastically different in size from Earth,1,0,1,2
145,It is the case either that the human brain is uninvolved in the body's functions and emotions or that the largest desert in the world is the Arctic.,the human brain is uninvolved in the body's functions and emotions,the largest desert in the world is the Arctic,0,0,0,2
146,It is the case either that Gravity is the force that repels objects with mass away from each other or that the Great Sphinx of Giza is an ancient statue in Egypt.,Gravity is the force that repels objects with mass away from each other,the Great Sphinx of Giza is an ancient statue in Egypt,0,1,1,2
147,"It is the case either that the first law of thermodynamics states that energy can be created and destroyed, only converted from one form to another or that the Titanic was a famous ship that sank in 1912.","the first law of thermodynamics states that energy can be created and destroyed, only converted from one form to another",the Titanic was a famous ship that sank in 1912,0,1,1,2
148,It is the case either that the human body has 100 bones or that Earth has no magnetic field.,the human body has 100 bones,Earth has no magnetic field,0,0,0,2
149,"It is the case either that the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field or that Fire needs oxygen to burn.","the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field",Fire needs oxygen to burn,0,1,1,2
150,"It is the case either that Water freezes at 100 degrees Celsius or that Bananas are vegetables, not fruit.",Water freezes at 100 degrees Celsius,"Bananas are vegetables, not fruit",0,0,0,2
