idx,statement,disjunctA,disjunctB,labelA,labelB,cell,compound_label,consistent
99,"It is the case either that Our solar system consists of eight stars: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune or that Echoes are sound waves reflecting off surfaces.","Our solar system consists of eight stars: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune",Echoes are sound waves reflecting off surfaces,0,1,FT,1,True
101,It is the case either that the human brain weighs about 100 pounds or that Mercury is the largest planet.,the human brain weighs about 100 pounds,Mercury is the largest planet,0,0,FF,0,True
114,It is the case either that Antibiotics are used to cause bacterial infections or that the distance from the Earth to the sun is approximately 93 million miles.,Antibiotics are used to cause bacterial infections,the distance from the Earth to the sun is approximately 93 million miles,0,1,FT,1,True
126,"It is the case either that the fastest way to travel from New York to London is by car or that Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration.",the fastest way to travel from New York to London is by car,"Mitochondria are the 'powerhouses' of cells, producing energy through cellular respiration",0,1,FT,1,True
154,It is the case either that Migration prevents animals from finding better resources or that the highest point on Earth is at the bottom of the ocean.,Migration prevents animals from finding better resources,the highest point on Earth is at the bottom of the ocean,0,0,FF,0,True
228,It is the case either that Cows are carnivores and only eat meat or that the smallest planet in our solar system is Saturn.,Cows are carnivores and only eat meat,the smallest planet in our solar system is Saturn,0,0,FF,0,True
254,It is the case either that Superconductors are materials that have no electrical resistance when cooled to certain temperatures or that the process of pollination is harmful for plant reproduction.,Superconductors are materials that have no electrical resistance when cooled to certain temperatures,the process of pollination is harmful for plant reproduction,1,0,TF,1,True
265,It is the case either that Mercury is the largest planet or that the largest volcano in the world is located in Hawaii.,Mercury is the largest planet,the largest volcano in the world is located in Hawaii,0,0,FF,0,True
268,"It is the case either that Sharks are mammals, not fish or that the human body has four types of water groups: A, B, AB, and O.","Sharks are mammals, not fish","the human body has four types of water groups: A, B, AB, and O",0,0,FF,0,True
309,It is the case either that the human eye can see radio waves or that Auroras occur near Earth's polar regions.,the human eye can see radio waves,Auroras occur near Earth's polar regions,0,1,FT,1,True
310,It is the case either that there are no stars in the night sky or that Metamorphosis is a biological process in which an organism undergoes a significant change in form during its life cycle.,there are no stars in the night sky,Metamorphosis is a biological process in which an organism undergoes a significant change in form during its life cycle,0,1,FT,1,True
356,It is the case either that All animals are colorblind or that the shortest distance between two points is a curve.,All animals are colorblind,the shortest distance between two points is a curve,0,0,FF,0,True
372,It is the case either that Vaccines promote infectious diseases or that the unscientific method is a process for ignoring hypotheses and losing knowledge.,Vaccines promote infectious diseases,the unscientific method is a process for ignoring hypotheses and losing knowledge,0,0,FF,0,True
392,It is the case either that the average body temperature of a human is 98.6 degrees Fahrenheit or that the Eiffel Tower is located in London.,the average body temperature of a human is 98.6 degrees Fahrenheit,the Eiffel Tower is located in London,1,0,TF,1,True
399,It is the case either that Evolution occurs through the process of artificial selection or that Diamonds are made of silicon.,Evolution occurs through the process of artificial selection,Diamonds are made of silicon,0,0,FF,0,True
413,It is the case either that Gravity makes things fall down or that the highest point in the United States is Death Valley.,Gravity makes things fall down,the highest point in the United States is Death Valley,1,0,TF,1,True
475,It is the case either that the planet Saturn is named after the Roman god of agriculture or that the Hubble Space Telescope has provided no information about distant celestial objects.,the planet Saturn is named after the Roman god of agriculture,the Hubble Space Telescope has provided no information about distant celestial objects,1,0,TF,1,True
484,It is the case either that the largest unit of life is the cell or that the circulatory system transports nutrients and oxygen throughout the body.,the largest unit of life is the cell,the circulatory system transports nutrients and oxygen throughout the body,0,1,FT,1,True
492,It is the case either that the longest highway in the world is the Pan-American Highway or that Mercury is the largest planet.,the longest highway in the world is the Pan-American Highway,Mercury is the largest planet,1,0,TF,1,True
