idx,statement,subject,disjunctA_obj,disjunctB_obj,labelA,labelB,compound_label,n_parts
20,It is the case either that Godfrey Hounsfield lived in Canada or that he/she lived in Denmark.,Godfrey Hounsfield,Canada,Denmark,0,0,0,2
21,It is the case either that Orville and Wilbur Wright lived in France or that he/she lived in Scotland.,Orville and Wilbur Wright,France,Scotland,0,0,0,2
22,It is the case either that Edwin H. Land lived in the U.S or that he/she lived in Sweden.,Edwin H. Land,the U.S,Sweden,1,0,0,2
23,It is the case either that Igor Sikorsky lived in the U.S or that he/she lived in Japan.,Igor Sikorsky,the U.S,Japan,0,0,0,2
24,It is the case either that Leonardo da Vinci lived in Germany or that he/she lived in Italy.,Leonardo da Vinci,Germany,Italy,0,1,1,2
25,It is the case either that Maria Telkes lived in Hungary/the U.S or that he/she lived in the U.K.,Maria Telkes,Hungary/the U.S,the U.K,1,0,1,2
26,It is the case either that Spencer Silver lived in the U.S or that he/she lived in the Netherlands.,Spencer Silver,the U.S,the Netherlands,1,0,1,2
27,It is the case either that Alec Jeffreys lived in the U.S or that he/she lived in France.,Alec Jeffreys,the U.S,France,0,0,0,2
28,It is the case either that Frederick Walton lived in Switzerland or that he/she lived in the U.K.,Frederick Walton,Switzerland,the U.K,0,1,1,2
29,It is the case either that Frederick Walton lived in the U.K or that he/she lived in Hungary/the U.S.,Frederick Walton,the U.K,Hungary/the U.S,1,0,1,2
30,It is the case either that Joseph Aspdin lived in the U.K or that he/she lived in Switzerland.,Joseph Aspdin,the U.K,Switzerland,1,0,0,2
31,It is the case either that Nicolas Appert lived in France or that he/she lived in the U.S.,Nicolas Appert,France,the U.S,1,0,1,2
32,It is the case either that Willem Einthoven lived in the U.S or that he/she lived in the Netherlands.,Willem Einthoven,the U.S,the Netherlands,0,1,1,2
33,It is the case either that Gottlieb Daimler lived in France or that he/she lived in the U.S.,Gottlieb Daimler,France,the U.S,0,0,0,2
34,It is the case either that Hedy Lamarr lived in the U.S or that he/she lived in the U.K.,Hedy Lamarr,the U.S,the U.K,0,0,0,2
35,It is the case either that Sergey Brin and Larry Page lived in France or that he/she lived in the U.K.,Sergey Brin and Larry Page,France,the U.K,0,0,0,2
36,It is the case either that Richard Trevithick lived in the U.K or that he/she lived in Canada.,Richard Trevithick,the U.K,Canada,1,0,1,2
37,It is the case either that Felix Hoffmann lived in the U.S or that he/she lived in the U.K.,Felix Hoffmann,the U.S,the U.K,0,0,0,2
38,It is the case either that Ernesto Blanco lived in the U.S or that he/she lived in the U.K.,Ernesto Blanco,the U.S,the U.K,1,0,1,2
39,It is the case either that Thomas Wedgwood lived in the U.K or that he/she lived in Italy.,Thomas Wedgwood,the U.K,Italy,1,0,1,2
40,It is the case either that James Hargreaves lived in the U.S or that he/she lived in Sweden.,James Hargreaves,the U.S,Sweden,0,0,0,2
41,It is the case either that Charles Francis Richter lived in the U.S or that he/she lived in the U.K.,Charles Francis Richter,the U.S,the U.K,1,0,1,2
42,It is the case either that Walter Hunt lived in the U.S or that he/she lived in Italy.,Walter Hunt,the U.S,Italy,1,0,1,2
43,It is the case either that Rudolf Kálmán lived in Ancient Greece or that he/she lived in the U.K.,Rudolf Kálmán,Ancient Greece,the U.K,0,0,0,2
44,It is the case either that Charles Goodyear lived in the U.K or that he/she lived in the U.S.,Charles Goodyear,the U.K,the U.S,0,1,1,2
45,It is the case either that Charles Wheatstone lived in the U.S or that he/she lived in France.,Charles Wheatstone,the U.S,France,0,0,0,2
46,It is the case either that Albert Ghiorso lived in Norway or that he/she lived in the U.K.,Albert Ghiorso,Norway,the U.K,0,0,0,2
47,It is the case either that Alfred Nobel lived in Italy or that he/she lived in Sweden.,Alfred Nobel,Italy,Sweden,0,1,1,2
48,It is the case either that Willis Carrier lived in the U.S or that he/she lived in Scotland.,Willis Carrier,the U.S,Scotland,1,0,1,2
49,It is the case either that Gustaf Dalén lived in the U.S or that he/she lived in Sweden.,Gustaf Dalén,the U.S,Sweden,0,1,1,2
50,It is the case either that Valdemar Poulsen lived in the U.K or that he/she lived in Scotland.,Valdemar Poulsen,the U.K,Scotland,0,0,0,2
51,It is the case either that Willis Carrier lived in Italy or that he/she lived in the U.S.,Willis Carrier,Italy,the U.S,0,1,1,2
52,It is the case either that Fritz Pfleumer lived in the U.K or that he/she lived in Germany.,Fritz Pfleumer,the U.K,Germany,0,1,1,2
53,It is the case either that John Ericsson lived in the U.K or that he/she lived in the U.S.,John Ericsson,the U.K,the U.S,0,0,0,2
54,It is the case either that Sir Humphry Davy lived in the U.K or that he/she lived in the U.S.,Sir Humphry Davy,the U.K,the U.S,1,0,1,2
55,It is the case either that Whitcomb Judson lived in France or that he/she lived in the U.S.,Whitcomb Judson,France,the U.S,0,1,1,2
56,It is the case either that August Horch lived in Germany or that he/she lived in the U.S.,August Horch,Germany,the U.S,1,0,1,2
57,It is the case either that Hans Berger lived in Germany or that he/she lived in the U.S.,Hans Berger,Germany,the U.S,1,0,1,2
58,It is the case either that R. Buckminster Fuller lived in Scotland or that he/she lived in Turkey/the U.S.,R. Buckminster Fuller,Scotland,Turkey/the U.S,0,0,0,2
59,It is the case either that Semyon Kirlian lived in Switzerland or that he/she lived in the U.K.,Semyon Kirlian,Switzerland,the U.K,0,0,0,2
60,It is the case either that Christian Huygens lived in the Netherlands or that he/she lived in the U.S.,Christian Huygens,the Netherlands,the U.S,1,0,1,2
61,It is the case either that James West lived in the U.S or that he/she lived in France.,James West,the U.S,France,1,0,1,2
62,It is the case either that Biruté Galdikas lived in France or that he/she lived in the U.S.,Biruté Galdikas,France,the U.S,0,0,0,2
63,It is the case either that August Horch lived in the Netherlands or that he/she lived in Germany.,August Horch,the Netherlands,Germany,0,1,1,2
64,It is the case either that Clyde Tombaugh lived in the U.S or that he/she lived in the U.K.,Clyde Tombaugh,the U.S,the U.K,1,0,1,2
65,It is the case either that Marie Curie lived in Hungary or that he/she lived in the U.S.,Marie Curie,Hungary,the U.S,0,0,0,2
66,It is the case either that Mary Walton lived in France or that he/she lived in Germany.,Mary Walton,France,Germany,0,0,0,2
67,It is the case either that Hedy Lamarr lived in the U.S or that he/she lived in France.,Hedy Lamarr,the U.S,France,0,0,0,2
68,It is the case either that Robert Chesebrough lived in the U.K or that he/she lived in the U.S.,Robert Chesebrough,the U.K,the U.S,0,1,1,2
69,It is the case either that Grace Hopper lived in France or that he/she lived in the U.K.,Grace Hopper,France,the U.K,0,0,0,2
70,It is the case either that Joseph Marie Jacquard lived in the Netherlands or that he/she lived in Turkey/the U.S.,Joseph Marie Jacquard,the Netherlands,Turkey/the U.S,0,0,0,2
71,It is the case either that Gottlieb Daimler lived in Canada or that he/she lived in Germany.,Gottlieb Daimler,Canada,Germany,0,1,1,2
72,It is the case either that Sir Humphry Davy lived in the U.S or that he/she lived in England.,Sir Humphry Davy,the U.S,England,0,0,0,2
73,It is the case either that Ernesto Blanco lived in Canada or that he/she lived in the U.S.,Ernesto Blanco,Canada,the U.S,0,1,1,2
74,It is the case either that Galileo Galilei lived in France or that he/she lived in the U.S.,Galileo Galilei,France,the U.S,0,0,0,2
75,It is the case either that Ruth Handler lived in Canada or that he/she lived in the Netherlands.,Ruth Handler,Canada,the Netherlands,0,0,0,2
76,It is the case either that Mary Anderson lived in Germany or that he/she lived in the U.S.,Mary Anderson,Germany,the U.S,0,1,1,2
77,It is the case either that Thomas Wedgwood lived in Finland or that he/she lived in the U.S.,Thomas Wedgwood,Finland,the U.S,0,0,0,2
78,It is the case either that James Murray Spangler lived in the U.K or that he/she lived in the U.S.,James Murray Spangler,the U.K,the U.S,0,1,0,2
79,It is the case either that Hans von Ohain lived in the U.S or that he/she lived in Canada.,Hans von Ohain,the U.S,Canada,0,0,0,2
80,It is the case either that Charles Francis Jenkins lived in Germany or that he/she lived in Canada/the U.S.,Charles Francis Jenkins,Germany,Canada/the U.S,0,0,0,2
81,It is the case either that Ada Lovelace lived in Canada or that he/she lived in the U.S.,Ada Lovelace,Canada,the U.S,0,0,0,2
82,It is the case either that Sir Isaac Newton lived in Ancient Greece or that he/she lived in the U.S.,Sir Isaac Newton,Ancient Greece,the U.S,0,0,0,2
83,It is the case either that Charles Babbage lived in Hungary/the U.S or that he/she lived in France.,Charles Babbage,Hungary/the U.S,France,0,0,0,2
84,It is the case either that Charles Cros lived in the U.S or that he/she lived in the U.K.,Charles Cros,the U.S,the U.K,0,0,0,2
85,It is the case either that Elihu Thomson lived in France or that he/she lived in the U.S.,Elihu Thomson,France,the U.S,0,1,1,2
86,It is the case either that Joseph Henry lived in France or that he/she lived in the U.S.,Joseph Henry,France,the U.S,0,1,1,2
87,It is the case either that Leonardo da Vinci lived in Canada or that he/she lived in Poland/France.,Leonardo da Vinci,Canada,Poland/France,0,0,0,2
88,It is the case either that Leonardo da Vinci lived in Poland/France or that he/she lived in Turkey/the U.S.,Leonardo da Vinci,Poland/France,Turkey/the U.S,0,0,0,2
89,It is the case either that Benjamin Rubin lived in the U.S or that he/she lived in Hungary.,Benjamin Rubin,the U.S,Hungary,1,0,1,2
90,It is the case either that Nils Bohlin lived in the U.S or that he/she lived in Germany.,Nils Bohlin,the U.S,Germany,0,0,0,2
91,It is the case either that Christopher Cockerell lived in Russia or that he/she lived in the U.K.,Christopher Cockerell,Russia,the U.K,0,1,1,2
92,It is the case either that Florence Parpart lived in the U.K or that he/she lived in Japan.,Florence Parpart,the U.K,Japan,0,0,0,2
93,It is the case either that James Hargreaves lived in the U.K or that he/she lived in the U.S.,James Hargreaves,the U.K,the U.S,1,0,1,2
94,It is the case either that Whitcomb Judson lived in Poland/France or that he/she lived in the U.S.,Whitcomb Judson,Poland/France,the U.S,0,1,1,2
95,It is the case either that Mary Phelps Jacob lived in the Netherlands or that he/she lived in Ukraine/the U.S.,Mary Phelps Jacob,the Netherlands,Ukraine/the U.S,0,0,0,2
96,It is the case either that Robert Adler lived in the U.K or that he/she lived in France.,Robert Adler,the U.K,France,0,0,0,2
97,It is the case either that Sir Charles Parsons lived in Croatia or that he/she lived in the U.S.,Sir Charles Parsons,Croatia,the U.S,0,0,0,2
98,It is the case either that Ami Argand lived in Switzerland or that he/she lived in the U.S.,Ami Argand,Switzerland,the U.S,1,0,1,2
99,It is the case either that Archimedes lived in Ancient Greece or that he/she lived in Japan.,Archimedes,Ancient Greece,Japan,1,0,1,2
100,It is the case either that Nikola Tesla lived in the U.S or that he/she lived in Germany.,Nikola Tesla,the U.S,Germany,0,0,0,2
101,It is the case either that Joseph Henry lived in the U.K or that he/she lived in the U.S.,Joseph Henry,the U.K,the U.S,0,1,0,2
102,It is the case either that John Harrison lived in the U.S or that he/she lived in the U.K.,John Harrison,the U.S,the U.K,0,1,1,2
103,It is the case either that Herbert Saffir lived in the U.K or that he/she lived in Italy.,Herbert Saffir,the U.K,Italy,0,0,0,2
104,It is the case either that Gustaf Dalén lived in the U.S or that he/she lived in Germany.,Gustaf Dalén,the U.S,Germany,0,0,0,2
105,It is the case either that John Shepherd-Barron lived in the U.S or that he/she lived in Germany.,John Shepherd-Barron,the U.S,Germany,0,0,0,2
106,It is the case either that Willis Carrier lived in the U.S or that he/she lived in France.,Willis Carrier,the U.S,France,1,0,1,2
107,It is the case either that Joseph Henry lived in Sweden or that he/she lived in the U.S.,Joseph Henry,Sweden,the U.S,0,1,1,2
108,It is the case either that Christopher Cockerell lived in France or that he/she lived in the U.K.,Christopher Cockerell,France,the U.K,0,1,0,2
109,It is the case either that Frederick Walton lived in Turkey/the U.S or that he/she lived in the U.K.,Frederick Walton,Turkey/the U.S,the U.K,0,1,1,2
110,It is the case either that Mary Phelps Jacob lived in Canada or that he/she lived in Ukraine/the U.S.,Mary Phelps Jacob,Canada,Ukraine/the U.S,0,0,0,2
111,It is the case either that Wallace Carothers lived in the U.S or that he/she lived in Scotland.,Wallace Carothers,the U.S,Scotland,1,0,1,2
112,It is the case either that Igor Sikorsky lived in Ukraine/the U.S or that he/she lived in Finland.,Igor Sikorsky,Ukraine/the U.S,Finland,1,0,1,2
113,It is the case either that August Horch lived in Russia or that he/she lived in Sweden.,August Horch,Russia,Sweden,0,0,0,2
114,It is the case either that Hans Goldschmidt lived in Germany or that he/she lived in Turkey/the U.S.,Hans Goldschmidt,Germany,Turkey/the U.S,1,0,1,2
115,It is the case either that Thomas Wedgwood lived in the U.K or that he/she lived in Sweden.,Thomas Wedgwood,the U.K,Sweden,1,0,1,2
116,It is the case either that Guglielmo Marconi lived in the U.S or that he/she lived in the U.K.,Guglielmo Marconi,the U.S,the U.K,0,0,0,2
117,It is the case either that Nicolas Appert lived in France or that he/she lived in Russia.,Nicolas Appert,France,Russia,1,0,1,2
118,It is the case either that Josephine Cochrane lived in France or that he/she lived in Germany.,Josephine Cochrane,France,Germany,0,0,0,2
119,It is the case either that Samuel Fox lived in the U.K or that he/she lived in Denmark.,Samuel Fox,the U.K,Denmark,1,0,1,2
120,It is the case either that Charles Fritts lived in Germany or that he/she lived in the U.S.,Charles Fritts,Germany,the U.S,0,1,1,2
121,It is the case either that Rudolf Diesel lived in the U.S or that he/she lived in Germany.,Rudolf Diesel,the U.S,Germany,0,1,1,2
122,It is the case either that Charles Francis Jenkins lived in the U.S or that he/she lived in Germany.,Charles Francis Jenkins,the U.S,Germany,1,0,0,2
123,It is the case either that Emile Berliner lived in France or that he/she lived in Russia.,Emile Berliner,France,Russia,0,0,0,2
124,It is the case either that Guglielmo Marconi lived in Sweden/the U.S or that he/she lived in Italy.,Guglielmo Marconi,Sweden/the U.S,Italy,0,1,1,2
125,It is the case either that Charles Cros lived in Russia or that he/she lived in the U.S.,Charles Cros,Russia,the U.S,0,0,0,2
126,It is the case either that Igor Tamm lived in the U.S or that he/she lived in Canada.,Igor Tamm,the U.S,Canada,0,0,0,2
127,It is the case either that Leon Theremin lived in the U.S or that he/she lived in Russia.,Leon Theremin,the U.S,Russia,0,1,1,2
128,It is the case either that Reginald Fessenden lived in Hungary or that he/she lived in Canada/the U.S.,Reginald Fessenden,Hungary,Canada/the U.S,0,1,1,2
129,It is the case either that George Cayley lived in the U.K or that he/she lived in the U.S.,George Cayley,the U.K,the U.S,1,0,1,2
130,It is the case either that Kwolek lived in the U.S or that he/she lived in Finland.,Kwolek,the U.S,Finland,0,0,0,2
131,It is the case either that Christian Huygens lived in Scotland or that he/she lived in the Soviet Union.,Christian Huygens,Scotland,the Soviet Union,0,0,0,2
132,It is the case either that Sir Humphry Davy lived in Italy or that he/she lived in the U.S.,Sir Humphry Davy,Italy,the U.S,0,0,0,2
133,It is the case either that Alec Jeffreys lived in the U.S or that he/she lived in the U.K.,Alec Jeffreys,the U.S,the U.K,0,1,1,2
134,It is the case either that Arthur Fry lived in Norway or that he/she lived in the U.S.,Arthur Fry,Norway,the U.S,0,1,1,2
135,It is the case either that Lester Wire lived in the U.S or that he/she lived in the U.K.,Lester Wire,the U.S,the U.K,1,0,1,2
136,It is the case either that Édouard-Léon Scott de Martinville lived in France or that he/she lived in Poland/France.,Édouard-Léon Scott de Martinville,France,Poland/France,1,0,1,2
137,It is the case either that Herbert Akroyd Stuart lived in Russia or that he/she lived in France.,Herbert Akroyd Stuart,Russia,France,0,0,0,2
138,It is the case either that Charles Strite lived in the U.K or that he/she lived in the U.S.,Charles Strite,the U.K,the U.S,0,1,1,2
139,It is the case either that Édouard-Léon Scott de Martinville lived in Russia or that he/she lived in France.,Édouard-Léon Scott de Martinville,Russia,France,0,1,1,2
140,It is the case either that Henri Giffard lived in Germany or that he/she lived in the U.S.,Henri Giffard,Germany,the U.S,0,0,0,2
141,It is the case either that Albert Ghiorso lived in Poland/France or that he/she lived in the U.S.,Albert Ghiorso,Poland/France,the U.S,0,1,1,2
142,It is the case either that Henri Giffard lived in the U.S or that he/she lived in Ukraine/the U.S.,Henri Giffard,the U.S,Ukraine/the U.S,0,0,0,2
143,It is the case either that Ada Lovelace lived in Germany or that he/she lived in the U.S.,Ada Lovelace,Germany,the U.S,0,0,0,2
144,It is the case either that Cai Lun lived in China or that he/she lived in Germany.,Cai Lun,China,Germany,1,0,1,2
145,It is the case either that Alexander Fleming lived in France or that he/she lived in the U.S.,Alexander Fleming,France,the U.S,0,0,0,2
146,It is the case either that James West lived in Germany or that he/she lived in the U.S.,James West,Germany,the U.S,0,1,1,2
147,It is the case either that Yoshiro Nakamatsu lived in the U.K or that he/she lived in the U.S.,Yoshiro Nakamatsu,the U.K,the U.S,0,0,0,2
148,It is the case either that Charles Townes lived in France or that he/she lived in the U.S.,Charles Townes,France,the U.S,0,1,1,2
149,It is the case either that Gustaf Dalén lived in Germany or that he/she lived in the U.S.,Gustaf Dalén,Germany,the U.S,0,0,0,2
150,It is the case either that Walter Hunt lived in the U.S or that he/she lived in the U.K.,Walter Hunt,the U.S,the U.K,1,0,1,2
151,It is the case either that George Antheil lived in Germany or that he/she lived in the U.S.,George Antheil,Germany,the U.S,0,1,1,2
152,It is the case either that Alan Turing lived in the U.K or that he/she lived in the Netherlands.,Alan Turing,the U.K,the Netherlands,1,0,1,2
153,It is the case either that George Cayley lived in France or that he/she lived in Canada.,George Cayley,France,Canada,0,0,0,2
154,It is the case either that James West lived in the U.S or that he/she lived in the U.K.,James West,the U.S,the U.K,1,0,1,2
155,It is the case either that Charles Francis Richter lived in France or that he/she lived in Ancient Greece.,Charles Francis Richter,France,Ancient Greece,0,0,0,2
156,It is the case either that Ralph Benjamin lived in the U.K or that he/she lived in the U.S.,Ralph Benjamin,the U.K,the U.S,1,0,1,2
157,It is the case either that Sir Charles Parsons lived in Canada or that he/she lived in the U.S.,Sir Charles Parsons,Canada,the U.S,0,0,0,2
158,It is the case either that Mary Phelps Jacob lived in Ukraine/the U.S or that he/she lived in Scotland.,Mary Phelps Jacob,Ukraine/the U.S,Scotland,0,0,0,2
159,It is the case either that Zhores Alferov lived in the U.S or that he/she lived in the U.K.,Zhores Alferov,the U.S,the U.K,0,0,0,2
160,It is the case either that Albert Ghiorso lived in the U.S or that he/she lived in Italy.,Albert Ghiorso,the U.S,Italy,1,0,1,2
161,It is the case either that James Clerk Maxwell lived in the U.K or that he/she lived in Sweden.,James Clerk Maxwell,the U.K,Sweden,1,0,1,2
162,It is the case either that Ignazio Porro lived in the U.S or that he/she lived in the Soviet Union.,Ignazio Porro,the U.S,the Soviet Union,0,0,0,2
163,It is the case either that Josephine Cochrane lived in the U.S or that he/she lived in Germany.,Josephine Cochrane,the U.S,Germany,1,0,0,2
164,It is the case either that Charles Francis Jenkins lived in the U.S or that he/she lived in Scotland.,Charles Francis Jenkins,the U.S,Scotland,1,0,1,2
165,It is the case either that Ada Lovelace lived in the Soviet Union or that he/she lived in the U.K.,Ada Lovelace,the Soviet Union,the U.K,0,1,1,2
166,It is the case either that Candace Pert lived in Germany or that he/she lived in the U.S.,Candace Pert,Germany,the U.S,0,1,1,2
167,It is the case either that Clyde Tombaugh lived in the U.S or that he/she lived in Italy.,Clyde Tombaugh,the U.S,Italy,1,0,1,2
168,It is the case either that Herbert Akroyd Stuart lived in France or that he/she lived in Russia.,Herbert Akroyd Stuart,France,Russia,0,0,0,2
169,It is the case either that Willis Carrier lived in Russia or that he/she lived in the U.S.,Willis Carrier,Russia,the U.S,0,1,1,2
170,It is the case either that Alec Jeffreys lived in Germany or that he/she lived in the U.K.,Alec Jeffreys,Germany,the U.K,0,1,1,2
171,It is the case either that Willem Einthoven lived in the Netherlands or that he/she lived in Germany.,Willem Einthoven,the Netherlands,Germany,1,0,1,2
172,It is the case either that Charles Babbage lived in the U.S or that he/she lived in the U.K.,Charles Babbage,the U.S,the U.K,0,1,1,2
173,It is the case either that Hedy Lamarr lived in the U.K or that he/she lived in Austria/the U.S.,Hedy Lamarr,the U.K,Austria/the U.S,0,1,1,2
174,It is the case either that Hans Oersted lived in Denmark or that he/she lived in Finland.,Hans Oersted,Denmark,Finland,1,0,1,2
175,It is the case either that August Horch lived in Denmark or that he/she lived in Russia.,August Horch,Denmark,Russia,0,0,0,2
176,It is the case either that Valdemar Poulsen lived in Scotland or that he/she lived in Russia.,Valdemar Poulsen,Scotland,Russia,0,0,0,2
177,It is the case either that Hippolyte Mège-Mouriès lived in the U.K or that he/she lived in France.,Hippolyte Mège-Mouriès,the U.K,France,0,1,1,2
178,It is the case either that Reginald Fessenden lived in Austria/the U.S or that he/she lived in Canada/the U.S.,Reginald Fessenden,Austria/the U.S,Canada/the U.S,0,1,1,2
179,It is the case either that Alfred Nobel lived in the U.S or that he/she lived in the U.K.,Alfred Nobel,the U.S,the U.K,0,0,0,2
180,It is the case either that Edwin H. Land lived in Germany or that he/she lived in the U.S.,Edwin H. Land,Germany,the U.S,0,1,1,2
181,It is the case either that Ferdinand Carré lived in France or that he/she lived in the U.S.,Ferdinand Carré,France,the U.S,1,0,0,2
182,It is the case either that Clyde Tombaugh lived in Russia or that he/she lived in the U.S.,Clyde Tombaugh,Russia,the U.S,0,1,1,2
183,It is the case either that Ernest Swinton lived in the U.K or that he/she lived in Canada.,Ernest Swinton,the U.K,Canada,1,0,1,2
184,It is the case either that Joseph Bramah lived in the U.S or that he/she lived in the U.K.,Joseph Bramah,the U.S,the U.K,0,1,1,2
185,It is the case either that Florence Parpart lived in Russia or that he/she lived in the U.S.,Florence Parpart,Russia,the U.S,0,1,1,2
186,It is the case either that Nikolai Basov lived in the Soviet Union or that he/she lived in the U.S.,Nikolai Basov,the Soviet Union,the U.S,1,0,1,2
187,It is the case either that John Boyd Dunlop lived in the U.K or that he/she lived in Scotland.,John Boyd Dunlop,the U.K,Scotland,0,1,1,2
188,It is the case either that Zhores Alferov lived in France or that he/she lived in the U.K.,Zhores Alferov,France,the U.K,0,0,0,2
189,It is the case either that James Murray Spangler lived in Japan or that he/she lived in the U.K.,James Murray Spangler,Japan,the U.K,0,0,0,2
190,It is the case either that Rudolf Kálmán lived in France or that he/she lived in the U.K.,Rudolf Kálmán,France,the U.K,0,0,0,2
191,It is the case either that Valdemar Poulsen lived in the U.S or that he/she lived in Denmark.,Valdemar Poulsen,the U.S,Denmark,0,1,1,2
192,It is the case either that Alfred Nobel lived in the U.S or that he/she lived in the Netherlands.,Alfred Nobel,the U.S,the Netherlands,0,0,0,2
193,It is the case either that Igor Sikorsky lived in Ukraine/the U.S or that he/she lived in Canada.,Igor Sikorsky,Ukraine/the U.S,Canada,1,0,1,2
194,It is the case either that Grace Hopper lived in the U.K or that he/she lived in France.,Grace Hopper,the U.K,France,0,0,0,2
195,It is the case either that Daniel Fahrenheit lived in the U.S or that he/she lived in Germany.,Daniel Fahrenheit,the U.S,Germany,0,0,0,2
196,It is the case either that Wilhelm Conrad Röntgen lived in France or that he/she lived in the U.S.,Wilhelm Conrad Röntgen,France,the U.S,0,0,0,2
197,It is the case either that David Edward Hughes lived in the U.S or that he/she lived in Denmark.,David Edward Hughes,the U.S,Denmark,1,0,1,2
198,It is the case either that Walter Hunt lived in the U.S or that he/she lived in Finland.,Walter Hunt,the U.S,Finland,1,0,1,2
199,It is the case either that Clyde Tombaugh lived in the U.S or that he/she lived in Canada.,Clyde Tombaugh,the U.S,Canada,1,0,1,2
200,It is the case either that John Ericsson lived in Sweden or that he/she lived in the U.S.,John Ericsson,Sweden,the U.S,1,0,1,2
201,It is the case either that Charles Francis Richter lived in France or that he/she lived in the U.S.,Charles Francis Richter,France,the U.S,0,1,0,2
202,It is the case either that Grace Hopper lived in Scotland or that he/she lived in the U.S.,Grace Hopper,Scotland,the U.S,0,1,1,2
203,It is the case either that Elihu Thomson lived in Russia or that he/she lived in the U.S.,Elihu Thomson,Russia,the U.S,0,1,1,2
204,It is the case either that Willis Carrier lived in Germany or that he/she lived in Italy.,Willis Carrier,Germany,Italy,0,0,0,2
205,It is the case either that Hans Lippershey lived in the U.K or that he/she lived in the Netherlands.,Hans Lippershey,the U.K,the Netherlands,0,1,1,2
206,It is the case either that Robert Moog lived in the U.S or that he/she lived in the U.K.,Robert Moog,the U.S,the U.K,1,0,1,2
207,It is the case either that Jack Kilby lived in the U.K or that he/she lived in the U.S.,Jack Kilby,the U.K,the U.S,0,1,1,2
208,It is the case either that László Bíró lived in the U.S or that he/she lived in Germany.,László Bíró,the U.S,Germany,0,0,0,2
209,It is the case either that Benjamin Holt lived in the U.S or that he/she lived in the U.K.,Benjamin Holt,the U.S,the U.K,1,0,1,2
210,It is the case either that Josephine Cochrane lived in France or that he/she lived in Germany.,Josephine Cochrane,France,Germany,0,0,0,2
211,It is the case either that Ralph Benjamin lived in the U.S or that he/she lived in Italy.,Ralph Benjamin,the U.S,Italy,0,0,0,2
212,It is the case either that Igor Sikorsky lived in Germany or that he/she lived in the U.S.,Igor Sikorsky,Germany,the U.S,0,0,0,2
213,It is the case either that Whitcomb Judson lived in France or that he/she lived in the U.S.,Whitcomb Judson,France,the U.S,0,1,1,2
214,It is the case either that Biruté Galdikas lived in the U.K or that he/she lived in France.,Biruté Galdikas,the U.K,France,0,0,0,2
215,It is the case either that László Bíró lived in Hungary or that he/she lived in the U.S.,László Bíró,Hungary,the U.S,1,0,1,2
216,It is the case either that Christopher Cockerell lived in the U.S or that he/she lived in France.,Christopher Cockerell,the U.S,France,0,0,0,2
