r1_row_index,topic,entity_pair_id,statement,conjunctA,conjunctB,labelA,labelB,cell,connective,ordering,global_truth,frozen_atomic_score,compound_trained_score
68,sp_en_trans,"sp_en_trans::[""pagar"",""persona""]",The Spanish word 'pagar' means 'enough' and the Spanish word 'persona' means 'person'.,The Spanish word 'persona' means 'person'.,The Spanish word 'pagar' means 'enough'.,1,0,TF,AND,BA,0,4.582534297034203,-8.578399202495087
71,inventors,"inventors::[""Charles Goodyear"",""Igor Sikorsky""]",Charles Goodyear lived in the U.S and Igor Sikorsky lived in Ukraine/the U.S.,Charles Goodyear lived in the U.S.,Igor Sikorsky lived in Ukraine/the U.S.,1,1,TT,AND,AB,1,5.445836760385525,0.8451741611891697
72,animal_class,"animal_class::[""gorilla"",""hamster""]",The hamster is a bird or the gorilla is a reptile.,The gorilla is a reptile.,The hamster is a bird.,0,0,FF,OR,BA,0,5.349302220052889,1.4462462760053676
95,element_symb,"element_symb::[""Gold"",""Ruthenium""]",Ruthenium has the symbol Ru and Gold has the symbol Sm.,Ruthenium has the symbol Ru.,Gold has the symbol Sm.,1,0,TF,AND,AB,0,-10.693753523972115,-13.207132658352636
100,element_symb,"element_symb::[""Lanthanum"",""Technetium""]",Technetium has the symbol Tc or Lanthanum has the symbol Pr.,Lanthanum has the symbol Pr.,Technetium has the symbol Tc.,0,1,FT,OR,BA,1,-6.159290759749379,11.32547721349096
106,element_symb,"element_symb::[""Manganese"",""Neon""]",Manganese has the symbol S and Neon has the symbol Ne.,Manganese has the symbol S.,Neon has the symbol Ne.,0,1,FT,AND,AB,0,-4.296032020081612,-11.980706332414544
107,element_symb,"element_symb::[""Cesium"",""Thulium""]",Thulium has the symbol Mg and Cesium has the symbol Cs.,Thulium has the symbol Mg.,Cesium has the symbol Cs.,0,1,FT,AND,AB,0,-5.545374482977046,-15.288367880399198
110,element_symb,"element_symb::[""Astatine"",""Palladium""]",Astatine has the symbol At or Palladium has the symbol Ir.,Astatine has the symbol At.,Palladium has the symbol Ir.,1,0,TF,OR,AB,1,-4.211535230582699,10.64874913673162
112,cities,"cities::[""Jingmen"",""Tolyatti""]",The city of Jingmen is in China and the city of Tolyatti is in Myanmar.,The city of Jingmen is in China.,The city of Tolyatti is in Myanmar.,1,0,TF,AND,AB,0,-5.150343705215061,-12.182760680494985
126,inventors,"inventors::[""Jacob Perkins"",""John Boyd Dunlop""]",John Boyd Dunlop lived in Austria or Jacob Perkins lived in the U.S.,John Boyd Dunlop lived in Austria.,Jacob Perkins lived in the U.S.,0,1,FT,OR,AB,1,3.9010208902037946,4.560537108763265
131,sp_en_trans,"sp_en_trans::[""oferta"",""siete""]",The Spanish word 'siete' means 'ice' and the Spanish word 'oferta' means 'open'.,The Spanish word 'siete' means 'ice'.,The Spanish word 'oferta' means 'open'.,0,0,FF,AND,AB,0,-2.895491826377818,-24.720423786742682
139,animal_class,"animal_class::[""camel"",""elephant""]",The elephant is a crustacean or the camel is a crustacean.,The camel is a crustacean.,The elephant is a crustacean.,0,0,FF,OR,BA,0,0.8779313159721936,-7.104024402843894
145,cities,"cities::[""Qujing"",""Ufa""]",The city of Ufa is in Italy and the city of Qujing is in Yemen.,The city of Ufa is in Italy.,The city of Qujing is in Yemen.,0,0,FF,AND,AB,0,-0.6075550401912273,-23.261096907512357
147,element_symb,"element_symb::[""Boron"",""Selenium""]",Boron has the symbol B or Selenium has the symbol Po.,Selenium has the symbol Po.,Boron has the symbol B.,0,1,FT,OR,BA,1,-2.3648368933571455,11.742112316491538
159,element_symb,"element_symb::[""Radium"",""Tellurium""]",Tellurium has the symbol Te and Radium has the symbol Ra.,Tellurium has the symbol Te.,Radium has the symbol Ra.,1,1,TT,AND,AB,1,8.48031681927252,7.374904903858553
163,inventors,"inventors::[""Chester Carlson"",""Ignazio Porro""]",Ignazio Porro lived in Austria/the U.S and Chester Carlson lived in Poland/Germany.,Ignazio Porro lived in Austria/the U.S.,Chester Carlson lived in Poland/Germany.,0,0,FF,AND,AB,0,1.3843113387922854,-17.282189177151373
166,animal_class,"animal_class::[""camel"",""elephant""]",The elephant is a mammal or the camel is a mammal.,The camel is a mammal.,The elephant is a mammal.,1,1,TT,OR,BA,1,4.609163206310088,17.611938607353434
168,inventors,"inventors::[""Garrett Morgan"",""Levi Strauss""]",Levi Strauss lived in the U.S and Garrett Morgan lived in the U.S.,Garrett Morgan lived in the U.S.,Levi Strauss lived in the U.S.,1,1,TT,AND,BA,1,10.1019442602815,10.335612346781698
173,element_symb,"element_symb::[""Cobalt"",""Hydrogen""]",Cobalt has the symbol H and Hydrogen has the symbol H.,Cobalt has the symbol H.,Hydrogen has the symbol H.,0,1,FT,AND,AB,0,-2.6934415217221255,-7.606979244045311
185,inventors,"inventors::[""Albert Ghiorso"",""Alexander Graham Bell""]",Alexander Graham Bell lived in Scotland/Canada/the U.S or Albert Ghiorso lived in the U.S.,Alexander Graham Bell lived in Scotland/Canada/the U.S.,Albert Ghiorso lived in the U.S.,1,1,TT,OR,AB,1,4.653170502656645,12.773881366800547
190,inventors,"inventors::[""Igor Tamm"",""Willis Carrier""]",Igor Tamm lived in Denmark and Willis Carrier lived in Switzerland.,Willis Carrier lived in Switzerland.,Igor Tamm lived in Denmark.,0,0,FF,AND,BA,0,0.14391238917233368,-20.241535587813967
192,animal_class,"animal_class::[""gorilla"",""llama""]",The llama is a mollusk or the gorilla is a mammal.,The llama is a mollusk.,The gorilla is a mammal.,0,1,FT,OR,AB,1,1.3283077859534282,8.19119420499708
202,sp_en_trans,"sp_en_trans::[""oscuro"",""primero""]",The Spanish word 'primero' means 'first' or the Spanish word 'oscuro' means 'dark'.,The Spanish word 'oscuro' means 'dark'.,The Spanish word 'primero' means 'first'.,1,1,TT,OR,BA,1,-0.6366091456801142,19.18554732546185
203,inventors,"inventors::[""Elisha Gray"",""Georges Claude""]",Elisha Gray lived in the U.S and Georges Claude lived in Sweden/the U.S.,Elisha Gray lived in the U.S.,Georges Claude lived in Sweden/the U.S.,1,0,TF,AND,AB,0,0.9334125518245907,-9.10276134432733
204,inventors,"inventors::[""Christian Huygens"",""Hippolyte Mège-Mouriès""]",Christian Huygens lived in Poland/Germany and Hippolyte Mège-Mouriès lived in France.,Hippolyte Mège-Mouriès lived in France.,Christian Huygens lived in Poland/Germany.,1,0,TF,AND,BA,0,5.997288034689979,-9.111774784012848
211,element_symb,"element_symb::[""Actinium"",""Platinum""]",Platinum has the symbol Pt or Actinium has the symbol Ac.,Platinum has the symbol Pt.,Actinium has the symbol Ac.,1,1,TT,OR,AB,1,4.25035960424465,13.739861456519606
215,inventors,"inventors::[""Ernest Swinton"",""Ernesto Blanco""]",Ernesto Blanco lived in the U.S and Ernest Swinton lived in Poland/France.,Ernesto Blanco lived in the U.S.,Ernest Swinton lived in Poland/France.,1,0,TF,AND,AB,0,-0.32517038214138017,-8.865328643881371
218,inventors,"inventors::[""Bartolomeo Cristofori"",""Joseph Glidden""]",Bartolomeo Cristofori lived in the U.K or Joseph Glidden lived in the U.S.,Bartolomeo Cristofori lived in the U.K.,Joseph Glidden lived in the U.S.,0,1,FT,OR,AB,1,2.3751512526487066,5.483273875305676
220,element_symb,"element_symb::[""Cobalt"",""Hydrogen""]",Hydrogen has the symbol Cl and Cobalt has the symbol Co.,Cobalt has the symbol Co.,Hydrogen has the symbol Cl.,1,0,TF,AND,BA,0,-4.586559659065032,-9.477443015119563
221,element_symb,"element_symb::[""Boron"",""Phosphorus""]",Phosphorus has the symbol Se and Boron has the symbol H.,Boron has the symbol H.,Phosphorus has the symbol Se.,0,0,FF,AND,BA,0,-11.688718968023192,-29.917017851261797
236,cities,"cities::[""Dortmund"",""Ryazan'""]",The city of Ryazan' is in India and the city of Dortmund is in Saudi Arabia.,The city of Dortmund is in Saudi Arabia.,The city of Ryazan' is in India.,0,0,FF,AND,BA,0,-5.361309583278041,-24.39337606364923
237,element_symb,"element_symb::[""Cadmium"",""Cerium""]",Cerium has the symbol I and Cadmium has the symbol Pr.,Cadmium has the symbol Pr.,Cerium has the symbol I.,0,0,FF,AND,BA,0,-12.950369933036901,-29.086661007012903
238,cities,"cities::[""Tlaquepaque"",""Vladivostok""]",The city of Vladivostok is in Ghana and the city of Tlaquepaque is in Mozambique.,The city of Vladivostok is in Ghana.,The city of Tlaquepaque is in Mozambique.,0,0,FF,AND,AB,0,-7.5724510794671,-23.158183751451734
242,animal_class,"animal_class::[""gazelle"",""sparrow""]",The gazelle is a mammal and the sparrow is a bird.,The sparrow is a bird.,The gazelle is a mammal.,1,1,TT,AND,BA,1,12.93060211864738,11.028129445715573
243,inventors,"inventors::[""Garrett Morgan"",""Levi Strauss""]",Garrett Morgan lived in the U.S and Levi Strauss lived in the U.S.,Garrett Morgan lived in the U.S.,Levi Strauss lived in the U.S.,1,1,TT,AND,AB,1,10.882445419326489,10.298502471087398
247,animal_class,"animal_class::[""llama"",""mongoose""]",The mongoose is a reptile and the llama is a mammal.,The mongoose is a reptile.,The llama is a mammal.,0,1,FT,AND,AB,0,2.0347640165193273,-8.174791036545104
257,sp_en_trans,"sp_en_trans::[""guardar"",""vecino""]",The Spanish word 'vecino' means 'wind' or the Spanish word 'guardar' means 'to save'.,The Spanish word 'vecino' means 'wind'.,The Spanish word 'guardar' means 'to save'.,0,1,FT,OR,AB,1,-9.867049062089206,4.790350971588593
259,inventors,"inventors::[""Fridtjof Nansen"",""Mary Walton""]",Mary Walton lived in the U.S or Fridtjof Nansen lived in Norway.,Mary Walton lived in the U.S.,Fridtjof Nansen lived in Norway.,1,1,TT,OR,AB,1,1.857761041238678,19.59063028526631
273,animal_class,"animal_class::[""camel"",""elephant""]",The camel is a crustacean and the elephant is a mammal.,The camel is a crustacean.,The elephant is a mammal.,0,1,FT,AND,AB,0,1.3158019106280125,-10.376893076889768
275,inventors,"inventors::[""Emile Berliner"",""Thomas Tompion""]",Emile Berliner lived in Germany/the U.S or Thomas Tompion lived in Russia.,Emile Berliner lived in Germany/the U.S.,Thomas Tompion lived in Russia.,1,0,TF,OR,AB,1,1.6887399132681324,0.33920336447832405
278,element_symb,"element_symb::[""Radium"",""Tellurium""]",Tellurium has the symbol Te or Radium has the symbol Ra.,Tellurium has the symbol Te.,Radium has the symbol Ra.,1,1,TT,OR,AB,1,4.906987939660619,20.212840103126716
283,cities,"cities::[""Algiers"",""Cochin""]",The city of Algiers is in Lithuania or the city of Cochin is in Japan.,The city of Cochin is in Japan.,The city of Algiers is in Lithuania.,0,0,FF,OR,BA,0,3.3424593319158755,-5.556838799871133
296,sp_en_trans,"sp_en_trans::[""ejemplo"",""gato""]",The Spanish word 'gato' means 'to fall' or the Spanish word 'ejemplo' means 'to see'.,The Spanish word 'gato' means 'to fall'.,The Spanish word 'ejemplo' means 'to see'.,0,0,FF,OR,AB,0,-11.300724630888089,-13.153099434398525
299,animal_class,"animal_class::[""lobster"",""shark""]",The shark is a cnidarian and the lobster is a arachnid.,The shark is a cnidarian.,The lobster is a arachnid.,0,0,FF,AND,AB,0,4.231703433035972,-9.101286826327025
308,inventors,"inventors::[""Emile Berliner"",""Thomas Tompion""]",Emile Berliner lived in Japan and Thomas Tompion lived in Russia.,Emile Berliner lived in Japan.,Thomas Tompion lived in Russia.,0,0,FF,AND,AB,0,2.2946963723544807,-19.462811618559794
311,sp_en_trans,"sp_en_trans::[""caliente"",""vecino""]",The Spanish word 'vecino' means 'neighbor' or the Spanish word 'caliente' means 'corner'.,The Spanish word 'vecino' means 'neighbor'.,The Spanish word 'caliente' means 'corner'.,1,0,TF,OR,AB,1,-11.02477303952414,13.275599592222688
320,element_symb,"element_symb::[""Chromium"",""Radon""]",Radon has the symbol Np or Chromium has the symbol Cr.,Chromium has the symbol Cr.,Radon has the symbol Np.,1,0,TF,OR,BA,1,-1.6160888206405826,11.484762103384023
322,cities,"cities::[""Jakarta"",""Shah Alam""]",The city of Shah Alam is in Malaysia or the city of Jakarta is in Mongolia.,The city of Shah Alam is in Malaysia.,The city of Jakarta is in Mongolia.,1,0,TF,OR,AB,1,3.4458539643376507,3.720953489112498
334,animal_class,"animal_class::[""cat"",""vulture""]",The cat is a bird or the vulture is a mollusk.,The cat is a bird.,The vulture is a mollusk.,0,0,FF,OR,AB,0,3.00878774427431,-6.662498288743558
335,element_symb,"element_symb::[""Astatine"",""Palladium""]",Astatine has the symbol Ca or Palladium has the symbol Ir.,Astatine has the symbol Ca.,Palladium has the symbol Ir.,0,0,FF,OR,AB,0,-4.311475461499071,-7.908720932026536
349,cities,"cities::[""Bhopal"",""Kisangani""]",The city of Bhopal is in Iraq and the city of Kisangani is in the Democratic Republic of the Congo.,The city of Bhopal is in Iraq.,The city of Kisangani is in the Democratic Republic of the Congo.,0,1,FT,AND,AB,0,1.0254817294089622,-10.124603692360646
350,sp_en_trans,"sp_en_trans::[""oferta"",""siete""]",The Spanish word 'oferta' means 'open' or the Spanish word 'siete' means 'ice'.,The Spanish word 'siete' means 'ice'.,The Spanish word 'oferta' means 'open'.,0,0,FF,OR,BA,0,-12.719281027482173,-6.099280591358911
351,sp_en_trans,"sp_en_trans::[""morir"",""mujer""]",The Spanish word 'mujer' means 'enough' or the Spanish word 'morir' means 'to die'.,The Spanish word 'mujer' means 'enough'.,The Spanish word 'morir' means 'to die'.,0,1,FT,OR,AB,1,-8.156294132243339,8.309751955212858
369,animal_class,"animal_class::[""bee"",""frog""]",The bee is a insect and the frog is a amphibian.,The bee is a insect.,The frog is a amphibian.,1,1,TT,AND,AB,1,8.664006674272345,2.6766218323021898
371,animal_class,"animal_class::[""llama"",""mongoose""]",The llama is a mammal or the mongoose is a reptile.,The mongoose is a reptile.,The llama is a mammal.,0,1,FT,OR,BA,1,3.2092847455914106,9.711118378103714
373,inventors,"inventors::[""Daniel Fahrenheit"",""Jean-Bernard-Léon Foucault""]",Daniel Fahrenheit lived in Poland/Germany and Jean-Bernard-Léon Foucault lived in Germany.,Daniel Fahrenheit lived in Poland/Germany.,Jean-Bernard-Léon Foucault lived in Germany.,1,0,TF,AND,AB,0,9.171825221513702,-9.82676148488481
374,sp_en_trans,"sp_en_trans::[""imaginar"",""tercero""]",The Spanish word 'imaginar' means 'to imagine' and the Spanish word 'tercero' means 'sea'.,The Spanish word 'imaginar' means 'to imagine'.,The Spanish word 'tercero' means 'sea'.,1,0,TF,AND,AB,0,-8.486161945804373,-9.429076110709312
375,element_symb,"element_symb::[""Argon"",""Neodymium""]",Argon has the symbol Pr or Neodymium has the symbol Te.,Argon has the symbol Pr.,Neodymium has the symbol Te.,0,0,FF,OR,AB,0,-7.464065005778256,-8.842779433618283
381,animal_class,"animal_class::[""deer"",""kangaroo""]",The kangaroo is a mammal or the deer is a mammal.,The kangaroo is a mammal.,The deer is a mammal.,1,1,TT,OR,AB,1,5.0292970259161045,21.507188721963967
388,animal_class,"animal_class::[""goat"",""llama""]",The goat is a mammal and the llama is a mollusk.,The llama is a mollusk.,The goat is a mammal.,0,1,FT,AND,BA,0,-1.7400346806527658,-15.988271598261205
398,animal_class,"animal_class::[""parrot"",""tiger""]",The parrot is a bird or the tiger is a amphibian.,The tiger is a amphibian.,The parrot is a bird.,0,1,FT,OR,BA,1,3.040526502778826,5.062710520093002
399,cities,"cities::[""Jingmen"",""Tolyatti""]",The city of Tolyatti is in Russia and the city of Jingmen is in Peru.,The city of Jingmen is in Peru.,The city of Tolyatti is in Russia.,0,1,FT,AND,BA,0,-1.3779329449737638,-17.27923091670883
400,inventors,"inventors::[""Chester Carlson"",""Ignazio Porro""]",Chester Carlson lived in Poland/Germany and Ignazio Porro lived in Austria/the U.S.,Ignazio Porro lived in Austria/the U.S.,Chester Carlson lived in Poland/Germany.,0,0,FF,AND,BA,0,3.768333996334146,-15.82334874087258
402,inventors,"inventors::[""Hans von Ohain"",""John Kay""]",John Kay lived in Norway and Hans von Ohain lived in Germany.,John Kay lived in Norway.,Hans von Ohain lived in Germany.,0,1,FT,AND,AB,0,5.822460584539341,-2.398741548625888
404,inventors,"inventors::[""George Devol"",""Guglielmo Marconi""]",Guglielmo Marconi lived in Japan or George Devol lived in the U.S.,George Devol lived in the U.S.,Guglielmo Marconi lived in Japan.,1,0,TF,OR,BA,1,3.660759781111718,5.391506307919734
416,cities,"cities::[""Dortmund"",""Ryazan'""]",The city of Ryazan' is in Russia or the city of Dortmund is in Germany.,The city of Dortmund is in Germany.,The city of Ryazan' is in Russia.,1,1,TT,OR,BA,1,6.308334348365442,20.623065533569488
421,inventors,"inventors::[""Charles Goodyear"",""Igor Sikorsky""]",Charles Goodyear lived in Poland/France or Igor Sikorsky lived in Turkey/the U.S.,Charles Goodyear lived in Poland/France.,Igor Sikorsky lived in Turkey/the U.S.,0,0,FF,OR,AB,0,2.1249783240533437,-1.457971108495779
430,element_symb,"element_symb::[""Boron"",""Selenium""]",Selenium has the symbol Po or Boron has the symbol H.,Selenium has the symbol Po.,Boron has the symbol H.,0,0,FF,OR,AB,0,-3.157417093069922,-4.671682652181889
438,inventors,"inventors::[""Daisuke Inoue"",""Hans von Ohain""]",Daisuke Inoue lived in Japan or Hans von Ohain lived in England.,Daisuke Inoue lived in Japan.,Hans von Ohain lived in England.,1,0,TF,OR,AB,1,4.735357233913633,7.603704792260338
443,cities,"cities::[""Jamshedpur"",""Pimpri""]",The city of Jamshedpur is in Kenya or the city of Pimpri is in Sweden.,The city of Jamshedpur is in Kenya.,The city of Pimpri is in Sweden.,0,0,FF,OR,AB,0,1.8758399175540348,-8.737320519300054
445,element_symb,"element_symb::[""Antimony"",""Praseodymium""]",Antimony has the symbol Sb and Praseodymium has the symbol I.,Antimony has the symbol Sb.,Praseodymium has the symbol I.,1,0,TF,AND,AB,0,-9.741291842425458,-12.014280720458165
446,animal_class,"animal_class::[""gorilla"",""llama""]",The gorilla is a mammal and the llama is a mollusk.,The llama is a mollusk.,The gorilla is a mammal.,0,1,FT,AND,BA,0,-2.100807463039448,-17.511943351660936
449,sp_en_trans,"sp_en_trans::[""leer"",""temprano""]",The Spanish word 'leer' means 'skin' and the Spanish word 'temprano' means 'early'.,The Spanish word 'temprano' means 'early'.,The Spanish word 'leer' means 'skin'.,1,0,TF,AND,BA,0,-3.881212311400209,-17.699775790362946
450,element_symb,"element_symb::[""Antimony"",""Praseodymium""]",Antimony has the symbol Sb or Praseodymium has the symbol Pr.,Antimony has the symbol Sb.,Praseodymium has the symbol Pr.,1,1,TT,OR,AB,1,1.675051559147246,16.434148597207134
452,cities,"cities::[""Agadir"",""Comilla""]",The city of Agadir is in Somalia or the city of Comilla is in Ethiopia.,The city of Agadir is in Somalia.,The city of Comilla is in Ethiopia.,0,0,FF,OR,AB,0,4.17828501786364,-7.330791345725132
454,sp_en_trans,"sp_en_trans::[""caliente"",""vecino""]",The Spanish word 'caliente' means 'corner' and the Spanish word 'vecino' means 'wind'.,The Spanish word 'vecino' means 'wind'.,The Spanish word 'caliente' means 'corner'.,0,0,FF,AND,BA,0,-8.902424242890584,-24.22080590462006
462,inventors,"inventors::[""Linus Torvalds"",""Paul Gottlieb Nipkow""]",Paul Gottlieb Nipkow lived in Germany or Linus Torvalds lived in Canada/the U.S.,Linus Torvalds lived in Canada/the U.S.,Paul Gottlieb Nipkow lived in Germany.,0,1,FT,OR,BA,1,1.8387690746997287,5.318896865492397
471,cities,"cities::[""Algiers"",""Cochin""]",The city of Algiers is in Lithuania or the city of Cochin is in India.,The city of Cochin is in India.,The city of Algiers is in Lithuania.,1,0,TF,OR,BA,1,5.985983470732243,15.222072803869764
473,inventors,"inventors::[""Garrett Morgan"",""Levi Strauss""]",Levi Strauss lived in Canada or Garrett Morgan lived in the U.S.,Garrett Morgan lived in the U.S.,Levi Strauss lived in Canada.,1,0,TF,OR,BA,1,4.376187017935581,7.400660183755532
475,element_symb,"element_symb::[""Cadmium"",""Cerium""]",Cerium has the symbol I and Cadmium has the symbol Cd.,Cadmium has the symbol Cd.,Cerium has the symbol I.,1,0,TF,AND,BA,0,0.877518355522403,-7.64299036610888
477,element_symb,"element_symb::[""Argon"",""Neodymium""]",Neodymium has the symbol Te and Argon has the symbol Ar.,Argon has the symbol Ar.,Neodymium has the symbol Te.,1,0,TF,AND,BA,0,-3.8569547540315186,-9.436091556728332
480,cities,"cities::[""Hanoi"",""Lubumbashi""]",The city of Lubumbashi is in the Democratic Republic of the Congo and the city of Hanoi is in Vietnam.,The city of Hanoi is in Vietnam.,The city of Lubumbashi is in the Democratic Republic of the Congo.,1,1,TT,AND,BA,1,10.643851008463683,6.093058885839042
488,element_symb,"element_symb::[""Actinium"",""Platinum""]",Platinum has the symbol Pt or Actinium has the symbol H.,Platinum has the symbol Pt.,Actinium has the symbol H.,1,0,TF,OR,AB,1,-5.281758954600446,6.276342146641916
497,sp_en_trans,"sp_en_trans::[""leer"",""temprano""]",The Spanish word 'leer' means 'skin' and the Spanish word 'temprano' means 'nothing'.,The Spanish word 'temprano' means 'nothing'.,The Spanish word 'leer' means 'skin'.,0,0,FF,AND,BA,0,-7.987582331691028,-28.65456653316865
501,inventors,"inventors::[""Alan Turing"",""James Watt""]",James Watt lived in Scotland and Alan Turing lived in the U.K.,James Watt lived in Scotland.,Alan Turing lived in the U.K.,1,1,TT,AND,AB,1,10.451683563900788,2.6994757070400537
503,inventors,"inventors::[""Daisuke Inoue"",""Hans von Ohain""]",Daisuke Inoue lived in Japan and Hans von Ohain lived in England.,Daisuke Inoue lived in Japan.,Hans von Ohain lived in England.,1,0,TF,AND,AB,0,7.782161751193861,-4.088431620905444
504,sp_en_trans,"sp_en_trans::[""clase"",""conectar""]",The Spanish word 'conectar' means 'to connect' and the Spanish word 'clase' means 'twenty'.,The Spanish word 'conectar' means 'to connect'.,The Spanish word 'clase' means 'twenty'.,1,0,TF,AND,AB,0,-8.691535481925055,-13.173411285454817
505,sp_en_trans,"sp_en_trans::[""caer"",""rey""]",The Spanish word 'caer' means 'sun' and the Spanish word 'rey' means 'to pass'.,The Spanish word 'caer' means 'sun'.,The Spanish word 'rey' means 'to pass'.,0,0,FF,AND,AB,0,-9.313149819480055,-29.554491800742294
506,element_symb,"element_symb::[""Manganese"",""Neon""]",Manganese has the symbol Mn and Neon has the symbol Ne.,Manganese has the symbol Mn.,Neon has the symbol Ne.,1,1,TT,AND,AB,1,9.145527190110437,11.847072803156768
519,inventors,"inventors::[""Albert Ghiorso"",""Alexander Graham Bell""]",Alexander Graham Bell lived in Scotland/Canada/the U.S and Albert Ghiorso lived in the U.S.,Alexander Graham Bell lived in Scotland/Canada/the U.S.,Albert Ghiorso lived in the U.S.,1,1,TT,AND,AB,1,7.853964279037873,-1.7250720425712764
528,inventors,"inventors::[""Linus Torvalds"",""Paul Gottlieb Nipkow""]",Linus Torvalds lived in Finland and Paul Gottlieb Nipkow lived in Germany.,Linus Torvalds lived in Finland.,Paul Gottlieb Nipkow lived in Germany.,1,1,TT,AND,AB,1,10.026604226790841,-1.1550863017886412
529,element_symb,"element_symb::[""Cadmium"",""Cerium""]",Cerium has the symbol Ce or Cadmium has the symbol Cd.,Cadmium has the symbol Cd.,Cerium has the symbol Ce.,1,1,TT,OR,BA,1,4.11038829405531,18.564399664814133
535,element_symb,"element_symb::[""Antimony"",""Praseodymium""]",Praseodymium has the symbol I and Antimony has the symbol Ca.,Antimony has the symbol Ca.,Praseodymium has the symbol I.,0,0,FF,AND,BA,0,-9.895220494172788,-27.926331926921318
538,element_symb,"element_symb::[""Boron"",""Selenium""]",Selenium has the symbol Se and Boron has the symbol H.,Selenium has the symbol Se.,Boron has the symbol H.,1,0,TF,AND,AB,0,-10.912428133121102,-11.17327790223586
542,inventors,"inventors::[""Hans von Ohain"",""Reginald Fessenden""]",Reginald Fessenden lived in Sweden or Hans von Ohain lived in England.,Reginald Fessenden lived in Sweden.,Hans von Ohain lived in England.,0,0,FF,OR,AB,0,2.9648075342395224,-3.997656856876012
544,inventors,"inventors::[""Carl Sontheimer"",""Elihu Thomson""]",Carl Sontheimer lived in Norway and Elihu Thomson lived in the U.S.,Carl Sontheimer lived in Norway.,Elihu Thomson lived in the U.S.,0,1,FT,AND,AB,0,9.166861001620868,3.5801123890667865
547,element_symb,"element_symb::[""Cesium"",""Thulium""]",Cesium has the symbol Ce and Thulium has the symbol Mg.,Thulium has the symbol Mg.,Cesium has the symbol Ce.,0,0,FF,AND,BA,0,-9.843771942211676,-16.14591741003441
549,inventors,"inventors::[""Daniel Fahrenheit"",""Jean-Bernard-Léon Foucault""]",Jean-Bernard-Léon Foucault lived in Germany or Daniel Fahrenheit lived in Poland/Germany.,Daniel Fahrenheit lived in Poland/Germany.,Jean-Bernard-Léon Foucault lived in Germany.,1,0,TF,OR,BA,1,1.4590709894117724,-0.7268019386655502
559,inventors,"inventors::[""Linus Torvalds"",""Paul Gottlieb Nipkow""]",Linus Torvalds lived in Canada/the U.S or Paul Gottlieb Nipkow lived in Germany.,Linus Torvalds lived in Canada/the U.S.,Paul Gottlieb Nipkow lived in Germany.,0,1,FT,OR,AB,1,4.958629678267337,7.365309971768017
